Quem era o líder europeu no auge da força e da glória em 1807?;Napoleão Bonaparte.
O que mudou a partir de 1808 com a chegada da corte no Rio de Janeiro?;O poder centralizou-se no Rio de Janeiro, que começou a impor unidade ao Brasil.
Qual a percepção das capitanias em relação à centralização do poder no Rio de Janeiro?;Que o Rio substituíra Lisboa, mas com uma administração mais dura, e que os impostos recolhidos não retornavam para elas.
Onde e quando ocorreu uma revolução de tendência republicana em 1817?;Em Pernambuco, com apoio das províncias de Alagoas, Paraíba e Rio Grande do Norte.
Qual foi o movimento ocorrido em 1824 que também buscava autonomia e um projeto republicano para o Brasil?;A Confederação do Equador, liderada por Pernambuco, com apoio de Ceará, Paraíba, Piauí e Rio Grande do Norte.
Como foram tratados os movimentos de 1817 e 1824 pelo governo central?;Foram violentamente reprimidos, consolidando o poder unitário do Rio de Janeiro.
Qual foi a situação econômica em Portugal após a corte portuguesa partir para o Brasil?;Houve apatia econômica, com redução dos negócios devido à perda do exclusivo comercial com o Brasil.
Que movimento político se estabeleceu em Portugal em 1820?;A Revolução Liberal, que substituiu o Antigo Regime autocrático pela monarquia constitucional.
Quais influências ideológicas marcaram os movimentos revolucionários no Brasil e Portugal do período?;A Revolução Francesa e, no Brasil, também a Revolução Americana.
Por que as cortes portuguesas exigiram o regresso de D. João VI?;Para restaurar o controle político e econômico sobre o Brasil, revertendo as mudanças do Reino Unido.
Qual foi a reação do Brasil ao projeto de retorno à condição colonial imposto pelas cortes?;Resistência e rejeição, com D. Pedro ficando no Brasil para defender sua autonomia.
O que significavam os manifestos de 1 e 6 de agosto de 1822 escritos por D. Pedro?;Justificavam a defesa do Reino Unido do Brasil contra as cortes, usando a linguagem da independência.
Qual a data simbólica do Grito do Ipiranga e o que ele representou?;"7 de setembro de 1822; momento simbólico da independência do Brasil."
Quais foram as primeiras províncias brasileiras a decidir a independência?;Rio de Janeiro, São Paulo e Minas Gerais, com apoio das províncias do Sul.
Quais províncias permaneceram fiéis a Portugal após a independência?;Pará, Maranhão, Piauí, Ceará e parte da Bahia.
Como foram as guerras da independência no Brasil?;Violentas e sangrentas, mas localizadas e com menos de um ano de duração.
Que efeito teve a Revolução de 1820 em Portugal e no Brasil sobre a liberdade política?;Criou um clima de liberdade que favoreceu o debate e a publicação de ideias políticas, com a censura abrandada.
Quais eram as três principais questões debatidas na Assembleia Constituinte de 1823 no Brasil?;1) Quem detinha a soberania (povo, imperador ou ambos)? 2) O Império deveria ser federativo ou unitário? 3) Qual seria a posição dos portugueses no novo Estado?
O que foi a Vilafrancada em 1823?;Golpe militar em Portugal que fechou as cortes e restabeleceu o poder absoluto de D. João VI.
Como reagiu D. Pedro I diante da Assembleia Constituinte e da Vilafrancada?;Dissolveu a Assembleia em 1823, mostrando inclinação autoritária, mas outorgou uma Constituição liberal em 1824.
Como o Brasil ficou definido na Constituição de 1824?;Como uma monarquia constitucional e unitária, com executivo forte centralizado no Rio de Janeiro.
Qual a importância cultural do Rio de Janeiro no Brasil imperial?;Tornou-se o centro de influências europeias e modelo para os costumes, valores e comportamentos no país.
Como se caracterizava a estrutura social brasileira no início do século XIX?;Dividida entre homens livres e escravos, com crescimento das populações de mulatos, libertos, caboclos, cafuzos, índios e brancos pobres.
Quantos escravos africanos foram desembarcados no Brasil entre 1808 e 1831?;Cerca de 750 mil.
Quais foram os dois temas prioritários da diplomacia brasileira no século XIX?;O tráfico de escravos e o reconhecimento da independência.
Como a Grã-Bretanha influenciou o reconhecimento da independência do Brasil?;Mediou o tratado de 1825 em que Portugal reconheceu a independência, exigindo a abolição do tráfico de escravos.
Qual foi o foco da política externa de D. João VI e depois de D. Pedro I?;Defesa dos interesses da Casa de Bragança na Europa, com interlocução principalmente com a Inglaterra.
Qual foi a causa e o desfecho da guerra da Cisplatina (1821-1828)?;"A anexação da Banda Oriental pelo Brasil provocou guerra com Argentina e Uruguai; terminou com a independência da República Oriental do Uruguai."
Como a guerra da Cisplatina afetou a imagem de D. Pedro I no Brasil?;A guerra impopular aumentou o descontentamento, vendo-o como autocrata, favorável aos portugueses e mais preocupado com Portugal que com o Brasil.
Como mudou a autoimagem dos brasileiros após 1821?;Passaram de portugueses da América a repudiar Portugal, valorizando raízes ameríndias e afirmando identidade própria.
Qual foi o impacto da oposição ao imperador no parlamento e na imprensa após 1826?;Cresceu a oposição com discursos antiportugueses e críticas ao absolutismo, aumentando deputados oposicionistas e federalistas nas eleições de 1830.
O que ocorreu na França em 1830 e como isso foi interpretado no Brasil?;"Revolução de Julho depôs Carlos X e instalou monarquia liberal com Luís Filipe; no Brasil, temia-se que D. Pedro I repetisse o autoritarismo."
Quando e por que D. Pedro I abdicou do trono brasileiro?;Em 7 de abril de 1831, acuado pela crise política e reação popular, abdicou em favor de seu filho Pedro, de 5 anos.
Qual data é considerada por alguns como a verdadeira independência do Brasil, diferente do 7 de setembro de 1822?;7 de abril de 1831, data da abdicação de D. Pedro I.
Em que momento o Brasil deixou formalmente de ser colônia de Portugal?;Em 16 de dezembro de 1815, quando foi elevado a Reino Unido a Portugal e Algarves.
"O que foi o ""Dia do Fico"" e sua importância?";Em 9 de janeiro de 1822, D. Pedro decidiu ficar no Brasil, desobedecendo ordens de Lisboa, dando início à ruptura política.
Quais características distinguem a independência do Brasil das outras na América?;Foi uma independência conservadora, liderada pelo príncipe herdeiro português e José Bonifácio, e não teve intenção inicial de romper totalmente com Portugal.
Quem foram os principais protagonistas da independência do Brasil?;O príncipe herdeiro D. Pedro e José Bonifácio de Andrada e Silva.
Que tipo de regime político o Brasil adotou após a independência?;Uma monarquia hereditária e constitucional.
Como o Brasil se diferenciou politicamente dos demais países da América Latina?;Não se fragmentou e manteve uma monarquia, enquanto outros países adotaram repúblicas e fragmentaram-se.
Quais transformações ocorreram no Brasil entre 1808 e o reinado de D. Pedro I?;Abertura ao mundo, estudos científicos do interior, adoção de novos valores estéticos (neoclassicismo) e modernização tímida.
Qual foi a principal continuidade negativa no Brasil do período?;A manutenção e até fortalecimento do sistema escravista.
Como era a base econômica do Brasil após a independência?;Fundada na agricultura e pecuária, com grande propriedade rural voltada para exportação e trabalho escravo.
Como o livro propõe abordar o período entre 1808 e 1831?;Apresentando múltiplas perspectivas, valorizando as diferenças e contradições entre autores e visões.
Por que o livro privilegia as dissonâncias entre os retratos históricos?;Para dar uma visão complexa, colorida e multifacetada do Brasil daquele período, evitando uma visão única e simplificada.
Qual era a estimativa da população do Brasil em 1805 segundo a Igreja Católica?;Cerca de 3,1 milhões de habitantes.
Qual foi a estimativa populacional do Brasil em 1817?;Aproximadamente 3.817.000 habitantes.
Como estava dividida a população brasileira em 1817?;"259.400 ameríndios aculturados; 1.043.000 brancos; 526.500 mulatos e negros libertos/nascidos livres; 1.930.000 negros escravos."
Por que os números populacionais da época podiam ser maiores do que os estimados?;"Não incluíam crianças escravas menores de 10 anos nem os ameríndios ""bravos"" que resistiam à colonização."
"Quem eram os ameríndios ""bravos""?";Índios que resistiam à penetração europeia e viviam em florestas e áreas isoladas, como os botocudos e tapuias.
O que são caboclos, mamelucos ou curibocas?;Mestiços de brancos com indígenas.
Como se explica a presença de indígenas nas famílias consideradas brancas?;Muitas famílias antigas tinham origem indígena, devido a casamentos e descendência ao longo das gerações.
Qual era a população estimada do Brasil em 1831?;Cerca de 5 milhões, com um terço a metade sendo escravos.
Qual era a extensão territorial da colônia portuguesa no Brasil?;Mais de 8,3 milhões de quilômetros quadrados.
Como se distribuíam as povoações portuguesas no Brasil?;Centros dispersos, muitos isolados, ligados por precárias rotas terrestres e fluviais.
Quais eram os principais motivos para a fixação dos portugueses em certas áreas?;Terras férteis para canaviais, pastagens, mineração, portos naturais e pontos estratégicos políticos.
Como era o transporte e comunicação entre as cidades brasileiras?;"Via marítima era mais fácil que terrestre; grandes distâncias e poucos meios de transporte eficientes."
Qual porcentagem da população vivia em cidades capitais em 1823?;Menos de 9%.
Qual era a população estimada do Rio de Janeiro e Salvador no início do século XIX?;"Rio de Janeiro: entre 50 e 60 mil; Salvador: cerca de 51 mil habitantes."
Que impacto teve a vinda da corte portuguesa em 1808 na população do Rio de Janeiro?;Aumentou significativamente, chegando a até 79 mil habitantes em 1821, com influxo de nobres e funcionários portugueses.
Quem eram os colonos enviados para o sul do Brasil durante o período?;Principalmente açorianos, que formavam famílias ao chegar, ao contrário dos portugueses continentais.
Como eram as famílias dos portugueses continentais que chegavam ao Brasil?;Em geral, homens solteiros que se uniam a mulheres indígenas, mulatas e negras.
Quais grupos portugueses eram mais visíveis no Brasil no início do século XIX?;Açorianos, madeirenses, minhotos, trasmontanos e beirões.
Quem era mais numeroso no Brasil do que os portugueses metropolitanos?;Os brancos nascidos no Brasil, negros, caboclos, cafuzos e mulatos.
Qual foi a quantidade aproximada de escravos africanos que chegaram ao Brasil entre 1808 e 1831?;Mais de 750 mil, mais do que em qualquer outro quarto de século na história brasileira.
Como os escravos africanos recebiam seus nomes no Brasil?;Recebiam nomes vinculados aos portos de venda e embarque, como angolas, benguelas, cabindas, minas ou moçambiques.
Qual região da África era a principal origem dos escravos no início do comércio para o Brasil?;África Centro-Ocidental, especialmente Gabão, os dois Congos e Angola.
Quais eram alguns dos povos bantos presentes nos embarques de escravos para o Brasil?;Congos, angicos, andongos, libolos, vilis, quissamas, luangos, imbangalas, bailundos, huambos, entre outros.
Quais povos da região da Contracosta e Moçambique predominavam nos embarques para o Brasil?;Macuas, macondes, nhanjas, carangas e vários grupos tongas, como chopes, changanas e rongas.
Em quais regiões do Brasil predominavam os escravos de línguas bantas?;Em todo o Brasil, principalmente no Rio de Janeiro e no vale do Paraíba do Sul.
Onde se concentravam os negros da Alta Guiné e quais grupos eram comuns?;"Maranhão e Pará; incluíam mandingas, jalofos, sereres, bijagós, pepeis, susus, limbas, entre outros."
Quais povos da Costa dos Escravos falavam idiomas iorubás e gbe e onde eram comuns no Brasil?;"Povos como ijebus, ijexás, auoris, dans, quetos, ondos e ifés; eram comuns em Pernambuco e predominantes na Bahia."
Qual era o maior porto de entrada de escravos do mundo na época?;Rio de Janeiro, com cerca de 60% dos escravos importados pelo Brasil desembarcando ali.
Quais outros portos brasileiros importantes recebiam escravos?;Salvador (cerca de 30%), Recife, São Luís, Santos e Porto Alegre.
Quais eram os principais grupos de imigrantes europeus que chegaram ao Brasil após 1808?;Espanhóis, franceses, ingleses, irlandeses, suíços, alemães, italianos, austríacos, suecos e holandeses.
Qual decreto abriu o Brasil para a imigração estrangeira?;Decreto de 25 de novembro de 1808, assinado pelo príncipe regente d. João.
Quais as primeiras colônias de imigrantes fundadas pelo governo brasileiro?;Santa Leopoldina (Bahia, 1818) e Nova Friburgo (1820), com suíços de fala francesa.
Quando e para onde foram enviados os imigrantes alemães no Brasil?;A partir de 1824, para o Rio Grande do Sul e Santa Catarina, principalmente da região da Hesse, Prússia, Saxe, Würtemberg e Oldemburgo.
Quais profissões, além de agricultores, tinham os imigrantes suíços e alemães?;Carpinteiros, ferreiros, sapateiros, alfaiates, tanoeiros, seleiros, tecelões, entre outros.
Como eram os espanhóis que imigraram para o Brasil e onde se instalaram?;Vieram por conta própria, geralmente para cidades, e participaram de diversas atividades urbanas.
Qual foi o perfil da imigração francesa no Brasil no século XIX?;Principalmente urbana, com comerciantes, artesãos, professores e refugiados políticos, muitos ex-bonapartistas.
Qual era a expectativa da maioria dos imigrantes europeus ao chegar ao Brasil?;Enriquecer em pouco tempo e regressar à Europa, embora muitos acabassem ficando.
Como geralmente chegavam os britânicos ao Brasil no início do século XIX?;Não como imigrantes permanentes, mas a serviço de empresas, com período determinado de permanência.
Quais atividades britânicas eram comuns entre os que ficaram no Brasil?;Comércio, lojas, albergues, tavernas, médicos, professores, alfaiates e outros profissionais.
Quem eram os ciganos no Brasil do início do século XIX e qual era sua atividade?;Um grupo pequeno, mas visível, que consertava tachos de cobre e comerciava com cavalos no interior, e eram mercadores, oficiais de justiça e meirinhos nas cidades.
Quando e por quem foram trazidos os primeiros chineses para o Brasil?;Em 1814, trazidos por d. João, para difundir a cultura do chá.
Qual a principal ocupação dos chineses que vieram para o Brasil após a Independência?;Comércio ambulante.
Em quais locais no Rio de Janeiro os ciganos se reuniam e se tornavam visíveis?;Rua da Constituição e Campo de Santana.
Como era a sociedade brasileira em relação ao trabalho escravo no início do século XIX?;Uma sociedade escravista, onde a vida diária girava em torno dos escravos e suas atividades econômicas.
Onde concentrava-se a maior parte da escravaria no Brasil?;Nos engenhos de açúcar, plantações de algodão, café, tabaco, fazendas de gado e charqueadas.
O que compunha o “quadro clássico” das propriedades agrícolas com escravos?;Casa-grande, engenho, currais, pátios de secagem, barracões, depósitos, casas dos agregados e senzalas.
Como era arquitetonicamente a casa-grande?;Imitava solares portugueses com varandas para abrandar o calor, podendo ser térrea ou sobrado.
Quais eram os tipos comuns de senzalas nas propriedades agrícolas?;"Cabanas com paredes de tábuas, adobe ou palha; dormitórios coletivos de pé-direito alto, sem janelas e com uma única porta."
Como eram as senzalas construídas para escravos casados?;Em cabanas ou quartos separados, diferentes dos dormitórios coletivos para escravos solteiros.
Por que começaram a construir senzalas mais higiênicas no fim do Primeiro Reinado?;Pelo aumento do preço dos escravos e a preocupação em conservar os que morriam.
Onde moravam os escravos domésticos nas casas-grandes?;Em acomodações próprias na casa-grande, fundos do prédio, águas-furtadas, porão ou nos quartos das crianças pequenas.
A casa-grande brasileira se parecia mais com qual tipo de residência?;Mais com uma residência senhorial africana (agbo ilê) do que com uma quinta portuguesa.
Quem vivia na casa-grande junto com o senhor?;A esposa, concubinas, filhos, netos, mãe, sogra, irmãs viúvas, cunhados, sobrinhos, agregados e escravos.
O que indicava a posse de escravos nas cidades brasileiras?;Indicador de abastança e status social, sendo considerados bens suntuários.
Como se ostentava os escravos nas ruas?;Em missas ou eventos, com escravas vestidas de sedas e joias, homens com roupas finas, embora geralmente descalços.
Qual era o hábito de higiene pessoal dos brancos e dos índios/negros?;"Brancos tomavam banho raramente; índios e negros gostavam e tomavam banho várias vezes por dia."
Como eram vestidos os escravos nas casas de gente rica?;Uniformes, turbantes, camisas com mangas bufantes e saias rodadas para as escravas.
O que as escravas geralmente faziam enquanto aguardavam ordens?;Permaneciam de pé, às vezes durante horas, esperando para realizar pequenas tarefas.
Qual era a primeira coisa que muitas pessoas faziam ao melhorar de vida no Brasil colonial?;Compravam um escravo ou escrava, visto como excelente investimento.
Que profissionais normalmente possuíam escravos para as tarefas domésticas?;Médicos, advogados, professores, funcionários públicos, pequenos comerciantes, boticários, oficiais do exército, carpinteiros, ferreiros, pintores e doceiras.
O que eram os escravos de ganho?;"Escravos que trabalhavam na rua para ganhar dinheiro e entregavam parte ao dono; alguns moravam fora da casa do senhor."
Quais eram as ocupações comuns dos escravos de ganho nas cidades?;Vendedoras ambulantes de comidas e doces, carregadores, e outros serviços como mudanças ou transporte de objetos.
Onde se agrupavam os escravos de ganho nas cidades como Salvador e Rio de Janeiro?;"Em cantos específicos, muitas vezes agrupados por ""nações"" ou origens étnicas africanas."
Que tipos de bens os escravos vendiam nas ruas?;Frutas, legumes, refrescos, galinhas, vassouras, espanadores, colheres de pau, gaiolas com pássaros e outros objetos variados.
Quais ofícios podiam ser exercidos por escravos e ex-escravos?;Pedreiros, carpinteiros, funileiros, sapateiros, alfaiates e barbeiros-cirurgiões.
Quais tarefas eram comuns às escravas alugadas?;Ama de leite, cozinheira, doceira, costureira e bordadeira.
Qual a proporção de escravos em cidades como Rio de Janeiro e Salvador em 1821?;"Rio de Janeiro: 1/3 da população; Salvador: mais da metade da população."
Onde a escravaria era menos expressiva no Brasil?;Áreas pobres ou com atividades econômicas que não exigiam muita mão de obra, como pecuária extensiva no Piauí e produção de alimentos em pequenas propriedades na Zona da Mata em Minas Gerais.
Como alguns escravos reagiam à escravidão?;Rebelavam-se, matavam donos, fugiam, ou formavam quilombos para se refugiar.
O que eram os quilombos?;Refúgios de escravos fugidos, que podiam ser aldeias, vilarejos ou áreas fortificadas com muralhas e fosso, organizados social e politicamente.
Como os quilombos maiores se organizavam?;Tentavam reproduzir estruturas políticas e sociais africanas, apesar de serem formados por gente de várias origens.
Onde ficavam os quilombos próximos às cidades?;Em áreas de difícil acesso, algumas vezes colados a cidades, como no Rio de Janeiro e Salvador.
Que tipo de ações os quilombolas realizavam a partir de seus refúgios?;Assaltavam chácaras e casas grandes, roubavam roupas, alimentos e armas, raptavam mulheres e incitavam fugas de escravos.
Era comum a convivência pacífica entre quilombos e moradores?;Sim, muitas vezes havia comércio e convivência pacífica entre quilombos e populações próximas.
Como os quilombolas podiam ser confundidos nas grandes cidades?;Como vendedores negros ambulantes, similares aos escravos de ganho.
Como podia parecer o cais do Rio de Janeiro, Salvador ou Recife para quem chegasse?;Parecia a África, devido à grande quantidade de gente, embora a arquitetura repetisse a portuguesa.
Que elementos arquitetônicos das cidades brasileiras remetiam a Lisboa?;Igrejas, sobrados, moradas inteiras, meias-moradas, portas e janelas estreitas, gelosias e muxarabis.
O que eram gelosias e muxarabis e onde persistiam?;Elementos arquitetônicos que permitiam ventilação e sombra, comuns na arquitetura islâmica, presentes nas janelas mesmo após proibição.
Qual característica marcava os sobrados no Recife?;Podiam chegar a sete andares e ter fachadas cobertas de azulejos coloridos.
Como se apresentavam as casas das cidades brasileiras como Rio, Recife e São Luís?;Casas coladas umas às outras, desde casarões imponentes até pequenas casas simples.
Como as residências mais ricas eram abastecidas de água?;Por escravos que iam buscar água em bilhas nos chafarizes, fontes e riachos.
Como era feita a limpeza e o descarte de excrementos nas casas?;"Escravos recolhiam urina e fezes em tonéis (""tigres"") e despejavam no mar ou terrenos baldios."
Por que poucas pessoas saíam à noite nas cidades?;Medo de bandidos, ruas escuras e mal pavimentadas, e pouca iluminação pública.
Qual era o tipo de iluminação nas cidades?;Lamparinas, poucas lampiões de mecha embebida em azeite de baleia, que mal iluminavam.
Que tipo de casas ganhou prestígio com a expansão da corte no Rio?;Residências assobradas com jardins, inicialmente de estrangeiros e depois da nobreza e abastados.
Que comodidades rurais eram tentadas nas residências urbanas nobres?;Hortas, pomar, galinheiro, vaca para leite e bezerro em espaço murado.
Quem dominava as ruas das cidades brasileiras?;Os negros, livres ou escravos, que ocupavam espaços públicos vendendo, trabalhando e socializando.
Como os negros livres ou libertos buscavam se vestir?;Imitavam o modo europeu ou vestiam-se com roupas africanas, como gorros, camisolas e barretes iorubanos.
Como era o vestuário comum das crianças negras nas ruas?;Muitas vezes andavam nuas ou quase nuas, correndo pelas vielas e praças.
Qual a diversidade do traje das mulheres negras?;Variedade de tecidos e estilos, incluindo tecidos indianos, panos da costa africana e modelos europeus.
O que era o traje “baiana” e quem o usava?;Traje com turbante, saia rodada e blusa bufante, usado por negras livres e libertas para distinguir-se e marcar status, inspirado nas mulheres africanas signares.
Como era o comportamento das mulheres de posses ao andar pelas ruas em 1808?;Raramente andavam a pé, sempre acompanhadas por marido ou escravas, cobertas por mantilha e manto, e geralmente só para ir à igreja próxima.
Quais os meios de transporte usados pelas mulheres para sair de casa?;Cadeirinha, liteira, palanquim, carruagem ou sege.
Como a chegada da corte portuguesa ao Rio de Janeiro afetou os costumes femininos?;Mulheres começaram a sair mais, inclusive montadas a cavalo como d. Carlota Joaquina, e abandonaram o costume de se esconderem com mantos fechados.
Que influência tiveram os profissionais franceses da moda que vieram para o Rio?;Abertura de lojas de tecidos, modistas, cabeleireiros e chapeleiros que popularizaram as compras nas ruas e a ida ao teatro.
Qual era a reação inicial da sociedade às mudanças nos costumes femininos?;Muitos homens e mulheres viam com desconfiança e achavam falta de recato ou vergonha o comportamento mais livre das mulheres.
Que mudanças ocorreram na educação feminina no século XIX?;Surgiram escolas femininas com currículos mais amplos, dirigidas por professoras estrangeiras, permitindo o estudo fora de casa.
Como era a postura dos homens conservadores diante das novidades?;Mantinham suas mulheres e filhas fechadas em casa, permitindo saídas apenas para igrejas e poucos eventos sociais.
Em que locais os velhos costumes femininos demoraram mais a desaparecer?;Fora do Rio e em cidades como São Luís, Recife e Salvador, especialmente após 1831.
Qual traje ainda era aceito socialmente para mulheres que saíam de casa?;Véu cobrindo cabelos e rosto e capa ou manto que cobria dos ombros aos tornozelos.
Qual o papel das mulheres na modernização e europeização do Rio de Janeiro?;Foram responsáveis por difundir o afrancesamento e mudança de hábitos que influenciaram outras cidades brasileiras.
Como as regras de etiqueta à mesa começaram a mudar nas casas ricas?;"Reprovava-se levar a faca à boca ou amassar comida com os dedos; filhos e filhas eram rigorosamente repreendidos para usar garfo."
Qual a diferença de hábitos alimentares entre ricos e pobres?;Nas cidadezinhas e entre os pobres, continuava-se a comer com as mãos e muitas vezes sentado no chão sobre esteira.
Como os trajes femininos mudaram no Rio de Janeiro?;"Primeiro imitavam as nobres de Lisboa; depois seguiam as modas vindas de Paris."
Como se vestiam os homens da elite?;À inglesa, com roupas de lã pesada, anéis, condecorações e correntes grossas de ouro no colete.
Como eram mobiliadas as casas dos mais abastados no início do século XIX?;Com poucos móveis simples, depois substituídos por móveis franceses e ingleses, incluindo guarda-roupas, cortinas, espelhos e pianos.
Quais ruas do Rio mostraram mais claramente as transformações urbanas?;Rua do Ouvidor e Rua Direita, onde mercados de escravos foram retirados em 1824.
Onde continuava a haver concentração de negros, mestiços, ciganos e pobres brancos?;No Terreiro do Paço e Campo de Santana.
Até onde as mudanças de decoração e hábitos chegaram nas casas importantes?;Principalmente aos salões, salas de jantar e alcovas, raramente às áreas domésticas como quartos das crianças, cozinha e quintal, onde os costumes tradicionais persistiam.
Que tipos de culinária se serviam nos almoços e jantares de cerimônia?;Pratos requintados da culinária portuguesa e cada vez mais novidades francesas.
Quais ingredientes típicos da culinária cotidiana das classes médias conviviam na cozinha?;Óleo de oliva, azeite de dendê, leite de coco, pimentas, alho, coentros, cebola, couves, berinjelas, maxixes, carurus, pirão de mandioca, arroz, farofa, entre outros.
Como se dava a mistura das culinárias entre brancos e negros?;"Negros passaram a gostar de azeitona, queijos, linguiças e doces; brancos foram incorporando pratos ameríndios, africanos e mestiços como vatapá, moquém, mungunzá, acarajé."
Que papel tinham as babás e amas negras na formação cultural das crianças brancas?;Contavam histórias de origens variadas e influenciavam gostos alimentares e culturais desde a infância.
Por que o processo cultural brasileiro era mais complexo que apenas o encontro de portugueses, ameríndios e africanos?;Porque Portugal já tinha várias regiões culturais, havia muitas etnias indígenas diferentes e múltiplas culturas africanas.
Como se dava o contato cultural entre africanos das diversas regiões nas ruas brasileiras?;Havia troca de histórias, canções e costumes entre pessoas de diferentes grupos étnicos africanos, criando um ambiente crioulizado.
Que instrumentos musicais africanos foram adotados pelos negros no Brasil?;Violão, cavaquinho, pandeiro, agogô, reco-reco, aguê (piano de cuia).
Qual gênero musical surgiu da mistura cultural nas ruas?;O lundu, uma dança negra que entrou nos saraus com modinhas europeias.
Qual era a proporção aproximada de mestiços na população brasileira em 1872?;Cerca de 34,3% da população eram mestiços.
Em quais províncias os mestiços chegavam a mais da metade da população?;Piauí, Alagoas, Sergipe e Goiás.
Onde mulatos predominavam?;Nas províncias com grande número de escravos, como Bahia e Alagoas.
Onde caboclos e cafuzos eram maioria?;Em regiões com forte presença ameríndia, como Piauí, Ceará, Goiás, Pará e Mato Grosso.
Havia mestiços nas elites sociais?;Sim, inclusive na elite, onde muitos filhos de padres ou grandes proprietários com escravas estudavam na Europa e eram aceitos socialmente.
Como se chamava a dificuldade de distinguir brancos legítimos e pessoas de cor, segundo visitantes estrangeiros?;"Era ""difícil determinar o limite entre pessoas de cor e brancos legítimos""."
Qual o efeito dos diplomas europeus na aceitação social dos mestiços?;Amoleciam preconceitos e permitiam sua entrada nas camadas privilegiadas da sociedade.
Como era a diversidade linguística no Brasil do século XIX?;Havia várias línguas indígenas, africanas e europeias faladas, além do português.
Que idioma predominava como língua doméstica no Brasil após 1757?;O português, devido à proibição do ensino e uso público de outras línguas decretada pelo Marquês de Pombal.
Quais línguas africanas ainda podiam ser ouvidas em cidades brasileiras?;Quimbundo, iorubá e outras línguas africanas trazidas pelos escravos.
Como negros de diferentes grupos linguísticos comunicavam-se entre si?;Frequentemente em português, mesmo quando suas línguas nativas pertenciam à mesma família linguística.
Por que um congo conseguia entender um falante de quimbundo, mas não um bemba ou macua?;Porque, embora todas línguas bantas, havia diferenças linguísticas importantes, semelhantes às diferenças entre idiomas latinos como castelhano e romeno.
Como africanos de diferentes povos vizinhos conseguiam se comunicar?;Podiam entender-se numa das línguas maternas, numa terceira ou numa língua franca como mandinga, hauçá ou suaíli.
Qual era o papel das mulheres na comunicação multilíngue africana?;Um africano podia aprender várias línguas das diferentes mulheres do seu pai, que eram de nações distintas.
Em que língua um africano dirigia-se a brancos, caboclos, mulatos ou crioulos?;Em português.
Onde se dava a imposição do português como língua comum?;Nos engenhos, fazendas e cidades, especialmente nas ordens para o trabalho coletivo.
Como era o português falado no Brasil colonial?;Era quase o mesmo em todas as regiões, com diferenças leves de pronúncia e algumas expressões locais.
Como o português se modificou no Brasil?;Ganhou entonações, modificações sintáticas e incorporou vocabulário de línguas indígenas e africanas.
Cite algumas palavras de origem tupi incorporadas ao português brasileiro.;Cutucar, mingau, pereba, tipoia.
Cite algumas palavras de origem quimbundo incorporadas ao português brasileiro.;Cachimbo, cochilar, fungar, xingar.
Qual era a divisão social básica do Brasil colonial?;Entre homens livres (brancos) e escravos (negros).
A existência de negros livres alterava essa divisão social?;"Não; negros, mesmo livres ou donos de escravos, eram vistos como escravos até prova em contrário."
Como mulatos eram tratados socialmente?;"Se escuros, como negros; se claros, como brancos ou quase brancos."
Que papel tinham mulatos, cafuzos e mestiços no antagonismo social?;Funcionavam como amortecedores disfarçados entre brancos e negros livres/escravos.
Quais eram as principais divisões entre os brancos?;"Entre nascidos no Brasil e portugueses (""reinóis""), com rivalidade social e política."
