O que motivou a imigração europeia para o Brasil após 1888?;A abolição da escravidão e a necessidade de substituir a mão de obra no café.
Quais dificuldades enfrentavam já na viagem?;Exploração com sobretaxas, navios precários, brigas culturais e rivalidades nacionais.
Onde os imigrantes eram alojados em SP?;Muitas vezes em antigas senzalas adaptadas.
Como funcionava a lógica da imigração subsidiada?;Criava “subcidadãos”, dependentes dos fazendeiros, vistos como devedores e obrigados à lealdade.
Como os imigrantes reagiam à sua condição?;Resistiam com fugas, revoltas ou adaptando costumes locais.
Que hábitos os italianos trouxeram?;Polenta, linguiças, catolicismo devoto, banho semanal (“banho de gato”).
Que choque cultural havia entre imigrantes e brasileiros no banho?;"Italianos tomavam banho semanal; brasileiros diariamente; japoneses com “ofurô” coletivo."
Qual a maior dificuldade de adaptação dos japoneses?;Alimentação: não sabiam dessalgar bacalhau ou carne seca, e não comiam feijão e farinha.
Que papel tiveram negros e caboclos diante dos imigrantes?;Ensinavam técnicas locais de agricultura, construção e alimentação.
Como os imigrantes viam os nacionais?;Como “inferiores”, apesar de dependerem de seus saberes.
Quantos imigrantes retornavam à terra natal?;Estima-se que 37% a 40% entre italianos e portugueses.
O que aconteceu com ex-escravos que retornaram à África?;Foram chamados de “brasileiros”, convertendo-se em estrangeiros lá e aqui.
Quem ocupava o papel de curadores populares na falta de médicos?;Curandeiros, benzedeiras e ervanários, que misturavam saberes africanos, indígenas e europeus.
Quais eram os “três remédios milagrosos” populares?;Óleo de fígado de bacalhau (purificador), sal amargo (para estômago e constipações) e óleo de rícino (purgante).
Como se expressava a religiosidade popular entre imigrantes e nacionais?;Fé misturada, com orações, xamãs, ifás, rezas e uso de ervas.
O que aproximava imigrantes de diferentes origens?;A fé, que criava diálogos apesar de diferenças de língua e costumes.
O que aconteceu com a imigração a partir de 1930?;Diminuiu fortemente, com políticas restritivas nos EUA e depois no Brasil.
Qual justificativa Vargas deu para limitar a imigração em 1930?;O desemprego causado pela “afluência desordenada de imigrantes”.
Que marcas culturais os imigrantes deixaram em São Paulo?;Gastronomia variada (pizza, macarronada, kibe, sushi, chop-suey), sotaques misturados e devoções religiosas.
Quem foi Juó Bananère e o que representava?;Alexandre Marcondes Machado, que parodiava em dialeto ítalo-paulista, simbolizando a mistura cultural.
Como os indígenas foram tratados pela República?;Foram sistematicamente excluídos e vistos como obstáculos ao progresso.
Qual exemplo de violência contra indígenas no início da República?;O massacre dos caingangues para a construção da ferrovia Noroeste.
Quem defendia o extermínio indígena alegando “trilhos da civilização”?;Hermann von Ihering, diretor do Museu Paulista.
Quando ocorreu a resistência caingangue e seu fim?;"Iniciada em 1840, derrubada em 1912; paz só em 1911–1912 após quase extermínio."
Quem interveio no contato com indígenas no início do século XX?;O Serviço de Proteção ao Índio (SPI), dirigido por Cândido Rondon (1913–1914).
Qual foi a importância de Rondon?;Sertanista e militar, ligou regiões por linhas telegráficas e manteve contato respeitoso com povos indígenas.
O que gerou a corrida da borracha na Amazônia?;A valorização do látex entre final do século XIX e início do XX.
Quem migrou em massa para a Amazônia no ciclo da borracha?;Nordestinos fugindo da seca e da pobreza.
Qual era a questão central envolvendo indígenas no início do século XX?;Disputa pela terra — terras de aldeamentos e de frentes de expansão.
Quais eram as duas posturas debatidas em relação aos indígenas?;Extermínio dos “índios bravos” ou sua “civilização” e inclusão.
Como o positivismo influenciou a visão sobre os indígenas?;Passaram a ser vistos como infância da humanidade ou como degenerados fadados ao desaparecimento.
Qual metáfora simbolizava o progresso da época?;Os “trilhos da civilização” e a locomotiva como símbolo da modernidade.
Quais fatores explicam o fortalecimento dos profissionais liberais no início da República?;Crise do modelo agrário-exportador, expansão do setor público, imigração em massa, crescimento urbano e industrialização nascente.
O que foi a “substituição de importações” no período?;Produção local para suprir produtos antes importados, estimulando comércio, indústria, artesanato e profissões liberais.
Como evoluiu o setor terciário em 1920?;Representava 41,2% da população ocupada em cidades com mais de 20 mil habitantes (IBGE, 1920).
Qual o papel do Rio de Janeiro nesse processo?;Capital federal e entreposto comercial, reunindo funções políticas, administrativas e econômicas.
Como estava dividida a população do Rio segundo o Censo de 1906?;Produção de matéria-prima (25.755), transformação/indústria/comércio (201.361), administração/profissões liberais (44.493) e serviços domésticos/jornaleiros (540.014).
Qual crítica literária surgiu ao funcionalismo público?;Autores como Machado de Assis e Lima Barreto ironizavam a rotina burocrática, vista como medíocre, mas estável.
Como Lima Barreto descreveu o ofício de funcionário público?;Um trabalho calmo, repetitivo, sem sobressaltos, garantindo estabilidade e vida mediana.
Que fenômeno ocorreu em São Paulo nesse período?;Expansão da infraestrutura de serviços para o café e surgimento dos fazendeiros absenteístas, que passaram a viver nas cidades.
Qual mudança ocorreu em Pernambuco com o setor açucareiro?;Grandes usinas substituíram engenhos, expulsando pequenos proprietários para as cidades.
Que ambiguidade marcou o crescimento urbano?;As classes médias urbanas dependiam das oligarquias rurais, mas buscavam autonomia no comércio e na burocracia estatal.
Quem foram os novos protagonistas após a Primeira Guerra Mundial?;Classes médias urbanas, comerciantes, profissionais liberais e militares jovens (tenentes).
Que movimentos expressaram a insatisfação urbana?;Campanha Civilista (1909), protestos contra a carestia, rebeliões tenentistas (anos 1920) e Revolução de 1930.
O que representou a Revolução de 1930?;Ascensão da região Sul, fortalecimento das forças urbanas e contestação ao poder agrário.
Qual o limite do “civilismo” urbano?;Era mais um protesto contra o domínio rural que verdadeira autonomia das novas classes.
Que prática política continuou forte mesmo na República?;Coronelismo, personalismo e clientelismo, que limitavam participação e autonomia.
Qual modernização a jovem República trouxe?;Crescimento urbano, industrialização, imigração, novas formas de cidadania e instituições mais sólidas.
Que paradoxo marcou a época?;Progresso urbano convivia com práticas arcaicas de poder e privilégios concentrados.
Como Gilberto Freyre descreveu a coexistência de diferentes temporalidades?;O sertão e a cidade, culturas europeias, africanas e asiáticas conviviam no mesmo Brasil, em ritmos distintos.
Quando e onde foi publicado o manifesto fundador do movimento republicano no Brasil?;Em 3 de dezembro de 1870, no jornal A República, no Rio de Janeiro.
Quais ideias centrais estavam no manifesto republicano de 1870?;Democracia, federalismo, soberania do povo, liberdade individual e voto popular.
Qual era a principal crítica ao Império feita pelos republicanos?;O poder pessoal do imperador e a manipulação eleitoral via Poder Moderador.
O que o manifesto de 1870 omitiu?;A questão da escravidão, mesmo publicada pouco antes da Lei do Ventre Livre (1871).
Quem compunha o movimento republicano em São Paulo?;Fazendeiros, alguns escravistas, defensores do federalismo e ligados à expansão da cafeicultura.
Quando foi fundado o Partido Republicano Paulista?;Em 1873.
O que caracterizava a nova opinião pública no Rio a partir da década de 1870?;Crescimento de setores médios urbanos, imprensa crítica, cafés da Rua do Ouvidor e valorização do espaço público.
Qual era o papel da Escola Militar da Praia Vermelha?;Formava jovens engenheiros militares positivistas, defensores da República como soldados-cidadãos.
Quem foi José do Patrocínio?;Farmacêutico, jornalista, político, líder abolicionista, filho de liberta africana com padre, chefe político e dono da Gazeta da Tarde.
Como a campanha abolicionista mobilizou a sociedade?;Por meio de comícios, meetings, conferências, alianças pluriclassistas e redes de apoio a escravos fugidos.
Quando foi assinada a Lei Áurea e quais expectativas trouxe?;"Em 13 de maio de 1888; gerou esperança de reformas como federalismo, separação Igreja–Estado, meritocracia e fim de privilégios nobiliárquicos."
O que defendia André Rebouças após a abolição?;Concessão de terras aos libertos e democracia rural.
Quem foi Rui Barbosa antes de ser republicano?;Reformista monarquista do Partido Liberal, autor da 1ª Constituição republicana e ministro da Fazenda do governo provisório.
Quem eram os republicanos do “14 de Maio”?;Ex-senhores de escravos que se tornaram republicanos e exigiam indenização após a abolição.
O que foi a Guarda Negra?;Grupo formado por libertos monarquistas para defender a princesa Isabel e os direitos conquistados, apoiado por José do Patrocínio.
O que foi a “questão militar” de 1886–1887?;Crise entre oficiais do Exército e o governo imperial, envolvendo Cunha Matos, Sena Madureira e a exoneração de Deodoro da Fonseca.
Qual o papel de Benjamin Constant e da “mocidade militar”?;Reunir jovens oficiais republicanos e transformar a questão militar em plataforma para conspiração republicana.
Que episódio em 1889 precipitou o golpe republicano?;A demissão de um oficial pelo visconde de Ouro Preto e a chegada descontente de Deodoro ao Rio de Janeiro.
Como se deu o 15 de Novembro de 1889?;Deodoro, convencido por boatos de prisão contra ele e Benjamin Constant, liderou tropas no Campo de Santana, destituiu o gabinete e depois proclamou a República.
Qual foi a reação imediata à Proclamação da República?;"Nem grande resistência, nem entusiasmo popular; clima de mudança inevitável diante do desgaste da Monarquia."
Quem liderou o governo provisório após a Proclamação da República?;Deodoro da Fonseca, com participação de militares, republicanos históricos, intelectuais reformistas e membros do PRP.
Quais foram as primeiras medidas do governo provisório em 1889?;Proclamar a República Federativa, renomear o país para Estados Unidos do Brasil e transformar províncias em estados.
Qual foi o papel do Partido Republicano Paulista no novo regime?;Demandava federalismo, representando a principal força civil organizada no governo provisório.
Como se resolveu a tensão entre ditadura militar positivista e república constitucional?;Os constitucionalistas prevaleceram, implementando eleição de cidadãos alfabetizados e sufrágio limitado.
Que direitos foram garantidos no decreto de qualificação de eleitores?;Direito de votar a cidadãos brasileiros alfabetizados e no gozo dos direitos civis e políticos.
Quem implementou a separação entre Igreja e Estado antes da Constituinte?;Campos Sales, com projeto de Rui Barbosa e Demétrio Ribeiro.
Quais mudanças civis foram introduzidas antes da Constituição?;Casamento civil obrigatório, secularização dos cemitérios e registro civil regularizado.
Que elementos da Monarquia foram mantidos na República?;"Símbolos como cores da bandeira, hino nacional com nova letra e inclusão do lema positivista ""ordem e progresso""."
O que estabeleceu a Constituição de 1891?;Presidencialismo com mandato de quatro anos, federalismo com autonomia estadual, poderes legislativo e judiciário, e submissão das Forças Armadas ao governo eleito.
Como funcionava a autonomia financeira dos estados na República?;"Apenas estados exportadores detinham autonomia real; o governo federal concentrava rendas de importação."
Qual o papel das Forças Armadas na nova república?;Obediência ao governo eleito, mas com possibilidade de interpretar a lei para intervenções, segundo o princípio do soldado-cidadão.
Como a Proclamação da República mudou a participação popular?;Removido o Poder Moderador, eleições tornaram-se importantes, com destaque para manifestações urbanas das classes médias e trabalhadoras.
Quem tinha plenos direitos civis, mas sem políticos na nova república?;Mulheres, camponeses iletrados, imigrantes recentes e ex-escravos recém-libertos.
Quais dois modelos políticos se confrontaram na consolidação da República?;Liberal federalista e ditadura positivista.
Como a Constituição republicana limitou o eleitorado?;Mantendo alfabetização obrigatória, limitando a cidadania política a cerca de 2% da população inicial.
Qual era o efeito do voto aberto na República?;"Reforçava a participação do eleitor ""heroico"", mas limitava a eficácia do processo eleitoral na alternância de poder."
Como o poder real se manteve nas eleições republicanas?;Juntas apuradoras estaduais e parlamentares eleitos anteriormente controlavam reconhecimento de mandatos, limitando oposição e representação real.
Por que a experiência eleitoral republicana não regulou divergências políticas?;A cultura política antiga persistiu, com clientelismo e controle local, impedindo rotatividade real do poder.
O que caracterizava o jacobinismo na Primeira República?;Radicalismo popular com conotações xenófobas (antiportuguesa), agenda social e aliado à tutela militar.
Como o emprego público foi utilizado politicamente no início da República?;Tornou-se moeda política urbana, associando clientelismo e radicalismo popular.
O que Deodoro tentou fazer após ser confirmado presidente em 1891?;Interveio nos estados, colocou aliados no poder e tentou dissolver o Legislativo para instalar uma ditadura, sendo deposto.
Como Floriano Peixoto agiu ao assumir a presidência?;"Repetiu a intervenção nos estados, demitiu funcionários ""deodoristas"" e apoiou novos executivos estaduais na dissolução de assembleias e tribunais."
O que a Constituição previa em caso de vacância presidencial antes de dois anos?;Novas eleições, criando dúvida sobre a legalidade da presidência de Floriano.
Quais revoltas marcaram o período de Floriano Peixoto?;Revoltas de sub-oficiais e marinheiros leais a Deodoro e a Revolução Federalista no Rio Grande do Sul.
Quem apoiou a repressão de Floriano Peixoto?;Partido Republicano Paulista (PRP), fornecendo respaldo político e militar.
Que medidas de repressão foram aplicadas contra intelectuais e opositores?;Desterramento de José do Patrocínio e Pardal Mallet, prisão de Olavo Bilac e negativa de habeas corpus por Rui Barbosa.
Quem participou da Revolução Federalista?;Republicanos liberais (Assis Brasil), positivistas (Júlio de Castilhos, Pinheiro Machado) e liberais parlamentaristas (Gaspar Silveira Martins).
Como se caracterizou a guerra civil na Primeira República?;"Uso de exércitos privados, confrontos violentos, degolas comuns e fuzilamentos de oficiais; mescla de práticas coronelísticas e ideológicas."
Qual foi a ação de Floriano Peixoto durante a guerra civil?;Apoio federal a Júlio de Castilhos, repressão às revoltas e contratação de mercenários para derrotar a Revolta da Armada.
Como o PRP influenciou as eleições de 1894?;Criou o Partido Republicano Federal (PRF) para sustentar o governo e preparar a eleição de Prudente de Morais, conquistando a presidência, Senado e Câmara.
Quais medidas Prudente de Morais adotou para conter o jacobinismo?;Demissões em massa no serviço público, dissolução de batalhões patrióticos, exoneração de oficiais militares e controle das manifestações populares.
Como o jacobinismo se manifestava nas ruas do Rio de Janeiro?;Protestos sociais envolvendo oficiais de baixa patente, discursos contra carestia, aluguel, alimentos e xenofobia contra portugueses.
Qual foi a política de Prudente com o Ministério da Guerra e os federalistas?;Colocou um paulista antiflorianista, reduziu gradualmente efetivos militares de terra e negociou a paz com federalistas no Rio Grande do Sul.
Qual impacto teve a morte de Floriano em 1895?;Retirou a ameaça de caudilhismo florianista, diminuindo a pressão militar e popular radicalizada.
Que evento reforçou a percepção de instabilidade durante o governo de Prudente?;A derrota da terceira expedição do Exército na Guerra de Canudos, vista como rebelião monarquista.
que ocorreu nas ruas do Rio de Janeiro após a morte de Moreira César?;Explosão jacobina com assassinato de Gentil de Castro por majores e tenentes.
Quem atentou contra Prudente de Morais e qual foi o resultado?;"Marcelino Bispo de Melo tentou disparar um revólver; não conseguiu, mas matou o marechal Carlos Machado Bittencourt em luta corporal."
Como a notícia de Canudos influenciou a política no Rio de Janeiro?;Reverteu o clima de radicalização e contribuiu para o recuo do jacobinismo florianista.
Qual papel desempenhou Eduardo das Neves (Crioulo Dudu)?;Cantor de lundus que registrou o clima político e a força do jacobinismo em suas letras populares.
Que medida Prudente de Morais adotou para controlar o jacobinismo nas ruas?;Governou diretamente com apoio das bancadas estaduais, demitindo oficiais e dissolvendo batalhões patrióticos.
Quem foi eleito presidente em 1898 e como se deu sua escolha?;"Campos Sales, eleito com apoio das oligarquias estaduais, consolidando a chamada ""política dos estados""."
"Qual era o objetivo da ""política dos estados""?";Congelar o poder das oligarquias estaduais e controlar sucessões presidenciais com o apoio das principais forças estaduais.
Que mudança Campos Sales promoveu na Câmara dos Deputados?;O presidente da Câmara passou a ser o mesmo da legislatura anterior, permitindo controlar a verificação dos poderes e as disputas eleitorais.
O que representava a política do café com leite?;Alternância no poder entre São Paulo (café) e Minas Gerais (leite), refletindo o domínio das oligarquias estaduais.
Como se distribuíam os atores políticos privilegiados na sucessão presidencial?;Governadores de grandes e médios estados, parlamentares influentes, presidente da República e ministros, cerca de 24 pessoas.
