A microeconomia estuda o comportamento agregado da economia.;❌ Errado. A microeconomia estuda agentes individuais, como consumidores e empresas.
A oferta é influenciada apenas pelo preço do bem.;❌ Errado. A oferta também é influenciada por fatores como custos de produção, tecnologia e preços dos insumos.
Os fatores de produção incluem terra, trabalho, capital e empreendedorismo.;✅ Certo. Esses são os quatro principais fatores de produção.
O capital inclui apenas dinheiro.;❌ Errado. O capital inclui máquinas, equipamentos, instalações e outros bens usados na produção, além do dinheiro.
O trabalho é um fator de produção que envolve apenas esforço físico.;❌ Errado. O trabalho inclui tanto esforço físico quanto intelectual.
O empreendedorismo é um fator de produção que envolve riscos e organização dos recursos produtivos.;✅ Certo. O empreendedor organiza os fatores de produção e assume riscos para obter lucro.
A função de produção mostra como os insumos são transformados em produtos.;✅ Certo. Ela descreve a relação entre os fatores de produção utilizados e a quantidade produzida.
O produto total (PT) mede a quantidade total de bens produzidos.;✅ Certo. O PT representa a produção total da empresa.
O produto marginal (PM) mede a produção total dividida pelo número de insumos utilizados.;❌ Errado. O PM mede a variação no produto total ao adicionar uma unidade extra de um fator de produção.
O produto médio (PMe) é a quantidade total produzida por unidade de um fator de produção.;✅ Certo. O PMe é calculado dividindo o produto total pelo número de unidades do fator de produção.
A lei dos rendimentos decrescentes afirma que aumentar um insumo sempre aumenta a produção na mesma proporção.;❌ Errado. Após um certo ponto, o aumento de um insumo gera aumentos menores no produto total.
Se a produtividade marginal for negativa, o produto total ainda continuará aumentando.;❌ Errado. Quando a produtividade marginal é negativa, o produto total começa a diminuir.
O produto marginal pode ser maior que o produto médio.;✅ Certo. No início do processo produtivo, o produto marginal pode ser maior que o produto médio, aumentando sua produtividade.
O custo de produção influencia a oferta de um bem.;✅ Certo. Se os custos aumentam, a oferta pode diminuir.
A tecnologia não afeta a função de produção.;❌ Errado. O avanço tecnológico pode aumentar a produtividade e alterar a função de produção.
Se o preço de um insumo aumentar, a oferta do bem produzido com esse insumo pode diminuir.;✅ Certo. Um aumento no custo de produção pode reduzir a oferta.
O efeito substituição ocorre quando o consumidor troca um bem por outro mais barato.;✅ Certo. Esse efeito acontece quando o preço de um bem aumenta e os consumidores buscam alternativas mais baratas.
A elasticidade-preço da oferta mede a sensibilidade da quantidade ofertada à mudança no preço do bem.;✅ Certo. A elasticidade da oferta indica o quanto a quantidade ofertada muda quando o preço do bem varia.
A elasticidade-preço da oferta pode ser negativa.;❌ Errado. A elasticidade da oferta é geralmente positiva, pois um aumento no preço tende a aumentar a quantidade ofertada.
A elasticidade-preço da oferta mede a variação da demanda em relação ao preço.;❌ Errado. A elasticidade-preço da oferta mede a variação da quantidade ofertada em resposta à variação no preço do bem.
Se a elasticidade-preço da oferta for maior que 1, a oferta é considerada elástica.;✅ Certo. Isso significa que pequenas variações no preço resultam em grandes mudanças na quantidade ofertada.
Quando a elasticidade-preço da oferta é menor que 1, a oferta é unitária.;❌ Errado. Quando é menor que 1, a oferta é inelástica, ou seja, responde pouco a mudanças no preço.
No longo prazo, a elasticidade da oferta tende a ser maior do que no curto prazo.;✅ Certo. No longo prazo, as empresas podem ajustar sua produção, tornando a oferta mais elástica.
A elasticidade da oferta pode ser influenciada pelo armazenamento dos produtos.;✅ Certo. Produtos que podem ser armazenados têm oferta mais elástica, pois os produtores podem esperar para vender a preços melhores.
Empresas com capacidade ociosa têm uma oferta mais inelástica.;❌ Errado. Se uma empresa tem capacidade ociosa, pode aumentar a produção rapidamente, tornando a oferta mais elástica.
Em mercados de concorrência perfeita, as empresas podem influenciar os preços.;"❌ Errado. Em concorrência perfeita, as empresas são ""tomadoras de preço"" (price takers) e aceitam o preço do mercado."
Na concorrência perfeita, os produtos são homogêneos.;✅ Certo. Todos os produtos são idênticos, sem diferenciação entre os ofertados por diferentes empresas.
Em concorrência perfeita, há barreiras de entrada para novas empresas.;❌ Errado. Não há barreiras de entrada ou saída nesse tipo de mercado.
No monopólio, a empresa tem controle total sobre o preço do produto.;✅ Certo. Como não há concorrência, o monopolista pode definir os preços.
No monopólio, há vários concorrentes disputando o mercado.;❌ Errado. O monopólio é caracterizado pela ausência de concorrência.
Barreiras legais podem criar monopólios.;✅ Certo. Patentes, regulamentações e concessões governamentais podem impedir a entrada de novos concorrentes.
Um monopólio sempre gera benefícios para os consumidores.;❌ Errado. Monopólios podem limitar a oferta e cobrar preços mais altos, prejudicando os consumidores.
No monopólio, o consumidor pode escolher entre vários fornecedores.;❌ Errado. O monopólio é caracterizado por um único fornecedor no mercado.
No oligopólio, há muitas empresas e concorrência intensa.;❌ Errado. No oligopólio, há poucas empresas dominando o mercado, podendo haver concorrência ou cooperação entre elas.
O oligopólio pode levar a práticas como formação de cartéis.;✅ Certo. Algumas empresas em oligopólios podem coordenar preços e produção para maximizar lucros, prejudicando a concorrência.
A concorrência perfeita existe amplamente no mundo real.;"❌ Errado. É um modelo teórico; poucos mercados reais possuem todas as suas características."
O setor agrícola pode ser um exemplo aproximado de concorrência perfeita.;✅ Certo. Embora não seja totalmente perfeito, mercados como os de trigo e soja se aproximam desse modelo.
No monopólio, não há substitutos próximos para o produto oferecido.;✅ Certo. Isso permite que o monopolista tenha controle sobre o preço.
Em um mercado competitivo, as empresas podem facilmente entrar e sair do setor.;✅ Certo. A livre entrada e saída de empresas é uma característica da concorrência perfeita.
No oligopólio, uma empresa pode influenciar as demais ao mudar seus preços.;✅ Certo. Como há poucas empresas, uma mudança de preço em uma delas pode afetar o comportamento das outras.
No longo prazo, um mercado monopolista tende a se tornar competitivo naturalmente.;❌ Errado. Barreiras de entrada podem impedir a competição, mantendo o monopólio.
Empresas monopolistas sempre cobram preços justos aos consumidores.;❌ Errado. Sem concorrência, um monopolista pode cobrar preços mais altos do que em mercados competitivos.
No curto prazo, a elasticidade da oferta geralmente é menor do que no longo prazo.;✅ Certo. As empresas não conseguem ajustar a produção rapidamente no curto prazo.
Produtos que podem ser estocados tendem a ter oferta mais inelástica.;❌ Errado. Quando um produto pode ser armazenado, sua oferta é mais elástica, pois os produtores podem escolher quando vender.
Oligopólios podem ser mais competitivos do que monopólios.;✅ Certo. Algumas formas de oligopólio possuem concorrência intensa, enquanto outras tendem a cartelizar o mercado.
Na concorrência perfeita, os consumidores têm informações imperfeitas sobre o mercado.;❌ Errado. Um dos pressupostos da concorrência perfeita é a informação perfeita para todos os agentes.
No monopólio, o preço do bem é determinado pela interação entre muitas empresas.;❌ Errado. O monopolista define o preço do bem, já que não há concorrência.
O tempo de ajuste da produção não influencia a elasticidade da oferta.;❌ Errado. No longo prazo, a elasticidade da oferta tende a ser maior, pois as empresas conseguem ajustar melhor sua produção.
O oligopólio é um mercado com muitas empresas competindo livremente.;❌ Errado. O oligopólio é caracterizado por poucas empresas que dominam a oferta no mercado.
No oligopólio, as empresas podem ter produtos homogêneos ou diferenciados.;✅ Certo. Alguns oligopólios oferecem produtos homogêneos (como aço), enquanto outros oferecem produtos diferenciados (como automóveis).
No oligopólio, as decisões de uma empresa não afetam as outras.;❌ Errado. Existe interdependência estratégica, ou seja, as decisões de uma empresa afetam diretamente as outras.
Barreiras de entrada no oligopólio são inexistentes.;❌ Errado. Oligopólios possuem barreiras de entrada moderadas a altas, como altos custos de produção ou domínio tecnológico.
A macroeconomia estuda o comportamento da economia como um todo.;✅ Certo. Ela analisa grandes agregados, como inflação, renda e emprego.
A microeconomia analisa apenas o setor público.;❌ Errado. A microeconomia estuda o comportamento individual de consumidores e empresas, independentemente do setor.
A contabilidade nacional mede as atividades econômicas de um país.;✅ Certo. Ela quantifica produção, renda e consumo na economia.
O Produto Interno Bruto (PIB) pode ser calculado de três formas.;✅ Certo. Pode ser pela ótica da produção, da renda ou da despesa.
A ótica da produção no cálculo do PIB soma apenas bens intermediários.;❌ Errado. Para evitar dupla contagem, são somados apenas os bens e serviços finais.
A ótica da renda soma os rendimentos gerados na produção.;✅ Certo. Inclui salários, lucros, aluguéis e outros rendimentos.
A ótica da despesa soma os gastos em bens e serviços finais.;✅ Certo. Inclui consumo, investimentos, gastos do governo e exportações líquidas.
A renda nacional inclui apenas os salários pagos aos trabalhadores.;❌ Errado. Inclui salários, lucros, juros, aluguéis e outros rendimentos.
A renda pessoal inclui transferências do governo, como aposentadorias.;✅ Certo. Transferências governamentais fazem parte da renda pessoal.
A renda disponível é a renda pessoal antes do pagamento de impostos.;❌ Errado. A renda disponível é a renda pessoal menos os impostos pagos.
O PIB mede apenas a produção de bens físicos, como carros e alimentos.;❌ Errado. O PIB inclui bens e serviços, como educação e saúde.
O PIB per capita é o PIB total dividido pela população.;✅ Certo. Ele representa a média de renda por habitante em um país.
O PIB Nominal é corrigido pela inflação.;❌ Errado. O PIB Real é o que considera a inflação, enquanto o PIB Nominal é calculado a preços correntes.
Em um oligopólio, todas as empresas sempre cooperam entre si.;❌ Errado. Algumas podem competir fortemente, enquanto outras podem formar cartéis.
Oligopólios podem praticar guerra de preços para atrair clientes.;✅ Certo. Reduzir preços pode ser uma estratégia para conquistar mercado.
A economia de um país pode crescer sem aumento no PIB.;❌ Errado. O crescimento econômico geralmente é medido pelo aumento do PIB.
O PIB inclui apenas a produção realizada dentro do território do país.;✅ Certo. O PIB mede a produção dentro das fronteiras do país, independentemente da nacionalidade dos produtores.
A renda nacional soma todos os rendimentos recebidos pelos residentes do país.;✅ Certo. Inclui salários, lucros e rendimentos de propriedade.
O PIB considera atividades ilegais e informais.;❌ Errado. O PIB não inclui atividades ilegais ou informais que não são registradas oficialmente.
O PIB mede o bem-estar da população de um país.;❌ Errado. O PIB mede a produção econômica, mas não reflete necessariamente o bem-estar da população.
Países com PIB elevado sempre têm alto padrão de vida.;❌ Errado. Um PIB elevado pode estar mal distribuído, resultando em desigualdade social.
No oligopólio, as empresas tomam decisões de forma isolada, sem considerar as concorrentes.;❌ Errado. Como há interdependência estratégica, cada empresa precisa considerar a reação das concorrentes.
A concorrência no oligopólio pode resultar em inovação tecnológica.;✅ Certo. Algumas empresas investem em tecnologia para se destacar no mercado.
Barreiras naturais, como acesso a recursos escassos, podem favorecer a formação de oligopólios.;✅ Certo. Empresas que controlam recursos raros podem impedir a entrada de novos concorrentes.
Um aumento no PIB significa que toda a população está mais rica.;❌ Errado. O PIB pode crescer, mas a riqueza pode não ser distribuída igualmente.
O produto e a renda são fluxos econômicos distintos e não possuem relação entre si.;"❌ Errado. O produto representa a geração de bens e serviços, enquanto a renda é o pagamento recebido pelos fatores de produção; em um sistema fechado, são equivalentes."
Em uma economia fechada sem governo e comércio exterior, o valor do produto é igual ao valor da renda.;✅ Certo. Como toda produção gera renda, esses valores são equivalentes nesse cenário.
A teoria clássica afirma que os mercados se autorregulam e sempre atingem o equilíbrio.;✅ Certo. Os clássicos acreditavam que preços, salários e juros ajustam-se automaticamente.
Segundo a teoria clássica, o governo deve intervir ativamente na economia para corrigir falhas de mercado.;❌ Errado. Os economistas clássicos defendiam a mínima intervenção estatal, pois acreditavam no ajuste automático do mercado.
A teoria clássica considera que o desemprego pode ser permanente e estrutural.;❌ Errado. Para os clássicos, o desemprego era apenas transitório ou voluntário, pois o mercado ajustaria salários para equilibrar a oferta e a demanda de trabalho.
A Lei de Say afirma que a demanda cria sua própria oferta.;"❌ Errado. A Lei de Say afirma que ""a oferta cria sua própria demanda"", ou seja, toda produção gera renda suficiente para consumir o que foi produzido."
Para os economistas clássicos, o desemprego involuntário pode persistir no longo prazo.;❌ Errado. Segundo os clássicos, o desemprego involuntário não existe no longo prazo, pois o mercado ajustaria salários até alcançar o pleno emprego.
A teoria clássica ignora a possibilidade de crises econômicas prolongadas.;✅ Certo. Os clássicos acreditavam no ajuste automático do mercado, não prevendo crises prolongadas como a Grande Depressão.
Na teoria clássica, o mercado de trabalho ajusta-se rapidamente devido à flexibilidade dos salários.;✅ Certo. Para os clássicos, os salários caem quando há desemprego, estimulando a contratação de trabalhadores.
A Grande Depressão confirmou a validade total da teoria clássica.;❌ Errado. A crise de 1929 desafiou a teoria clássica, pois o mercado não conseguiu se autorregular rapidamente, levando à ascensão do pensamento keynesiano.
Keynes concordava com a Lei de Say.;❌ Errado. Keynes rejeitava a Lei de Say, argumentando que a demanda agregada poderia ser insuficiente para garantir o pleno emprego.
Segundo Keynes, a economia pode operar abaixo do pleno emprego no longo prazo.;✅ Certo. Keynes defendia que choques de demanda poderiam manter a economia com desemprego involuntário por longos períodos.
A teoria clássica e a keynesiana têm a mesma visão sobre o papel do Estado na economia.;❌ Errado. Os clássicos defendem mínima intervenção estatal, enquanto Keynes propunha que o governo deveria estimular a demanda agregada em momentos de crise.
Para os economistas clássicos, o investimento depende exclusivamente da taxa de juros.;✅ Certo. Os clássicos acreditavam que a taxa de juros equilibrava a poupança e o investimento.
Keynes defendia que o investimento era influenciado pela expectativa dos empresários, e não apenas pela taxa de juros.;✅ Certo. Para Keynes, o investimento dependia das expectativas futuras de lucro, além dos juros.
Segundo Keynes, políticas fiscais expansionistas podem estimular a economia em momentos de crise.;✅ Certo. Keynes defendia o aumento dos gastos públicos para impulsionar a demanda agregada e reduzir o desemprego.
No modelo clássico, a poupança sempre se iguala ao investimento automaticamente.;✅ Certo. Para os clássicos, a taxa de juros ajustaria a poupança ao investimento.
Keynes argumentava que a poupança poderia ser maior que o investimento, reduzindo a demanda agregada.;✅ Certo. Segundo Keynes, se a poupança for muito alta e o investimento baixo, pode haver recessão e desemprego.
A teoria clássica explica bem as crises econômicas de curto prazo.;❌ Errado. A teoria clássica foca no longo prazo e não considera adequadamente crises de curto prazo.
Keynes defendia o uso da política monetária como principal ferramenta de estímulo econômico.;❌ Errado. Embora reconhecesse a política monetária, Keynes enfatizava mais a política fiscal para estimular a demanda agregada.
A teoria clássica acredita que choques de demanda são a principal causa do desemprego.;❌ Errado. Para os clássicos, o desemprego ocorre devido a rigidez nos salários, e não por falta de demanda.
Keynes defendia que o governo deveria reduzir gastos públicos em períodos de recessão.;❌ Errado. Keynes defendia o aumento dos gastos públicos em recessões para estimular a demanda.
A teoria clássica foi dominante até a Revolução Industrial.;❌ Errado. A teoria clássica predominou até a Grande Depressão de 1929.
Keynes acreditava que as expectativas dos agentes econômicos influenciavam diretamente a economia.;✅ Certo. Para Keynes, o otimismo ou pessimismo dos empresários influenciava o investimento e o crescimento econômico.
Segundo Keynes, o consumo depende apenas da renda presente das pessoas.;❌ Errado. O consumo depende da renda presente, mas também de expectativas futuras e da propensão marginal a consumir.
A teoria clássica é baseada na ideia de que o mercado de trabalho é sempre eficiente.;✅ Certo. Os clássicos acreditavam que o mercado de trabalho ajustava salários para garantir pleno emprego.
A economia keynesiana enfatiza o curto prazo, enquanto a clássica enfatiza o longo prazo.;✅ Certo. Keynes focava nas flutuações de curto prazo, enquanto os clássicos enfatizavam ajustes de longo prazo.
Segundo os economistas clássicos, a inflação não pode ocorrer em uma economia de pleno emprego.;❌ Errado. A inflação pode ocorrer em pleno emprego caso haja excesso de oferta monetária ou choques de custo.
Keynes defendia que o desemprego involuntário poderia ser resolvido apenas por ajustes nos salários.;❌ Errado. Para Keynes, ajustes nos salários não garantiam o fim do desemprego, pois a demanda agregada poderia ser insuficiente.
A Lei de Say foi um dos principais pontos criticados por Keynes em sua Teoria Geral.;✅ Certo. Keynes argumentava que a produção não garantia automaticamente a demanda, podendo haver crises de superprodução.
Keynes defendia que a economia sempre tende ao pleno emprego no longo prazo.;❌ Errado. Keynes argumentava que o desemprego involuntário poderia persistir sem intervenção do governo.
A demanda agregada é a soma do consumo, investimento, gastos do governo e exportações líquidas.;✅ Certo. A demanda agregada (DA) é composta por C + I + G + XN.
Para Keynes, a rigidez dos salários impede que o mercado de trabalho se ajuste automaticamente.;✅ Certo. Ele argumentava que os salários não caem facilmente, resultando em desemprego involuntário.
A Lei de Say foi amplamente aceita por Keynes em sua teoria econômica.;❌ Errado. Keynes rejeitou a Lei de Say, pois acreditava que a produção não cria automaticamente sua própria demanda.
O governo deve intervir na economia apenas em casos de inflação alta.;❌ Errado. Segundo Keynes, o governo deve intervir principalmente em períodos de recessão para estimular a demanda.
A política fiscal pode ser usada para estimular a economia em momentos de crise.;✅ Certo. Keynes defendia o aumento dos gastos públicos e a redução de impostos para estimular a demanda.
A curva de oferta agregada de curto prazo é sempre vertical.;❌ Errado. No curto prazo, a curva de OA tem inclinação positiva, pois as empresas aumentam a produção com preços mais altos.
A demanda agregada pode ser reduzida pelo aumento dos impostos.;✅ Certo. O aumento dos impostos reduz a renda disponível das famílias, diminuindo o consumo e a demanda agregada.
O investimento depende apenas da taxa de juros, segundo Keynes.;❌ Errado. Keynes argumentava que o investimento também depende das expectativas dos empresários sobre o futuro.
Gastos do governo fazem parte da demanda agregada.;✅ Certo. O gasto público (G) é um dos componentes da demanda agregada (DA = C + I + G + XN).
A política monetária keynesiana sugere que a redução da taxa de juros pode estimular investimentos.;✅ Certo. Taxas de juros mais baixas tornam o crédito mais barato, incentivando investimentos.
No longo prazo, a curva de oferta agregada é vertical.;✅ Certo. No longo prazo, a produção depende dos fatores produtivos disponíveis e não do nível de preços.
O consumo das famílias é irrelevante para a demanda agregada.;❌ Errado. O consumo das famílias (C) é um dos principais componentes da demanda agregada.
Uma recessão ocorre quando a demanda agregada é insuficiente.;✅ Certo. Se a DA for baixa, a produção e o emprego também diminuem, causando recessão.
Para Keynes, o desemprego involuntário não existe.;❌ Errado. Keynes destacou que o desemprego involuntário ocorre quando não há demanda suficiente para justificar novas contratações.
A política fiscal contracionista é recomendada para estimular o crescimento econômico.;❌ Errado. A política fiscal contracionista (redução de gastos e aumento de impostos) reduz a demanda agregada, podendo levar à recessão.
Exportações líquidas negativas reduzem a demanda agregada.;✅ Certo. Se XN (exportações menos importações) for negativo, há mais importações do que exportações, reduzindo a DA.
A intervenção governamental pode ajudar a recuperar a economia de uma recessão.;✅ Certo. Keynes defendia o aumento dos gastos públicos e outras medidas para estimular a demanda agregada.
A curva de oferta agregada de longo prazo depende do nível de preços.;❌ Errado. No longo prazo, a OA é vertical e determinada pelos fatores produtivos, não pelos preços.
O aumento dos custos de produção desloca a curva de oferta agregada para a direita.;❌ Errado. O aumento dos custos de produção reduz a oferta agregada, deslocando a curva para a esquerda.
A inflação pode ser causada tanto pelo aumento da demanda agregada quanto por choques de oferta.;✅ Certo. Inflação pode ocorrer por excesso de demanda ou aumento nos custos de produção.
Keynes defendia que o governo sempre deveria manter gastos públicos altos, independentemente da situação econômica.;❌ Errado. Ele defendia gastos elevados em recessões, mas não quando a economia estivesse aquecida.
A poupança sempre se transforma automaticamente em investimento, segundo Keynes.;❌ Errado. Keynes argumentava que a poupança pode não ser investida, reduzindo a demanda agregada.
O investimento privado pode ser estimulado por políticas monetárias expansionistas.;✅ Certo. Reduzir taxas de juros incentiva o crédito e o investimento.
O desemprego involuntário pode ser combatido com estímulo à demanda agregada.;✅ Certo. Se o governo aumentar a DA, mais trabalhadores serão contratados para atender à nova demanda.
Keynes concordava que a economia sempre retornaria ao equilíbrio de pleno emprego rapidamente.;❌ Errado. Keynes argumentava que desequilíbrios podiam persistir por longos períodos.
O consumo e o investimento são os únicos componentes da demanda agregada.;❌ Errado. A DA também inclui gastos do governo e exportações líquidas.
A política fiscal expansionista pode levar ao aumento da dívida pública.;✅ Certo. Gastos públicos elevados podem gerar déficits e aumentar a dívida do governo.
Se a demanda agregada aumentar muito rapidamente, pode haver inflação.;✅ Certo. Um crescimento excessivo da DA pode gerar pressão sobre os preços.
A teoria keynesiana é mais focada no curto prazo do que a teoria clássica.;✅ Certo. Keynes enfatizava o curto prazo e as flutuações econômicas.
O PIB mede apenas a produção de bens, excluindo serviços.;❌ Errado. O PIB inclui tanto bens quanto serviços produzidos dentro do país.
O PIB pode ser medido pelas óticas da produção, da renda e da despesa.;✅ Certo. As três abordagens levam ao mesmo resultado para o PIB.
O Produto Nacional Bruto (PNB) considera apenas a produção dentro do território nacional.;❌ Errado. O PNB inclui a produção dos residentes de um país, independentemente da localização.
O PIB pelo lado da produção é sempre diferente do PIB pelo lado da despesa.;❌ Errado. Por definição, todas as óticas do PIB resultam no mesmo valor.
Se um país tem mais renda recebida do exterior do que enviada, seu PNB será maior que o PIB.;✅ Certo. O PNB é o PIB somado às rendas líquidas do exterior.
A Renda Nacional considera a depreciação e os impostos indiretos.;❌ Errado. A RN é obtida descontando-se a depreciação e os impostos indiretos do PNB.
A Renda Disponível das famílias pode ser aumentada por transferências governamentais.;✅ Certo. Transferências como aposentadorias e subsídios aumentam a RD.
O Balanço de Pagamentos registra as transações econômicas entre um país e o resto do mundo.;✅ Certo. Ele é composto pela Conta Corrente, Conta Capital e Financeira e Erros e Omissões.
A Balança Comercial faz parte da Conta Capital e Financeira.;❌ Errado. A Balança Comercial pertence à Conta Corrente.
Se um país exporta mais do que importa, ele tem um superávit na balança comercial.;✅ Certo. Superávit ocorre quando as exportações superam as importações.
A Conta Corrente inclui apenas transações de bens e serviços.;❌ Errado. Também inclui rendas primárias e secundárias.
A Conta Capital e Financeira registra investimentos estrangeiros diretos e em carteira.;✅ Certo. Ela inclui fluxos de capitais como investimentos e empréstimos.
Erros e Omissões são usados para ajustar discrepâncias nos registros do Balanço de Pagamentos.;✅ Certo. Essa conta equilibra inconsistências nos dados.
Se um país tem um déficit em conta corrente, necessariamente tem um déficit no balanço de pagamentos.;❌ Errado. O déficit pode ser compensado por superávit na Conta Capital e Financeira.
Se um país recebe mais investimentos estrangeiros do que investe no exterior, sua Conta Financeira tem superávit.;✅ Certo. A entrada líquida de capitais gera superávit na Conta Financeira.
A variação nas reservas internacionais não influencia o balanço de pagamentos.;❌ Errado. A variação nas reservas é usada para equilibrar o Balanço de Pagamentos.
Um superávit constante na conta corrente pode indicar baixa absorção interna.;✅ Certo. Isso pode refletir baixo consumo e investimento doméstico.
Déficits prolongados na conta corrente podem indicar dependência externa.;✅ Certo. Um país que importa mais do que exporta pode se tornar dependente de capital estrangeiro.
