nome,categoria,exemplos,dificuldade,dica
"Oração subordinada substantiva objetiva direta","Sintaxe - Orações","Quero que você venha.|Ele disse que viria.|Espero que tudo dê certo.","3","Funciona como objeto direto da oração principal — sem preposição antes do que"
"Oração subordinada substantiva objetiva indireta","Sintaxe - Orações","Preciso de que me ajudem.|Lembrei-me de que havia compromisso.|Insistiram em que ficássemos.","4","Funciona como objeto indireto — vem precedida de preposição"
"Oração subordinada adjetiva restritiva","Sintaxe - Orações","O aluno que estudou passou.|Os carros que poluem devem ser proibidos.|Pessoas que mentem perdem credibilidade.","3","Restringe o sentido do antecedente — sem vírgula, essencial ao sentido da frase"
"Oração subordinada adjetiva explicativa","Sintaxe - Orações","Os alunos, que estudaram muito, passaram.|O sol, que nasce a leste, ilumina tudo.|Machado de Assis, que foi genial, escreveu Dom Casmurro.","3","Apenas acrescenta informação — separada por vírgulas, prescindível ao sentido"
"Oração subordinada adverbial causal","Sintaxe - Orações","Ficou em casa porque estava doente.|Como havia estudado, passou na prova.|Visto que chegou tarde, perdeu a aula.","3","Indica a causa da ação principal — conjunções: porque, pois, como, já que, visto que"
"Oração subordinada adverbial concessiva","Sintaxe - Orações","Embora estudasse, não passou.|Ainda que chovesse, sairia.|Mesmo que tente, não conseguirá.","4","Admite fato contrário ao esperado — conjunções: embora, ainda que, mesmo que, apesar de"
"Oração subordinada adverbial condicional","Sintaxe - Orações","Se você estudar, passará.|Caso chova, cancelamos.|Desde que se esforce, vai conseguir.","3","Indica condição para a oração principal — conjunções: se, caso, desde que, contanto que"
"Oração subordinada adverbial temporal","Sintaxe - Orações","Quando chegar, avise.|Enquanto estudava, escutava música.|Mal entrou, já saiu.","2","Indica tempo — conjunções: quando, enquanto, assim que, logo que, desde que, mal, antes que"
"Oração subordinada adverbial final","Sintaxe - Orações","Estudou para que passasse.|Falo devagar para que entendam.|Vim a fim de que pudéssemos conversar.","3","Indica finalidade ou objetivo — conjunções: para que, a fim de que, que"
"Oração subordinada adverbial consecutiva","Sintaxe - Orações","Estudou tanto que passou em tudo.|Era tão cansativo que ninguém aguentava.|Falou de modo que todos entenderam.","4","Indica consequência — correlações: tão...que, tanto...que, de modo que, de forma que"
"Oração reduzida de infinitivo","Sintaxe - Orações","Preciso estudar mais.|É fácil resolver esse problema.|Saí sem dizer adeus.","3","Sem conjunção, com verbo no infinitivo — equivale a oração subordinada desenvolvida"
"Oração reduzida de gerúndio","Sintaxe - Orações","Saindo cedo, chegou a tempo.|Estudando sempre, aprendeu muito.|Trabalhando duro, venceu na vida.","3","Sem conjunção, com verbo no gerúndio — indica ação simultânea, modo ou causa"
"Oração reduzida de particípio","Sintaxe - Orações","Terminada a prova, os alunos saíram.|Resolvido o problema, relaxaram.|Aprovado o projeto, começa a obra.","3","Sem conjunção, com verbo no particípio — indica ação anterior à da oração principal"
"Derivação prefixal","Morfologia","In+feliz = infeliz.|Des+fazer = desfazer.|Re+fazer = refazer.|Anti+democrático = antidemocrático.","2","Acrescenta prefixo ao radical — não altera a classe gramatical da palavra"
"Derivação sufixal","Morfologia","Feliz+mente = felizmente.|Pedra+eiro = pedreiro.|Bel+eza = beleza.|Amig+ável = amigável.","2","Acrescenta sufixo ao radical — pode alterar a classe gramatical"
"Derivação parassintética","Morfologia","Em+pobr+ecer = empobrecer.|A+morn+ar = amornar.|En+gaiol+ar = engaiolar.|A+noite+cer = anoitecer.","3","Prefixo E sufixo adicionados simultaneamente — sem um dos dois, a palavra não existe"
"Derivação regressiva","Morfologia","Chorar → choro.|Ajudar → ajuda.|Combater → combate.|Debater → debate.","3","Forma substantivo a partir de verbo por supressão de sufixo — palavra nova é menor"
"Composição por justaposição","Morfologia","Girassol, passatempo, segunda-feira.|Beija-flor, guarda-chuva, couve-flor.","2","Une dois radicais sem alteração fonética — os elementos permanecem íntegros"
"Composição por aglutinação","Morfologia","Aguardente (água+ardente).|Embora (em+boa+hora).|Fidalgo (filho+de+algo).|Vinagre (vinho+acre).","3","Une radicais com alteração fonética — um ou ambos perdem parte de sua forma original"
"Hibridismo","Morfologia","Automóvel (grego+latim).|Burocracia (francês+grego).|Sociologia (latim+grego).|Televisão (grego+latim).","4","Formação com elementos de línguas diferentes — grego+latim, latim+grego, árabe+latim..."
"Onomatopeia","Morfologia","O galo cantou cocoricó.|O relógio faz tique-taque.|O gato mia.|O sino faz bum.","1","Palavra que imita um som da natureza ou produzido por seres vivos ou objetos"
"Neologismo","Morfologia","Tuitar, selfie, deletar, virtualizar.|Googlar, printar, stalkar.|Postagem, compartilhamento.","2","Palavra nova criada para nomear novos conceitos — por criação, empréstimo ou extensão de sentido"
"Vírgula - enumeração","Pontuação","Comprei pão, leite, queijo e manteiga.|Vieram Pedro, Paulo, Maria e João.|Estudei português, matemática e história.","1","Separa elementos de uma enumeração — exceto o último, precedido por conjunção"
"Vírgula - aposto e vocativo","Pontuação","Maria, a professora, chegou.|Professor, pode repetir?|Rio de Janeiro, cidade maravilhosa, é linda.","2","Isola aposto e vocativo do restante da oração"
"Vírgula - adjunto adverbial deslocado","Pontuação","Ontem, estudei muito.|No verão, viajamos ao litoral.|Por causa da chuva, fiquei em casa.","2","Isola adjunto adverbial antecipado (deslocado para o início ou meio da frase)"
"Vírgula proibida entre sujeito e verbo","Pontuação","ERRADO: O aluno, estudou muito.|CORRETO: O aluno estudou muito.|ERRADO: Comprei, um livro.","3","Nunca separa sujeito do predicado, nem verbo de seu objeto ou complemento"
"Ponto e vírgula","Pontuação","Trabalhei muito; não recebi nada.|Alguns vieram à festa; outros ficaram em casa.|Estudei português; aprendi matemática; pratiquei redação.","3","Separa orações coordenadas longas ou itens de lista que já contêm vírgulas internas"
"Dois-pontos","Pontuação","Comprei tudo: pão, leite e queijo.|Ele disse: Não vou.|Resultado: aprovado.|Conclusão: é necessário estudar.","2","Anuncia enumeração, citação, explicação, causa ou conclusão"
"Reticências","Pontuação","Não sei se devo...|Ele foi embora e nunca mais...|Se eu soubesse o que iria acontecer...","2","Indica interrupção, hesitação, suspense, ironia ou continuidade subentendida"
"Aspas","Pontuação","Ela disse: Volto amanhã.|O gênio errou tudo (ironia).|Ler Dom Casmurro é essencial.|O status quo deve ser mantido.","2","Marca citação direta, ironia, estrangeirismo, neologismo ou título de obras"
"Concordância verbal - regra geral","Concordância","O aluno chegou cedo.|Os alunos chegaram cedo.|Ela estudou muito.|Eles estudaram muito.","1","O verbo concorda em número e pessoa com o sujeito"
"Concordância com sujeito composto anteposto","Concordância","Pedro e Maria vieram à festa.|O sol e a lua aparecem no céu.|Professores e alunos participaram juntos.","2","Sujeito composto antes do verbo → verbo vai para o plural"
"Concordância com sujeito composto posposto","Concordância","Chegou o professor e os alunos.|Saiu ele e os colegas.|Partiu a mãe e os filhos.","3","Sujeito composto após o verbo → pode concordar com o núcleo mais próximo ou ir ao plural"
"Concordância com pronomes de tratamento","Concordância","Vossa Excelência sabe o que é melhor.|Vossa Senhoria precisa assinar o documento.|Vossa Majestade foi informada.","4","Pronomes de tratamento: gramaticalmente são 3ª pessoa, referem-se à 2ª — verbo vai à 3ª"
"Concordância nominal - regra geral","Concordância","A aluna bonita chegou.|Os alunos estudiosos passaram.|Uma professora dedicada inspira todos.","1","Adjetivo concorda em gênero e número com o substantivo que modifica"
"Concordância com adjetivo posposto a dois substantivos","Concordância","Vi o pai e a mãe preocupados.|Comprei camisa e calça azuis.|O marido e a esposa estavam animados.","3","Adjetivo após dois substantivos de gêneros diferentes → plural masculino"
"Silepse de número","Concordância","O povo foi às ruas e gritaram.|A maioria votou, mas alguns reclamaram.|A multidão gritou alto e saíram correndo.","4","Concordância com o sentido (ideia de plural), não com a forma gramatical do sujeito"
"Concordância com percentuais","Concordância","Trinta por cento dos alunos passaram.|Um por cento da população é afetada.|Cinquenta por cento do produto foi consumido.","4","Com percentual, o verbo concorda com o substantivo que o acompanha"
"Regência verbal - transitivo direto","Regência","Comprei o livro (comprar algo).|Vejo filmes aos fins de semana.|Ela ama esses gatos.","2","Verbo exige objeto direto sem preposição — responde o quê? ou quem?"
"Regência verbal - transitivo indireto","Regência","Gostei do filme (gostar de).|Preciso de ajuda (precisar de).|Obedecemos às leis (obedecer a).","2","Verbo exige objeto com preposição obrigatória — responde de quê?, a quem?, em quê?"
"Verbo assistir","Regência","Assisti ao filme (ver, presenciar — indireto).|O médico assistiu o paciente (atender — direto).|Assistia a todas as palestras.","4","Assistir a = ver/presenciar (transitivo indireto); assistir = atender/ajudar (transitivo direto)"
"Verbo visar","Regência","Visa ao lucro (objetivar = transitivo indireto).|Visou o alvo (mirar = transitivo direto).|Visou o cheque (carimbar = transitivo direto).","4","Visar a = objetivar (indireto); visar = mirar ou carimbar (direto) — muda com a preposição"
"Crase - casos obrigatórios","Regência","Fui à escola (a + a artigo).|Às vezes, estudo demais.|Refiro-me à professora.|Estava acostumado às viagens.","3","À = fusão de preposição a + artigo a — só ocorre antes de substantivo feminino com artigo"
"Crase - casos proibidos","Regência","Fui a São Paulo (nome masc. sem artigo).|Fui a pé (sem artigo).|Ela chegou a tempo.|Dirigi-me a você (pronome).","3","Não há crase antes de masculino, pronomes, verbos, uma, cidades sem artigo e palavras repetidas"
"Crase - casos facultativos","Regência","Fui a(à) Paris.|Dirigia-se a(à) Maria.|Falei a(à) sua mãe.","4","Facultativo antes de nome próprio feminino sem artigo obrigatório e pronome possessivo"
"Regência nominal","Regência","Tenho necessidade de ajuda.|Sou favorável à proposta.|Tem ansiedade por viagens.|É alheio à realidade.","3","Nomes que exigem complemento com preposição específica — cada nome pede sua preposição"
"Próclise","Colocação Pronominal","Não me diga isso.|Sempre te lembro.|Aqui se trabalha muito.|Que Deus te abençoe.","3","Pronome antes do verbo — atraído por negação, advérbio, conjunção, pronome relativo ou indefinido"
"Ênclise","Colocação Pronominal","Diga-me a verdade.|Encontrei-a no mercado.|Faça-se silêncio.|Compre-o antes que acabe.","3","Pronome após o verbo — quando não há fator de próclise, no início de frase ou imperativo afirmativo"
"Mesóclise","Colocação Pronominal","Dir-te-ei a verdade.|Far-se-á o necessário.|Trazer-te-ia um presente.|Contar-lhe-ei tudo amanhã.","5","Pronome no meio do verbo — exclusivo do futuro do presente e futuro do pretérito sem próclise"
"Pronomes em locuções verbais","Colocação Pronominal","Vou te ligar amanhã.|Pode me ajudar?|Estava me contando uma história.|Tenho-lhe dito a verdade.","4","Com auxiliar + infinitivo/gerúndio: próclise ao auxiliar OU ênclise ao infinitivo/gerúndio"
"Presente do indicativo","Tempos e Modos Verbais","Eu estudo português todo dia.|Ele trabalha toda manhã.|Saímos daqui sempre às 18h.","1","Ação habitual, simultânea ao momento da fala, verdade universal ou presente histórico"
"Pretérito perfeito do indicativo","Tempos e Modos Verbais","Estudei ontem à noite.|Ele chegou cedo.|Nós compramos os ingressos ontem.","1","Ação totalmente concluída em um momento específico do passado"
"Pretérito imperfeito do indicativo","Tempos e Modos Verbais","Quando criança, brincava na rua.|Ela sempre cantava no coro.|Eu morava no Rio de Janeiro.","2","Ação habitual, contínua ou inacabada no passado — continuava acontecendo"
"Pretérito mais-que-perfeito","Tempos e Modos Verbais","Quando cheguei, ele já saíra (simples).|Ele tinha dito que viria (composto).|Havíamos terminado antes da chegada.","3","Ação passada anterior a outra também passada — o passado do passado"
"Futuro do presente","Tempos e Modos Verbais","Estudarei amanhã.|Ela virá à festa.|Faremos a prova na sexta-feira.","2","Ação que ocorrerá após o momento da fala — certeza ou promessa futura"
"Futuro do pretérito","Tempos e Modos Verbais","Se estudasse, passaria.|Eu iria, mas não posso.|Compraria um carro se tivesse dinheiro.","3","Indica possibilidade, hipótese, consequência de condição ou pedido cortês"
"Presente do subjuntivo","Tempos e Modos Verbais","Espero que você venha.|Quero que ele fale a verdade.|Tomara que chova hoje.","3","Expressa desejo, dúvida ou possibilidade no presente — geralmente introduzido por que"
"Pretérito imperfeito do subjuntivo","Tempos e Modos Verbais","Se eu estudasse, passaria.|Queria que você viesse.|Caso chovesse, ficaria em casa.","4","Hipótese ou condição no passado — com se, caso, embora, ainda que"
"Futuro do subjuntivo","Tempos e Modos Verbais","Quando você chegar, avise.|Se puder, venha amanhã.|Onde quer que você vá, me avise.","3","Condição ou hipótese referente ao futuro — com quando, se, enquanto, onde"
"Imperativo afirmativo","Tempos e Modos Verbais","Venha aqui!|Estude para passar.|Fale mais baixo, por favor.|Senta aqui comigo.","2","Ordem, pedido ou conselho — 2ª p. singular: ind. presente sem -s; demais: pres. do subjuntivo"
"Imperativo negativo","Tempos e Modos Verbais","Não venhas aqui!|Não fale tão alto.|Não esqueças de estudar.|Não o faças ainda.","3","Negação de ordem — sempre usa o presente do subjuntivo para todas as pessoas"
"Infinitivo pessoal","Tempos e Modos Verbais","Para irmos ao show, precisamos de ingresso.|É bom vocês estudarem.|É preciso eles saírem cedo.","4","Infinitivo flexionado quando tem sujeito próprio diferente do da oração principal"
"Gerúndio","Tempos e Modos Verbais","Estou estudando agora.|Saindo de casa, encontrei-o.|Fui embora, rindo muito.","2","Indica ação em curso ou simultânea a outra — formado com -ndo; equivale a advérbio ou adjetivo"
"Particípio","Tempos e Modos Verbais","Tinha estudado antes da prova.|O projeto foi aprovado.|Chegado o verão, viajamos.","3","Indica ação concluída — formas regulares (-ado/-ido) e irregulares (feito, posto, visto, aberto)"
"Voz ativa","Vozes Verbais","O aluno leu o livro.|A empresa construiu o prédio.|O juiz julgou o réu.","1","O sujeito pratica a ação — sujeito é o agente do verbo"
"Voz passiva analítica","Vozes Verbais","O livro foi lido pelo aluno.|O prédio foi construído pela empresa.|O réu foi julgado pelo juiz.","2","Sujeito paciente + ser/estar/ficar + particípio + agente da passiva (por/pelo/pela)"
"Voz passiva sintética","Vozes Verbais","Vende-se casa.|Alugam-se quartos.|Precisa-se de funcionários.|Fala-se muito aqui.","3","Verbo + pronome se (partícula apassivadora) — sujeito paciente concorda com o verbo"
"Voz reflexiva","Vozes Verbais","Ela se penteou.|Eu me machuquei.|Eles se feriram no acidente.|Ela se mirou no espelho.","2","O sujeito pratica e sofre a ação simultaneamente — usa pronome reflexivo"
"Conversão ativa para passiva","Vozes Verbais","Ativo: O juiz julgou o réu.|Passivo: O réu foi julgado pelo juiz.|Ativo: Ela leu o livro. / Passivo: O livro foi lido por ela.","3","OD vira sujeito, sujeito vira agente da passiva (com por), verbo vira ser+particípio"
"Metáfora","Figuras de Linguagem","A vida é uma viagem sem mapa.|Seus olhos são duas estrelas.|O tempo é dinheiro.","2","Comparação implícita sem conectivo — aproxima dois elementos por semelhança subjetiva"
"Comparação (símile)","Figuras de Linguagem","Seu sorriso brilha como o sol.|Ele corre como um furacão.|Era forte tal qual uma rocha.","1","Usa conectivos comparativos explícitos: como, tal qual, feito, assim como, que nem"
"Metonímia","Figuras de Linguagem","Ler Machado de Assis (obra pelo autor).|Bebeu um copo inteiro (continente pelo conteúdo).|O Brasil venceu (seleção pelo país).","3","Substitui um termo por outro com o qual tem relação de proximidade, causa ou inclusão"
"Antítese","Figuras de Linguagem","O amor e o ódio coexistem.|Vida e morte são inseparáveis.|É rico na forma, pobre no conteúdo.","2","Aproxima palavras ou ideias de sentidos opostos na mesma frase"
"Hipérbole","Figuras de Linguagem","Já te disse um milhão de vezes!|Chorei um rio de lágrimas.|Estou morrendo de fome.","1","Exageração intencional para intensificar uma ideia ou sentimento"
"Eufemismo","Figuras de Linguagem","Ele passou desta para melhor (morreu).|Baixa renda (pobre).|Colaboração compulsória (imposto).","2","Suaviza ou ameniza uma ideia desagradável, violenta ou chocante"
"Ironia","Figuras de Linguagem","Que inteligente! Errou tudo de novo.|Bonito trabalho — uma catástrofe!|Que pontual, chegou só duas horas atrasado.","2","Afirma-se o contrário do que se pensa — para criticar, satirizar ou provocar reflexão"
"Personificação (prosopopeia)","Figuras de Linguagem","As flores sorriam para o sol.|O vento gemeu entre as árvores.|A lua nos observava calada.","2","Atribui características ou ações humanas a seres inanimados, animais ou abstrações"
"Pleonasmo literário","Figuras de Linguagem","Morreu de morte morrida.|Vi com meus próprios olhos.|Chorar as mágoas que choro.","3","Repetição intencional para dar ênfase ou força expressiva — diferente do pleonasmo vicioso"
"Catacrese","Figuras de Linguagem","Pé da mesa, braço da cadeira, dente do pente.|Cabeça do alho, asa da xícara, boca do rio.","3","Metáfora desgastada pelo uso contínuo — já não é percebida como figura, virou uso comum"
"Hipérbato","Figuras de Linguagem","Das dores que tenho, não falo.|Belos olhos ela tem.|Ao meu país dedico esta obra.","3","Inversão da ordem sintática normal para dar destaque a determinado elemento da frase"
"Elipse","Figuras de Linguagem","Na sala, silêncio total. [havia]|Comprei pão; ela, leite. [comprou]|[Ele] Chegou e [ele] saiu.","3","Omissão de um termo subentendido pelo contexto — torna a linguagem mais dinâmica"
"Gradação","Figuras de Linguagem","Vim, vi, venci.|Ela sorriu, gargalhou, explodiu de alegria.|De rei a mendigo, de ouro a pó.","2","Série de ideias em progressão ascendente (clímax) ou descendente (anticlímax)"
"Ambiguidade","Vícios de Linguagem","Vi o menino com o binóculo (quem tem o binóculo?).|O professor encontrou o aluno preocupado (quem está preocupado?).","3","Frase com dois ou mais sentidos possíveis — causada por má estruturação sintática"
"Pleonasmo vicioso","Vícios de Linguagem","Subir para cima.|Descer para baixo.|Entrar para dentro.|Hemorragia de sangue.","2","Repetição desnecessária que não acrescenta sentido — diferente do pleonasmo estilístico"
"Barbarismo","Vícios de Linguagem","Menas em vez de menos.|Interviu em vez de interveio.|Eu vi ele em vez de eu o vi.","3","Erro de pronúncia, grafia, morfologia ou sintaxe — desvio da norma culta padrão"
"Cacofonia","Vícios de Linguagem","Por cada soa porcada.|A a ave — hiato cacofônico.|Ela a ama — som desagradável.","4","Combinação de palavras que produz som desagradável, obsceno ou ridículo"
"Solecismo","Vícios de Linguagem","Fazem dois anos (fazer=impessoal → singular: faz).|Mim fazer isso não (mim não é sujeito).|Ir em São Paulo em vez de ir a São Paulo.","4","Erro de sintaxe — concordância, regência ou colocação pronominal incorretas"
"Sinonímia","Semântica","Bonito / belo / formoso / atraente.|Cansado / fatigado / exausto.|Começar / iniciar / principiar / dar início.","1","Palavras com sentidos iguais ou muito próximos — enriquecem o vocabulário e evitam repetição"
"Antonímia","Semântica","Quente ≠ frio.|Amor ≠ ódio.|Começo ≠ fim.|Clareza ≠ obscuridade.","1","Palavras com sentidos opostos — antônimos são essenciais para antíteses e contrastes"
