uando começou a Guerra dos Bôeres na África do Sul em 1900?;No início de 1900, com a décima primeira semana da guerra.
Que suspense sobre guerra foi publicado no Reino Unido em 1903?;“O Enigma das Areias”, sobre espionagem e invasão alemã.
Que medida militar britânica em 1903 testou a telégrafia sem fio?;Contato com os navios do Esquadrão do Canal a partir do quartel-general em Aldershot.
Que manifesto o czar russo divulgou em 1903?;Melhorou condições nos vilarejos, aboliu responsabilidade coletiva de impostos, mas manteve controle central.
O que ocorreu com os trabalhadores de siderúrgicas em Zlatoust, Ufa, Baku e Batum em 1903?;"Greves e manifestações; centenas foram mortos ou reprimidos com violência."
Qual divisão surgiu no Partido Social-Democrata Russo em 1903?;Bolcheviques (maioria, liderados por Lênin) e mencheviques (minoria).
Que ação antijudaica ocorreu em Kishinev em 1903?;"43 judeus assassinados, centenas de mulheres estupradas; governo responsabilizou movimento revolucionário judeu."
O que aconteceu em Gomel após o massacre de Kishinev?;"Novos ataques contra judeus; saque, estupro e assassinato foram tolerados, e alguns judeus que tentaram se defender foram baleados."
Qual foi o efeito dos massacres de Kishinev e Gomel sobre a população judaica?;Intensificaram a emigração para EUA, Canadá, Reino Unido e Palestina.
O que a Rússia estava construindo em Porto Arthur, Manchúria, em 1903?;Mais de 50 km de fortificações costeiras, estaleiros e uma nova cidade, tornando-se uma potência naval no Pacífico.
Como o Japão reagiu à presença russa na Manchúria e à península coreana?;"Exigiu reafirmação de controle sobre a Coreia; a Rússia enviou reforços via Transiberiana."
O que ocorreu em Belgrado, Sérvia, em 10 de abril de 1903?;"Assassinato do rei Alexandre, da rainha Draga, do primeiro-ministro e do ministro da Guerra; Peter Karageorgevitch foi eleito rei."
Que país europeu em 1903 era considerado “na posição feliz de um país sem história”?;Romênia, com o único incidente notável sendo a emigração de judeus devido à negação de seus direitos.
O que foi o Programa Mürzsteg?;Instruções da Áustria e Rússia à Turquia para implementar reformas na Macedônia, supervisionadas por oficiais estrangeiros.
Que protestos nacionais ocorreram na Croácia e Hungria em 1903?;"Croatas protestaram contra impostos e uso da língua húngara; húngaros conseguiram o hasteamento da bandeira húngara nos militares."
Quais demandas os tchecos apresentaram em 1903?;"Universidade própria, ensino em língua tcheca e aulas especiais em Silésia; demandas paralelas às italianas no Tirol."
Que alianças e acordos internacionais ocorreram entre 1903 e 1904?;"Alemanha aproximou-se da Áustria-Hungria e Itália; Reino Unido e França assinaram acordo de arbitragem em Haia e, em 1904, a Entente Cordiale."
Que campanha militar ocorreu na Nigéria em 1903?;"Forças britânicas derrotaram um governante muçulmano que resistia ao domínio britânico; 300 homens mortos."
Qual revolta ocorreu no sudoeste africano em 1903?;"Tribo hotentote se revoltou; expedição punitiva do kaiser matou milhares."
Qual cabo telegráfico foi inaugurado em 1903 pelos EUA?;Cabo ligando São Francisco às Filipinas, depois estendido a Xangai, permitindo comunicação intercontinental.
O que aconteceu no Panamá em 3 de novembro de 1903?;"Revolução sem sangue; independência da Colômbia; tratado com EUA para construção e controle do Canal do Panamá."
Principais desastres de 1903?;Incêndio no metrô de Paris (84 mortos), incêndio em teatro de Chicago (>600 mortos), peste na Índia (842.264 mortos).
Que inovações urbanas e ambientais ocorreram em 1903?;"Primeira cidade jardim em Letchworth, Inglaterra; primeiro refúgio nacional de vida silvestre nos EUA, ilha Pelican."
Principais avanços científicos de 1903?;"Benefícios trabalhistas estendidos na Alemanha; Pierre e Marie Curie descobriram propriedades do rádio."
Principais avanços tecnológicos e culturais de 1903?;"Câmara de Comércio e Bolsa de Nova York; estreia de “O Mágico de Oz” e “The Great Train Robbery”; primeiro táxi a motor em Londres."
Que feito histórico ocorreu em Kitty Hawk em 17 de dezembro de 1903?;Irmãos Wright realizaram o primeiro voo motorizado de sucesso, percorrendo quase 40 metros.
Quando e por que começou a Guerra Russo-Japonesa?;"5 de fevereiro de 1904, após o rompimento das negociações sobre influência na Coreia e Manchúria; torpedeiros japoneses atacaram Porto Arthur."
Qual foi a situação inicial das tropas russas na Manchúria?;"Marcharam para a Coreia, mas foram forçadas a recuar; tropas japonesas então ocuparam a Manchúria e cercaram Porto Arthur."
Quais perdas navais russas ocorreram no início da guerra?;"Em abril, um navio-almirante bateu em mina japonesa e afundou, matando 40 oficiais e 750 marinheiros; em maio, colisão de cruzadores japoneses matou 235, e um navio japonês afundou em mina russa, matando 400."
Como a Rússia aumentou suas tropas na Manchúria?;Usando a Transiberiana e recrutando 7 mil condenados à ilha Sakhalina e 15 mil ex-detentos, com promessas de redução de pena ou retorno à Rússia.
Qual foi a eficácia dos ex-detentos como soldados?;"Foram maus combatentes; o exército russo permaneceu majoritariamente defensivo, com grandes perdas."
Qual evento naval ocorreu em agosto de 1904?;"A frota russa ancorada em Porto Arthur tentou confronto com os japoneses no mar aberto e foi derrotada; Frota do Báltico russa iniciou viagem ao extremo leste."
Quem denunciou as atrocidades no Congo Belga?;"Edmund Morel publicou relatos detalhados em 1903; Roger Casement enviou relatório oficial em fevereiro de 1904."
Quais foram as condições de exploração no Congo Belga?;"Trabalho forçado, mulheres como reféns, execuções, mutilações; cerca de 3 milhões de mortos em 15 anos; rei Leopoldo lucrava com seiva de borracha."
Qual foi o resultado das denúncias internacionais sobre o Congo?;"Protestos duraram quatro anos; Parlamento belga assumiu controle do Congo; Casement foi feito cavaleiro."
O que ocorreu no Tibete em 1904 com os britânicos?;"Younghusband e Macdonald invadiram Lhasa; 600 tibetanos mortos em Guru, mais 2.100 depois; bandeira britânica hasteada; Tibete pagou 500 mil libras até 1979."
Quais dificuldades enfrentaram os britânicos no retorno do Tibete?;"Condições extremas de frio em desfiladeiros de quase 6.000 metros; mais de 200 soldados morreram."
Quais conflitos coloniais ocorreram em 1904 na África e Ásia?;"Marrocos: França reprimiu muçulmanos; Angola: portugueses mataram 254 cuanhamas e enviaram 5 mil soldados; Sudoeste africano alemão: massacre de hereros e witbois; Índias Orientais Holandesas: mil mulheres e crianças mortas após rebelião."
Conflitos e atentados no Império Russo em 1904?;"Junho: governador-geral da Finlândia assassinado; julho: ministro do Interior Plehve morto por bomba; novembro: assembleias provinciais exigiram constituição e liberdades civis e religiosas."
Quem fundou o partido Sinn Fein e por quê?;"Arthur Griffith, inspirado pelo exemplo da Hungria (independência via Parlamento próprio); partido defendia Irlanda independente do Reino Unido."
Como Mahatma Gandhi atuava na Índia em 1904?;Defendia a não cooperação pacífica como arma contra o domínio britânico.
Quem foi Sun Yat-sen e qual seu objetivo em 1904?;"Revolucionário chinês; buscava o fim da dinastia e a “regeneração” da China; publicou “Resumo da Revolução”, defendendo direitos iguais e democracia."
Onde ocorreram os Jogos Olímpicos de 1904 e qual país liderou em medalhas?;"Saint Louis, Missouri, EUA; os Estados Unidos ganharam 80 medalhas de ouro."
Quais invenções de 1904 se tornaram permanentes no século XX?;Aparelho de barbear de King C. Gillette e chá em saquinhos de Thomas Sullivan.
Que alimentos populares foram criados na Feira Mundial de Saint Louis em 1904?;Casquinha de sorvete e hambúrguer.
Qual foi o evento que iniciou a Revolução Russa de 1905?;Greve dos trabalhadores da fábrica Putilov em São Petersburgo, apoiada por 80 mil pessoas.
Quem liderou a marcha pacífica até o Palácio de Inverno em 9 de janeiro de 1905?;Padre Gapon, com homens, mulheres e crianças desarmados.
Qual foi o resultado do Domingo Sangrento?;"Tropas cossacas atacaram manifestantes; cerca de 200 mortos."
Quais outras cidades russas sofreram repressão em janeiro de 1905?;Riga (70 mortos), Varsóvia (93 mortos), Odessa (2.000 mortos).
Qual evento militar marcou o avanço japonês na Guerra Russo-Japonesa em 1905?;"Queda de Mukden em 9 de março; 27.700 soldados russos mortos."
O que ocorreu na Batalha de Tsushima?;Em 27 de maio, frota russa foi destruída em 45 minutos, selando a derrota russa.
Qual foi o papel do presidente Roosevelt na Guerra Russo-Japonesa?;Intermediou o cessar-fogo e as negociações de paz nos EUA.
Quais foram os termos do tratado de paz entre Rússia e Japão?;"Coreia reconhecida como dependente do Japão, Porto Arthur e metade sul de Sakhalina cedidos ao Japão; evacuação da Manchúria."
Que tipo de manifestações e greves ocorreram na Rússia em 1905?;"Greves gerais, protestos de advogados, professores, sindicatos; revoltas camponesas; sabotagem e resistência armada."
O que foi a Duma e quando foi criada?;"Conselho de Estado russo criado em 19 de agosto de 1905; permitia participação limitada de representantes eleitos, mas sob autoridade do czar."
Quais limitações existiam na Duma de 1905?;"Trabalhadores e classes profissionais excluídos; czar podia dissolver a Duma; sessões não abertas ao público; voto restrito a proprietários de terras e industriais."
Que revoltas ocorreram no final de 1905?;"Motins em Kronstadt (9 de novembro), Vladivostok (16 de novembro), Sebastopol (25 de novembro); Revolução em Moscou (21-28 de dezembro)."
Quais foram as consequências da revolta de Moscou em dezembro de 1905?;"Mais de mil revolucionários mortos; Comitê Revolucionário preso; leis eleitorais da Duma ampliadas para alguns proprietários e comerciantes."
Como se espalhou a agitação revolucionária pelo império russo?;"Lutas nas províncias polonesas e bálticas, Cáucaso, portos do Mar Negro, Odessa, Estônia; centenas mortos, outros presos ou exilados."
Que problemas os aborígenes australianos enfrentavam em 1905?;Remoção frequente de suas terras e condições de trabalho semelhantes à escravidão.
Que preocupação levantou a situação dos trabalhadores chineses na África do Sul?;Condições de trabalho extremas sob contratos rígidos.
Qual foi a política do general alemão von Trotha contra os hereros no sudoeste africano?;"Ameaçou exterminar a tribo se não se rendessem; uso de campos de concentração para mulheres, crianças e idosos."
O que fez o líder herero Morenga diante da ameaça alemã?;Tentou negociar em vão e atacou um campo do exército alemão, declarando guerra.
Como a Áustria-Hungria respondeu a manifestações socialistas em 1905?;"Suspendeu sessões do Parlamento; primeiro-ministro austríaco e húngaro introduziram projetos de lei baseados no sufrágio universal."
Qual foi o impacto da peste na Índia Britânica em 1905?;Mais de 1,1 milhão de mortes registradas naquele ano.
Que tendências surgiram nos EUA em 1905 devido à prosperidade industrial?;Criação de distritos residenciais exclusivos (Country Club), Rotary Club, Serviço Florestal e Sociedade Audubon.
Que expansões industriais ocorreram nos EUA e Reino Unido em 1905?;"Criação da Bethlehem Steel e United States Steel (cidade-empresa); Austin Motor Company e Associação Automobilística no Reino Unido; primeiros ônibus motorizados em Londres."
O que significa “suffragette” e quando surgiu o termo?;"Mulheres que lutavam pelo direito de voto, usando táticas diretas ou violentas; criado em 10 de janeiro de 1906."
Que direitos eleitorais femininos existiam em 1905?;"Nova Zelândia: mulheres votavam; Austrália: direito de voto federal (aborígenes só em 1967); EUA: limitado a alguns estados (Wyoming, Colorado, Indiana, Utah)."
Qual foi a importância do navio Dreadnought?;"Inaugurado em 10 de fevereiro de 1906 pelo rei Eduardo VII; iniciou revolução naval e corrida armamentista."
O que aconteceu com a primeira sessão da Duma em 10 de maio de 1906?;"Czar ignorou reformas constitucionais; deputados pediram anistia e direitos; pedidos rejeitados e sessão encerrada."
Qual foi o manifesto emitido pelos deputados em Vyborg?;"Protesto contra a dissolução da Duma; incentivava não pagar impostos nem fornecer soldados ao governo."
Que problemas enfrentavam os governadores provinciais russos?;Falta de autoridade para controlar tropas cossacas, gangues armadas e população em tumultos.
Que medidas o governo czarista tomou no outono de 1906 contra revolucionários?;"Cortes marciais com julgamento rápido (até 18h), execuções dentro de 24h; centenas fuzilados ou enforcados."
Como o Japão tratou Taiwan em 1906?;Impôs regras imperiais, matou dezenas de milhares de aborígenes durante a “pacificação” e abriu a ilha a investimentos estrangeiros.
O que ocorreu com a população zulu na província britânica de Natal em 1906?;"Revolta zulu; 12 executados, mais de 3 mil mortos na repressão."
Quem foi Maclain em Marrocos?;"Líder muçulmano que incitou ataques a cristãos e judeus; saqueou bairros em Marrakech."
Que conflito militar ocorreu no sudoeste africano alemão em 1906?;"Continuação da guerra contra hereros, hotentotes e witbois; quase 2 mil soldados alemães mortos; reforços enviados."
Qual foi a reação do Reichstag à guerra no sudoeste africano alemão?;"Deputados pediram redução de tropas; chanceler dissolveu o Reichstag após rejeição de aumento de verbas."
Qual foi o impacto do romance “A Selva” de Upton Sinclair nos EUA?;"Exposição de más condições nos matadouros de Chicago; levou à criação da Lei de Inspeção de Carne e da Lei de Alimentos e Medicamentos Puros."
Quais desastres naturais ocorreram em 1906?;Tufão em Hong Kong (10 mil mortos), erupção do Vesúvio (500 mortos), terremoto em São Francisco (mais de 1 mil mortos), terremoto no Chile (3 mil mortos).
Que ações do presidente Roosevelt em 1906 demonstraram preocupação com a preservação histórica e natural?;"Criação da Lei de Antiguidades; fortalecimento da Comissão Florestal Nacional."
Que inovações culturais e tecnológicas surgiram em 1906?;Jukebox, Maurice Chevalier, Kellogg Corn Flakes, Coca-Cola sem cocaína, primeiro estúdio de cinema em NY, primeira transmissão de rádio.
O que Piotr Stolypin anunciou na segunda Duma em 1907?;"Transformar a Rússia em Estado constitucional; expropriação de terras rejeitada pelo governo; repressão a social-democratas."
Como a Rússia lidou com opositores e imprensa em 1907?;Prisões, trabalhos forçados, exílio na Sibéria, censura de jornais, Lênin exilado por 10 anos.
Que protestos ocorreram na França, Itália e Romênia em 1907?;"França: protestos violentos e prefeituras incendiadas; Itália: greves e protestos de camponeses; Romênia: revolta camponesa com 11 mil mortos."
Qual foi a posição de socialistas internacionais sobre guerra e colonialismo em 1907?;"Criticaram colonialismo, expropriação e guerras capitalistas; votariam contra orçamentos militares; não concordaram com deserção generalizada em guerra."
Quem venceu as primeiras eleições por sufrágio universal masculino em Viena e qual era sua plataforma?;"Karl Lueger, Partido Socialista Cristão; mistura de catolicismo, antissemitismo e socialismo."
Que agitação nacional ocorreu no Império Austro-Húngaro em 1907?;"Rutenos protestaram contra influência alemã em Lemberg; restrições ao uso do idioma russo no Parlamento."
Como a Prússia lidou com áreas polonesas em 1907-1908?;"Germanização forçada: jornais poloneses confiscados, editores presos, camponeses proibidos de construir casas; projeto de expropriação compulsória das terras apresentado."
Qual era o descontentamento na Bósnia-Herzegovina sob domínio austríaco?;Sérvios exigiam autonomia, sufrágio universal e governo provincial independente do controle militar austríaco.
Que problema a minoria croata enfrentou na Hungria?;"Reivindicação da língua croata; protestos no Parlamento; novo governador impôs o magiar como língua oficial."
Que incidente ocorreu em um vilarejo eslovaco?;"Pároco preso por usar eslovaco; aldeões resistiram à consagração da nova igreja feita por tropas; 11 mortos em confronto."
Que ocorrências ocorreram nas colônias portuguesas da África Ocidental?;"Revoltas nativas reprimidas por tropas de Lisboa; expedientes curtos, mas punitivos."
Como o Japão lidou com revoltas na Coreia?;"Revolta contra autoridades japonesas; regimento coreano abriu fogo, mais de 200 funcionários japoneses mortos; severas represálias."
Que desastres naturais marcaram 1907?;"Ferrovias: 1 mil mortos no Reino Unido; terremoto em Bukhara: 15 mil mortos; peste na Índia: 1.206.055 mortos; fome na Rússia: milhões mortos."
Que inovações tecnológicas e culturais surgiram em 1907?;"Primeira máquina de lavar nos EUA; detergente Persil na Alemanha; invenção da baquelite; estreia do Ziegfeld Follies em Nova York."
Quem foram os Jovens Turcos e o que conseguiram em 1908?;Reformistas turcos que restauraram a Constituição otomana, instituiu breve parlamento, aboliu censura e libertou prisioneiros políticos.
Que repressão política ocorreu na Rússia em 1908-1909?;"Mais de 3 mil sentenciados à morte, 4 mil a trabalhos forçados; Tolstói denunciou a repressão como pior que o terrorismo."
Que acordos internacionais foram feitos para evitar conflito europeu?;"França e Alemanha definiram fronteira entre Camarões (alemão) e Congo (francês); preocupações com a marinha alemã e Zeppelins."
Como estavam as tensões nacionais na Áustria-Hungria em 1908?;"Conflitos entre alemães, tchecos, italianos e eslovenos; obstrução parlamentar e confrontos nas ruas; aumento da influência austríaca nos Bálcãs."
Que acontecimentos marcaram a Bósnia-Herzegovina e Bulgária em outubro de 1908?;"Bulgária declarou independência da Turquia; Áustria-Hungria anexou a Bósnia-Herzegovina; alarmou Sérvia e Rússia, Alemanha apoiou os austríacos."
Como se estruturou o novo Parlamento turco em Constantinopla?;"Deputados de diferentes etnias: árabes, gregos, armênios, búlgaros, sérvios e judeus; ministros de minorias nomeados, mas insatisfação com perdas territoriais."
Como o governo britânico lidou com tribos rebeldes na Índia em 1908?;"Mohmands e zakka khels revoltaram-se; expedições punitivas destruíram fortes, torres de vigia e forçaram a rendição; rebeliões foram suprimidas."
Que atentados nacionalistas ocorreram na Índia em 1908?;"Tentativa de explodir o trem do tenente-governador em Bengala; mortes de duas mulheres britânicas em Muzaffarpur; descoberta de esconderijo de armas em Calcutá."
Qual punição foi aplicada a Bal Gangadhar Tilak em 1908?;Condenado por insubordinação a seis anos em colônia penal.
Que reformas ocorreram no direito penal indiano em 1908?;"Acusados de insubordinação, distúrbio ou assassinato não podiam estar presentes ou ter advogados, exceto se autorizado pelo magistrado; julgamento por três juízes, sem júri popular."
Qual lei antipolonesa foi aprovada no Parlamento prussiano em 1908?;"Expropriação de terras polonesas para transferi-las a alemães; restrição do uso do polonês em reuniões públicas."
Como os poloneses reagiram às restrições linguísticas na Prússia?;Realizaram reuniões públicas “mudas”, escrevendo resoluções em polonês em quadro-negro passado de mão em mão.
Como Gandhi atuou na África do Sul em 1908?;"Liderou resistência passiva contra leis de registro de indianos; enfatizou protestos sem violência."
Que medidas prejudiciais aos indianos foram aprovadas no Transvaal?;"Privação de líderes religiosos, médicos e educadores; tentativa de reduzir população indiana."
Que ações de Theodore Roosevelt reforçaram a conservação nos EUA?;"Conferência com governadores e sociedade; leis para preservar carvão, petróleo, gás e recursos naturais; fortalecimento do sistema de parques nacionais."
Quais desastres naturais ocorreram em 1908?;"Terremoto na China (1 mil mortos); incêndio em Fernie, Canadá (100 mortos); peste na Índia (201.575 mortos); terremoto no sul da Itália (200 mil mortos)."
Que avanços tecnológicos e culturais ocorreram nos EUA em 1908?;"Carro Ford Modelo T acessível; ferro elétrico e copo de papel; filmes como Tosca; surgimento de Hollywood como centro cinematográfico."
Qual foi a origem histórica da caneta Waterman em 1908?;"Gravada com data de fabricação; anos depois usada por Alexandre Villedieu na Primeira Guerra Mundial; corpo encontrado em 1996."
Que ideias apresentou Norman Angell em 1909 em “A grande ilusão”?;"Guerras futuras causariam perdas econômicas; nações industrializadas perdem impulso psicológico para guerras por interdependência econômica."
O que previa o Plano Schlieffen da Alemanha?;Ataque rápido à França via Bélgica neutra, vitória em seis semanas, depois atacar a Rússia com forças superiores.
Que acordo França-Alemanha ocorreu em 1909?;"Alemanha exploraria apenas interesses econômicos no Marrocos e reconhecia interesses especiais da França; impediu monopólios alemães em minas do sultão."
Como as tensões nos Bálcãs prepararam o terreno para uma guerra europeia?;"Protestos sérvios contra anexação da Bósnia-Herzegovina; Alemanha apoiou Áustria-Hungria; Rússia aconselhou Sérvia a aceitar anexação."
Qual era a situação política interna da Rússia em 1909?;"Duma debatendo, mas autocracia forte; 782 execuções políticas; 180 mil exilados; aumento da russificação das províncias polonesas; fechamento da Sociedade Educacional Polonesa em Kiev."
Que tentativa ocorreu contra os Jovens Turcos em 1909?;"Forças leais ao sultão tomaram Constantinopla em 13 de abril, mas foram derrotadas onze dias depois; sultão deposto e exilado."
Que tragédia afetou os armênios em 1909?;"Milhares de armênios foram massacrados no sul da Turquia; expectativas de igualdade política frustradas."
Qual reforma ocorreu no governo da Índia Britânica em 1909?;"Primeiro indiano nomeado ao Conselho Executivo do Vice-Rei em março; resistência de membros britânicos conservadores."
Que princípio liberal britânico foi ignorado na África do Sul em 1909?;"Igualdade racial; Lei da União consolidou Parlamento exclusivamente branco, excluindo negros, indianos e mestiços por décadas."
Que estados foram transferidos para o Reino Unido pelo governo siamês?;"Quatro estados malaios; súditos britânicos no Sião tiveram direitos de cidadãos siameses, mas sem serviço militar ou contribuições forçadas."
Que lei foi promulgada no Egito pelos britânicos?;Qualquer pessoa que se revoltasse contra o domínio britânico poderia ser confinada em um vilarejo sob supervisão policial.
Qual era a importância do Canal de Suez para o Reino Unido?;Protegia a rota marítima para a Índia e o Extremo Oriente, sendo essencial para o império.
Quais justificativas os britânicos davam para manter o controle no Egito?;"Moralidade e bem-estar da população; combate ao tráfico de escravos e armas; avanço da saúde pública, como redução da mortalidade infantil em Porto Said."
Que conflito ocorreu no Marrocos Espanhol em 1909?;"Ataques da tribo rif contra guarnições espanholas; reforços espanhóis mataram mais de mil mouros; negociações levaram à rendição em novembro."
Que consequências internas tiveram os combates do Rif na Espanha?;"Manifestações antiguerra em Barcelona e Madri; greve geral convocada; artilharia usada para dispersar manifestantes; 2 mil presos e cinco sentenciados à morte."
Que avanços na Alemanha ocorreram em 1909?;Mulheres foram admitidas nas universidades pela primeira vez.
Que avanços no Reino Unido ocorreram em 1909?;"Aprovação da primeira Lei de Planejamento Urbano; inauguração da primeira loja de departamentos (H. Gordon Selfridge)."
Que marco ocorreu na Palestina em 1909?;Fundação do primeiro kibbutz na costa da Galileia, projeto de Arthur Ruppin com imigrantes judeus da Rússia.
Que avanços no cinema ocorreram em 1909?;"Nickelodeon aumentou público para 20 milhões por semana; primeiros filmes de longa-metragem, como A vida de Moisés e O Inferno de Dante."
Que feito de Louis Blériot marcou 1909?;Sobrevoou o Canal da Mancha em 25 de julho, percorrendo quase 40 km entre Calais e Dover em cerca de 1h20min.
Que feito de Orville Wright marcou 1909?;Fez dois voos ao redor da Estátua da Liberdade e depois voou em Berlim com o príncipe herdeiro alemão a mais de 300 metros de altura.
;
Que medidas o Império Russo tomou em 1910 em relação a Finlândia, Polônia e judeus?;"Finlândia perdeu autonomia; poloneses tiveram negados direitos de autogoverno; restrições a moradia, educação superior e participação no governo local para judeus."
Como a morte de Liev Tolstói impactou a Rússia em 1910?;"Gerou luto nacional; inspirou manifestação de mil estudantes em São Petersburgo contra a pena de morte e uma greve estudantil em protesto a maus-tratos a prisioneiros políticos."
