O que George Weerth expressou em 11 de março de 1848?;"Acreditava que a Revolução mudaria o planeta e apoiava a república (""Vive la Republique!"")."
Como os camponeses do sul da Itália reagiram ao absolutismo?;"Cessaram o apoio ao absolutismo e marcharam para ocupar terras, mas não rejeitaram a ""constituição""."
Qual foi a maior inovação política trazida pelas revoluções?;"As forças conservadoras passaram a usar a ""opinião pública"" e a política de massa como ferramentas de poder."
Quem foi Otto von Bismarck em 1848?;Um arqui-reacionário prussiano que entendeu a política burguesa e dominou suas técnicas.
O que ocorreu com a insurreição da classe trabalhadora na França?;"Foi derrotada em junho, deixando um ""partido da ordem"" forte, mas sem apoio total das massas."
Quem foi eleito presidente da França em dezembro de 1848?;Luís Napoleão, sobrinho do imperador, com ampla maioria de votos.
Por que Luís Napoleão venceu a eleição?;Pelo apoio dos camponeses que queriam acabar com as taxas, os ricos e a república, desejando um imperador forte.
O que a eleição de Luís Napoleão mostrou sobre a democracia?;Que o sufrágio universal podia coexistir com a manutenção da ordem social.
Como Luís Napoleão governou depois?;Aboliu a república, proclamou-se imperador e usou demagogia e relações públicas para governar.
Qual a lição política principal das revoluções de 1848?;Que liberalismo, democracia, nacionalismo e classes trabalhadoras tornaram-se forças permanentes na política.
A derrota das revoluções eliminou definitivamente esses grupos?;Não, eles voltavam e influenciavam até mesmo os estadistas contrários a eles.
Qual foi a última revolução geral no Ocidente segundo Hobsbawm?;A de 1848, que marcou o fim das grandes revoluções políticas no Ocidente.
O que ocorreu com as reivindicações liberais e nacionalistas após 1848?;Foram implementadas gradualmente nos países desenvolvidos, sem grandes revoltas.
Qual fator principal evitou novas revoluções após 1848?;A grande transformação e expansão econômica do período de 1848 até os anos 1870.
O que aconteceu com o capitalismo no período 1848–1870?;O mundo se tornou capitalista e alguns países se industrializaram de forma acelerada.
O que causou as revoluções de 1848 segundo o texto?;A última grande crise econômica do tipo antigo, anterior ao novo ciclo comercial capitalista.
Como foi a recuperação após a crise de 1847-48?;Rápida na indústria, mas com incertezas políticas no ar.
O que marcou o início da década de 1850 para a economia inglesa?;Um boom sem precedentes nas exportações, especialmente de algodão.
Como evoluíram as exportações de algodão inglês entre 1850 e 1860?;"Dobraram em relação à década anterior; crescimento absoluto de mais de 1.300 milhões de jardas."
O que ocorreu com a exportação de ferro da Bélgica entre 1851 e 1857?;Mais que dobrou.
Como foi o crescimento de companhias na Prússia entre 1851-1857?;Foram fundadas 115 companhias com capital total de 114,5 milhões de táleres, o dobro do período anterior.
Qual era o cenário dos lucros durante o boom?;Altos lucros devido ao capital barato e ao aumento nos preços (inflação).
Quanto chegou a render o Credit Mobilier de Paris em lucro?;Até 50% de taxa de lucro.
Quem mais se beneficiou além dos capitalistas?;Os trabalhadores, com aumento do emprego e dos salários.
O que prova a redução do descontentamento popular?;Mesmo com alta dos cereais entre 1853-55, houve poucos tumultos (exceto em regiões atrasadas como Piemonte e Espanha).
Por que os capitalistas estavam satisfeitos com o trabalho disponível?;Havia muita oferta de mão de obra barata, devido à migração em massa para as cidades e outros países.
Consequência política do boom econômico (1850-1857);Deu estabilidade aos governos pós-1848 e enfraqueceu os revolucionários.
Situação política na Inglaterra pós-1850;O cartismo desapareceu e a reforma parlamentar perdeu força.
Benefício do boom para Napoleão III;"Garantiu apoio popular e fortaleceu seu Império ""democrático""."
Efeito nas monarquias restauradas;Recuperação política sem necessidade de parlamentos.
Império dos Habsburgos pós-1848;Centralizou o poder sob um regime absolutista.
Fim da calmaria política do pós-revoluções;Veio com a crise de 1857, reativando a política liberal e nacionalista.
Destaque da década de 1860;Atividade política intensa coexistindo com crescimento econômico contínuo.
Função das Exposições Universais;Celebração do progresso industrial e do capitalismo com grandiosidade.
Exposição de 1851 (Palácio de Cristal);Primeira grande mostra internacional da era capitalista, em Londres.
Razão do progresso econômico após 1850;Capitalismo passou a explorar o mercado global, além da inovação com ferrovias.
Obsessão com o crescimento capitalista;Superar a estagnação anterior e encontrar novos mercados e fontes de lucro.
Invenção revolucionária para o capitalismo;Estrada de ferro: acelerou comunicações, transportes e integração de mercados.
Efeito das ferrovias, vapor e telégrafo;Aceleraram a globalização da economia capitalista.
Comparação de 1847-1857 com outras eras;Equivalente às grandes navegações em termos de expansão econômica.
Papel da Inglaterra na nova economia global;Maior exportadora de capital, mercadorias e mão de obra.
Economia de consumo de massa;Ainda não existia, exceto talvez nos EUA.
Expansão do comércio mundial (1850–1870);Cresceu 260%, muito mais rápido que entre 1800 e 1840.
Exemplo de comércio forçado;Ópio britânico na China dobrou em volume e triplicou de preço.
Investimento externo inglês até 1875;£1 bilhão, 75% disso feito após 1850.
Investimento externo francês (1850-1880);Cresceu 10 vezes.
Qual foi o impacto das descobertas de ouro após 1848?;Aumentaram os meios de pagamento, baixaram juros e incentivaram o crédito.
Aumento da produção de moedas de ouro (1848-1856);Subiu de 4,9 milhões para 28,1 milhões de libras por ano.
Consequência inflacionária do ouro;Criou um raro período de inflação moderada no século XIX, encorajando negócios.
Padrão monetário com base na libra esterlina;Estabilizou o comércio internacional com padrão-ouro confiável.
Impacto econômico das regiões auríferas como Califórnia e Austrália;Tornaram-se mercados ativos com milhões de habitantes com dinheiro em mãos.
Qual a visão dominante dos economistas sobre crescimento na época?;Apoio quase unânime ao liberalismo econômico.
Gewerbefreiheit;Liberdade para exercer qualquer atividade econômica – aplicada na Áustria (1859) e Alemanha (década de 1860).
Liberdade econômica na Suécia e Dinamarca;Suécia (1846-1864) e Dinamarca (1849-1857) aboliram restrições comerciais.
Mudanças legais na formação de empresas;Tornou-se mais livre e menos burocrática na Inglaterra e França.
Abolição das leis contra a usura;Ocorreu entre 1854 e 1867 em vários países europeus.
Controle sobre mineração na Prússia (1851-1865);"Enfraquecido; empresários podiam explorar livremente."
Movimento mais impressionante da época segundo Hobsbawm;Avanço para a total liberdade de comércio.
Qual país abandonou totalmente o protecionismo?;Inglaterra – manteve tarifas apenas por fins fiscais.
União Monetária Latina (1865);França, Bélgica, Suíça e Itália unificaram sistemas monetários.
Importância dos tratados de livre comércio (década de 1860);Reduziram significativamente tarifas entre países industriais.
Posição dos EUA quanto ao livre comércio;Manteve protecionismo, mas com leves mudanças nos anos 1870.
Razão para trabalhadores não se beneficiarem da deflação;Salários baixos ou custo de vida não caía proporcionalmente.
Principal efeito da inflação moderada do período;Aumentou margens de lucro e incentivou investimentos.
Por que o liberalismo prosperou até em monarquias absolutas?;Havia mais barreiras a remover, o que acelerou o progresso econômico.
Reação dos artesãos ao Gewerbefreiheit;Tornaram-se hostis ao liberalismo, alimentando a base da extrema-direita após 1870.
ccomo era a relação patrão-empregado antes de 1875 nas economias capitalistas?;Ainda era regulada por leis e não totalmente entregue ao livre mercado, apesar do discurso liberal.
O que mudou na Inglaterra entre 1867 e 1875 quanto aos sindicatos?;Obstáculos legais aos sindicatos e ao direito de greve foram abolidos discretamente.
Como o Gewerbeordnung alemão de 1869 via as relações de trabalho?;Como contratos livres entre patrões e trabalhadores – regidos apenas pelo mercado.
A liberalização ajudou o crescimento econômico?;Sim, incentivou a iniciativa privada, mas não foi a única causa do crescimento.
A migração e o movimento de capitais em 1848 eram vistos como o quê?;Como algo natural e nem discutido – diferentemente do controle atual.
A liberalização sempre gera progresso econômico?;"Não necessariamente; há casos como a Colômbia (1848–1854) onde a liberalização não trouxe prosperidade imediata."
Qual o sentimento europeu em relação ao liberalismo econômico nesse período?;Grande confiança, pois os lucros cresciam e o mercado de trabalho era regulado por um exército de reserva que mantinha salários baixos.
Por que os ingleses eram tão favoráveis ao comércio livre?;Porque podiam importar matérias-primas e alimentos baratos e vender manufaturas com facilidade.
Por que países rivais da Inglaterra aceitaram o comércio livre?;Porque todos ganhavam com a expansão do comércio mundial e podiam aproveitar o conhecimento e produtos ingleses para industrializar.
O comércio livre prejudicava os países em industrialização?;Não necessariamente – o uso de ferro e máquinas inglesas, por exemplo, ajudou suas indústrias a se desenvolverem.
Qual era a principal medida da expansão econômica no século XIX?;A força a vapor, além da produção de carvão e ferro, eram os principais indicadores.
O que representava a “era da fumaça e do vapor”?;A era dominada pelo uso intenso da força a vapor e carvão na indústria.
Quais países lideravam a produção de ferro em 1870?;Inglaterra (6 milhões de toneladas), seguida por França, Alemanha e EUA com 1 a 2 milhões cada.
Quanto cresceu a produção mundial de carvão, ferro e força a vapor entre 1850 e 1870?;Carvão: 2,5x / Ferro: 4x / Força a vapor: 4,5x.
Qual a importância da estrada de ferro nesse contexto?;Era símbolo da industrialização e integração econômica global.
Como foi o crescimento de máquinas a vapor em países como Suíça e Áustria?;Suíça: de 34 (1850) para quase 1.000 (1870) / Áustria: de 671 (1852) para 9.160 (1875).
Como era a situação de Portugal nesse período?;Muito atrasado – em 1873 tinha apenas cerca de 70 máquinas a vapor, totalizando 1.200 HP.
Quais países estavam mais industrializados per capita em 1850?;Inglaterra e Bélgica.
O que demonstra o consumo de aço per capita em 1850?;"Alta industrialização: Inglaterra (170 lb), Bélgica (90 lb); mais que EUA, França e Alemanha."
Quando os EUA superaram a Inglaterra em força a vapor?;Por volta de 1870, com mais do que o dobro da força a vapor.
Qual país teve o crescimento industrial mais surpreendente?;Alemanha – de 40 mil HP (1850) para 900 mil HP (1870), igualando-se à Inglaterra.
Por que a industrialização da Alemanha foi tão importante?;Transformou o país em potência econômica e política, superando a França.
Qual era a base do poder político e militar no fim do século XIX?;Potencial industrial e tecnológico.
Quais os produtos mais característicos da era?;Carvão e ferro – simbolizados pela estrada de ferro.
Como foi o crescimento da indústria têxtil no período?;"Crescimento mais lento que o da indústria pesada; impactado pela Guerra Civil Americana."
O que possibilitou a produção em massa de aço?;Invenções como o conversor Bessemer (1856) e o forno Siemens-Martin (1864).
A década de 1870 já era a era do aço?;Ainda não – o ferro ainda predominava, e o aço era menos de 15% do ferro acabado.
"Qual foi o verdadeiro avanço da ""nova indústria pesada""?";Escala de produção, não revolução técnica – baseada ainda nas inovações de 1760-1840.
Quais novas indústrias com base científica surgiram nesse período?;Indústria química e elétrica (ex: telégrafo, corantes sintéticos).
Como as invenções da primeira fase industrial eram diferentes das de meados do século XIX?;"Antes, exigiam pouco conhecimento científico; depois, passaram a depender mais da ciência acadêmica."
ual foi a importância do processo Gilchrist-Thomas?;Permitiu a produção de aço barato ao remover fósforo do ferro-gusa, graças à base científica universitária.
O que simboliza a crescente presença do professor na indústria?;A integração do saber científico com a produção industrial (ex: Pasteur e a vinicultura).
Onde surgiu o laboratório de pesquisa comercial?;Nos EUA, no setor telegráfico e com Thomas Edison.
Qual a consequência da penetração da ciência na indústria?;A educação tornou-se essencial ao desenvolvimento industrial.
Por que a Prússia venceu a França em 1870-71?;Soldados prussianos eram mais alfabetizados e treinados.
O que era mais necessário para o desenvolvimento industrial?;Capacidade de aplicar ciência, mais do que fazer descobertas originais.
Qual era o diferencial dos EUA na educação técnica?;Formação sistemática em engenharia em grande escala.
O que era a Realschule alemã?;Escola secundária de orientação técnica, sem currículo clássico.
Quais matérias-primas ganhavam importância global?;Petróleo, borracha e metais como manganês e alumínio.
Quando o petróleo começou a se destacar?;Após 1859, com rápida expansão e domínio da Standard Oil.
O que muitos ainda pensavam sobre metais novos em 1870?;Que não teriam importância econômica como os metais antigos.
Quais eram os principais usos da borracha em 1876?;Roupas impermeáveis e elásticos.
Quantos telefones havia em 1876?;200 na Europa e 380 nos EUA.
Qual inovação era símbolo de novidade em 1876?;Bomba d’água elétrica na Exposição de Viena.
Qual era a maior inovação industrial não científica?;Produção em massa de máquinas.
Quais exemplos demonstram a produção em massa nos EUA?;Colt, Winchester, relógios, máquinas de costura e linhas de montagem.
Qual a essência da máquina feita por máquina?;Produção em grandes quantidades padronizadas.
Por que máquinas de costura, rifles e relógios eram ideais para produção em massa?;Porque podiam ser usados por muitos pequenos produtores ou consumidores.
O que assustava os europeus na indústria americana?;A capacidade dos EUA em produzir em massa com alta eficiência.
Como os europeus viam a produção artesanal?;Preferiam a qualidade artesanal à produção em massa.
O que se dizia sobre a França em 1900 na indústria?;Que manteria sua posição onde habilidade manual fosse mais valorizada, como na fabricação de automóveis.
Qual era o sentimento dos homens de negócios no início da década de 1870?;Confiança e euforia, especialmente na Alemanha (Gründerjahre), apesar dos sinais de esgotamento do modelo de crescimento.
Por que a década de 1870 marca o fim de uma fase de crescimento capitalista?;Porque os efeitos da Revolução Industrial estavam se esgotando e os mercados estavam saturados.
O que causou a crise agrícola nas décadas de 1870 e 1880?;A chegada de cereais baratos dos EUA e da Rússia que prejudicou a agricultura tradicional da Europa.
Qual foi a importância das ferrovias na expansão econômica até 1870?;Eram símbolo da modernidade e expansão, mas o ritmo diminuiu com o esgotamento das novas rotas.
O que Clement Juglar identificou em 1860?;O ciclo econômico (booms e quedas periódicas), antes discutido apenas por socialistas.
O que foi o Gründerjahre?;Período de euforia especulativa na Alemanha, com investimentos exagerados e até fraudulentos.
O que ocorreu com as ferrovias e ações após a derrocada de 1873?;"Falência de 21.000 milhas de ferrovias nos EUA; queda de 60% nas ações na Alemanha."
O que indicava o fim do boom e início da depressão?;"Redução da imigração, paralisação de altos-fornos e persistência da palavra ""crise"" nos debates econômicos."
A Grande Depressão de 1873-1896 foi semelhante à de 1929?;"Não. Foi longa e persistente, mas menos dramática; porém já percebida como depressão na época."
Qual impacto político teve a crise de 1873?;Enfraqueceu o liberalismo clássico do século XIX e marcou o fim de uma era de otimismo progressista.
O que se consolidou globalmente nesse período (1840–1870)?;O capitalismo industrial tornou-se um sistema global, marcando o início da história verdadeiramente mundial.
O que Marx e Engels disseram sobre a burguesia em 1848?;Que ela arrastava todas as nações à civilização, criando um mundo à sua imagem.
O que o Presidente Grant previa em 1873?;Um mundo unificado como uma nação, com um idioma e sem necessidade de exércitos ou navios.
Como era a visão sobre longas viagens no século XIX?;Eram vistas como algo distante, feitas apenas por ingleses ou desesperados.
Antes de 1870, como era a história mundial?;Era uma soma de histórias regionais, com pouca conexão real entre as partes do mundo.
A relação da China com o Ocidente até o século XVIII?;"Irrelevante para a política europeia; China via a Europa como bárbaros distantes."
O que os mapas mostravam em 1848?;Grandes áreas em branco, especialmente na África, Ásia Central, América do Sul e Austrália.
Por que havia ignorância sobre o interior dos continentes?;Pela falta de relações políticas, econômicas e diplomáticas fortes.
Qual era o crescimento do comércio internacional (1720–1780)?;Dobrou de valor.
Crescimento do comércio durante a Revolução Dual (1780–1840)?;Triplicou de valor.
Aumento do comércio por cidadão europeu entre 1830 e 1870?;Entre 3 e 5 vezes, dependendo do país.
Quanto carvão foi exportado em 1870 comparado a 1840?;"31 milhões de toneladas em 1870; 1,4 milhão em 1840."
Exportações de petróleo em 1840 e 1870?;"Zero em 1840; 1,4 milhão de toneladas em 1870."
Exportações britânicas para a Índia (1848–1875)?;De 5 milhões para 24 milhões de libras.
Significado do aumento do comércio britânico com o mundo?;"Multiplicação por 6 vezes em 35 anos; fortalecimento da rede global de trocas."
O que motivava a exploração do mundo?;Política externa, missões religiosas, ciência, jornalismo e interesses econômicos.
Papel de David Livingstone na África?;Explorador cristão que cruzou o continente africano entre 1840 e 1873.
O que disse o monsenhor francês sobre evangelização?;Que a evangelização glorificaria o comércio europeu ao superar barreiras para levar o Evangelho.
Importância da década de 1870 para a unificação mundial?;A rede de comércio e comunicações tornou o mundo mais interdependente e integrado.
Por que o mundo antes de 1870 não era unificado?;Por ignorância geográfica, falta de relações diplomáticas e econômicas entre regiões.
O que marcou a transição para a história mundial moderna?;A industrialização e o comércio global criaram uma realidade operacional unificada.
"O que significava ""explorar"" no século XIX?";"Levar civilização, roupas e mercadorias ao que era visto como ""selvagem""."
"Qual era o papel dos ""exploradores"" nessa época?";Abrir territórios ainda sem valor econômico claro, como partes da África e Austrália.
Por que a África era pouco explorada antes de 1870?;Não havia motivos econômicos claros após o fim do tráfico negreiro.
Quando a África começou a atrair interesse econômico?;A partir da década de 1870, com descoberta de minérios e produtos tropicais.
Como cresceram as exportações britânicas para a África (1840–1880)?;De 1,5 milhão para 10 milhões de libras.
"Por que os oceanos deixaram de atrair ""exploradores""?";Já estavam bem conhecidos e usados por rotas comerciais e cabos submarinos.
