Armênia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-armenia/@@images/image;;;Armênia;"Relação: 1992. Comércio: Baixo (aprox. US$ 40 mi). Brasil exporta carnes, café e tabaco; importa minerais, bebidas e diamantes.";;Organização Mundial do Comércio (OMC) (Acordos multilaterais de comércio);O Brasil mantém acordos no âmbito da OMC com praticamente todos os seus parceiros comerciais listados, incluindo China, Estados Unidos, União Europeia (bloco), Japão, Índia, etc.
Austrália;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/comunidade-da-australia/@@images/image;;;Austrália;"Relação: 1945. Comércio: Aprox. US$ 3 bi. Brasil exporta aviões, calçados e café; importa carvão mineral, cobre e medicamentos.";;G4 (Grupo para reforma do Conselho de Segurança da ONU);Alemanha, Índia, Japão.
Áustria;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-austria/@@images/image;;;Áustria;"Relação: 1871 (reativada 1946). Comércio: Aprox. US$ 1,4 bi. Brasil exporta calçados, café e motores; importa máquinas, papel e medicamentos.";;BASIC (Grupo climático);China, Índia, África do Sul.
Azerbaijão;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-do-azerbaijao/@@images/image;;;Azerbaijão;"Relação: 1993. Comércio: Baixo (aprox. US$ 200 mi). Brasil exporta carnes, açúcar e café; importa petróleo e derivados.";;IBAS (Fórum de Diálogo Índia, Brasil, África do Sul);Índia, África do Sul.
Bahamas;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/comunidade-das-bahamas/@@images/image;;;Bahamas;"Relação: 1973. Comércio: Muito baixo (aprox. US$ 15 mi). Brasil exporta carnes, madeira e aeronaves; importa embarcações e produtos químicos.";;Zona de Paz e Cooperação do Atlântico Sul (ZOPACAS);África do Sul, Angola, Argentina, Benim, Cabo Verde, Camarões, Congo (República), Congo (Rep. Democrática), Costa do Marfim, Gabão, Gâmbia, Gana, Guiné, Guiné-Bissau, Guiné Equatorial, Libéria, Namíbia, Nigéria, Senegal, Serra Leoa, Togo, Uruguai.
Bahrein;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/reino-do-bahrein/@@images/image;;;Bahrein;"Relação: 1976. Comércio: Baixo (aprox. US$ 50 mi). Brasil exporta proteínas animais (frango/halal) e açúcar; importa alumínio e fertilizantes.";;Organização dos Estados Americanos (OEA);Antígua e Barbuda, Argentina, Bahamas, Barbados, Belize, Bolívia, Brasil, Canadá, Chile, Colômbia, Costa Rica, Cuba (suspensa), Dominica, El Salvador, Equador, Estados Unidos, Granada, Guatemala, Guiana, Haiti, Honduras, Jamaica, México, Nicarágua, Panamá, Paraguai, Peru, República Dominicana, Santa Lúcia, São Cristóvão e Névis, São Vicente e Granadinas, Suriname, Trinidad e Tobago, Uruguai, Venezuela.
Bangladesh;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-popular-de-bangladesh/@@images/image;;;Bangladesh;"Relação: 1972 (independência). Comércio: Aprox. US$ 2 bi (crescente). Brasil exporta algodão, soja e açúcar; importa roupas, artigos de cama e calçados.";;Acordo de Livre Comércio Brasil-Chile;Chile.
Barbados;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/barbados/@@images/image;;;Barbados;"Relação: 1971. Comércio: Baixo (aprox. US$ 25 mi). Brasil exporta carnes, madeira e açúcar; importa medicamentos e bebidas.";;Acordo de Complementação Econômica Brasil-México (ACE 53/54);México.
Belarus;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-de-belarus/@@images/image;;;Belarus;"Relação: 1993. Comércio: Baixo (aprox. US$ 150 mi). Brasil exporta café, tabaco e peças de máquinas; importa fertilizantes potássicos e caminhões.";;Acordo de Livre Comércio Mercosul-Israel;Israel.
Bélgica;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/reino-da-belgica/@@images/image;;;Bélgica;"Relação: 1834 (reativada 1945). Comércio: Aprox. US$ 6 bi (porta de entrada para UE). Brasil exporta soja, minério, carnes e café; importa químicos e diamantes.";;Acordo de Livre Comércio Mercosul-EGITO;Egito.
Belize;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/belize/@@images/image;;;Belize;Relação: 1983. Comércio: Muito baixo (aprox. US$ 12 mi). Exportações de carne de frango, açúcar e materiais de construção.;;Acordo de Livre Comércio Mercosul-Palestina;Palestina.
Benim;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-do-benim/@@images/image;;;Benim;"Relação: 1960 (independência). Comércio: Baixo (aprox. US$ 250 mi). Brasil exporta açúcar, óleos e automóveis; importa castanha de caju e algodão.";;Acordo de Livre Comércio Mercosul-Índia (Parceria Preferencial);Índia.
Bolívia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/estado-plurinacional-da-bolivia/@@images/image;;;Bolívia;"Relação: 1830 (independência). Comércio: Aprox. US$ 3 bi. Brasil exporta aviões, máquinas e plásticos; importa gás natural (via gasoduto) e minério de estanho.";;Acordo de Livre Comércio Mercosul-SACU (União Aduaneira da África Austral);África do Sul, Botsuana, Essuatíni, Lesoto, Namíbia.
Bósnia e Herzegovina;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/bosnia-e-herzegovina/@@images/image;;;Bósnia e Herzegovina;"Relação: 1995 (pós-Guerra). Comércio: Baixo (aprox. US$ 30 mi). Brasil exporta café, carnes e tabaco; importa móveis, calçados e ferro.";;;
Botsuana;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-de-botsuana/@@images/image;;;Botsuana;"Relação: 1976. Comércio: Baixo (aprox. US$ 40 mi). Brasil exporta veículos, máquinas e aviões; importa carne e diamantes.";;;
Brunei Darussalam;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/brunei-darussalam/@@images/image;;;Brunei Darussalam;Relação: 1984. Comércio: Muito baixo (aprox. US$ 8 mi). Pequenas exportações de carnes, café e máquinas.;;;
Bulgária;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-bulgaria/@@images/image;;;Bulgária;"Relação: 1925 (reativada 1975). Comércio: Baixo (aprox. US$ 250 mi). Brasil exporta café, tabaco e motores; importa cereais, medicamentos e metais.";;;
Burkina Faso;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/burkina-faso/@@images/image;;;Burkina Faso;"Relação: 1973. Comércio: Baixo (aprox. US$ 30 mi). Brasil exporta açúcar, óleos e medicamentos; importa algodão.";;;
Burundi;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-do-burundi/@@images/image;;;Burundi;Relação: 1965. Comércio: Muito baixo (< US$ 3 mi). Comércio esporádico de chá, café e produtos têxteis.;;;
Butão;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/reino-do-butao/@@images/image;;;Butão;Relação: 1975. Comércio: Muito baixo (< US$ 2 mi). Comércio praticamente inexistente.;;;
Cabo Verde;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-de-cabo-verde/@@images/image;;;Cabo Verde;"Relação: 1975. Comércio: Baixo (aprox. US$ 30 mi). Brasil exporta carnes, açúcar e móveis; importa peixes e crustáceos.";;;
Camboja;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/reino-do-camboja/@@images/image;;;Camboja;"Relação: 1996. Comércio: Baixo (aprox. US$ 80 mi). Brasil exporta calçados, couro e carnes; importa roupas e malas.";;;
Camarões;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-dos-camaroes/@@images/image;;;Camarões;"Relação: 1960. Comércio: Baixo (aprox. US$ 150 mi). Brasil exporta açúcar, carne e papel; importa petróleo, cacau e algodão.";;;
Canadá;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/canada/@@images/image;;;Canadá;"Relação: 1941. Comércio: Aprox. US$ 7 bi. Brasil exporta frutas, café, minério e aviões; importa fertilizantes, máquinas e combustíveis.";;;
Catar;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/estado-do-catar/@@images/image;;;Catar;"Relação: 1974. Comércio: Aprox. US$ 1,5 bi. Brasil exporta proteínas (frango/halal), veículos e açúcar; importa fertilizantes e alumínio.";;;
Cazaquistão;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-do-cazaquistao/@@images/image;;;Cazaquistão;"Relação: 1993. Comércio: Baixo (aprox. US$ 250 mi). Brasil exporta carnes, açúcar e café; importa urânio, ferro-ligas e petróleo.";;;
Chade;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-do-chade/@@images/image;;;Chade;Relação: 1975. Comércio: Muito baixo (< US$ 5 mi). Comércio de algodão e pequenas exportações de aviões e máquinas.;;;
Chile;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-do-chile/@@images/image;;;Chile;"Relação: 1836. Comércio: Aprox. US$ 11 bi (Acordo de Livre Comércio). Brasil exporta aviões, máquinas e veículos; importa cobre, frutas, salmão e vinho.";;;
China;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-popular-da-china/@@images/image;;;China;"Relação: 1974. Comércio: MAIOR PARCEIRO (aprox. US$ 180 bi). Brasil exporta soja, minério de ferro, petróleo e carnes; importa máquinas, equipamentos e químicos.";;;
Chipre;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-de-chipre/@@images/image;;;Chipre;"Relação: 1960 (independência). Comércio: Baixo (aprox. US$ 50 mi). Brasil exporta carnes, café e tabaco; importa medicamentos e produtos químicos.";;;
Colômbia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-colombia/@@images/image;;;Colômbia;"Relação: 1826. Comércio: Aprox. US$ 6 bi. Brasil exporta aviões, máquinas, polímeros e plásticos; importa petróleo, carvão, flores e café.";;;
Comores;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/uniao-das-comores/@@images/image;;;Comores;Relação: 1980. Comércio: Muito baixo (< US$ 2 mi).;;;
Congo (República Democrática);https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-democratica-do-congo/@@images/image;;;Congo (Rep. Democrática);"Relação: 1960 (independência). Comércio: Baixo (aprox. US$ 50 mi). Brasil exporta máquinas e açúcar; importa minérios e madeira.";;;
Congo (República);https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-do-congo/@@images/image;;;Congo (República);Relação: 1962. Comércio: Muito baixo (aprox. US$ 15 mi). Relacionado à logística e construção civil.;;;
Coreia do Norte;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-popular-democratica-da-coreia/@@images/image;;;Coreia do Norte;Relação: 2001 (embaixadas). Comércio: Virtualmente nulo devido a sanções da ONU.;;;
Coreia do Sul;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-coreia/@@images/image;;;Coreia do Sul;"Relação: 1959 (reativada 1991). Comércio: Aprox. US$ 11 bi. Brasil exporta minério, soja, café e carnes; importa eletrônicos, automóveis, aço e químicos.";;;
Costa Rica;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-costa-rica/@@images/image;;;Costa Rica;"Relação: 1850 (reativada). Comércio: Aprox. US$ 500 mi. Brasil exporta aviões e máquinas; importa equipamentos médicos e eletrônicos.";;;
Costa do Marfim;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-cote-d-ivoire-costa-do-marfim/@@images/image;;;Costa do Marfim;"Relação: 1960. Comércio: Baixo (aprox. US$ 300 mi). Brasil exporta carnes e açúcar; importa cacau, borracha e algodão.";;;
Croácia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-croacia/@@images/image;;;Croácia;"Relação: 1992 (independência). Comércio: Baixo (aprox. US$ 100 mi). Brasil exporta café e soja; importa medicamentos e máquinas.";;;
Cuba;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-de-cuba/@@images/image;;;Cuba;"Relação: 1902 (reativada 1986). Comércio: Baixo (aprox. US$ 200 mi). Brasil exporta carnes, leite e máquinas; importa medicamentos, rum e tabaco.";;;
Djibuti;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-do-djibuti/@@images/image;;;Dinamarca;"Relação: 1828. Comércio: Aprox. US$ 2 bi. Brasil exporta soja, café e carnes; importa medicamentos, máquinas e insumos para carne suína.";;;
Dinamarca;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/reino-da-dinamarca/@@images/image;;;Dominica;Relação: 1978. Comércio: Muito baixo (< US$ 3 mi).;;;
Dominica;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/comunidade-da-dominica/@@images/image;;;Egito;"Relação: 1924. Comércio: Aprox. US$ 5 bi. Brasil exporta carnes (frango), açúcar, milho e minério; importa fertilizantes e frutas.";;;
Egito;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-arabe-do-egito/@@images/image;;;El Salvador;"Relação: 1906 (reativada). Comércio: Baixo (aprox. US$ 100 mi). Brasil exporta aviões e carnes; importa medicamentos e tecidos.";;;
El Salvador;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-de-el-salvador/@@images/image;;;Emirados Árabes;"Relação: 1974. Comércio: Aprox. US$ 5 bi. Brasil exporta proteínas (frango/halal), açúcar e ouro; importa fertilizantes, alumínio e plásticos.";;;
Emirados Árabes Unidos;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/emirados-arabes-unidos/@@images/image;;;Equador;"Relação: 1830 (dissolução da Grã-Colômbia). Comércio: Aprox. US$ 2 bi. Brasil exporta máquinas e plásticos; importa petróleo, camarão e flores.";;;
Equador;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-do-equador/@@images/image;;;Eritreia;Relação: 1993 (independência). Comércio: Praticamente nulo.;;;
Estado da Eritreia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/estado-da-eritreia/@@images/image;;;Eslováquia;"Relação: 1993 (divisão da Tchecoslováquia). Comércio: Aprox. US$ 350 mi. Brasil exporta soja, café e carne; importa veículos e equipamentos.";;;
Eslováquia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-eslovaca/@@images/image;;;Eslovênia;"Relação: 1992 (independência). Comércio: Baixo (aprox. US$ 80 mi). Brasil exporta café, couro e carnes; importa medicamentos e máquinas.";;;
Eslovênia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-eslovenia/@@images/image;;;Espanha;"Relação: 1871. Comércio: Aprox. US$ 10 bi. Brasil exporta soja, café, minério e carnes; importa veículos, máquinas e peças.";;;
Espanha;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/reino-da-espanha/@@images/image;;;Essuatíni;"Relação: 1976. Comércio: Baixo (aprox. US$ 20 mi). Brasil exporta máquinas e aviões; importa químicos e madeira.";;;
Essuatíni;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/reino-de-essuatini/@@images/image;;;Estados Unidos;"Relação: 1824. Comércio: 2º MAIOR PARCEIRO (aprox. US$ 75 bi). Brasil exporta petróleo, aviões, café e minério; importa máquinas, químicos e combustíveis.";;;
Estados Unidos da América;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/estados-unidos-da-america/@@images/image;;;Estônia;"Relação: 1992 (independência soviética). Comércio: Baixo (aprox. US$ 60 mi). Brasil exporta café, carne e celulose; importa equipamentos e fertilizantes.";;;
Estônia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-estonia/@@images/image;;;Etiópia;"Relação: 1951. Comércio: Baixo (aprox. US$ 80 mi). Brasil exporta aviões e máquinas; importa café, couro e sementes.";;;
Etiópia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-democratica-federal-da-etiopia/@@images/image;;;Fiji;Relação: 1975. Comércio: Muito baixo (aprox. US$ 5 mi).;;;
Fiji;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-de-fiji/@@images/image;;;Filipinas;"Relação: 1946. Comércio: Aprox. US$ 3 bi. Brasil exporta carne (frango), farelo de milho e algodão; importa cobre e equipamentos eletrônicos.";;;
Filipinas;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-das-filipinas/@@images/image;;;Finlândia;"Relação: 1919 (independência finlandesa). Comércio: Aprox. US$ 2 bi. Brasil exporta soja, café e minério; importa celulose, máquinas e papel.";;;
Finlândia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-finlandia/@@images/image;;;França;"Relação: 1826. Comércio: Aprox. US$ 8 bi. Brasil exporta soja, café, carnes e minério; importa máquinas, aviões (Airbus), químicos e bebidas.";;;
França;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-francesa/@@images/image;;;Gabão;"Relação: 1960. Comércio: Baixo (aprox. US$ 40 mi). Brasil exporta carnes e máquinas; importa petróleo e madeira.";;;
Gabão;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-gabonesa/@@images/image;;;Gâmbia;Relação: 1974. Comércio: Muito baixo (< US$ 5 mi).;;;
Gâmbia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-gambia/@@images/image;;;Gana;"Relação: 1957. Comércio: Aprox. US$ 600 mi. Brasil exporta carnes, açúcar e aeronaves; importa petróleo, cacau e frutas.";;;
Gana;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-de-gana/@@images/image;;;Geórgia;"Relação: 1993. Comércio: Baixo (aprox. US$ 150 mi). Brasil exporta carnes, café e máquinas; importa medicamentos e bebidas.";;;
Geórgia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/georgia/@@images/image;;;Granada;Relação: 1975. Comércio: Muito baixo (< US$ 2 mi).;;;
Granada;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/granada/@@images/image;;;Grécia;"Relação: 1833 (independente do Império Otomano). Comércio: Aprox. US$ 1,2 bi. Brasil exporta café, soja, carnes e minério; importa máquinas, medicamentos e frutas.";;;
Grécia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/grecia-republica-helenica/@@images/image;;;Guatemala;"Relação: 1875 (reativada). Comércio: Baixo (aprox. US$ 200 mi). Brasil exporta aviões, carnes e plásticos; importa borracha e café.";;;
Guatemala;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-guatemala/@@images/image;;;Guiana;"Relação: 1966 (independência britânica). Comércio: Aprox. US$ 500 mi (crescente). Brasil exporta máquinas, aviões e alimentos; importa petróleo (recente) e arroz.";;;
Guiana;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-cooperativa-da-guiana/@@images/image;;;Guiné;Relação: 1958. Comércio: Baixo (aprox. US$ 20 mi). Relacionado à mineração e construção civil.;;;
Guiné;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-guine/@@images/image;;;Guiné-Bissau;Relação: 1974 (independência). Comércio: Muito baixo (< US$ 10 mi). Baseado principalmente em cooperação técnica.;;;
Guiné-Bissau;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-guine-bissau/@@images/image;;;Guiné Equatorial;"Relação: 1975 (independência). Comércio: Baixo (aprox. US$ 30 mi). Brasil exporta carnes e máquinas; importa petróleo.";;;
Guiné Equatorial;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-guine-equatorial/@@images/image;;;Haiti;Relação: 1928. Comércio: Baixo (aprox. US$ 40 mi). Brasil exporta arroz, carnes e materiais de construção (exportação + missão de paz).;;;
Haiti;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-do-haiti/@@images/image;;;Honduras;Relação: 1875 (reativada). Comércio: Baixo (aprox. US$ 80 mi). Brasil exporta aviões e produtos manufaturados.;;;
Honduras;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-de-honduras/@@images/image;;;Hungria;"Relação: 1920 (reativada 1961). Comércio: Aprox. US$ 1,5 bi. Brasil exporta soja, café e peças de veículos; importa veículos (ônibus) e equipamentos.";;;
Hungria;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/hungria/@@images/image;;;Iêmen;"Relação: 1977. Comércio: Baixo (aprox. US$ 30 mi). Brasil exporta carnes e açúcar; comércio muito afetado pela guerra civil.";;;
Iêmen;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-do-iemen/@@images/image;;;Ilhas Cook;Relação: 2005. Comércio: Muito baixo (< US$ 1 mi).;;;
Ilhas Cook;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/ilhas-cook/@@images/image;;;Ilhas Marshall;Relação: 2010. Comércio: Muito baixo (< US$ 1 mi).;;;
Ilhas Marshall;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-das-ilhas-marshall/@@images/image;;;Ilhas Salomão;Relação: 1984. Comércio: Muito baixo (< US$ 1 mi).;;;
Ilhas Salomão;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/ilhas-salomao/@@images/image;;;Índia;"Relação: 1948. Comércio: Aprox. US$ 15 bi. Brasil exporta óleos vegetais, açúcar, minério e soja; importa químicos, têxteis, automóveis e petróleo.";;;
Índia;https://www.gov.br/mre/pt-br/assuntos/relacoes-bilaterais/todos-os-paises/republica-da-india/@@images/image;;;Indonésia;"Relação: 1953. Comércio: Aprox. US$ 6 bi. Brasil exporta soja, açúcar, algodão e carnes; importa óleo de palma, borracha e calçados.";;;
