to abolish;abolir
civic;cívico(a)
civilian;civil (pessoa não militar)
clarity;clareza
clash (n) / to clash (v);confronto / confrontar, colidir
classification;classificação
to cling;agarrar-se, apegar-se
clinical;clínico(a)
closure;fechamento
cluster;aglomerado, grupo
coalition;coalizão
coastal;costeiro(a)
cocktail;coquetel
cognitive;cognitivo(a)
to coincide;coincidir
to collaborate;colaborar
collaboration;colaboração
collective;coletivo(a)
collision;colisão
colonial;colonial
columnist;colunista
combat (n) / to combat (v);combate / combater
to commence;começar, iniciar
commentary;comentário (série de observações)
commentator;comentarista
commerce;comércio
commissioner;comissário(a)
commodity;mercadoria, bem
communist (n / adj);comunista
companion;companheiro(a)
comparable;comparável
compassion;compaixão
to compel;compelir, obrigar
compelling;convincente, envolvente
to compensate;compensar
compensation;compensação
competence;competência
competent;competente
to compile;compilar
complement (n) / to complement (v);complemento / complementar
complexity;complexidade
compliance;conformidade, obediência
complication;complicação
to comply;cumprir, obedecer
composition;composição
to comprise;compreender, incluir
compromise (n) / to compromise (v);compromisso / comprometer
to compute;computar, calcular
to conceal;esconder, ocultar
to concede;conceder, admitir (derrota)
to conceive;conceber, imaginar
conception;concepção
concession;concessão
to condemn;condenar
to confer;conferir, conceder, consultar
confession;confissão
configuration;configuração
to confine;limitar, confinar
confirmation;confirmação
to confront;confrontar
confrontation;confronto
to congratulate;parabenizar
congregation;congregação
congressional;congressional (relativo ao congresso)
to conquer;conquistar
conscience;consciência (moral)
consciously;conscientemente
consciousness;consciência
consecutive;consecutivo(a)
consensus;consenso
consent (n) / to consent (v);consentimento / consentir
to conserve;conservar
consistency;consistência
to consolidate;consolidar
consolidation;consolidação
to constitute;constituir
constitution;constituição
constitutional;constitucional
constraint;restrição, limite
consultation;consulta
to contemplate;contemplar
contempt;desprezo
to contend;contender, sustentar (opinião)
contender;contendente, concorrente
content (adj);contente, satisfeito(a)
contention;controvérsia, alegação
continually;continuamente
contractor;contratante, empreiteiro
contradiction;contradição
contrary (adj / n);contrário(a)
contributor;contribuinte, colaborador
conversion;conversão
convict (n) / to convict (v);condenado / condenar
conviction;convicção, condenação
to cooperate;cooperar
cooperative;cooperativo(a)
to coordinate;coordenar
coordination;coordenação
coordinator;coordenador(a)
copyright;direitos autorais
correction;correção
to correlate;correlacionar
correlation;correlação
to correspond;corresponder
correspondence;correspondência
correspondent;correspondente (jornalismo)
corresponding;correspondente
correspondingly;correspondentemente
corrupt (adj);corrupto(a)
corruption;corrupção
costly;caro(a), custoso(a)
councillor;conselheiro(a) (política)
counselling;aconselhamento, terapia
counsellor;conselheiro(a) (terapeuta)
to counter;contrapor, contrariar
counterpart;contraparte, homólogo(a)
countless;inúmeros, incontáveis
coup;golpe (de estado)
courtesy;cortesia
craft (n) / to craft (v);artesanato, ofício / criar com habilidade
to crawl;engatinhar, rastejar
creator;criador(a)
credibility;credibilidade
credible;crível, confiável
to creep;rastejar, andar furtivamente
criterion;critério
critique;crítica (análise)
crown;coroa
crude;bruto, cru, grosseiro
to crush;esmagar, triturar
crystal;cristal
cult;culto (seita, grupo fechado)
to cultivate;cultivar
curiosity;curiosidade
custody;custódia, guarda
cutting (n / adj);corte / cortante, incisivo(a)
cynical;cínico(a)
dam;represa
damaging;prejudicial, danoso(a)
dawn;amanhecer
debris;destroços, entulho
debut;estreia, debute
decision-making;tomada de decisão
decisive;decisivo(a)
declaration;declaração
dedicated;dedicado(a)
dedication;dedicação
deed;ato, feito, escritura
to deem;considerar, julgar
default;padrão, omissão, inadimplência
defect;defeito
defensive;defensivo(a)
deficiency;deficiência
deficit;déficit
definitive;definitivo(a)
to defy;desafiar, desobedecer
delegate (n);delegado(a)
delegation;delegação
delicate;delicado(a)
demon;demônio
denial;negação
to denounce;denunciar
dense;denso(a)
density;densidade
dependence;dependência
to depict;retratar, descrever
to deploy;implantar, posicionar (tropas)
deployment;implantação, destacamento
to deprive;privar
deputy;deputado(a), substituto(a)
to descend;descer
descent;descendência, queda
to designate;designar
desirable;desejável
destructive;destrutivo(a)
to detain;deter, prender
detection;detecção
detention;detenção
to deteriorate;deteriorar, piorar
to devastate;devastar
to devise;idealizar, conceber
to diagnose;diagnosticar
diagnosis;diagnóstico
to dictate;ditar
dictator;ditador(a)
to differentiate;diferenciar
dignity;dignidade
dilemma;dilema
dimension;dimensão
to diminish;diminuir
to dip;mergulhar brevemente, inclinar
diplomat;diplomata
diplomatic;diplomático(a)
directory;diretório, lista telefônica
disastrous;desastroso(a)
to discard;descartar
to discharge;descarregar, liberar, dispensar
to disclose;divulgar, revelar
disclosure;divulgação
discourse;discurso
discretion;discrição
discrimination;discriminação
to disregard;ignorar, desconsiderar
dismissal;demissão, dispensa
to displace;deslocar, substituir
disposal;eliminação, descarte
to dispose of;descartar, livrar-se de
dispute (n) / to dispute (v);disputa / contestar
to disrupt;interromper, perturbar
disruption;interrupção, perturbação
to dissolve;dissolver
distinction;distinção
distinctive;distintivo(a), característico(a)
to distort;distorcer
distress;sofrimento, angústia
disturbing;perturbador(a)
to divert;desviar
divine (adj);divino(a)
doctrine;doutrina
documentation;documentação
domain;domínio
dominance;dominância
donor;doador(a)
dose;dose
drawback;desvantagem, inconveniente
to drain;drenar, esgotar
to drift;flutuar, derivar
to drown;afogar
dual;duplo(a), dual
to dub;dublar, apelidar
dumb;mudo(a), burro(a) (gíria)
duo;dupla, duo
earnings;ganhos, lucros
ease (n) / to ease (v);facilidade / aliviar, facilitar
echo (n) / to echo (v);eco / ecoar
ecological;ecológico(a)
educator;educador(a)
effectiveness;eficácia
efficiency;eficiência
ego;ego
elaborate (adj);elaborado(a), detalhado(a)
electoral;eleitoral
to elevate;elevar
eligible;elegível
elite;elite
to embark;embarcar
embarrassment;constrangimento
embassy;embaixada
to embed;incorporar, embutir
to embody;incorporar, representar
emergence;surgimento, emergência
empirical;empírico(a)
to empower;empoderar
to enact;promulgar, encenar
to encompass;abranger, englobar
encouragement;encorajamento
encouraging;encorajador(a)
endeavour (n);esforço, empreendimento
endless;sem fim, interminável
to endorse;endossar, apoiar
endorsement;endosso, apoio
to endure;suportar, durar
to enforce;fazer cumprir (lei)
enforcement;aplicação (da lei)
engagement;compromisso, noivado
engaging;envolvente, cativante
to enrich;enriquecer
to enrol;inscrever-se, matricular
enterprise;empresa, empreendimento
enthusiast;entusiasta
to entitle;intitular, dar direito a
entity;entidade
epidemic;epidemia
equality;igualdade
equation;equação
to erect;erguer
to escalate;escalar, aumentar
escort (n) / to escort (v);escolta / escoltar
essence;essência
establishment;estabelecimento
eternal;eterno(a)
to evacuate;evacuar
to evoke;evocar
evolutionary;evolutivo(a)
to exaggerate;exagerar
excellence;excelência
exceptional;excepcional
excess;excesso
exclusion;exclusão
exclusive;exclusivo(a)
exclusively;exclusivamente
to execute;executar
execution;execução
to exert;exercer (influência, esforço)
exile;exílio
expenditure;gasto, despesa
experimental;experimental
to expire;expirar, vencer (prazo)
explicit;explícito(a)
explicitly;explicitamente
exploitation;exploração
explosive (n / adj);explosivo(a)
extremist;extremista
to facilitate;facilitar
faction;facção
to fade;desaparecer gradualmente
fairness;justiça, imparcialidade
fatal;fatal
fate;destino, sorte
favourable;favorável
feat;façanha
felony;crime grave, delito
feminist (n / adj);feminista
fibre;fibra
fierce;feroz, intenso(a)
filmmaker;cineasta
filter (n) / to filter (v);filtro / filtrar
firearm;arma de fogo
fiscal;fiscal (relativo a impostos)
flaw;falha, defeito
flawed;falho(a), defeituoso(a)
to flee;fugir
fleet;frota
flesh;carne
flexibility;flexibilidade
to flourish;florescer
fluid (n);fluido, líquido
footage;filmagem
to foresee;prever
foreigner;estrangeiro(a)
to forge;forjar, criar (relações)
formula;fórmula
to formulate;formular
forth (adv);para frente, adiante (e assim por diante)
forthcoming;próximo(a), iminente
to foster;promover, estimular
fragile;frágil
franchise;franquia
frankly (adv);francamente
fraudulent;fraudulento(a)
frustrating;frustrante
frustration;frustração
functional;funcional
fundraising;arrecadação de fundos
gambling;jogo de azar
gathering;reunião, encontro
to gaze;olhar fixamente
gear;engrenagem, equipamento
generic;genérico(a)
genocide;genocídio
to glance;olhar rapidamente, dar uma olhada
glimpse;vislumbre
glorious;glorioso(a)
glory;glória
governance;governança
grace;graça, elegância
to grasp;agarrar, compreender
grave (adj) (serious);grave
gravity;gravidade
grid;grade, rede elétrica
grief;tristeza, luto
to grin;sorrir amplamente
to grind;moer, ranger
grip (n) / to grip (v);aperto / agarrar firmemente
gross (adj);bruto, grosseiro
guerrilla;guerrilha
guidance;orientação
guilt;culpa
gut;intestino, instinto (guts)
to hail;saudar, elogiar (vir de)
halfway;na metade do caminho
to halt;parar, interromper
handful;punhado
handling;manuseio, gestão
handy;útil, à mão
harassment;assédio
hardware;hardware, ferragem
harmony;harmonia
harsh;severo(a), duro(a)
harvest (n) / to harvest (v);colheita / colher
hatred;ódio
to haunt;assombrar
hazard;perigo, risco
hence (adv);portanto, daí
heighten;aumentar, intensificar
heritage;herança, patrimônio
hierarchy;hierarquia
high-profile;de alto perfil, notório(a)
homeland;pátria, terra natal
hopeful;esperançoso(a)
horizon;horizonte
hostage;refém
hostile;hostil
hostility;hostilidade
humanitarian;humanitário(a)
humanity;humanidade
humble;humilde
hydrogen;hidrogênio
hypothesis;hipótese
identification;identificação
ideological;ideológico(a)
ideology;ideologia
ignorance;ignorância
imagery;imagens, simbolismo
immense;imenso(a)
imminent;iminente
implementation;implementação
to imprison;prender, encarcerar
inability;incapacidade
inadequate;inadequado(a)
inappropriate;inapropriado(a)
to incarcerate;encarcerar
incarceration;encarceramento
incidence;incidência
inclined;inclinado(a) (a fazer algo)
inclusion;inclusão
to incur;incorrer em
indicator;indicador
indictment;acusação formal (crime)
indigenous;indígena
to induce;induzir
to indulge;satisfazer (vontade), entregar-se
inequality;desigualdade
infamous;infame
to infect;infectar
to inflict;infligir
influential;influente
infrastructure;infraestrutura
inherent;inerente
to inhibit;inibir
to initiate;iniciar
to inject;injetar
injection;injeção
injustice;injustiça
inmate;detento(a), preso(a)
to inquire;informar-se, perguntar
insertion;inserção
insider;pessoa de dentro (informante)
to inspect;inspecionar
inspection;inspeção
inspiration;inspiração
instinct;instinto
institutional;institucional
to instruct;instruir, dar ordens
instrumental;instrumental (importante para)
insufficient;insuficiente
insult (n) / to insult (v);insulto / insultar
intact;intacto(a)
intake;ingestão, admissão
integral;integral, essencial
integrated;integrado(a)
integration;integração
integrity;integridade
to intensify;intensificar
intensity;intensidade
intensive;intensivo(a)
intent (n);intenção
interactive;interativo(a)
interface;interface
to interfere;interferir
interference;interferência
interim (adj);provisório, interino(a)
interior (n / adj);interior
intermediate;intermediário(a)
intersection;interseção, cruzamento
to intervene;intervir
intervention;intervenção
intimate (adj);íntimo(a)
intriguing;intrigante
inventory;inventário
investigator;investigador(a)
invisible;invisível
to invoke;invocar
involvement;envolvimento
ironic;irônico(a)
ironically;ironicamente
irony;ironia
irrelevant;irrelevante
isolation;isolamento
judicial;judicial
jurisdiction;jurisdição
just (adj);justo(a)
justification;justificativa
landlord;senhorio(a) (aluguel)
landmark;marco, ponto de referência
lap;colo, volta (corrida)
large-scale;em larga escala
latter (adj);último(a) (de dois mencionados)
lawmaker;legislador(a)
lawn;gramado
lawsuit;processo judicial
layout;disposição, leiaute
leak (n) / to leak (v);vazamento / vazar
to leap;saltar, pular
legacy;legado
legendary;lendário(a)
legislation;legislação
legislative;legislativo(a)
legislature;legislatura, poder legislativo
legitimate;legítimo(a)
lengthy;longo(a), demorado(a)
lesbian (adj / n);lésbica
lesser;menor (em importância)
lethal;letal
liable;responsável, passível de
liability;responsabilidade, passivo (financeiro)
liberal (adj / n);liberal
liberation;libertação
liberty;liberdade
lifelong;por toda a vida
likelihood;probabilidade
limb;membro (corpo)
linear;linear
line-up;escalação, fila
to linger;permanecer, demorar-se
listing;listagem
literacy;alfabetização
lobby (n) / to lobby (v);lobby / fazer lobby
logic;lógica
long-standing;antigo(a), de longa data
long-time;antigo(a) (há muito tempo)
to loom;pairar (ameaça)
loop;laço, círculo, repetição
loyalty;lealdade
machinery;maquinário
magical;mágico(a)
magnetic;magnético(a)
magnitude;magnitude
mainland;continente (terra principal)
mainstream (n / adj);corrente principal, convencional
maintenance;manutenção
mandate;mandato, autorização
mandatory;obrigatório(a)
to manifest;manifestar
to manipulate;manipular
manipulation;manipulação
manuscript;manuscrito
march (n) / to march (v);marcha / marchar
marginal;marginal
marine;marinho(a)
marketplace;mercado (lugar)
massacre;massacre
mathematical;matemático(a)
mature (adj);maduro(a)
to maximise;maximizar
meaningful;significativo(a)
meantime (in the meantime);nesse meio tempo
medieval;medieval
meditation;meditação
melody;melodia
memo;memorando
memoir;memórias (biografia)
memorial;memorial
mentor;mentor(a)
merchant;comerciante
mercy;misericórdia
mere;mero(a)
merely;meramente
to merge;fundir, mesclar
merger;fusão
merit;mérito
in the midst of (prep);em meio a, no meio de
migration;migração
militant (n / adj);militante
militia;milícia
minimal;mínimo(a)
to minimise;minimizar
mining;mineração
ministry;ministério
minute (adj) (tiny);minúsculo(a)
miracle;milagre
misery;miséria
misleading;enganoso(a)
mismanagement;má gestão
missile;míssil
mob;multidão (violenta)
mobility;mobilidade
to mobilise;mobilizar
moderate (adj);moderado(a)
modification;modificação
module;módulo
momentum;momentum, impulso
monk;monge
monopoly;monopólio
morality;moralidade
motive;motivo
municipal;municipal
mutual;mútuo(a)
naive;ingênuo(a)
namely (adv);a saber, nomeadamente
nationwide (adj / adv);em todo o país
naval;naval
to neglect;negligenciar
neighbouring;vizinho(a)
newsletter;boletim informativo
niche;nicho
noble;nobre
to nod;acenar com a cabeça (concordar)
to nominate;nomear (para cargo/prêmio)
nomination;nomeação
nominee;nomeado(a)
nonetheless (adv);não obstante
non-profit;sem fins lucrativos
nonsense;absurdo, besteira
norm;norma
notable;notável
notably;notavelmente
to notify;notificar
notorious;notório(a)
nursery;berçário, creche
objection;objeção
to oblige;obrigar
to obsess;obcecar
obsession;obsessão
occasional;ocasional
occurrence;ocorrência
odds;probabilidades, chances
offering;oferta
offspring;prole, descendência
operational;operacional
to opt;optar
optimism;otimismo
oral;oral
organisational;organizacional
orientation;orientação
to originate;originar(-se)
outbreak;surto, eclosão
outing;passeio, excursão
outlet;saída, ponto de venda, canal (TV)
outlook;perspectiva, visão
outrage;indignação
outsider;forasteiro(a)
to overlook;ignorar, ter vista para
overly (adv);excessivamente
to oversee;supervisionar
to overturn;anular, derrubar (governo)
to overwhelm;sobrecarregar, impressionar
overwhelming;avassalador(a)
parameter;parâmetro
parental;parental
partial;parcial
partially;parcialmente
passing (n / adj);passagem (morte) / passageiro(a)
passive;passivo(a)
pastor;pastor (religioso)
patent;patente
pathway;caminho (figurativo)
patrol (n) / to patrol (v);patrulha / patrulhar
patron;patrono, cliente habitual
peak;pico, auge
peasant;camponês(a)
peculiar;peculiar, estranho(a)
to persist;persistir
persistent;persistente
personnel;pessoal (funcionários)
petition;petição
philosopher;filósofo(a)
philosophical;filosófico(a)
pioneer;pioneiro(a)
pipeline;duto, gasoduto
pit;poço, cova
plausible;plausível
plea;apelo, alegação (jurídica)
to plead;implorar, alegar (em tribunal)
pledge (n) / to pledge (v);promessa / prometer
plunge (n) / to plunge (v);mergulho / mergulhar, despencar
pole;polo, vara
poll;pesquisa de opinião, votação
portfolio;portfólio
to portray;retratar
to postpone;adiar
post-war;pós-guerra
practitioner;profissional (médico, advogado)
to preach;pregar (sermão)
to precede;preceder
precedent;precedente
precision;precisão
predator;predador
predecessor;antecessor(a)
predominantly;predominantemente
pregnancy;gravidez
prejudice;preconceito
preliminary;preliminar
premier (n);primeiro-ministro, governante
premise;premissa
premium;prêmio, bônus
to prescribe;prescrever
prescription;prescrição, receita médica
presently;atualmente, logo
preservation;preservação
to preside;presidir
presidency;presidência
prestigious;prestigioso(a)
presumably;presumivelmente
to presume;presumir
to prevail;prevalecer
prevalence;prevalência
prevention;prevenção
prey;presa (animal)
privatization;privatização
privilege;privilégio
probe (n) / to probe (v);sonda / investigar
problematic;problemático(a)
proceeding (n);processo, procedimento
proceeds;produto (receita)
processing;processamento
processor;processador
to proclaim;proclamar
productive;produtivo(a)
productivity;produtividade
profitable;lucrativo(a)
profound;profundo(a)
projection;projeção
prominent;proeminente
pronounced (adj);pronunciado, acentuado(a)
propaganda;propaganda (ideológica)
proposition;proposição, proposta
to prosecute;processar (crime)
prosecution;acusação (em tribunal)
prosecutor;promotor(a)
prospective;prospectivo(a), em potencial
prosperity;prosperidade
protective;protetor(a)
protocol;protocolo
province;província
provincial;provincial
provision;provisão
to provoke;provocar
psychiatric;psiquiátrico(a)
pulse;pulso
query;consulta, pergunta
quest;busca, missão
quota;cota
radical;radical
rage;raiva, fúria
raid (n) / to raid (v);batida, invasão / invadir
rally (n) / to rally (v);comício / reunir, mobilizar
ranking;classificação
rape (n) / to rape (v);estupro / estuprar
ratio;proporção, razão
rational;racional
ray;raio
readily;prontamente, facilmente
realization;realização (compreensão)
realm;reino, domínio
rear (n / adj);parte traseira, traseiro(a)
reasoning;raciocínio
to reassure;tranquilizar
rebel (n);rebelde
rebellion;rebelião
recipient;destinatário(a)
reconstruction;reconstrução
to recount;relatar, contar (história)
recruitment;recrutamento
referendum;referendo
reflection;reflexão
reform (n) / to reform (v);reforma / reformar
refuge;refúgio
refusal;recusa
to regain;recuperar
regardless (adv);independentemente, sem levar em conta
regime;regime
regulator;regulador(a)
regulatory;regulatório(a)
rehabilitation;reabilitação
reign (n) / to reign (v);reinado / reinar
rejection;rejeição
relevance;relevância
reliability;confiabilidade
reluctant;relutante
remainder;restante
remains;restos, ruínas
remedy;remédio, solução
reminder;lembrete
removal;remoção
to render;tornar, prestar, fornecer
to renew;renovar
renowned;renomado(a)
rental;aluguel
replacement;substituição
reportedly;segundo relatos
representation;representação
to reproduce;reproduzir
reproduction;reprodução
republic;república
to resemble;assemelhar-se
to reside;residir
residence;residência
residential;residencial
residue;resíduo
resignation;renúncia
resistance;resistência
respective;respectivo(a)
respectively;respectivamente
restoration;restauração
restraint;restrição, moderação
to resume;retomar
retreat (n) / to retreat (v);retiro / recuar
to retrieve;recuperar, resgatar
revelation;revelação
revenge;vingança
to reverse;reverter, inverter
revival;reavivamento
to revive;reviver
revolutionary (adj / n);revolucionário(a)
rhetoric;retórica
riot;motim, rebelião
to rip;rasgar
ritual;ritual
robust;robusto(a)
rod;haste, vara
rookie;novato(a) (esporte/trabalho)
roster;lista, escala, elenco
to rotate;girar, rotacionar
rotation;rotação
ruling (n / adj);decisão (judicial) / vigente
rumour;boato
sacred;sagrado(a)
sacrifice (n) / to sacrifice (v);sacrifício / sacrificar
saint;santo(a)
sake (for the sake of);por causa de, para benefício de
sanction;sanção
saviour;salvador(a)
scenario;cenário
scattered;espalhado(a), disperso(a)
scope;escopo, alcance
screw (n) / to screw (v);parafuso / aparafusar
scrutiny;escrutínio
seal (n) / to seal (v);selo / selar
secondly;em segundo lugar
secular;secular (não religioso)
seemingly;aparentemente
segment;segmento
to seize;apreender, aproveitar
seldom;raramente
selective;seletivo(a)
sensation;sensação
sensitivity;sensibilidade
sentiment;sentimento
separation;separação
serial;serial
settlement;acordo, liquidação, povoamento
setup;configuração, arranjo
sexuality;sexualidade
shareholder;acionista
to shatter;despedaçar, destruir
to shed;derramar, perder (folhas, pelo)
sheer;puro(a) (intensificador)
shipping;transporte (carga)
to shrink;encolher
to shrug;dar de ombros
to sigh;suspirar
to simulate;simular
simulation;simulação
simultaneously;simultaneamente
sin;pecado
situated;situado(a)
sceptical;cético(a)
sketch;esboço, rascunho
slash (n) / to slash (v);corte / cortar, reduzir drasticamente
slavery;escravidão
slot;fenda, horário (programação)
to smash;esmagar, quebrar
to snap;quebrar, estalar (foto)
to soak;ensopar, absorver
to soar;disparar (preços), voar alto
socialist (adj / n);socialista
sole (adj);único(a) (exclusivo)
solely;exclusivamente, apenas
solidarity;solidariedade
solo (n / adj);solo
sovereignty;soberania
span (n) / to span (v);período, extensão / abranger
spark (n) / to spark (v);faísca / provocar, desencadear
specialised;especializado(a)
specification;especificação
specimen;espécime, amostra
spectacle;espetáculo
spectrum;espectro
sphere;esfera
to spin;girar, fiar
spine;coluna vertebral
spotlight;holofote, atenção da mídia
spouse;cônjuge
squad;esquadrão, time (esporte)
to squeeze;apertar, comprimir
to stab;esfaquear
stability;estabilidade
to stabilise;estabilizar
stake;aposta, interesse (em jogo)
standing;prestígio, posição
stark;gritante, severo(a)
statistical;estatístico(a)
to steer;dirigir (nave), pilotar
to stem from (v);resultar de, provir de
stereotype;estereótipo
stimulus;estímulo
to stir;mexer, agitar
storage;armazenamento
straightforward;simples, direto(a)
strain;tensão, pressão
strand;fio, vertente
strategic;estratégico(a)
strip (n) (narrow piece);tira, faixa
to strive;esforçar-se
structural;estrutural
to stumble;tropeçar
to stun;atordoar, chocar
submission;submissão
subscriber;assinante
subscription;assinatura
subsequent;subsequente
subsequently;subsequentemente
subsidy;subsídio
substantial;substancial
substantially;substancialmente
substitute (n) / to substitute (v);substituto(a) / substituir
substitution;substituição
subtle;sutil
suburban;suburbano(a)
succession;sucessão
successive;sucessivo(a)
successor;sucessor(a)
to suck;sugar, chupar
to sue;processar (na justiça)
suicide;suicídio
suite;suíte, conjunto
summit;cume, cúpula (reunião)
superb;excelente, soberbo(a)
superintendent;superintendente
superior;superior
to supervise;supervisionar
supervision;supervisão
supervisor;supervisor(a)
supplement (n) / to supplement (v);suplemento / suplementar
supportive;solidário(a), que apoia
supposedly;supostamente
to suppress;suprimir
supreme;supremo(a)
surge (n) / to surge (v);aumento súbito / aumentar subitamente
surgical;cirúrgico(a)
surplus;excedente
to surrender;render-se
surveillance;vigilância
suspension;suspensão
suspicion;suspeita
suspicious;suspeito(a)
to sustain;sustentar
symbolic;simbólico(a)
syndrome;síndrome
synthesis;síntese
systematic;sistemático(a)
to tackle;enfrentar, abordar (problema)
tactic;tática
tactical;tático(a)
taxpayer;contribuinte (impostos)
to tempt;tentar
tenant;inquilino(a)
tender (adj);macio(a), terno(a)
tenure;mandato, posse (cargo)
to terminate;terminar, rescindir
terrain;terreno
terrific;fantástico(a)
to testify;testemunhar
testimony;testemunho
texture;textura
thankfully;graças a Deus
theatrical;teatral
theology;teologia
theoretical;teórico(a)
thereafter;depois disso
thereby;assim, desse modo
thesis;tese
thoughtful;atencioso(a), pensativo(a)
thread;linha (costura), fio
threshold;limiar, soleira
thrilled;emocionado(a)
to thrive;prosperar
tide;maré
to tighten;apertar, esticar
timber;madeira (para construção)
timely;oportuno(a)
tobacco;tabaco
tolerance;tolerância
to tolerate;tolerar
toll;pedágio, número de vítimas
torture (n) / to torture (v);tortura / torturar
to toss;jogar (levemente)
trademark;marca registrada
trail (n) / to trail (v);trilha / seguir, estar atrás
traitor;traidor(a)
transaction;transação
transcript;transcrição
transformation;transformação
transit;trânsito, transporte
transmission;transmissão
transparency;transparência
transparent;transparente
trauma;trauma
treaty;tratado
tremendous;tremendo(a)
tribal;tribal
tribute;tributo
trigger (n) / to trigger (v);gatilho / desencadear
trio;trio
triumph;triunfo
trophy;troféu
troubled;problemático(a), atribulado(a)
trustee;administrador (fideicomisso)
tuition;mensalidade
tumour;tumor
turnout;comparecimento, produção
turnover;rotatividade, volume de negócios
to twist;torcer
unconstitutional;inconstitucional
undergraduate;universitário(a) (graduando)
underlying;subjacente
to undermine;minar, prejudicar
undoubtedly;sem dúvida
to unify;unificar
unprecedented;sem precedentes
to unveil;desvendar, revelar
upcoming;próximo(a) (evento)
to upgrade;atualizar, melhorar
to uphold;defender, manter (lei)
utility;utilidade
to utilise;utilizar
utterly;completamente
