Eixo Temático;Tópico / Subtópico;Descrição Detalhada (conforme seu material)
;Uso da Terra e Produção (cafeicultura);Histórico da cafeicultura em São Paulo: padrões de ocupação do solo e inovações em relação ao modelo colonial.
;Uso da Terra e Produção (expansão);Percentual do território brasileiro destinado à agricultura e entraves para a expansão de terras agricultáveis.
;Uso da Terra e Produção (país urbano);"Relação entre o peso dos produtos primários nas exportações e a imagem de ""país essencialmente urbano""."
;Uso da Terra e Produção (manchas de fertilidade);Culturas agrícolas históricas e a exploração de manchas de fertilidade natural no solo brasileiro.
5. Geografia Urbana;Urbanização e Redes (conceitos);Conceituação de rede urbana, tipologias de interações espaciais e a relação dialética da rede como realidade espacial.
;Urbanização e Redes (Brasil);Evolução da rede urbana brasileira condicionada por processos econômico-sociais e a hierarquia das cidades do IBGE.
;Metropolização e Conurbação (Grande SP);Dinâmica da Grande São Paulo: processos de urbanização, formação de periferias e fluxos/fixos metropolitanos.
;Metropolização e Conurbação (segregação);Segregação socioespacial-intraurbana, enclaves fortificados e o direito à cidade.
;Metropolização e Conurbação (globalização);Transformações da urbanização global e seu impacto na organização dos espaços intraurbanos brasileiros.
;Cidades Médias (Amazônia);Papel das cidades médias na modernização do Brasil, especificamente na Amazônia e sua relação com redes fluviais e rodoviárias.
;Cidades Médias (urbanização amazônica);Urbanização na Amazônia brasileira e a explicação para o elevado índice de população urbana na região.
6. Geografia Política;Geopolítica e Poder (Mackinder);Teoria de Halford Mackinder aplicada à crise na Ucrânia e Crimeia e à geopolítica entre EUA/UE e Rússia.
;Geopolítica e Poder (Grande Oriente Médio);"O projeto do ""Grande Oriente Médio"" dos EUA: área geográfica e dificuldades geopolíticas de implementação."
;Geopolítica e Poder (energia);Tensões geopolíticas e visões de futuro energético em EUA, China e Rússia frente ao desenvolvimento sustentável.
;Geopolítica e Poder (Turquia na UE);Geopolítica do ingresso da Turquia na União Europeia e as posições de Reino Unido, França e Alemanha.
;Geopolítica e Poder (países ibéricos);"Estratégias políticas dos países ibéricos entre o ""atlantismo"" e o ""europeísmo""."
;Geopolítica e Poder (Terceiro Mundo);"O conceito de ""Terceiro Mundo"": origens, apogeu e crise."
;Estado e Território (frente pioneira);O conceito de frente pioneira na descrição da formação do território brasileiro e sua aplicabilidade atual.
;Estado e Território (Amazônia);Geopolítica da Amazônia brasileira: movimentos sociais transnacionais e o desafio da soberania.
;Estado e Território (Palestina);A proposta do Estado da Palestina e o óbice da demografia e dos refugiados.
;Estado e Território (Sahel);Processo de secessão no Sahel africano e as questões geopolíticas de interface regional.
;Fronteiras (Brasil);Contextos das fronteiras terrestres e litorâneas do Brasil: arcos de fronteira, zona costeira e possibilidades de desenvolvimento.
;Fronteiras (aglomerações transfronteiriças);O papel das aglomerações transfronteiriças no desenvolvimento regional e na integração sul-americana.
;Fronteiras (Sykes-Picot);O Acordo de Sykes-Picot e a partilha do Império Otomano: princípios geopolíticos da divisão de fronteiras.
;Fronteiras (Amazônia Azul);"A ""Amazônia Azul"" e as implicações da nova fronteira marítima para a geopolítica brasileira no Atlântico Sul."
7. Geografia e Gestão Ambiental;Questões Conceituais (desenvolvimento sustentável);O conceito de desenvolvimento sustentável como harmonização entre economia e ecologia e sua aplicação na Rio-92.
;Questões Conceituais (biodiversidade);Implicações ambientais da biodiversidade brasileira frente ao desenvolvimento agrícola, industrial e energético.
;Questões Conceituais (risco e vulnerabilidade);Risco, catástrofe e vulnerabilidade como elementos de produção social correlacionados à natureza e políticas.
;Biomas e Domínios (domínios morfoclimáticos);Macrodivisão natural do Brasil através dos domínios morfoclimáticos (Ab'Saber), características físicas e impactos ambientais.
;Biomas e Domínios (queimadas);Impactos ambientais das queimadas nos biomas brasileiros e sul-americanos e suas consequências climáticas e sociais.
;Biomas e Domínios (Cerrado);Valor estratégico dos recursos ambientais no Cerrado: segurança alimentar, suprimento de água e recursos genéticos.
;Biomas e Domínios (zona costeira);Paisagens típicas e ecossistemas da zona costeira brasileira ao longo dos 7.500 km de litoral.
;Biomas e Domínios (clima e vegetação);Correlação entre divisão climática e formações vegetais no Brasil e suas condições de conservação.
;Biomas e Domínios (Caatinga);Biodiversidade da Caatinga: importância, proteção ambiental limitada e vetores de impacto antrópico.
;Biomas e Domínios (Amazônia - patamares);Patamares orográficos da Amazônia e sistemas de exploração econômica associados.
;Biomas e Domínios (tropicalidade e macrorregiões);Correlação entre a tropicalidade brasileira e a divisão oficial em macrorregiões do IBGE.
;Política e Gestão (recursos hídricos);"A ""Questão da Água"" como problema geopolítico: escassez, aquíferos brasileiros e gestão de recursos hídricos."
;Política e Gestão (política ambiental brasileira);Cronologia da política ambiental brasileira: concepções, etapas e instituições criadas.
;Política e Gestão (agricultura e sustentabilidade);Gestão ambiental frente aos modelos agrícolas intensivos e a incorporação da sustentabilidade na agricultura.
;Política e Gestão (Patrimônio Mundial UNESCO);Patrimônio Mundial da UNESCO no Brasil: relação entre preservação cultural/natural e desenvolvimento territorial histórico.
;Política e Gestão (emissões e Rio-92);Realidade das emissões de gases poluentes e as discussões na Conferência Rio-92.
8. Extras;Terceiro Mundo;"Análise do conceito e evolução histórica do termo ""Terceiro Mundo"" no contexto geopolítico global."
