front ;back
No Realismo Clássico, a origem da luta pelo poder é vista como uma motivação humana, segundo Morgenthau.;Certo
No Neorrealismo, a luta pelo poder é entendida como uma consequência da estrutura do sistema internacional, segundo Waltz.;Certo
Para os realistas, a anarquia é uma condição geral do sistema internacional, mas não determina as interações entre os Estados.;Errado – No Realismo, a anarquia é vista como uma condição geral, mas no Neorrealismo, ela é a própria estrutura que determina as interações.
O Neorrealismo vê os Estados como unidades diferentes entre si, com comportamentos heterogêneos, como no Realismo Clássico.;Errado – O Neorrealismo vê os Estados como unidades autônomas e iguais entre si, ao contrário do Realismo Clássico.
O Neorrealismo busca oferecer uma análise mais estruturada e analítica das Relações Internacionais, mas não pretende explicar toda a dinâmica internacional.;Certo
O Liberalismo nas Relações Internacionais surge como uma matriz teórica importante junto ao Realismo, com o objetivo de reduzir os conflitos gerados pela anarquia do sistema.;Certo
A principal divergência entre Realismo e Liberalismo é que, enquanto os realistas acreditam que a autoajuda é inevitável, os liberais defendem que a sociedade internacional pode evoluir para relações mais cooperativas.;Certo
Liberais acreditam que a cooperação internacional é sempre utópica e desnecessária, pois não há vantagens em cooperar.;Errado – Liberais acreditam que a sociedade internacional pode evoluir para relações cooperativas e harmônicas.
O Funcionalismo, uma vertente do Liberalismo, busca cooperação internacional por meio de setores técnicos e econômicos.;Certo
O Neofuncionalismo, uma vertente do Liberalismo, foca apenas na cooperação técnica, sem considerar aspectos políticos e sociais.;Errado – O Neofuncionalismo aprofunda o Funcionalismo, incluindo dimensões políticas e sociais.
A Interdependência Complexa, uma vertente do Liberalismo, destaca a interdependência econômica e institucional entre Estados.;Certo
O Liberalismo usa um método empírico e behaviorista para análise objetiva e quantitativa dos fatos, com o objetivo de reduzir a autoajuda.;Certo
O livre-comércio, essencial desde a Revolução Industrial, não tem impacto na estabilidade internacional e favorece as guerras.;Errado – O livre-comércio é essencial para maximizar ganhos econômicos, favorecendo a estabilidade internacional e desestimulando a guerra.
A teoria liberal afirma que a democracia e a paz estão interligadas, com a opinião pública das democracias desestimulando conflitos.;Certo
As democracias são sempre pacíficas, de acordo com os liberais, e nunca têm políticas externas imperialistas.;Errado – Embora as democracias tendam a ser mais pacíficas, elas também foram agressivas no passado, com políticas externas imperialistas.
As instituições internacionais, segundo os liberais, visam criar um governo supranacional para unificar as nações.;Errado – As instituições internacionais visam fortalecer o Direito Internacional e criar um ambiente de transparência e cooperação, sem visar um governo supranacional.
O Liberalismo foi fundamentado nos 14 Pontos de Woodrow Wilson em 1918, que defendiam a cooperação internacional.;Certo
A Liga das Nações, criada após a Primeira Guerra Mundial, foi bem-sucedida em evitar a Segunda Guerra Mundial, validando o Liberalismo.;Errado – A Liga das Nações fracassou em evitar a Segunda Guerra Mundial, trazendo críticas ao Liberalismo.
Durante a Guerra Fria, o Realismo dominou o debate, mas os liberais não realizaram nenhuma adaptação em suas análises.;Errado – Durante a Guerra Fria, o Realismo dominou, mas os liberais aprofundaram suas análises para revitalizar o Liberalismo.
O Funcionalismo, uma vertente do Liberalismo, foca na criação de organizações internacionais para reduzir os custos do individualismo estatal.;Certo
O Funcionalismo surgiu como resposta ao sucesso da argumentação liberal clássica após a Segunda Guerra Mundial.;Errado – O Funcionalismo surgiu como resposta ao fracasso da argumentação liberal clássica após a Segunda Guerra Mundial.
O Funcionalismo analisa a integração regional europeia, como exemplificado pela CECA, CEE e União Europeia.;Certo
O Spill over effect descreve como a cooperação técnica inicial se expande para outras esferas decisórias, de forma controlada e sem desafios.;Errado – O Spill over effect propõe que a cooperação técnica se expanda, mas enfrenta desafios devido à falta de decisão política.
O Neofuncionalismo reconhece que a cooperação técnica tem limites e exige uma decisão política superior para ser eficaz.;Certo
A negociação nuclear iraniana de 2013 foi um exemplo do Neofuncionalismo, com a AIEA e o P5+1 facilitando o consenso.;Certo
A Interdependência Complexa, desenvolvida por Keohane e Nye, foca exclusivamente no poder dos Estados e na competição militar entre eles.;Errado – A Interdependência Complexa questiona o estatocentrismo e destaca o papel de atores não estatais como ONGs, multinacionais e organismos internacionais.
Fatores como a descolonização e o crescimento de conglomerados produtivos transnacionais impulsionaram a teoria da Interdependência Complexa.;Certo
Na teoria da Interdependência Complexa, a política externa é exclusiva dos Estados, sem envolvimento de outros atores.;Errado – A teoria destaca múltiplos canais de negociação e o envolvimento de atores não estatais, como ONGs e organizações internacionais.
A Interdependência Complexa sugere que o uso da força diminui, pois a cooperação entre os Estados é facilitada sem custos militares.;Certo
Os Neorrealistas acreditam que a interdependência elimina a competição e o poder entre os Estados.;Errado – Os Neorrealistas criticam a interdependência, pois ela não elimina o poder e a competição entre os Estados.
Kenneth Waltz, um Neorrealista, acredita que a autoajuda prevalece, e não a cooperação, nas relações internacionais.;Certo
Teóricos da interdependência acreditam que a falta de informação entre os Estados não é um problema significativo para a cooperação.;Errado – Teóricos da interdependência minimizam a falta de informação dos Estados sobre as decisões alheias, o que é um problema para a cooperação.
O Dilema do Prisioneiro demonstra como a estrutura internacional incentiva a cooperação entre os Estados.;Errado – O Dilema do Prisioneiro mostra que a estrutura internacional desincentiva a cooperação entre os Estados.
Robert Keohane argumenta que, em um Dilema do Prisioneiro iterado, a cooperação se torna racional e pode ser facilitada por instituições.;Certo
Instituições internacionais têm pouca influência na promoção da cooperação entre Estados, segundo os liberais.;Errado – Segundo os liberais, as instituições internacionais desempenham papéis importantes, como aumentar a comunicação e promover a cooperação, incluindo mecanismos punitivos.
Regimes internacionais são apenas regras e normas internacionais sem impacto nas ações dos Estados.;Errado – Regimes internacionais são conjuntos de normas e instituições que regulam as ações dos Estados, influenciando suas decisões.
A Economia Política Internacional (EPI) foca na relação entre decisões econômicas e processos políticos.;Certo
Empresas transnacionais não têm influência nos regimes internacionais, segundo a Economia Política Internacional.;Errado – Empresas transnacionais influenciam os regimes internacionais e interagem com os Estados.
A Economia Política Internacional (EPI) assume que os Estados são atores unitários, coordenando políticas para concretizar seus interesses.;Certo
O Construtivismo, representado por Alexander Wendt, acredita que a anarquia internacional é fixa e imutável.;Errado – O Construtivismo acredita que a anarquia internacional depende das interações entre os Estados.
No Construtivismo, o Direito Internacional e os regimes podem moldar o comportamento dos Estados.;Certo
A Teoria Crítica, de Robert Cox, defende que o Realismo favorece a mudança da ordem internacional dominada por grandes potências.;Errado – A Teoria Crítica argumenta que o Realismo favorece a manutenção da ordem dominada por grandes potências.
A ciência nas Relações Internacionais é neutra, segundo a Teoria Crítica de Robert Cox.;Errado – A Teoria Crítica argumenta que a ciência não é neutra e é influenciada pelos atores mais poderosos.
O Pós-modernismo vê as Relações Internacionais como uma continuação direta do Realismo, sem modificações.;Errado – O Pós-modernismo deriva do Realismo, mas questiona e reinterpreta o Estado como uma construção social e narrativa mutável.
"O trabalho de Stanley Hoffman, ""An American Social Science: International Relations"", critica a predominância da perspectiva estadunidense nas Relações Internacionais.";Certo
O objetivo do capítulo sobre Economia Política Internacional é apresentar as teorias das Relações Internacionais e destacar a crítica à visão estadunidense predominante.;Cert
A Política Externa Brasileira de 1945 a 1980 foi caracterizada por tendências de desenvolvimento liberal e nacional-desenvolvimentismo, como descreve Amado Cervo.;Certo
O nacional-desenvolvimentismo priorizava o controle estatal sobre setores estratégicos e foi seguido pelos governos Vargas e dos militares a partir de Costa e Silva.;Certo
A política externa brasileira no período de 1946-1964 era mais de governo do que de Estado.;Errado – A política externa brasileira era mais de Estado do que de governo.
Durante o governo de Eurico Gaspar Dutra (1946-1951), o Brasil alinhou-se com a União Soviética nas questões políticas e ideológicas.;Errado – O Brasil rompeu relações com a União Soviética e alinhou-se com os EUA.
A política externa do governo Dutra foi marcada por um alinhamento ideológico e político com os EUA, incluindo apoio a resoluções da ONU sobre a Guerra da Coreia.;Certo
O Brasil enviou tropas para a Guerra da Coreia durante o governo Dutra.;Errado – O Brasil não enviou tropas para a Guerra da Coreia.
O governo Dutra buscou apoio econômico dos EUA para o desenvolvimento industrial, mas a ajuda americana priorizou a abertura para capitais privados.;Certo
O governo de Getúlio Vargas (1951-1954) buscou manter o alinhamento com o Ocidente, ao mesmo tempo que implementava políticas de desenvolvimento econômico nacionalista.;Certo
A CEPAL foi criada como alternativa ao Conselho Interamericano Econômico e Social da OEA e focou na teoria da deterioração dos termos de troca.;Certo
Durante o governo Dutra, o Brasil teve sucesso ao receber apoio econômico significativo dos EUA, incluindo investimentos industriais.;Errado – O apoio econômico dos EUA foi limitado e não atendeu às expectativas brasileiras.
O Pacto de Bogotá (1948) foi uma parte da política externa de Dutra para promover soluções pacíficas e apoio ao desenvolvimento industrial nos países periféricos.;Certo
João Neves da Fontoura, na IV Reunião de Consultas das Relações Exteriores (1951), sugeriu que o desenvolvimento econômico poderia ser uma maneira de obstruir a penetração comunista, antecipando a Operação Pan-Americana (OPA).;Certo
A oposição interna ao alinhamento com os EUA durante o governo Juscelino Kubitschek veio principalmente de setores nacionalistas e militares, especialmente ao Acordo de Cooperação Militar Brasil-EUA (1952).;Certo
A CMBEU (Comissão Mista Brasil-EUA) foi extinta em 1953 devido ao grande sucesso na cooperação entre Brasil e EUA.;Errado – A CMBEU foi extinta em 1953 após pouca efetividade.
O Plano de Metas de Juscelino Kubitschek tinha como foco principal áreas como educação e indústria de base, com a construção de Brasília como meta principal.;Certo
"A Operação Pan-Americana (OPA) de 1958 buscava garantir auxílio dos EUA para o desenvolvimento do Brasil, além de evitar a ""ameaça comunista"" no continente.";Certo
A criação do Banco Interamericano de Desenvolvimento (BID) e a influência na criação da Aliança para o Progresso (1961) foram resultados diretos da OPA.;Certo
O Brasil teve dificuldades com o FMI devido à necessidade de empréstimos externos para o Plano de Metas, o que levou a um rompimento com o FMI em 1959.;Certo
Durante o governo de Juscelino Kubitschek, o Brasil procurou diversificar suas relações externas, incluindo o restabelecimento das relações comerciais com a URSS, focando em exportações industriais.;Errado – O foco das exportações era agrícola, não industrial.
As relações comerciais com o Mercado Comum Europeu em 1957 foram caracterizadas pelo medo de desvio de comércio em favor das ex-colônias europeias e membros do Mercado Comum.;Certo
Os investimentos dos EUA no Brasil aumentaram entre 1956 e 1959, ajudando a equilibrar a balança comercial e compensar a falta de empréstimos oficiais.;Certo
A visita de Eisenhower ao Brasil em 1960 resultou em um empréstimo de US$ 50 milhões do FMI para o país.;Certo
Os Acordos do Roboré (1958) com a Bolívia abordaram temas como petróleo, ferrovias e intercâmbio econômico, embora tenham gerado críticas internas.;Certo
A ALALC (Associação Latino-Americana de Livre-Comércio) foi criada para aproximar comercialmente o Brasil de outros países latino-americanos.;Certo
O Brasil, durante a década de 1960, apoiou explicitamente as políticas colonialistas portuguesas na África e não se envolveu com a independência dos países africanos.;Errado – O Brasil apoiou a autodeterminação dos povos e condenou o colonialismo em várias instâncias, incluindo na ONU.
O Brasil estabeleceu relações diplomáticas com países asiáticos, como Vietnã do Sul, Tailândia, Malásia e Indonésia, no contexto da Política Externa Independente (PEI).;Certo
A Política Externa Independente (PEI) começou sob a presidência de Juscelino Kubitschek, com foco na diversificação das relações externas do Brasil.;Errado – A PEI foi iniciada por Jânio Quadros e Afonso Arinos.
A Política Externa Independente visava maior autonomia para o Brasil e incluía a aproximação com o bloco socialista, a URSS e Cuba, e com países da África e Ásia.;Certo
A Política Externa Independente se alinhava com a política dos EUA, apoiando as intervenções norte-americanas, incluindo a Revolução Cubana.;Errado – A PEI apoiou a Revolução Cubana e se opôs à intervenção dos EUA, como na Baía dos Porcos.
A Missão Dantas foi uma ação da Política Externa Independente, visitando países do Leste Europeu, incluindo a República Democrática Alemã (RDA).;Certo
A política externa de João Goulart continuou com a ênfase no desenvolvimento econômico, mas ele também defendeu Cuba e se opôs à sua expulsão da OEA (1961).;Certo
O Golpe de 1964 no Brasil foi influenciado pela polarização política interna, pela Revolução Cubana e pela política externa agressiva dos EUA.;Certo
"Após o Golpe de 1964, o Brasil abandonou a Política Externa Independente e alinhou-se com o Ocidente e os EUA, defendendo o ""mundo livre"".";Certo
O Brasil enviou tropas para o Vietnã durante o regime militar, alinhando-se totalmente com as políticas dos EUA.;Errado – O Brasil se recusou a enviar tropas para o Vietnã.
O Brasil, sob o regime militar, não se envolveu com o G-77 e não se importou com a Nova Ordem Econômica Internacional (NOEI).;Errado – O Brasil participou da criação do G-77 e foi ativo na defesa da Nova Ordem Econômica Internacional.
A Missão de Roberto Campos à URSS, em 1965, é exemplo do realismo ocidentalista do governo brasileiro.;Certo
A Ata das Cataratas, assinada com o Paraguai em 1966, foi um marco importante na diplomacia brasileira.;Certo
O governo brasileiro, durante esse período, se recusou a reconhecer o golpe militar na Argentina (Revolución Argentina).;Errado – O Brasil reconheceu o golpe militar na Argentina.
A política externa do Brasil na década de 1960 viu o desenvolvimento como dependente da segurança, especialmente no combate ao comunismo.;Certo
O Tratado de Tlatelolco, assinado em 1967, proscrevia armas nucleares na América Latina.;Certo
Após o governo de Castelo Branco, o Brasil focou exclusivamente em sua segurança e não se preocupou com o desenvolvimento.;Errado – A política externa após Castelo Branco focou tanto no desenvolvimento quanto no universalismo político e geográfico.
"O governo de Costa e Silva (1967-1969) retoma o modelo econômico de substituição de importações e define a política externa como ""diplomacia da prosperidade"".";Certo
Durante o governo Costa e Silva, o Brasil criticou o Tratado de Não Proliferação Nuclear e o comércio internacional.;Certo
Durante o governo Costa e Silva, o Brasil abandonou a interação com a Europa Ocidental e o Japão.;Errado – Houve maior interação com a Europa Ocidental e o Japão durante esse período.
"O governo Costa e Silva incentivou a unidade latino-americana através da Comissão Especial de Coordenação Latino-Americana (CECLA) e o ""Consenso de Viña del Mar"".";Certo
O Tratado da Bacia do Prata foi criado para promover a integração política da região, mas não se concentrou na integração física.;Errado – O Tratado da Bacia do Prata visou promover a integração física da região.
"O governo Médici (1969-1974) colocou maior foco no ""terceiro-mundismo"" e na interdependência.";"Errado – O governo Médici diminuiu o foco no ""terceiro-mundismo"" e na interdependência."
O governo Médici deu maior prioridade às relações bilaterais, mas não abandonou o apoio aos países periféricos no contexto multilateral.;Certo
O governo Médici rejeitou qualquer tipo de cooperação bilateral e se concentrou apenas em fóruns multilaterais.;Errado – O governo Médici priorizou relações bilaterais, sem abandonar os fóruns multilaterais.
Gibson Barboza recusou-se a celebrar o Tratado de Não Proliferação Nuclear.;Certo
Durante a Chancelaria de Gibson Barboza, o Brasil estabeleceu seu mar territorial em 300 milhas náuticas.;Errado – O Brasil estabeleceu o mar territorial em 200 milhas náuticas.
Gibson Barboza abriu fronteiras para produtos brasileiros na África, destacando-se em sua missão ao continente em 1972.;Certo
O Brasil, sob Gibson Barboza, tomou uma posição ativa no conflito Israel-Palestina, apoiando a Palestina.;Errado – O Brasil manteve uma postura de equidistância no conflito Israel-Palestina.
"A política externa do Brasil durante o período de Gibson Barboza ficou fortemente vinculada à ""hipoteca colonialista"" e ao apoio a Portugal.";"Errado – Gibson Barboza introduziu a polêmica sobre o apoio a Portugal, mas não libertou o Brasil da ""hipoteca colonialista""."
Durante o governo de Nixon, foi dito que “Para onde for o Brasil, irá o resto da América Latina”.;Certo
O Brasil votou favoravelmente ao ingresso da República Popular da China na ONU, substituindo Taiwan.;Errado – O Brasil votou contra o ingresso da República Popular da China na ONU.
O Brasil não participou de golpes militares na Bolívia e Uruguai, apesar de suas simpatias ideológicas.;Errado – O Brasil apoiou golpes militares na Bolívia e Uruguai e participou da Operação Condor.
A política externa do Brasil durante a Chancelaria de Gibson Barboza buscava estreitar laços com países africanos e árabes, além de aprofundar relações com países latino-americanos.;Certo
O Brasil aderiu à Convenção Americana de Direitos Humanos e aos Pactos de Direitos Civis e Políticos e Econômicos (1966).;Errado – O Brasil se recusou a aderir à Convenção Americana de Direitos Humanos e aos Pactos de Direitos Civis e Políticos e Econômicos.
Durante o governo de Geisel, o Brasil aprofundou as diretrizes da Política Externa Independente, com ênfase na multilateralização e na abertura para todos os países.;Certo
Durante o governo de Geisel, o Brasil não reconheceu a República Popular da China.;Errado – O Brasil reconheceu a República Popular da China durante o governo de Geisel.
O Brasil diversificou seus fornecedores de petróleo, criando parcerias com países como Nigéria e Angola.;Certo
A política externa de Geisel foi fortemente ideológica, com foco no alinhamento com o Ocidente.;Errado – A política externa de Geisel foi desideologizada, com foco na diversificação das relações e na autonomia.
O Acordo Nuclear com a Alemanha e a criação da Albrás com o Japão foram marcos importantes da política externa do governo Geisel.;Certo
O Brasil denunciou o Acordo Militar de 1952 com os EUA, reafirmando maior autonomia estratégica.;Certo
O Brasil recebeu críticas dos EUA sobre direitos humanos, com a visita de Jimmy Carter em 1977.;Certo
"Henry Kissinger reconheceu o Brasil como um ""país-chave no mundo ocidental"" em 1976.";Certo
O aumento da dívida externa do Brasil na crise de 1973 foi causado pela queda nos juros norte-americanos.;Errado – A dívida externa aumentou devido ao aumento dos juros norte-americanos e ao impacto do Choque do Petróleo.
O Brasil adotou estratégias como o II PND e a promoção de produção interna de insumos básicos para reduzir a dependência externa.;Certo
A hidrelétrica de Itaipu foi construída sem rivalidades com a Argentina.;Errado – Houve rivalidade com a Argentina em relação à hidrelétrica de Itaipu e à região do Prata.
O Tratado de Cooperação Amazônica (TCA) foi criado para promover a cooperação na região amazônica.;Certo
Durante o governo João Figueiredo (1979-1985), o Brasil manteve uma postura completamente alinhada com os EUA.;Errado – O Brasil manteve uma postura independente, criticando ações dos EUA como a invasão de Granada e rompendo com o governo Somoza na Nicarágua.
O governo brasileiro sob João Figueiredo reconheceu os direitos argentinos sobre as Ilhas Malvinas, mas manteve boas relações com os britânicos.;Certo
A visita de João Figueiredo aos EUA em 1981 foi marcada por uma colaboração incondicional com os EUA.;Errado – A visita foi encurtada devido ao protesto contra o apoio dos EUA à Grã-Bretanha nas Malvinas.
"O Brasil adotou uma postura de ""neutralidade imperfeita"" em relação ao conflito das Malvinas, condenando o uso da força, mas reconhecendo o direito soberano da Argentina sobre as ilhas.";Certo
O Brasil permitiu que aeronaves britânicas utilizassem seu território durante a Guerra das Malvinas.;Errado – O Brasil proibiu aeronaves britânicas de usarem seu território durante a guerra.
O Brasil representou os interesses argentinos na Grã-Bretanha até 1990.;Certo
A visita de Ronald Reagan ao Brasil em 1982 resultou em um enfraquecimento das relações bilaterais.;Errado – A visita não prejudicou as relações bilaterais, e o Brasil assinou o Memorando sobre Cooperação Industrial-Militar com os EUA em 1984.
A Lei de Informática de 1984 causou fricção comercial com os EUA, que acusaram o Brasil de protecionismo.;Certo
O Acordo tripartite de 1981 entre Brasil, Argentina e Paraguai abordou questões sobre a utilização de recursos hídricos no rio Paraná e Itaipu.;Certo
João Figueiredo fez várias visitas aos países andinos, incluindo o Peru e o Equador, para estreitar as relações e coordenar negociações de paz.;Certo
O Brasil não se preocupou com a influência cubana na América Latina durante os anos 1970 e 1980.;"Errado – A diplomacia brasileira esteve preocupada com a ""cubanização"" e com os conflitos envolvendo a influência cubana na região."
O Brasil reestabeleceu relações com Cuba somente após o fim do regime militar devido à postura cubana de exportar ideais revolucionários.;Certo
Saraiva Guerreiro fez uma visita a cinco países africanos em 1980 como parte da diplomacia brasileira.;Certo
A primeira visita de Figueiredo à África ocorreu em 1983 e incluiu países como Cabo Verde, Senegal, Guiné-Bissau, Argélia e Nigéria.;Certo
O Brasil aumentou seu comércio com a África do Sul durante a década de 1980, ignorando a questão do apartheid.;Errado – O Brasil reduziu o comércio com a África do Sul devido à condenação ao apartheid.
A diplomacia brasileira na África teve como um de seus objetivos proteger a imagem do Brasil como uma potência industrial tropical.;Certo
O Brasil procurou convencer os países africanos a não limitarem suas relações com o Brasil devido à sua ligação com Portugal.;Certo
