"1. Substantivos terminados em ""s"", ""ss"", ""sh"", ""ch"", ""x"" e ""z"" formam o plural adicionando apenas ""s"".";"Falso - Adiciona-se ""es"". Exemplo: bus → buses."
"18. ""The youth of today"" exige sempre verbo no singular.";ERRADO - Pode exigir verbo no singular ou plural, dependendo do contexto.
"19. ""The military"" sempre exige verbo no plural.";CERTO - (Exemplo: The military are preparing for action).
"20. ""News"" usa verbo no plural.";"ERRADO - ""News"" usa verbo no singular. Exemplo: The news is interesting."
"1. ""Air"" no plural significa ""afetação"".";CERTO - (Exemplo: air → airs).
"2. ""Glass"" no plural significa ""óculos"".";CERTO - (Exemplo: glass → glasses).
"3. ""Pain"" no plural significa ""esforços"".";CERTO - (Exemplo: pain → pains).
"4. ""Step"" no plural significa ""degraus"".";CERTO - (Exemplo: step → steps).
"5. ""Work"" no plural significa ""trabalho"".";"ERRADO - ""Work"" no plural significa ""obras"" (Exemplo: works)."
"6. ""Content"" no plural significa ""itens dentro de algo"".";CERTO - (Exemplo: content → contents).
"7. ""Minute"" no plural significa ""ata de reunião"".";CERTO - (Exemplo: minute → minutes).
"8. ""Damage"" no plural significa ""dano"".";"ERRADO - ""Damage"" no plural significa ""indenizações"" (Exemplo: damage → damages)."
"9. ""Lighthouse"" é um exemplo de substantivo composto formado por verbo + substantivo.";CERTO - (Exemplo: lighthouse).
"10. ""Old-fashioned"" é um exemplo de substantivo composto formado por adjetivo + substantivo.";ERRADO - É formado por adjetivo + particípio (Exemplo: old-fashioned).
"11. ""Railway"" é um exemplo de substantivo composto formado por substantivo + substantivo.";CERTO - (Exemplo: railway).
"12. ""Downfall"" é um exemplo de substantivo composto formado por advérbio + substantivo.";CERTO - (Exemplo: downfall).
"13. ""He-bear"" é um exemplo de substantivo composto formado por pronome + substantivo.";CERTO - (Exemplo: he-bear).
"14. ""Writing-desk"" é escrito como uma palavra única, sem hífen.";ERRADO - Deve ser escrito com hífen (Exemplo: writing-desk).
"15. ""Blacksmith"" é um exemplo de substantivo composto formado por adjetivo + substantivo.";CERTO - (Exemplo: blacksmith).
"16. ""Greenhouse"" é um exemplo de substantivo composto formado por adjetivo + substantivo.";"ERRADO - ""Greenhouse"" é formado por substantivo + substantivo."
"17. ""Well-formed"" é um exemplo de substantivo composto formado por advérbio + particípio.";CERTO - (Exemplo: well-formed).
"18. ""Twelvemonth"" é um exemplo de substantivo composto formado por numeral + substantivo.";CERTO - (Exemplo: twelvemonth).
"19. ""Fortnight"" é um exemplo de substantivo composto formado por numeral + substantivo.";CERTO - (Exemplo: fortnight).
"20. ""Ice-cold"" é um exemplo de substantivo composto formado por substantivo + adjetivo.";"ERRADO - ""Ice-cold"" é formado por substantivo + adjetivo, mas a regra é que essa formação deve ser separada por hífen."
"1. Quando modificados por um número, os substantivos de ""hundred"" permanecem no plural.";ERRADO - Permanecem no singular (Exemplo: two hundred books).
"2. ""Dozens of"" deve ser usado no plural para indicar várias unidades.";CERTO - (Exemplo: dozens of complaints).
"3. ""Thousands"" deve ser usado quando se fala de milhares de coisas.";CERTO - (Exemplo: thousands of people).
"4. ""Hundred"" no plural é ""hundreds"".";CERTO - (Exemplo: hundreds of books).
"5. ""Million"" no plural é ""millions"".";CERTO - (Exemplo: millions of dollars).
"6. O plural de ""thousand"" é ""thousands"".";CERTO - (Exemplo: thousands of people).
"7. ""Boyfriend"" no plural é ""boyfriends"".";CERTO - (Exemplo: boyfriends).
"8. ""Frying pan"" no plural é ""frying pans"".";CERTO - (Exemplo: frying pans).
"9. O plural de ""passer-by"" é ""passers-by"".";CERTO - (Exemplo: passers-by).
"10. O plural de ""grownup"" é ""grownups"".";CERTO - (Exemplo: grownups).
"11. ""Hundred"" deve ser usado no plural quando seguido de um número.";"ERRADO - ""Hundred"" permanece no singular (Exemplo: two hundred books)."
"12. O plural de ""breakdown"" é ""breakdowns"".";CERTO - (Exemplo: breakdowns).
"13. Quando usamos ""hundred"" seguido de um número, ""hundred"" deve ser flexionado para o plural.";"ERRADO - ""Hundred"" permanece no singular (Exemplo: two hundred books)."
"14. ""The Smiths"" é o plural de ""Smith"" usado para se referir a uma família.";CERTO - (Exemplo: The Smiths).
"15. ""The Brauns"" é o plural de ""Braun"", usado para se referir a uma família.";CERTO - (Exemplo: The Brauns).
"16. ""The Joneses"" é o plural de ""Jones"", usado para se referir a uma família.";CERTO - (Exemplo: The Joneses).
"17. Quando o substantivo composto é formado por ""substantivo + substantivo"", o plural ocorre na primeira palavra.";ERRADO - O plural ocorre na segunda palavra (Exemplo: boyfriends, bookshops).
18. Quando uma expressão composta tem preposição, o plural vai para o substantivo principal.;CERTO - (Exemplo: passers-by).
"19. Expressões compostas sem substantivo, como ""grownups"", têm plural na última palavra.";CERTO - (Exemplo: grownups).
"20. Quando falamos de várias famílias, usamos ""The Smiths"" para indicar o plural.";CERTO - (Exemplo: The Smiths).
"1. ""Bacon and eggs"" é usado no singular quando pensamos neles como uma unidade.";CERTO - (Exemplo: Bacon and eggs is a popular breakfast).
"2. ""Bacon and eggs"" é usado no plural quando pensamos neles separadamente.";CERTO - (Exemplo: Bacon and eggs make a fattening meal).
3. Substantivos contáveis têm plural e podem ser contados.;CERTO - (Exemplo: one book, three books).
4. Substantivos incontáveis não podem ser contados e não têm plural.;CERTO - (Exemplo: fruit, bread, homework).
"5. ""Fruit"" no plural é ""fruits"".";"ERRADO - ""Fruit"" é incontável e não tem plural."
"6. Usamos ""many"" com substantivos incontáveis.";"ERRADO - ""Many"" é usado com substantivos contáveis no plural."
"7. Usamos ""much"" com substantivos contáveis no plural.";"ERRADO - ""Much"" é usado com substantivos incontáveis no singular."
"8. ""Many authors"" é correto.";CERTO - (Exemplo: Many authors are famous).
"9. ""Much controversy"" é correto.";CERTO - (Exemplo: Much controversy is involved).
"10. ""Few"" é usado com substantivos contáveis no plural.";CERTO - (Exemplo: Few rivers are clean).
"11. ""Less"" é usado com substantivos contáveis no plural.";"ERRADO - ""Less"" é usado com substantivos incontáveis no singular."
"12. ""Few students"" é correto.";CERTO - (Exemplo: Few students passed the test).
"13. ""Much criticism"" é correto.";CERTO - (Exemplo: Much criticism is directed at the policy).
"14. ""A slice of bread"" é um exemplo de uso de expressão de quantidade com um substantivo incontável.";CERTO - (Exemplo: a slice of bread).
"15. ""A lot of homework"" é um exemplo de uso de expressão de quantidade com um substantivo incontável.";CERTO - (Exemplo: a lot of homework).
"16. ""Less water"" é correto quando se fala de uma quantidade de água.";CERTO - (Exemplo: Less water is needed).
"17. ""Many books"" é um exemplo de uso de ""many"" com substantivos contáveis.";CERTO - (Exemplo: Many books are on the shelf).
"18. ""Few laws"" é um exemplo de uso de ""few"" com substantivos contáveis.";CERTO - (Exemplo: Few laws are important).
"19. ""Much time"" é correto quando se fala de tempo.";CERTO - (Exemplo: Much time is required).
"20. ""Some fruit"" é uma expressão de quantidade para substantivos incontáveis.";CERTO - (Exemplo: Some fruit is on the table).
"1. ""Few foods are as rich as ice cream"" significa ""Poucos tipos de comida"".";CERTO
"2. ""Health-conscious people eat less food that is deep-fried"" significa ""Menos comida"".";CERTO
"3. ""Few crimes are committed at high noon"" se refere a ""Poucos crimes específicos"".";CERTO
"4. ""Having a good police force will result in less crime"" significa ""Menos criminalidade"".";CERTO
"5. ""Few"" tem um sentido positivo, significando ""um pequeno número"".";"ERRADO - ""Few"" tem um sentido negativo, quase nenhum(a)."
"6. ""A few"" tem um sentido negativo, significando ""quase nenhum(a)"".";"ERRADO - ""A few"" tem um sentido positivo, um pequeno número."
"7. ""I want just a few apples, please"" é um exemplo de ""a few"" com um sentido positivo.";CERTO
"8. ""There are only a few vacancies"" é um exemplo de ""a few"" com um sentido negativo.";"ERRADO - Significa ""um pequeno número de vagas"" (sentido positivo)."
"9. ""A lot of"" pode ser usado de maneira informal no final da frase.";CERTO
"10. ""We laughed a lot"" é uma frase correta, usando ""a lot"" de forma informal.";CERTO
"11. ""A lot"" é equivalente a ""many"" e ""much"".";CERTO
"12. ""Man"", ""boy"" e ""dog"" são exemplos de substantivos do gênero feminino.";ERRADO - São do gênero masculino.
"13. ""Woman"", ""girl"" e ""hen"" são exemplos de substantivos do gênero feminino.";CERTO
"14. ""Flower"", ""house"" e ""moon"" são substantivos do gênero neutro.";CERTO
"15. O pronome ""it"" é usado para bebês e animais sem gênero definido.";CERTO
"16. ""He"" ou ""she"" são usados para animais de estimação dependendo do sexo.";CERTO
"17. ""Brother"" e ""sister"" são palavras diferentes para indicar o gênero.";CERTO
"18. ""He-goat"" e ""she-goat"" são palavras para indicar o sexo do animal.";CERTO
"19. ""Actor"" e ""actress"" são formados com o sufixo no masculino para indicar o feminino.";CERTO
"20. ""Lion"" e ""lioness"" são exemplos de sufixo no masculino para formar o feminino.";CERTO
"1. A palavra ""artist"" é de gênero comum.";CERTO
"2. A palavra ""cousin"" tem gênero fixo (masculino ou feminino).";ERRADO - É de gênero comum.
"3. ""The moon"" é tratada como uma figura masculina.";ERRADO - É tratada como feminina.
"4. ""The sun"" é tratado como feminino.";ERRADO - É tratado como masculino.
5. Navios são geralmente tratados como femininos (she).;CERTO
"6. ""War"" é uma força da natureza tratada como masculina.";CERTO
"7. ""Liberty"" é uma personificação feminina relacionada a sentimentos delicados.";CERTO
"8. O caso genitivo é formado com o apóstrofo + ""s"" para seres inanimados.";"ERRADO - Usa-se ""of"" para possuidores inanimados."
"9. ""Charles’s car"" é uma forma correta de indicar posse.";CERTO
"10. ""Moses’ law"" é uma forma correta de indicar posse, sem adicionar 's após o apóstrofo.";CERTO
"11. ""A month’s salary"" é um exemplo de posse de tempo.";CERTO
"12. ""The streets of the city"" usa o genitivo com ""of"" para possuidores inanimados.";CERTO
"13. ""The book of my brother’s neighbour"" é uma forma alternativa de expressar genitivo em sequência.";CERTO
"14. ""I have a dog. Kevin has one, too."" O ""one"" substitui o substantivo ""dog"".";CERTO
"15. ""Is this your coat? No, mine is the red and white one."" ""One"" substitui o substantivo ""coat"".";CERTO
"16. ""I think his best songs are the latest ones"" - ""Ones"" substitui ""songs"".";CERTO
"17. ""I need some rice and Jane needs some, too"" - ""Some"" é usado para substâncias ou objetos não especificados.";CERTO
"18. ""I want new pants. Ok, let’s buy some."" ""Some"" refere-se a um número específico de calças.";"ERRADO - ""Some"" refere-se a quantidade não especificada."
"19. ""I want new pants. Ok, let’s buy some"" - ""Some"" é usado para indicar um número específico de objetos.";"ERRADO - ""Some"" é usado para quantidade não especificada."
"20. O genitivo em sequência pode ser expresso de forma alternativa com ""of"".";CERTO
"1. Depois de ""which"", usamos ""ones"" para evitar repetição.";CERTO
"2. Depois de superlativos, ""one"" é usado para evitar repetir o substantivo.";CERTO
"3. Depois de ""this"", ""that"", ""these"" e ""those"", ""one"" não é necessário.";"ERRADO - Usa-se ""one"" depois desses demonstrativos."
"4. ""These ones are the sweetest"" é um uso correto de ""ones"".";CERTO
"5. Depois de ""either"", ""neither"", ""another"", ""each"", ""the first/second/etc."", usamos ""ones"" para evitar a repetição.";CERTO
"6. O artigo indefinido ""a"" é usado para a primeira menção a algo.";CERTO
"7. ""Klaus is a teacher"" é um exemplo de uso do artigo indefinido para profissões.";CERTO
"8. ""Dennis is a Englishman"" está correto.";"ERRADO - O correto é ""an Englishman""."
"9. ""I have a car"" é um exemplo do uso de ""a"" significando ""one"" no singular.";CERTO
"10. ""Once a week"" é um exemplo de uso do artigo indefinido antes de frequência de tempo.";CERTO
"11. ""There were only a few students present"" é um exemplo de uso do artigo indefinido antes de ""few"".";CERTO
"12. O artigo indefinido ""a"" é usado antes de adjetivos qualificativos.";CERTO
"13. ""Such a girl as her"" é um exemplo de uso correto do artigo indefinido com ""such"".";CERTO
"14. ""Too good a thing to be true"" usa o artigo indefinido antes do adjetivo ""good"".";CERTO
"15. ""He was rather a good man"" está correto ao usar o artigo indefinido com ""rather"".";CERTO
"16. ""I gave her a doll, hat, and shoes"" é um exemplo de enumeração com o artigo indefinido.";CERTO
"17. ""I had one customer today"" é um exemplo de uso de ""one"" com ênfase no ""um"".";CERTO
"18. Para plural no português, usamos ""some"" ou ""a few"" no lugar de ""a"" no inglês.";CERTO
"19. ""Some flowers"" é um exemplo de plural com ""some"".";CERTO
"20. ""A few books"" é uma forma correta de plural com ""a few"".";CERTO
"1. Usamos o artigo definido ""the"" com nomes próprios no plural, como ""The United States"".";CERTO
"2. O artigo definido ""the"" não é usado com nomes de acidentes geográficos.";"ERRADO - Usamos ""the"", como em ""The Amazon""."
"3. O artigo definido ""the"" é usado com instrumentos musicais, como em ""To play the guitar"".";CERTO
"4. Usamos ""the"" com adjetivos sem substantivos para representar uma classe, como em ""The young"".";CERTO
"5. Não usamos ""the"" antes de comparações com advérbios, como em ""The more, the merrier"".";"ERRADO - Usamos ""the"" antes de comparações."
"6. O artigo definido ""the"" é usado com superlativos, como em ""The best"".";CERTO
"7. ""The sun"" e ""The moon"" não usam o artigo definido, pois são substâncias naturais únicas.";"ERRADO - Usamos ""the"" com substâncias naturais únicas."
"8. O artigo definido ""the"" é usado com certos substantivos únicos, como ""The sky"".";CERTO
"9. Quando um adjetivo modifica um substantivo, usamos o artigo definido ""the"", como em ""The best room"".";CERTO
"10. Não usamos ""the"" para diferenciar gêneros, como em ""Both the boy and the girl are rich"".";"ERRADO - Usamos ""the"" para diferenciar gêneros."
"11. O artigo definido ""the"" deve ser repetido quando houver ambiguidade, como em ""I saw the secretary and the operator"".";CERTO
"12. Não usamos o artigo definido com substantivos plurais em sentido geral, como em ""Children love chocolate"".";CERTO
"13. O artigo definido ""the"" é usado com materiais e esportes, como em ""Play baseball"".";"ERRADO - Não usamos ""the"" com esportes."
"14. Usamos ""the"" com substantivos abstratos, como em ""Happiness"".";"ERRADO - Não usamos ""the"" com substantivos abstratos."
"15. O artigo definido ""the"" é usado com substantivos incontáveis, como em ""Water is essential"".";"ERRADO - Não usamos ""the"" com substantivos incontáveis."
"16. Usamos ""the"" com meses e dias da semana, como em ""May is my favorite month"".";"ERRADO - Não usamos ""the"" com meses e dias da semana."
"17. Usamos o artigo definido ""the"" com nomes próprios no singular, como ""Washington"".";"ERRADO - Não usamos ""the"" com nomes próprios no singular, exceto exceções."
"18. O artigo definido ""the"" é usado com títulos, como ""Mr. Lincoln"".";"ERRADO - Não usamos ""the"" com títulos, como ""Mr.""."
"19. O artigo definido ""the"" é usado com locuções adverbiais, como em ""Go to school"".";"ERRADO - Não usamos ""the"" com locuções adverbiais."
"20. Usamos ""the"" com países como ""Brazil"" ou ""Washington"" quando são nomes próprios.";"ERRADO - Não usamos ""the"" com países no singular, a menos que sejam exceções."
"1. Usamos o artigo definido ""the"" para se referir ao ""Polo Norte"" em inglês.";CERTO
"2. A expressão ""The Rio Negro and the Rio Solimões meet"" usa o artigo definido para indicar dois rios no Brasil.";CERTO
"3. Em inglês, usamos a conjunção ""and"" apenas após as centenas em numerais.";CERTO
"4. O número 6 é chamado de ""half a dozen"" em inglês.";CERTO
"5. Quando falamos de anos, usamos milhares em inglês, como em ""one thousand nine hundred and seventy-five"".";"ERRADO - Usamos dezenas, como ""nineteen seventy-five""."
"6. ""Oh"" é o termo mais comum para se referir a zero em números de telefone.";CERTO
"7. ""Nought"" é outra palavra para zero, mas não é usada em números de telefone.";CERTO
"8. Em inglês, para falar sobre fracionários como substantivos, dizemos ""a half"" para 1/2 e ""a fifth"" para 1/5.";CERTO
"9. Em inglês, usamos ""a dozen"" para 6 itens, como ""half a dozen"" para meia dúzia.";"ERRADO - ""A dozen"" significa 12 itens."
"10. Em numerais ordinais, usamos ""second"" para indicar a posição de algo na sequência, como ""second place"".";CERTO
"11. A forma correta de dizer ""3:15"" em inglês é ""three fifteen"" ou ""a quarter past three"".";CERTO
"12. A forma correta de dizer ""3:45"" em inglês é ""three forty-five"" ou ""a quarter to four"".";CERTO
"13. Em inglês, ""a.m."" significa ""após o meio-dia"".";"ERRADO - ""A.M."" significa antes do meio-dia."
"14. ""P.M."" é usado para indicar horários após o meio-dia.";CERTO
"15. A forma correta de dizer ""meia-noite"" em inglês é ""midnight"".";CERTO
"16. ""It’s three thirty"" significa ""são três e meia"" em inglês.";CERTO
"17. Quando falamos sobre medidas fracionárias, colocamos a parte inteira antes da fração, como em ""one ounce and a quarter"".";CERTO
"18. O número 1 é chamado de ""one"" em inglês e não possui uma nomenclatura especial como ""half"" ou ""a dozen"".";CERTO
"19. O número 12 é chamado de ""a dozen"" e equivale a uma dúzia.";CERTO
"20. Em inglês, para indicar o ano de 2000, dizemos ""two thousand"".";CERTO
"1. O sinal de igual (=) pode ser lido como ""equal"" ou ""is equal to"".";CERTO
"2. O sinal de mais (+) pode ser lido como ""minus"" ou ""take away"".";"ERRADO - O sinal de mais é lido como ""plus"" ou ""and""."
"3. O sinal de subtração (–) pode ser lido como ""take away"" ou ""from"".";CERTO
"4. O símbolo de multiplicação (×) pode ser lido como ""multiplied by"" ou ""times"".";CERTO
"5. O símbolo de divisão (:) pode ser lido como ""divided by"" ou ""over"".";CERTO
"6. O símbolo de porcentagem (%) é lido como ""percent"".";CERTO
"7. ""3% = three percent"" é uma forma correta de expressar o símbolo de porcentagem.";CERTO
"8. O número 31/2% deve ser lido como ""three and a half per cent"".";CERTO
"9. O símbolo ""%"" nunca é usado para indicar porcentagem, apenas como sinal de operação.";"ERRADO - O símbolo ""%"" é usado para indicar porcentagem."
"10. As palavras ""blog"", ""download"", ""hacker"" e ""spam"" são exemplos de palavras de origem inglesa frequentemente usadas no Brasil.";CERTO
11. Os primeiros registros de jogos de cartas datam de aproximadamente 1800.;ERRADO - Os primeiros registros datam de aproximadamente 1300.
12. Os naipes de cartas em inglês são: Spades, Diamonds, Clubs e Hearts.;CERTO
"13. ""Spades"" corresponde ao naipe de Copas em inglês.";"ERRADO - ""Spades"" corresponde a Espadas."
"14. O pronome ""it"" pode ser usado como sujeito em construções impessoais.";CERTO
15. Em inglês, é comum usar pronomes pessoais explicitamente, mesmo quando não seriam necessários em português.;CERTO
"16. ""He"", ""she"", e ""they"" são exemplos de pronomes pessoais usados em inglês.";CERTO
"17. Em inglês, a palavra ""it"" é usada para se referir a pessoas no contexto de uma construção impessoal.";"ERRADO - ""It"" não se refere a pessoas, é usado para coisas, animais ou situações impessoais."
"18. ""He is my brother"" é um exemplo do uso de pronomes pessoais em inglês.";CERTO
"19. ""She and me went to the store"" está correto em inglês.";"ERRADO - A forma correta seria ""She and I went to the store."""
20. O uso de pronomes pessoais é sempre opcional em inglês.;ERRADO - É comum e frequentemente necessário o uso de pronomes pessoais em inglês.
"21. ""Spades"" é traduzido como ""Ouros"" em português.";"ERRADO - ""Spades"" é traduzido como ""Espadas""."
"22. ""Hearts"" é o nome do naipe de ""Copas"" em inglês.";CERTO
"23. A palavra ""hacker"" é de origem inglesa e significa ""invador de computadores"".";CERTO
"24. O termo ""download"" é uma palavra de origem brasileira, comumente usada para descrever o ato de baixar arquivos.";"ERRADO - ""Download"" é de origem inglesa."
"25. O símbolo de porcentagem (%) é pronunciado como ""per cent"".";CERTO
"1. ""Mine"" é o pronome possessivo de ""I"".";CERTO
"2. ""Yours"" é o pronome possessivo de ""We"".";"ERRADO - ""Yours"" é o pronome possessivo de ""You""."
"3. ""His"" é o pronome possessivo de ""She"".";"ERRADO - ""His"" é o pronome possessivo de ""He""."
"4. ""Hers"" é o pronome possessivo de ""She"".";CERTO
"5. ""Ours"" é o pronome possessivo de ""We"".";CERTO
6. O pronome possessivo concorda com a coisa possuída.;ERRADO - O pronome possessivo concorda com o possuidor, não com a coisa possuída.
"7. ""This car is mine"" é uma frase correta usando pronome possessivo.";CERTO
"8. ""That house is theirs"" está correto.";CERTO
"9. ""A friend of mine"" significa ""um amigo meu"".";CERTO
"10. ""A neighbour of hers"" significa ""um vizinho dela"".";CERTO
"11. O pronome objetivo ""me"" é usado como sujeito da frase.";"ERRADO - ""Me"" é um pronome objetivo, usado após o verbo ou preposição."
"12. ""You"" é o pronome objetivo de ""You"".";CERTO
"13. ""He"" é o pronome objetivo de ""He"".";"ERRADO - ""He"" é o pronome subjetivo, ""Him"" é o pronome objetivo."
"14. O pronome objetivo ""us"" é usado quando o objeto é plural.";"ERRADO - ""Us"" é o pronome objetivo de ""We"", independentemente do número."
"15. ""Give me a pencil"" está correto, pois o objeto indireto vem antes do objeto direto.";CERTO
"16. ""Give the pencil to I"" está correto.";"ERRADO - A frase correta seria ""Give the pencil to me""."
"17. ""This"" é o pronome demonstrativo singular.";CERTO
"18. ""These"" é o pronome demonstrativo plural.";CERTO
"19. ""That"" é o pronome demonstrativo plural.";"ERRADO - ""That"" é o pronome demonstrativo singular."
"20. ""Those"" é o pronome demonstrativo singular.";"ERRADO - ""Those"" é o pronome demonstrativo plural."
"21. ""This radio and these cassettes are mine"" está correto.";CERTO
22. O pronome demonstrativo deve sempre concordar com o substantivo em número.;CERTO
"23. ""This and that"" são usados apenas para objetos no plural.";"ERRADO - ""This"" e ""That"" são usados no singular."
"24. ""Those"" é usado para indicar algo que está perto.";"ERRADO - ""Those"" é usado para algo que está distante."
"25. ""These"" é usado para indicar algo que está distante.";"ERRADO - ""These"" é usado para indicar algo que está perto."
"1. ""Myself"" é o pronome reflexivo de ""I"".";CERTO
"2. ""Yourself"" é o pronome reflexivo de ""You"" (plural).";"ERRADO - ""Yourself"" é para ""You"" (singular)."
"3. ""Himself"" é o pronome reflexivo de ""He"".";CERTO
"4. ""Herself"" é o pronome reflexivo de ""She"".";CERTO
"5. ""Themselves"" é o pronome reflexivo de ""They"".";CERTO
"6. O pronome reflexivo ""itself"" é usado para ""It"".";CERTO
"7. ""We"" usa ""ourselves"" como pronome reflexivo.";CERTO
"8. ""I see myself"" é uma frase correta usando o pronome reflexivo.";CERTO
"9. ""He looked at herself in the mirror"" está correto.";"ERRADO - A frase correta é ""He looked at himself in the mirror""."
"10. Com a preposição ""by"", o pronome reflexivo significa ""sozinho"".";CERTO
"11. ""Anna lives by herself"" significa ""Anna mora sozinha"".";CERTO
"12. ""I see myself"" é uma frase no presente simples.";CERTO
"13. ""Anybody"" é usado em frases afirmativas e interrogativas.";"ERRADO - ""Anybody"" é usado em frases negativas e interrogativas."
"14. ""Anything"" é usado em frases afirmativas.";"ERRADO - ""Anything"" é usado em frases negativas e interrogativas."
"15. ""Did you see anybody in the house?"" está correto.";CERTO
"16. ""No"" é usado para frases afirmativas.";"ERRADO - ""No"" é usado em frases negativas."
"17. ""There was no one there"" está correto.";CERTO
"18. ""Everybody"" é usado no plural.";"ERRADO - ""Everybody"" é usado no singular."
"19. ""Everybody is studying"" significa ""Todos estão estudando"".";CERTO
"20. ""Neither"" é usado para indicar uma escolha.";CERTO
"21. ""Either"" é usado para indicar uma negativa.";"ERRADO - ""Neither"" é usado para indicar uma negativa."
"22. ""Neither of my two sisters liked the concert"" está correto.";CERTO
"23. ""Whatever"" é um exemplo de uma palavra ""ever-word"".";CERTO
"24. ""Wherever"" é usado como pronome ou conjunção.";CERTO
"25. ""Whenever you go, I’ll go with you"" significa ""Sempre que você for, eu irei com você"".";CERTO
"1. ""Whatever"" é usado para indicar um tipo de coisa ou situação, sem especificação.";CERTO
"2. ""Whoever"" é usado para referir-se a um grupo de pessoas de forma generalizada.";CERTO
"3. ""Who"" é um pronome relativo usado para referir-se a coisas.";"ERRADO - ""Who"" é usado para pessoas."
"4. ""Whom"" é sempre precedido de preposição.";CERTO
"5. ""Whom"" pode ser usado como sujeito da frase.";"ERRADO - ""Whom"" é usado como objeto."
"6. ""Whose"" é usado para indicar posse, tanto para pessoas quanto para coisas.";CERTO
"7. ""Whose"" pode ser usado para referir-se a lugares.";"ERRADO - ""Whose"" é usado para pessoas e coisas, mas não para lugares."
"8. ""Which"" pode ser usado para coisas e animais.";CERTO
"9. ""That"" pode ser usado como pronome relativo para pessoas e coisas, mas nunca para animais.";"ERRADO - ""That"" pode ser usado para pessoas, coisas e animais."
"10. ""What"" significa ""o que"" ou ""aquilo que"" e não tem antecedente.";CERTO
"11. ""Where"" é usado para indicar lugares.";CERTO
