Tópico / Subtópico do Edital;Tema de Redação Discursiva
4.2 O Ato Adicional de 1834 e revoltas provinciais;Analise como o Ato Adicional de 1834, apesar de conceder maior autonomia às províncias, não foi capaz de conter as revoltas regenciais, utilizando como estudo de caso a Cabanagem (PA) ou a Farroupilha (RS).
4.3 A dimensão externa;"Discorra sobre a política externa da Regência diante da pressão inglesa pela extinção do tráfico atlântico de escravos, destacando a Lei Feijó (1831) – ""para inglês ver"" – e seus desdobramentos diplomáticos."
"5.1 O Estado centralizado; partidos políticos; sistema eleitoral; unidade territorial";Analise o funcionamento do parlamentarismo às avessas no Segundo Reinado (1847-1889) e a alternância de poder entre o Partido Conservador e o Partido Liberal, discutindo como a Lei Eleitoral de 1881 (Direto, não universal) tentou controlar o acesso à política.
5.2 Política externa: Europa, EUA, Reino Unido, Guerra do Paraguai;Avalie as consequências geopolíticas e econômicas da Guerra do Paraguai (1864-1870) para o Brasil, discutindo o fortalecimento do Exército, o endividamento externo e a Questão do Chaco no pós-guerra.
5.3 A questão da escravidão;Discorra sobre o processo de abolição gradual (Lei Eusébio de Queirós/1850, Lei do Ventre Livre/1871, Lei dos Sexagenários/1885, Lei Áurea/1888) como uma estratégia para evitar uma ruptura violenta, mas que gerou insatisfação tanto entre fazendeiros quanto entre abolicionistas radicais.
5.4 Crise do Estado Monárquico;Analise os fatores que levaram à crise do Estado Monárquico a partir da década de 1880: a Questão Militar (conflito com Deodoro), a Questão Religiosa (conflito com a Igreja) e o descontentamento dos cafeicultores paulistas com o abolicionismo monárquico.
5.5 Sociedade e cultura: população, estrutura social, vida acadêmica e literária;Relacione a ascensão do Romance no Segundo Reinado (Machado de Assis, José de Alencar) com a construção de uma identidade nacional que tentava conciliar o modelo europeu com a realidade brasileira escravocrata e rural.
5.6 Economia: agroexportação, trabalho assalariado, políticas econômico-financeiras;"Analise o ciclo do café no Vale do Paraíba e no Oeste Paulista, discutindo a transição do trabalho escravo para o trabalho assalariado (imigração europeia) e a política de ""encilhamento"" nos anos finais do Império."
6.1 Proclamação da República e governos militares;"Discuta a tese de que a Proclamação da República (15/11/1889) foi um ""golpe militar"" com apoio civil restrito, destacando o papel do Marechal Deodoro da Fonseca e o exílio da Família Real como elementos de ruptura."
6.2 Constituição de 1891;Caracterize a Constituição de 1891 destacando a adoção do federalismo, do presidencialismo e da separação Igreja-Estado, comparando-a com a Constituição de 1824 no que se refere ao direito de voto e à forma de Estado.
6.3 Regime oligárquico: política dos estados, coronelismo, hegemonia SP-MG;"Analise o funcionamento da ""Política do Café com Leite"" e da ""Política dos Governadores"" instituída por Campos Sales (1898-1902), explicando como o coronelismo e a Comissão de Verificação de Poderes garantiam a continuidade da oligarquia."
6.4 Economia agroexportadora;Discorra sobre o Convênio de Taubaté (1906) como um marco da política de valorização do café, discutindo seus mecanismos (compra de excedentes) e seus impactos na economia brasileira da Primeira República.
6.5 Política externa: Rio Branco, Haia, Grande Guerra, Liga das Nações;Avalie a atuação do Barão do Rio Branco (1902-1912) na definição das fronteiras brasileiras (Questão do Acre, Tratado de Petrópolis) e na elevação do prestígio internacional do Brasil, bem como a participação brasileira na Grande Guerra (1917-1918).
6.6 Sociedade e cultura: o Modernismo;"Analise a Semana de Arte Moderna de 1922 como um movimento de ruptura estética e de crítica social, discutindo como os modernistas (Oswald de Andrade, Mário de Andrade) questionaram a ideologia do ""civilizacionismo"" das elites agrárias."
6.7 Crise dos anos 20: tenentismo e revoltas;Compare os objetivos e os desdobramentos da Revolta do Forte de Copacabana (1922) com a Coluna Prestes (1925-1927), identificando a evolução do pensamento tenentista – de reação corporativa à crítica ao sistema oligárquico.
6.8 Revolução de 1930;"Discuta as causas da Revolução de 1930, analisando a crise da hegemonia paulista (ruptura do ""café com leite""), a Reação Republicana (1929) e o assassinato de João Pessoa, como fatores que levaram Getúlio Vargas ao poder."
7.1 Processo político e quadro econômico-financeiro (1930-1945);"Analise os primeiros anos do governo Vargas (1930-1934) como um ""governo provisório"" centralizador, discutindo a criação do Ministério do Trabalho, a interventoria nos estados e a política de queima de estoques de café."
7.2 Constituição de 1934;Caracterize a Constituição de 1934 como um compromisso entre o liberalismo e o autoritarismo, destacando sua inovação no voto feminino, na justiça eleitoral e nos direitos sociais, mas também sua breve vigência.
7.3 Constituição de 1937: o Estado Novo;Analise a Constituição de 1937 (Polaca) como um instrumento de legitimação da ditadura do Estado Novo, discutindo seus dispositivos autoritários (censura, pena de morte, cancelamento da autonomia estadual) e o Plano Cohen como pretexto para o golpe.
"7.4 Contexto internacional dos anos 1930/1940; Brasil e a Segunda Guerra";Avalie a ambiguidade da política externa do Estado Novo (1937-1945), que inicialmente flertou com o Eixo e depois se aliou aos Aliados, destacando a importância da FEB e da base de Natal (Parnamirim) para os EUA.
7.5 Industrialização e legislação trabalhista;"Relacione a criação da CLT (1943) e da Justiça do Trabalho com o projeto político de Vargas de ""conciliação de classes"" e de controle do movimento operário, no contexto da industrialização por substituição de importações."
7.6 Sociedade e cultura;"Analise o uso do DIP (Departamento de Imprensa e Propaganda) e da ""Hora do Brasil"" como instrumentos de construção do culto à personalidade de Vargas e de difusão do nacionalismo durante o Estado Novo."
8.1 Nova ordem política: partidos, eleições, Constituição de 1946;Caracterize a Constituição de 1946 como um retorno ao liberalismo democrático, discutindo a pluralidade partidária (PSD, UDN, PTB) e o sistema eleitoral, bem como os limites desse novo regime (manutenção do voto censitário indireto para analfabetos?).
8.2 Industrialização e urbanização;"Analise o Plano de Metas (1956-1961) de Juscelino Kubitschek (""50 anos em 5""), discutindo a construção de Brasília como símbolo do desenvolvimentismo e os impactos da indústria automobilística na urbanização."
8.3 Política externa: Guerra Fria, OPA, Política Externa Independente, Cuba;"Discorra sobre a ""Política Externa Independente"" (1961-1964) do governo João Goulart, analisando a reaproximação com a União Soviética, o voto contrário à suspensão de Cuba na OEA e as reações negativas da UDN e dos EUA."
8.4 Sociedade e cultura;Analise o surgimento do Cinema Novo (Glauber Rocha) e do Teatro de Arena (Augusto Boal) como movimentos artísticos de engajamento político que denunciavam o subdesenvolvimento e o imperialismo no início dos anos 1960.
9.1 Constituição de 1967 e modificações de 1969;Analise a Constituição de 1967 e seu Ato Complementar (EC n° 1/1969) como instrumentos de institucionalização da ditadura militar, destacando o fortalecimento do Executivo, a eleição indireta e a supressão de direitos políticos.
9.2 Economia;"Discorra sobre o ""Milagre Econômico Brasileiro"" (1968-1973), analisando seus fatores (PAEG, crédito externo) e seu custo social (concentração de renda, aumento da dívida externa), contrastando com o posterior ""choque do petróleo"" (1973)."
9.3 Política externa: pragmatismo responsável, relações com África e América Latina;"Analise o ""Pragmatismo Responsável"" (1974-1979) do governo Geisel como uma ruptura com o alinhamento automático aos EUA, destacando o reconhecimento da independência de Angola e Moçambique e a aproximação com a China."
9.4 Sociedade e cultura;Relacione o endurecimento do regime com o AI-5 (1968) e o surgimento de formas de resistência cultural, como o Tropicalismo (Caetano Veloso, Gilberto Gil) e o Cinema Marginal, que enfrentaram a censura e o exílio.
9.5 Processo de transição política;"Discuta a estratégia de ""distensão lenta, gradual e segura"" do governo Geisel (1974-1979) e da Lei da Anistia (1979), analisando os limites dessa transição (manutenção dos excludentes, Diretas Já de 1984)."
10.1 Constituição de 1988;Analise a Constituição Cidadã de 1988 como um marco jurídico da redemocratização, destacando seus princípios de ampliação dos direitos sociais, descentralização política e mecanismos de participação popular (plebiscito, referendo).
10.2 Partidos políticos e eleições;Caracterize o sistema partidário pós-1988 a partir da fragmentação e da fidelidade partidária, discutindo o presidencialismo de coalizão como um modelo de governabilidade que alterna estabilidade e crises políticas (impeachment de Collor em 1992).
10.3 Transformações econômicas;Discorra sobre o Plano Real (1994) como o mais bem-sucedido plano de estabilização econômica do Brasil, analisando a URV, a âncora cambial e a consequente abertura comercial nos anos 1990.
10.4 Impactos da globalização;Analise os efeitos da globalização econômica sobre a indústria brasileira nos anos 1990 (privatizações, importações) e a emergência do Brasil como exportador de commodities nos anos 2000 (boom das matérias-primas).
10.5 Mudanças sociais;Discuta as políticas de ação afirmativa (cotas raciais e sociais em universidades, Lei 12.711/2012) como resposta à desigualdade histórica, analisando seus resultados e as controvérsias que geraram.
10.6 Manifestações culturais;Analise o papel das manifestações de rua de 2013 (Jornadas de Junho) como um marco de renovação da política brasileira, conectando a insatisfação com os serviços públicos e a corrupção à emergência de novas formas de ativismo digital.
10.7 Evolução da política externa;Compare a política externa do governo Lula (2003-2010) – ênfase no Sul-Sul, BRICS, mediação do conflito nuclear iraniano – com a do governo Bolsonaro (2019-2022) – alinhamento a Trump e saída da UNASUL.
10.8 MERCOSUL;Analise os avanços e as limitações do MERCOSUL desde sua criação (Tratado de Assunção/1991), discutindo a assimetria entre Brasil e Argentina, as crises de 1999 e 2001, e a suspensão da Venezuela.
10.9 O Brasil na ONU;Discorra sobre a campanha brasileira por um assento permanente no Conselho de Segurança da ONU, analisando os argumentos a favor (responsabilidade global, PIB) e os obstáculos (oposição de EUA/China? veto regional da Argentina e México).
11. Os impactos tecnológicos e digitais nas transformações políticas e sociais do Brasil no século XXI;Analise como as redes sociais (WhatsApp, Facebook, Telegram) transformaram as campanhas eleitorais (2018, 2022) e o debate público, discutindo os fenômenos das fake news, da polarização política e dos algoritmos de recomendação na democracia brasileira contemporânea.
