Qual é o período identificado por Eugênio Vargas Garcia como de prevalência do pan-americanismo na política externa brasileira?;De 1889 (I Conferência Pan-Americana) até 1961 (início da Política Externa Independente - PEI).
Quais temas principais foram debatidos na I Conferência Pan-Americana?;Arbitragem, união aduaneira, moeda comum, regulamentação aduaneira, comunicação entre portos, pesos e medidas, direitos autorais e marcas registradas.
Qual foi a posição inicial do Império do Brasil na I Conferência?;Favorável à participação, mas contrária à união aduaneira, moeda comum e arbitragem obrigatória por receio da hegemonia dos EUA.
Como o novo governo republicano orientou a delegação brasileira?;Com “espírito americano”, apoiando a arbitragem obrigatória e mantendo a defesa dos interesses econômicos nacionais.
Que instituição foi criada a partir da I Conferência Pan-Americana?;A União Internacional das Repúblicas Americanas, com sede em Washington, para promover informações comerciais.
Por que a proposta de união aduaneira fracassou?;Devido à oposição de países como Argentina e à importância da receita alfandegária para os países americanos.
Qual foi a função da delegação brasileira após a Proclamação da República?;Representar o novo governo republicano com postura pró-pan-americana, sob a liderança de Salvador de Mendonça.
Quem convidou o Brasil para a II Conferência Pan-Americana?;O México, em agosto de 1900.
Qual evento recente gerava desconfiança em relação aos EUA na II Conferência?;A Guerra Hispano-Americana de 1898.
Qual foi o principal tema de controvérsia na II Conferência Pan-Americana?;A arbitragem obrigatória, com oposição do Chile e apoio da Argentina.
Qual resolução sobre arbitragem foi aprovada na II Conferência Pan-Americana?;Uma recomendação para que os países aderissem às Convenções da Haia de 1899.
Que temas foram discutidos na II Conferência Pan-Americana além da arbitragem?;Transporte (como a ferrovia pan-americana), regulamentação aduaneira, comércio, Doutrina Monroe e saúde pública.
Que estrutura institucional foi reformada na II Conferência Pan-Americana?;O Comitê Executivo foi substituído pelo Conselho Diretor do Bureau, agora composto por representantes das repúblicas americanas.
Que mudança de nome institucional ocorreu na II Conferência Pan-Americana?;O “Bureau Comercial das Repúblicas Americanas” passou a se chamar “Bureau Internacional das Repúblicas Americanas”.
Por que o Brasil se opôs à arbitragem obrigatória na II Conferência Pan-Americana?;Por ainda ter pendências de fronteiras com países vizinhos.
Onde e quando ocorreu a III Conferência Pan-Americana?;No Rio de Janeiro, de 25 de julho a 27 de agosto de 1906.
Quem presidiu a III Conferência Pan-Americana?;Joaquim Nabuco, representante do Brasil em Washington.
Qual secretário de Estado dos EUA participou da III Conferência?;Elihu Root.
Que doutrina foi defendida pela Argentina na III Conferência Pan-Americana?;A Doutrina Drago, contra o uso da força na cobrança de dívidas.
O que o Barão do Rio Branco enfatizou no discurso inaugural da III Conferência?;A valorização dos laços com a Europa e a ideia de que o pan-americanismo não excluía outras alianças.
Como o Brasil e o Chile se posicionaram sobre a arbitragem na III Conferência?;Ambos se opuseram a uma declaração mais ambiciosa sobre o tema.
Qual foi o resultado prático sobre a Doutrina Drago na III Conferência?;Foi aprovada uma resolução para que o tema fosse discutido na próxima Conferência da Haia.
Que medidas institucionais foram aprovadas na III Conferência?;Reestruturação do Bureau Internacional, monitoramento das decisões e incentivo à ratificação dos acordos.
Onde foi sediada a IV Conferência Pan-Americana?;Buenos Aires, de 12 de julho a 30 de agosto de 1910.
Qual país não participou da IV Conferência Pan-Americana?;Bolívia.
Quem chefiou a delegação brasileira na IV Conferência Pan-Americana?;Joaquim Murtinho.
Qual era o foco principal do programa da IV Conferência?;Questões práticas como taxas postais e padronização monetária, evitando temas sensíveis.
Qual foi o principal avanço institucional da IV Conferência Pan-Americana?;Criação da União Pan-Americana, substituindo o Bureau Internacional como órgão permanente.
Que nome recebeu a instituição criada na IV Conferência, com sede em Washington?;União Pan-Americana.
Que funções foram atribuídas à União Pan-Americana?;Compilar dados comerciais, jurídicos e legislativos, além de atuar como Comissão Permanente das Conferências Internacionais Americanas.
Quem presidia o Conselho Diretor da União Pan-Americana?;O secretário de Estado dos EUA.
Qual o motivo do intervalo de 13 anos entre a IV e a V Conferência Pan-Americana?;A Primeira Guerra Mundial e seus efeitos sobre a cooperação internacional.
Quais foram as duas principais tendências no debate sobre o papel da União Pan-Americana na V Conferência?;Manter a instituição focada em comércio e cultura ou expandi-la para questões políticas.
Quais países não participaram da V Conferência Pan-Americana?;México, Bolívia e Peru.
O que estabelecia o Pacto Gondra aprovado na V Conferência?;Que controvérsias não resolvidas diplomaticamente seriam avaliadas por Comitês de Investigação em Montevidéu e Washington.
Qual tema foi discutido pela primeira vez na V Conferência?;Agricultura.
Qual a posição do Brasil em relação ao desarmamento na V Conferência?;O Brasil opôs-se à proposta argentina de limitar a tonelagem dos navios de guerra.
Quem chefiou a delegação brasileira na V Conferência?;Afrânio de Melo Franco.
Qual presidente dos EUA participou da VI Conferência Pan-Americana em Havana?;Calvin Coolidge.
Qual foi o principal resultado da VI Conferência Pan-Americana?;Aprovação do Código de Direito Internacional Privado Americano, conhecido como “Código de Bustamante”.
Quais outros temas foram tratados na VI Conferência além do Direito Internacional?;Condição jurídica do estrangeiro, agentes diplomáticos, neutralidade marítima, asilo e aviação comercial.
Houve consenso sobre a resolução contra intervenção na VI Conferência?;Não, a discussão foi postergada.
Quem liderou a delegação brasileira na VI Conferência?;Raul Fernandes.
Qual foi o contexto político da VII Conferência Pan-Americana em Montevidéu?;Ambiente favorável devido à política de boa vizinhança dos EUA.
Quem presidiu a delegação argentina na VII Conferência?;Carlos Saavedra Lamas.
Qual documento importante foi aprovado na VII Conferência?;Convenção sobre Direitos e Deveres dos Estados, reafirmando o princípio da não intervenção.
Quem liderou a delegação brasileira na VII Conferência?;Afrânio de Melo Franco.
Qual foi a participação dos EUA na redução de tarifas na VII Conferência?;Houve abertura para discutir redução de tarifas, apesar da forte oposição anterior.
Qual foi o propósito da Conferência Interamericana para a Manutenção da Paz em 1936?;Garantir a unidade regional diante das ameaças internacionais e promover a paz.
Quem presidiu a Conferência de Paz de Buenos Aires em 1936?;Carlos Saavedra Lamas.
Quais documentos importantes foram assinados na Conferência de Paz de 1936?;Convenção para a Manutenção da Paz, Protocolo Adicional sobre Não Intervenção, Tratado de Prevenção de Controvérsias e Tratado sobre Bons Ofícios e Mediação.
Quem esteve presente na Conferência de Paz de 1936 representando os EUA?;Presidente Franklin Delano Roosevelt.
Quais temas culturais foram tratados na Conferência de Paz de 1936?;Aprovação de quatro tratados para fortalecer intercâmbios culturais visando à manutenção da paz.
Qual foi o principal tema da VIII Conferência Pan-Americana em Lima?;Paz, desarmamento, Direito Internacional e direitos civis e sociais.
Quem liderou a delegação brasileira na VIII Conferência?;Afrânio de Melo Franco.
Que declaração importante foi aprovada na VIII Conferência?;Declaração de Lima, reafirmando solidariedade continental e princípios de segurança coletiva.
Quais novos temas sociais foram discutidos na VIII Conferência?;Direitos civis e políticos das mulheres, direitos indígenas, cooperação sanitária e educação.
Qual foi a posição dos EUA na VIII Conferência quanto à criação de um órgão consultivo permanente?;Defenderam a criação de um pacto de segurança com um órgão consultivo, mas enfrentaram resistência de outros países.
Como o Brasil atuou na VIII Conferência em relação às divergências?;Como mediador, ajudando a aprovação unânime da Declaração de Lima.
Quais foram alguns dos itens gerais do programa da VIII Conferência?;Criação de corte interamericana de justiça, liga de nações americanas e defesa da Doutrina Stimson contra aquisições territoriais pela força.
Qual foi o objetivo da I Reunião de Consulta dos Ministros das Relações Exteriores Americanos em 1939?;Assinar a Declaração de Neutralidade das águas territoriais e discutir proteção da paz e cooperação econômica no hemisfério.
Onde e quando ocorreu a II Reunião de Consulta dos Ministros das Relações Exteriores Americanos?;Em Havana, no dia 20 de julho de 1940.
O que estabeleceu a Ata de Havana aprovada na II Reunião de Consulta?;Que qualquer ataque a um país americano seria considerado uma agressão a todo o continente, implicando reação coletiva.
Qual foi o motivo da III Reunião de Consulta em janeiro de 1942 no Rio de Janeiro?;Reação ao ataque japonês a Pearl Harbor em dezembro de 1941.
Qual foi o principal conflito diplomático na III Reunião de Consulta?;Disputa áspera entre Buenos Aires e Washington devido à posição da Argentina.
O que foi a Declaração das Nações Unidas assinada em 1º de janeiro de 1942?;Uma declaração de guerra contra as potências do Eixo assinada por 26 países, incluindo nove repúblicas da América Central e Caribe.
Por que a Argentina protestou contra a Declaração das Nações Unidas?;Porque a decisão feriu o princípio da “consulta prévia” da Declaração de Lima de 1938.
Qual foi a resolução final sobre o rompimento das relações diplomáticas com as potências do Eixo na conferência do Rio?;Recomenda que as repúblicas americanas rompam relações, mas não decide obrigatoriamente.
Quais foram algumas resoluções econômicas aprovadas na III Reunião de Consulta?;Mobilização econômica para suprimentos estratégicos, estímulo à exportação agrícola e mineral, e livre movimentação de capitais.
Qual foi a recomendação sobre a criação de indústrias sintéticas na reunião?;"Que não deveriam ser criadas indústrias de produtos sintéticos ""artificiais"" para não prejudicar o consumo dos produtos naturais americanos."
Que medidas foram recomendadas para a coordenação policial na reunião?;Criação de registro interamericano de arquivos policiais para identificar indivíduos envolvidos em atividades subversivas.
Por que essas resoluções continuaram relevantes após a Segunda Guerra Mundial?;Porque estabeleceram órgãos e princípios de controle social permanente, reforçando a hegemonia dos EUA no continente.
Onde e quando foi realizada a Conferência Interamericana sobre Problemas da Guerra e da Paz (Conferência de Chapultepec)?;No Castelo de Chapultepec, Cidade do México, de 21 de fevereiro a 8 de março de 1945.
Qual país não participou da Conferência de Chapultepec e por quê?;A Argentina, devido à influência nazista e postura antagônica aos EUA durante a guerra.
Quais foram os temas principais das comissões na Conferência de Chapultepec?;Esforço de guerra, organização mundial, sistema interamericano, problemas econômicos e sociais do pós-guerra, e coordenação das minutas.
Quem presidiu a comissão responsável pelo sistema interamericano na Conferência de Chapultepec?;Alberto Lleras Camargo, ministro das Relações Exteriores da Colômbia.
Qual foi o foco do discurso brasileiro na Conferência de Chapultepec?;Reafirmação da solidariedade continental, exaltação da Doutrina Monroe e memória das conferências pan-americanas.
Quais países tiveram soldados diretamente envolvidos na guerra, citados no discurso brasileiro?;Brasil, México e Estados Unidos.
Quantos membros compunham a delegação brasileira na Conferência de Chapultepec?;25 membros.
Qual era o papel do chanceler Pedro Leão Velloso na Conferência de Chapultepec?;Presidiu a comissão que discutiu medidas para intensificar a cooperação no esforço de guerra.
Quantas resoluções foram aprovadas na Conferência de Chapultepec?;61 resoluções.
Qual é frequentemente considerada a principal resolução da Conferência de Chapultepec?;A Ata de Chapultepec (Resolução VIII), sobre assistência recíproca e solidariedade americana.
O que reafirma o preâmbulo da Ata de Chapultepec?;Princípios como não intervenção, respeito aos tratados e resolução pacífica de controvérsias.
Qual ato de agressão é considerado um ato contra todos os Estados signatários segundo a Ata de Chapultepec?;Agressão entre Estados americanos ou de Estado não americano contra Estado americano.
A Ata de Chapultepec limita seus compromissos a qual período?;Ao período da Segunda Guerra Mundial.
Quais sanções a Ata de Chapultepec prevê para futuras agressões após a guerra?;Retirada de chefes diplomáticos, ruptura de relações diplomáticas e comerciais, e uso das forças militares.
Qual era o compromisso da Parte II da Ata de Chapultepec para o pós-guerra?;Celebrar um tratado de segurança coletiva com procedimentos para ameaças ou agressões futuras.
O que previa a Parte III da Ata de Chapultepec?;A conformidade do sistema interamericano aos princípios da organização mundial a ser criada.
Qual documento da Conferência de Chapultepec foi considerado o mais importante por Juan Carlos Mendoza Sánchez?;A Declaração do México (Resolução XI).
Que princípios a Declaração do México enfatiza?;Direitos do indivíduo e obrigações sociais dos Estados, harmonizando interesses comunitários e individuais.
Que sugestões Brasil e México apresentaram sobre a futura organização internacional?;Ampliação da Assembleia Geral da ONU, extensão da jurisdição da Corte Internacional e representação adequada no Conselho de Segurança.
Qual foi a principal divergência econômica entre EUA e países latino-americanos no pós-guerra?;"EUA defendiam livre comércio hemisférico; países latino-americanos queriam ajuda para industrialização e desenvolvimento."
Que compromissos constam na Carta Econômica das Américas (Resolução LI)?;Cooperação econômica para mobilização de recursos, transição ordenada pós-guerra, estabilidade financeira e desenvolvimento sustentável.
Quais áreas eram foco da Carta Econômica das Américas para desenvolvimento?;Recursos naturais, industrialização, transportes, agricultura, eletricidade, obras públicas e investimento privado.
Quais princípios econômicos a Carta Econômica das Américas promovia?;Eliminação do nacionalismo econômico excessivo, tratamento justo a capitais estrangeiros, estímulo à iniciativa privada e redução de barreiras comerciais.
Quem foi homenageado na primeira resolução da Conferência de Chapultepec?;Benito Juárez, ex-presidente do México.
Que resolução trata da proteção dos direitos da mulher na América?;Resolução 28, “Direitos da mulher na América”.
Qual resolução se refere à abolição do reconhecimento de governos de fato?;Resolução 34.
Que tema aborda a resolução sobre “Perseguição aos judeus”?;Denúncia e condenação da perseguição nazista aos judeus (Resolução 60).
Que resolução fala da reorganização do sistema interamericano?;Resolução 9, “Reorganização, consolidação e fortalecimento do sistema interamericano”.
;
Qual foi o principal problema tratado em relação à Argentina na Conferência de Chapultepec?;A Argentina não cumpriu os requisitos para admissão plena na conferência devido a simpatias fascistas internas e atraso em declarar guerra ao Eixo.
Qual foi a solução proposta para o caso argentino na Conferência?;Uma proposta colombiana que permitiu um compromisso para reintegração condicionada da Argentina ao sistema interamericano.
O que dizia a Resolução LIX sobre a Argentina na Conferência de Chapultepec?;Que a unidade americana era indivisível, lamentava a ausência da Argentina e deixava aberta sua adesão após cumprimento dos requisitos.
Quais eram os requisitos para a Argentina aderir plenamente à Conferência?;Declarar guerra ao Eixo e aderir às resoluções da conferência, especialmente à Ata de Chapultepec.
Quando a Argentina declarou guerra ao Japão e à Alemanha?;"Em 27 de março de 1945, declarando guerra ""como aliado do Japão""."
Quando a Argentina assinou a Ata de Chapultepec?;Em 4 de abril de 1945, por meio de seu encarregado de negócios na Cidade do México.
Quando a Argentina foi formalmente reconhecida pelo bloco americano e retomou relações?;Em 9 de abril de 1945, incluindo os EUA e o Brasil.
Qual presidente norte-americano morreu pouco após a Conferência de Chapultepec?;Franklin D. Roosevelt, em 12 de abril de 1945.
Qual postura Truman adotou em relação à política hemisférica após a morte de Roosevelt?;Favoreceu um sistema regional autônomo que apoiaria iniciativas dos EUA, com implementação integral da Ata de Chapultepec.
Qual conceito importante da Conferência de Chapultepec refletia o controle dos EUA sobre o hemisfério?;"""Hemisfério fechado em um mundo aberto"", com a América Latina como bloco coeso sob liderança norte-americana."
Qual tratado foi formulado na Conferência Interamericana de Petrópolis, em 1947?;O Tratado Interamericano de Assistência Recíproca (TIAR), para defesa coletiva das Américas.
Quais foram os principais temas do TIAR?;Resolução pacífica de disputas, obrigações em caso de ataque armado, consultas e medidas coletivas, definição de atos de agressão e procedimentos.
Quem chefiou a delegação brasileira na Conferência de Petrópolis?;Raul Fernandes.
Qual foi a importância do TIAR para os princípios da Ata de Chapultepec?;Tornou permanentes os princípios de solidariedade política interamericana e manutenção da paz e segurança.
Qual foi a principal ação da IX Conferência Pan-Americana, em Bogotá, em 1948?;Adoção da Carta da OEA, do Pacto de Bogotá e da Declaração Americana dos Direitos e Deveres do Homem.
O que buscava o Acordo Econômico de Bogotá, adotado na IX Conferência?;Promover a cooperação econômica entre os Estados americanos, embora nunca tenha entrado em vigor.
Quais convenções importantes foram adotadas na X Conferência Pan-Americana, em Caracas, 1954?;Convenções sobre Asilo Diplomático, Asilo Territorial e Fomento das Relações Culturais Interamericanas.
Qual foi a resolução importante aprovada na X Conferência contra a influência externa?;"Resolução dos EUA contra a ""intervenção do comunismo internacional"" nas Américas."
Que evento internacional e interno norte-americano influenciou a política hemisférica e a Conferência de 1947?;O discurso de Truman no Congresso em 1947 e o início da política de contenção da União Soviética (Guerra Fria).
Qual foi o contexto do golpe na Guatemala em 1954?;O programa de reforma agrária do presidente Jacobo Árbenz, que confiscou terras da United Fruit Company, provocou ação dos EUA e apoio de países vizinhos.
Qual foi o papel dos EUA no golpe de 1954 na Guatemala?;Apoiaram o golpe via serviço secreto, colaborando com governos nicaraguense e hondurenho.
O que o Protocolo de Buenos Aires (1967) visava alterar na OEA?;Imprimir novo dinamismo, modificar estrutura funcional, estabelecer novos objetivos para desenvolvimento econômico, social e cultural e acelerar integração.
Quais são os antecedentes diretos da criação da OEA?;As conferências interamericanas ou pan-americanas desde 1889, a União de Repúblicas Americanas (1910), e ideologicamente a Doutrina Monroe (1823) e o Congresso do Panamá (1826), além da Ata de Chapultepec (1945).
Qual tratado firmado em 1947 reforçou a solidariedade mútua prevista na Ata de Chapultepec?;O Tratado Interamericano de Assistência Recíproca (TIAR), assinado no Rio de Janeiro em 1947.
Quando e onde foi fundada a Organização dos Estados Americanos (OEA)?;"Em 1948, com a assinatura da Carta de Bogotá; a sede está em Washington, EUA."
Quais são os quatro pilares fundamentais da OEA?;Democracia, desenvolvimento integral, direitos humanos e segurança multidimensional.
Quantos Estados-Membros a OEA possui atualmente?;35 Estados-Membros.
Quais foram alguns marcos políticos e institucionais importantes na história da OEA?;Transformações institucionais (1967-1993), exclusão e suspensão de Cuba (1962-2009), consolidação do sistema interamericano de direitos humanos, adoção da Carta Democrática em 2001.
O que foi a suspensão de Cuba na OEA e quando foi levantada?;Cuba foi suspensa em 1962 por divergências políticas e teve a suspensão levantada em 2009, mas optou por não retomar participação ativa.
Qual é o órgão máximo da OEA e suas principais funções?;A Assembleia Geral (AG-OEA), que define políticas, mandatos, estrutura e funções da organização, reunindo-se anualmente em sessões ordinárias e extraordinárias.
Quais órgãos trabalham entre as sessões da Assembleia Geral da OEA?;O Conselho Permanente (CP-OEA), o Conselho Interamericano de Desenvolvimento Integral e várias comissões especializadas.
Que reuniões ministeriais a OEA coordena além das sessões da Assembleia Geral?;Encontros de ministros da Justiça, Ciência e Tecnologia, Educação e reuniões de Consulta de Ministros das Relações Exteriores para temas urgentes.
Quais são algumas das comissões e organismos especializados dentro do sistema OEA?;Comissão Jurídica Interamericana (CJI), Comissão Interamericana de Direitos Humanos (CIDH), OPAS, IICA, CIM, Instituto Interamericano da Criança, Comitê Interamericano contra o Terrorismo (CICTE), CICAD, Junta Interamericana de Defesa (JID), CITEL e Corte Interamericana de Direitos Humanos (CtDH).
Qual instituição importante está vinculada ao sistema interamericano, mas não é parte formal da OEA?;O Banco Interamericano de Desenvolvimento (BID), criado em 1959, opera à margem da OEA.
Como se denominam atualmente as conferências que substituíram as Conferências Pan-Americanas?;Conferências Interamericanas, incluindo as Cúpulas das Américas, realizadas desde 1994.
Como se posicionou o Brasil em relação à OEA a partir dos anos 2000?;O Brasil se desengajou progressivamente do sistema interamericano, privilegiando subsistemas latino-americanos e sul-americanos, especialmente após o fracasso da ALCA e com o surgimento da UNASUL e CALC.
Qual foi o impacto do pedido da CIDH relacionado à usina de Belo Monte na participação do Brasil na OEA?;O Brasil ficou sem representante permanente na OEA entre 2011 e 2015 e interrompeu momentaneamente o pagamento de contribuições à organização.
O que motivou a revalorização da OEA pelo Brasil e outros países sul-americanos após o início da crise venezuelana?;A ascensão de governos de direita comprometidos com princípios democráticos, diante da crise política e de direitos humanos na Venezuela, levou ao maior interesse pela OEA como fórum de debate e resolução.
Quais foram as prioridades anunciadas pelo Brasil na OEA durante o governo Bolsonaro?;Defesa dos valores democráticos como patrimônio central da OEA, crítica aos regimes totalitários de Cuba e Venezuela, fortalecimento do sistema interamericano e promoção do desenvolvimento e segurança respeitando o caráter intergovernamental da organização.
Que programa de bolsas de estudo o Brasil destacou para atrair estudantes da região?;O Programa de Alianças para a Educação e a Capacitação (PAEC), parceria entre OEA, OPAS e o Grupo de Cooperação Internacional de Universidades Brasileiras (GCUB).
Qual foi a posição do Brasil em relação à atuação da OEA na crise venezuelana?;O Brasil apoiou o fortalecimento da OEA e sua atuação, elogiou a identificação de irregularidades nas eleições bolivianas de 2019 e defendeu medidas para evitar agravamento da crise venezuelana, embora reconheça a falta de consenso para ações mais drásticas.
Quais princípios da Constituição Federal orientam a atuação do Brasil na OEA?;Defesa da democracia, do Estado de Direito, dos direitos humanos e da livre iniciativa, buscando promover a boa convivência entre países americanos e a melhoria da qualidade de vida dos cidadãos.
Quais são os três principais grupos coletivos em que a delegação do Brasil na OEA participa atualmente?;"1) G14+, grupo informal para discutir a crise na Venezuela; 2) Grupo de Trabalho do Conselho Permanente da OEA (CPOEA) para a Nicarágua; 3) Tratamento da crise na Venezuela sob o amparo do Tratado Interamericano de Assistência Recíproca (TIAR)."
Como o Brasil contribui para os processos eleitorais na América Latina via OEA?;"Apoia missões de observação eleitoral, como nas eleições da Bolívia (2019) e Guiana (2020); o Brasil recebeu missão eleitoral da OEA em 2018, 2020 e 2022, incluindo o 2º turno em 15 estados brasileiros e cidades no exterior."
Quais críticas o governo brasileiro mantém em relação ao sistema interamericano de direitos humanos?;Críticas ao ativismo excessivo da Comissão Interamericana de Direitos Humanos (CIDH) e ao descumprimento de sentenças da Corte Interamericana de Direitos Humanos (CtDH), destacando o caso Gomes Lund.
Quais candidaturas brasileiras foram apoiadas no sistema interamericano de direitos humanos?;Flavia Piovesan para a CIDH, George Galindo para a Comissão Jurídica Interamericana (CJI) e Rodrigo de Bittencourt Mudrovitsch para a Corte Interamericana de Direitos Humanos (CtDH).
Quando e onde ocorreu a 51ª Reunião da Assembleia Geral da OEA?;Entre 10 e 12 de novembro de 2021, na Cidade da Guatemala.
Qual foi o tema central da 51ª AG-OEA?;"""Por uma América renovada"", focando na recuperação pós-pandemia, direitos humanos, democracia, desenvolvimento integral e segurança multidimensional."
Quais foram as principais preocupações destacadas por Luis Almagro na abertura da 51ª AG-OEA?;Necessidade de plano regional para vacinas, combate à desigualdade, reativação econômica, políticas contra mudanças climáticas, combate à discriminação e crise humanitária na Venezuela.
Qual foi o papel destacado das missões de observação eleitoral (MOE-OEA) por Luis Almagro?;"São consideradas o ""coração da defesa da democracia nas Américas""."
Quais temas foram destacados pela delegação brasileira na 51ª AG-OEA?;Combate às consequências da pandemia, promoção e proteção dos direitos humanos, defesa da democracia, desenvolvimento integral e segurança multidimensional.
Quais países, além do Brasil, manifestaram preocupação sobre a ordem democrática na Venezuela?;Canadá, Chile, Colômbia, Costa Rica, El Salvador, Equador, Estados Unidos, Guatemala, Haiti, Honduras, Paraguai e Uruguai.
Quem foi eleito juiz da Corte Interamericana de Direitos Humanos no mandato 2022-2027?;Rodrigo de Bittencourt Mudrovitsch, representante brasileiro.
"Quais foram as três áreas prioritárias apontadas pelos EUA na 51ª AG-OEA para a ""renovação""?";"1) Fortalecer a capacidade do sistema democrático; 2) Defender princípios democráticos contra regimes autoritários na Nicarágua, Cuba e Venezuela; 3) Resolver problemas econômicos e sociais como corrupção, violência e desigualdade."
Qual é a posição da OEA sobre a questão das Ilhas Malvinas, conforme a Declaração DEC.103?;A OEA reafirma a necessidade da retomada das negociações para solução pacífica da disputa, reconhecendo o tema como de permanente interesse hemisférico.
Quais são os principais compromissos da Declaração DEC.104 sobre Desenvolvimento Sustentável?;Avançar nas metas da Agenda 2030, combater mudanças climáticas, perda de biodiversidade, discriminação, fome, insegurança alimentar, pobreza e violência, além de fortalecer o papel da OEA.
O que reafirma a Declaração DEC.105 sobre a situação no Haiti?;"Preocupação com crise política, econômica, social, de segurança e humanitária no Haiti; compromisso com eleições livres e justas; apoio na luta contra COVID-19 e investigação do assassinato do presidente Jovenel Moïse."
Quais são os sete eixos da Resolução RES.2967 para promoção do desenvolvimento integral com resiliência?;"1) Economias inclusivas e competitivas; 2) Implementação dos objetivos de desenvolvimento sustentável; 3) Educação e desenvolvimento humano; 4) Trabalho decente e digno; 5) Direitos humanos dos migrantes; 6) Cooperação e parcerias; 7) Inclusão social."
Que iniciativas e fóruns se destacam no eixo da economia inclusiva da RES.2967?;A atuação da Secretaria-Executiva de Desenvolvimento Integral (SEDI) e o Fórum de Competitividade das Américas (ACF).
Qual a importância da promoção e proteção dos direitos dos migrantes na Resolução RES.2967?;Estimula políticas públicas contra discriminação, racismo e xenofobia, reconhecendo desafios causados por desastres naturais e mudanças climáticas.
Como a OEA apoia o desenvolvimento social e combate à pobreza nas Américas?;Por meio da Comissão Interamericana de Desenvolvimento Social (CIDES) e da Rede Interamericana de Proteção Social (RIPSO), além do Plano de Ação Guatemala 2019 para superar pobreza multidimensional e promover equidade social.
O que é a “Iniciativa Capacetes Brancos” mencionada na RES.2968?;É um corpo civil criado na Argentina em 1994 e adotado regionalmente pela OEA em 1995, dedicado à resposta a desastres e luta contra a fome e a pobreza.
Qual o objetivo principal da Carta Empresarial Interamericana (RES.2969)?;Fortalecer o papel do setor privado no desenvolvimento hemisférico, promovendo sustentabilidade, segurança multidimensional, democracia, direitos humanos e incentivando empreendedorismo feminino e inovação.
Quais temas destacam-se na RES.2970 sobre segurança hemisférica?;Paz, desarmamento, não proliferação de armas de destruição em massa, cooperação em defesa, impacto das mudanças climáticas, combate ao terrorismo e ao tráfico de drogas.
Onde e quando foi realizada a IX Cúpula das Américas mencionada na RES.2973?;Em Los Angeles, EUA, entre 6 e 10 de junho de 2022.
O que reafirma a RES.2975 sobre democracia?;A obrigação dos Estados-Membros de promover e defender a democracia e a vigência da Carta Democrática Interamericana para esses fins.
Quais temas centrais são abordados na RES.2976 sobre direitos humanos?;Fortalecimento do Protocolo de San Salvador, erradicação da apatridia, combate ao racismo, proteção a refugiados, igualdade de gênero, direitos indígenas, meio ambiente, e prevenção de discriminação contra LGBTIQA+.
Qual preocupação a RES.2977 destaca sobre a pandemia de COVID-19?;Exacerbação das vulnerabilidades estruturais, principalmente em pequenos Estados insulares, e a falta de distribuição equitativa de vacinas.
Qual foi a avaliação da AG-OEA sobre as eleições na Nicarágua na RES.2978?;Considerou que as eleições de 7 de novembro de 2021 não foram livres, justas nem transparentes, e pediu liberação de presos políticos e fim da perseguição à imprensa.
O que trata a RES.2979 sobre desastres no hemisfério?;Reconhece a vulnerabilidade de cerca de 300 milhões de americanos a desastres naturais e reforça o papel dos Estados na prevenção e redução desses riscos, usando o Marco de Sendai como plataforma global.
Qual foi o local e data da 52ª AG-OEA?;Lima, Peru, de 5 a 7 de outubro de 2022.
