tiempo;tempo
desorden;bagunça / desordem
olor;cheiro
mosca;mosca
asesino;assassino
escena;cena
tarjeta;cartão
inglés;inglês
iglesia;igreja
hielo;gelo
ventana;janela
parte;parte
risa;risada
teniente;tenente
llanto;choro
mamá;mamãe
visita;visita
asiento;assento
profesor / profesora;professor / professora
relación;relacionamento
placer;prazer
cámara;câmera
colegio;colégio
juez;juiz / juíza
posición;posição
bien;bem
novio;namorado
pared;parede
privado;particular / privado
parada;parada
francés;francês
arte;arte
máquina;máquina
verde;verde
policía;policial
vino;vinho
apartamento;apartamento
pueblo;vilarejo / aldeia
felicitaciones;parabéns
cárcel;cadeia
broma;piada
mal;mal
abogado / abogada;advogado / advogada
campo;campo
contacto;contato
tienda;loja
comercio;comércio
profesor / profesora;professor / professora
señora;senhora
duda;dúvida
avión;avião
efectivo;dinheiro (em espécie)
isla;ilha
gato / gata;gato / gata
decisión;decisão
cerveza;cerveja
diferencia;diferença
empujón;empurrão
sur;sul
regalo;presente
vaso;copo
árbol;árvore
oso / osa;urso / ursa
norte;norte
autobús;ônibus
socio / socia;sócio / sócia
agarre;agarre
víctima;vítima
computadora;computador
camión;caminhão
alcance;alcance
tablero;tabuleiro
grasa;gordura
planeta;planeta
búsqueda;busca
viento;vento
arresto;prisão / detenção
;
;
salto;salto
apoyo;apoio
magia;magia
mierda;merda
cocina;cozinha
verano;verão
paciente;paciente
tía;tia
experiencia;experiência
cielo;céu
río;rio
golpe;batida / golpe
fuga;fuga
dirección;endereço
pie;pé
luna;lua
compañero / compañera;companheiro / companheira
partido;partida / jogo
final;final
humo;fumaça
culpa;culpa
prensa;imprensa
sonrisa;sorriso
tipo;tipo
misión;missão
favor;favor
acción;ação
deber;dever
precio;preço
guardia;guarda
riesgo;risco
aviso;aviso
enemigo / enemiga;inimigo / inimiga
patada;chute
carrera;corrida
traje;terno / traje
ajuste;ajuste
director / directora;diretor / diretora
lugar;lugar
cruz;cruz
brazo;braço
arriba;andar de cima
pollo;frango
departamento;departamento
héroe;herói
gas;gás
sargento;sargento
bajo;baixo
pierna;perna
gusto;gosto
desperdicio;desperdício
oeste;oeste
grupo;grupo
batalla;batalha
estudio;estudo
mención;menção
campana;sino / campainha
escenario;palco / cenário
agujero;buraco
cerradura;fechadura
arma;arma
energía;energia
trato;tratamento / acordo
quemadura;queimadura
forma;forma
cielo;céu
desayuno;café da manhã
banda;banda
pista;pista
espíritu;espírito
nariz;nariz
favorito / favorita;favorito / favorita
memoria;memória
risa;risada
rollo;rolo
testigo;testemunha
doble;dobro
baño;banheiro
construcción;construção
bomba;bomba
presión;pressão
vuelo;voo
interés;interesse
garganta;garganta
costo;custo
peligro;perigo
cabrón / cabrona;babaca / canalha
cuello;pescoço
sospechoso / sospechosa;suspeito / suspeita
botella;garrafa
belleza;beleza
naturaleza;natureza
vídeo;vídeo
lluvia;chuva
campamento;acampamento
vergüenza;vergonha
conductor / conductora;motorista
pájaro;pássaro
multitud;multidão
nivel;nível
fe;fé
comandante;comandante
cliente;cliente
motor;motor
pop;pop
animal;animal
diablo;diabo
fin de semana;fim de semana
piedra;pedra
cariño;querido / amor
piel;pele
cuchillo;faca
droga;droga
ciego / ciega;cego / cega
alemán / alemana;alemão / alemã
playa;praia
sombrero;chapéu
local;local
código;código
sala;salão
oportunidad;oportunidade
tonterías;bobagens / besteiras
esquina;esquina
taza;xícara
justicia;justiça
fondo;fundo
fantasma;fantasma
restaurante;restaurante
lenguaje;linguagem
este;leste
compañero;companheiro
nota;nota
líder;líder
salud;saúde
ángel;anjo
regla;regra
primo / prima;primo / prima
consejo;conselho
perdón;perdão
leche;leite
velocidad;velocidade
archivo;arquivo
cinta;fita
práctica;prática
emergencia;emergência
puente;ponte
entrenador / entrenadora;treinador / treinadora
inspector / inspectora;inspetor / inspetora
ministro / ministra;ministro / ministra
aplauso;aplauso
conversación;conversa
cuenta;conta
aliento;fôlego / hálito
tripulación;tripulação
carne;carne
pastel;bolo
fuerza;força
carrera;carreira
vista;visão
voto;voto
copia;cópia
tontería;bobagem
estudiante;estudante
juicio;julgamento
libertad;liberdade
mercado;mercado
gerente;gerente
tamaño;tamanho
operación;operação
truco;truque
cielo;querido / amor
paquete;pacote
monstruo;monstro
centro;centro
viaje;viagem
objetivo;objetivo
ciencia;ciência
proyecto;projeto
alimentación;alimentação
crédito;crédito
suicidio;suicídio
investigación;investigação
enfermero / enfermera;enfermeiro / enfermeira
aceite;óleo / azeite
criminal;criminoso / criminosa
soldado;soldado
camisa;camisa
ejemplo;exemplo
huelga;greve
silla;cadeira
universo;universo
comando;comando
condición;condição
desafío;desafio
boleto;bilhete / ingresso
vista;vista
programa;programa
marrón;marrom
lavado;lavagem
sociedad;sociedade
;
;
;
liberación;libertação
nacimiento;nascimento
investigación;investigação
invitado / invitada;convidado / convidada
ascensor;elevador
opinión;opinião
carácter;caráter
montaña;montanha
calor;calor
corbata;gravata
sheriff;xerife
color;cor
espada;espada
laboratorio;laboratório
bala;bala
prueba;prova
base;base
crema;creme
ruido;barulho
total;total
pandilla;gangue
felicidad;felicidade
alegría;alegria
hembra;fêmea
sorteo / dibujo;sorteio / desenho
macho;macho
mordisco;mordida
ducha;chuveiro
audiencia;audiência
propósito;propósito
destino;destino
tornillo;parafuso
caballero;cavalheiro
medicina;medicina
responsabilidad;responsabilidade
charla;conversa / bate-papo
división;divisão
peso;peso
unidad;unidade
cerdo;porco
escritorio;escrivaninha
dedo;dedo
piscina;piscina
enfoque;foco
jardín;jardim
propiedad;propriedade
alcalde;prefeito
asunto;assunto
amigo;amigo / camarada
entrevista;entrevista
aficionado / aficionada;fã
señal;sinal
silencio;silêncio
cirugía;cirurgia
daño;dano
personal;pessoal / equipe
chef;chefe de cozinha
clima;clima
distancia;distância
proceso;processo
estación;estação
acceso;acesso
modelo;modelo
camino;caminho
ruso;russo
miembro;membro
estilo;estilo
alarma;alarme
japonés / japonesa;japonês / japonesa
azúcar;açúcar
techo;teto
funeral;funeral
daño;dano
estómago;estômago
pan;pão
nieve;neve
castillo;castelo
discurso;discurso
bloque;bloco
temblor;tremor
excavación;escavação
poste;poste
realidad;realidade
fútbol;futebol
extensión;extensão
abrigo;casaco
pecho;peito
éxito;sucesso
madame;madame
seguridad;segurança
permiso;permissão
capricho;capricho / fantasia
teoría;teoria
puerta / portón;porta / portão
viaje;viagem
pintura;pintura
amante;amante
humor;humor
tormenta;tempestade
página;página
queso;queijo
sacerdote;sacerdote
arrepentimiento;arrependimento
contrato;contrato
ladrón;ladrão
divorcio;divórcio
lección;lição
comunidad;comunidade
tema;tema / assunto
alquiler;aluguel
venganza;vingança
comercio;comércio
bosque;floresta
prisa;pressa
dueño / dueña;dono / dona
cantidad;quantidade
artista;artista
bolsillo;bolso
cáncer;câncer
par;par
ruina;ruína
abuelo;avô
bicicleta;bicicleta
pérdida;perda
mentiroso / mentirosa;mentiroso / mentirosa
invierno;inverno
asistente;assistente
asesino / asesina;assassino / assassina
granja;fazenda
lengua;língua
baño;banheiro
genio;gênio
plaza;praça
secretario / secretaria;secretário / secretária
conexión;conexão
planta baja;andar térreo
habitación;quarto
profesional;profissional
gira;turnê
jugador / jugadora;jogador / jogadora
plata;prata
lástima;pena
reloj;relógio
océano;oceano
ADN;DNA
choque;choque
baño;banho
fortuna;fortuna
siglo;século
seguro;seguro
aeropuerto;aeroporto
templo;templo
conocimiento;conhecimento
mapa;mapa
competencia;competição
defensa;defesa
bondad;bondade
evento;evento
período;período
forma;forma
infierno;inferno
teléfono;telefone
solicitud;solicitação
subvención;subsídio
asunto;caso / assunto
tumba;tumba
gigante;gigante
planta;planta
sitio;local
declaración;declaração
ascenso;ascensão
chaqueta;jaqueta
misericordia;misericórdia
prostituta;prostituta
interruptor;interruptor
comida;refeição
dirección;direção
datos;dados
cuerno;chifre
abogado;advogado
oficial;oficial
rata;rato
pizza;pizza
choque;choque
sopa;sopa
valor;coragem
amarillo;amarelo
ubicación;localização
idiota;idiota / babaca
chocolate;chocolate
imagen;imagem
regular;regular
taxi;táxi
orín;urina / mijo
herida;ferida
plato;prato
televisión;televisão
bicho raro;esquisito / maluco
tráfico;tráfego
amanecer;amanhecer
;
veneno;veneno
misterio;mistério
indio / india;índio / índia
estruendo;estrondo
enfermedad;doença
italiano / italiana;italiano / italiana
papel;papel
trasero;traseiro / bunda
victoria;vitória
trampa;armadilha
nación;nação
deseo;desejo
medianoche;meia-noite
jurado;júri
cita;consulta / encontro
natación;natação
correo;correio
vacaciones;férias
fuente;fonte
fábrica;fábrica
palacio;palácio
grieta;rachadura
talento;talento
vecindario;vizinhança
amenaza;ameaça
oreja;orelha
milagro;milagre
abuela;avó
empresa;empresa
ganador / ganadora;vencedor / vencedora
licencia;licença
ventaja;vantagem
mono;macaco
espejo;espelho
madera;madeira
sindicato;sindicato
cristiano / cristiana;cristão / cristã
violencia;violência
protección;proteção
gancho;gancho
hijo de puta;filho da puta
preocupación;preocupação
efecto;efeito
estudio;estúdio
carga;carga
tesoro;tesouro
hechizo;feitiço
hierro;ferro
rescate;resgate
tratamiento;tratamento
desierto;deserto
resultado;resultado
piano;piano
amistad;amizade
caramelo;doce
novia;noiva
flor;flor
hueso;osso
valor;valor
junior;júnior
restos;restos
metal;metal
propina;gorjeta
vacaciones;férias
tasa;taxa
rendimiento;desempenho
gobernador;governador
vehículo;veículo
brindis;brinde / brindis
orgullo;orgulho
champán;champanhe
extraño / extraña;estranho / estranha
uniforme;uniforme
lágrima;lágrima
taxi;táxi
presencia;presença
grito;grito
polvo;poeira
borde;borda
bruja;bruxa
medios;meios de comunicação
reclamación;reclamação
arroz;arroz
huevo;ovo
puñetazo;soco
reparto;elenco
inteligencia;inteligência
vaca;vaca
superficie;superfície
cigarrillo;cigarro
destino;destino
puntuación;pontuação
tecnología;tecnologia
dragón;dragão
piloto;piloto
pecado;pecado
emperador;imperador
meta;meta / objetivo
juventud;juventude
olla;panela
lobo;lobo
estruendo;estrondo
fila;fila
sección;seção
vertedero;lixão / depósito
texto;texto
prisionero;prisioneiro
cero;zero
rueda;roda
intercambio;troca / câmbio
costa;costa
nota / grado;nota / grau
turno;turno
cura;cura
sacrificio;sacrifício
bestia;besta
pastel;torta
material;material
criatura;criatura
rastro;rastro
botón;botão
oscuridad;escuridão
ambulancia;ambulância
internet;internet
rango;faixa / posto
experto / experta;especialista
congelación;congelamento
venta;venda
jugo / zumo;suco
solución;solução
torre;torre
masa;massa
extraterrestre;alienígena
horario;horário
escaleras;escadas
fruta;fruta
espía;espião / espiã
anciano / superior;idoso / superior
garaje;garagem
ira;ira
pista;pista
revista;revista
zona;zona
hombro;ombro
progreso;progresso
serpiente;serpente
esfuerzo;esforço
ascensor;elevador
sentencia;sentença
equipo;equipamento
actitud;atitude
periódico;jornal
orden de arresto;mandado de prisão
perdedor;perdedor
serie;série
visión;visão
actor;ator
maldición;maldição
sombra;sombra
pasión;paixão
ruta;rota
reportero / reportera;repórter
explosión;explosão
escuadrón;esquadrão
reino;reino
pantalla;tela
moda;moda
ola;onda
escalada;escalada
pluma;caneta
incidente;incidente
toro;touro
cadena;corrente
dispositivo;dispositivo
deuda;dívida
campaña;campanha
abrazo;abraço
alcohol;álcool
conferencia;conferência
educación;educação
política;política
violación;estupro
momia;múmia
frontera;fronteira
cable;cabo
premio;prêmio
círculo;círculo
objeto;objeto
robo;roubo
trueno;trovão
cuerda;corda
sal;sal
carne;carne
escritor / escritora;escritor / escritora
basura;lixo
recompensa;recompensa
gloria;glória
autoridad;autoridade
propiedad;propriedade
patio;pátio / quintal
;
tanque;tanque
confianza;confiança
falta;falta
manzana;maçã
acercamiento;aproximação
pollito;pintinho
muñeca;boneca
pato;pato
acciones / inventario;ações / estoque
biblioteca;biblioteca
fracaso;fracasso
movimiento;movimento
arco;arco
cola;cauda
senador;senador
pesadilla;pesadelo
teatro;teatro
arena;areia
reputación;reputação
resbalón;escorregão
rosa;rosa (cor)
doncella / criada;donzela / empregada
agencia;agência
infancia;infância
opuesto;oposto
política;política
pánico;pânico
diseño;design / desenho
charla;conversa
tarea;tarefa
cháchara;tagarelice
cinturón;cinto
garantía;garantia
corriente;corrente
basura;lixo
custodia;custódia
demonio;demônio
coincidencia;coincidência
intento;tentativa
revolución;revolução
acuerdo;acordo
imperio;império
desastre;desastre
avance;avanço
guitarra;violão / guitarra
detalle;detalhe
comportamiento;comportamento
entrega;entrega
habilidad;habilidade
distrito;distrito
zapato;sapato
esclavo / esclava;escravo / escrava
cobarde;covarde
cazador;caçador
cultura;cultura
explicación;explicação
comité;comitê
antecedente;antecedente
identidad;identidade
canal;canal
límite;limite
especie;espécie
lucha;luta
máscara;máscara
fiebre;febre
préstamo;empréstimo
silbato;apito
castigo;castigo
producción;produção
capital;capital
potencial;potencial
cuarto / trimestre;quarto / trimestre
tazón;tigela
museo;museu
porra;torcida (vibrar)
plato;prato
disparo;tiro
armario;armário
suciedad;sujeira
corona;coroa
grito;grito
tipo;cara (gíria) / sujeito
sofá;sofá
demanda;demanda
transferencia;transferência
junta;junta
episodio;episódio
sótano;porão
romano;romano
artículo;artigo
guía;guia
sándwich;sanduíche
destello;clarão / flash
cartera;carteira
calidad;qualidade
concierto;show / concerto
cantante;cantor / cantora
carril;faixa / pista
béisbol;beisebol
título;título
comisionado / comisionada;comissário / comissária
pis;mijo / xixi
caridad;caridade
drama;drama
ceremonia;cerimônia
paquete;pacote
brillo;brilho
camarada;camarada
gato / gata (peyorativo);bicha / covarde (gíria)
suministro;suprimento
tono;tom
cliente;cliente
sudor;suor
posibilidad;possibilidade
bandera;bandeira
plástico;plástico
equipo / marcha;equipamento / marcha
rendición;rendição
impresión;impressão
yo;eu / si mesmo
busto;busto
sirviente;servo / criado
gimnasio;academia
asalto;assalto
sendero;trilha
crisis;crise
colección;coleção
diamante;diamante
adulto / adulta;adulto / adulta
biblia;bíblia
liga;liga
naranja;laranja
imaginación;imaginação
vecino / vecina;vizinho / vizinha
explosión;explosão
equilibrio;equilíbrio
golf;golfe
derrota;derrota
tema;tema
comodidad;conforto
reacción;reação
leyenda;lenda
césped;gramado / relva
impresión;impressão
virus;vírus
lanzamiento;lançamento
sirena;sirena
entrada;entrada
religión;religião
mantequilla;manteiga
tarea;lição de casa
estrés;estresse
gorra;boné
murciélago;morcego
mezcla;mistura
tortura;tortura
cubierta;convés / cobertura
conejo;coelho
opción;opção
acento;sotaque / acento
impuesto;imposto
desgarro;rasgo
brote;broto
terapia;terapia
vida / existencia;vida / existência
aplastamiento;esmagamento
campeón / campeona;campeão / campeã
cráneo;crânio
versión;versão
amante;amante
combustible;combustível
término;termo
bono / vínculo;bônus / vínculo
llanura;planície
experimento;experimento
monje;monge
león;leão
muchacho;rapaz / garoto
ejercicio;exercício
monedero;porta-moedas
cueva;caverna
estándar;padrão
túnel;túnel
acero;aço
división;divisão
oveja;ovelha
clásico;clássico
sobrino;sobrinho
salsa;molho
influencia;influência
red;rede
concurso;concurso
cabaña;cabana
jungla;selva
vampiro;vampiro
salida;saída
escupitajo;cuspe
generación;geração
cristal;cristal
estatus;status
;
grado;grau
dólar / venado;dólar (gíria) / veado
marca;marca
juguete;brinquedo
rasguño;arranhão
tribu;tribo
guion;roteiro
nervio;nervo
sello;selo
bicho / insecto;bicho / inseto
respuesta;resposta
vigilancia;vigilância
ganancia;ganho
desencadenante / gatillo;gatilho / desencadeador
clínica;clínica
paciencia;paciência
traidor;traidor
jolgorio / escándalo;diabo (expressão)
granizo;granizo
puerto;porto
carne de res;carne bovina
rutina;rotina
atuendo;traje / roupa
confesión;confissão
facilidad;facilidade
subalterno;vice / adjunto
director / principal;diretor / principal
participación / apuesta;participação / aposta
enlace;elo / ligação
industria;indústria
disfraz;fantasia
argumento;argumento
movimiento;movimento
construcción;construção
objetivo;objetivo
patrón;padrão
clavo;prego
electricidad;eletricidade
guerrero;guerreiro
hada;fada
aniversario;aniversário
temperatura;temperatura
caseta;cabine / barraca
mascota;animal de estimação
deporte;esporte
fianza;fiança
interrupción;interrupção
melodía;melodia
oración;oração
conciencia;consciência
cuartel general;quartel-general
gallo;galo
chip;chip
culpa;culpa
escalofrío;calafrio
ratón;rato
distribuidor;revendedor
respaldo;backup
paraíso;paraíso
obispo;bispo
baúl;baú
tradición;tradição
ensalada;salada
complejo;complexo
promedio;média
acantilado;penhasco
griego;grego
representación;representação
punk;punk
tira;tira
tubería;cano / tubulação
muestra;amostra
lavandería;lavanderia
medio ambiente;meio ambiente
jaula;gaiola
robot;robô
hábito;hábito
envoltura;embalagem
vientre;barriga
beneficio;benefício
lavabo;pia / lavatório
pitido;bipe / apito
motivo;motivo
circo;circo
territorio;território
fosa;fossa
disculpa;desculpa
examen;exame
festival;festival
actriz;atriz
sala;ala / enfermaria
actividad;atividade
trabajador;trabalhador
policía;policial
refugio;abrigo
existencia;existência
atmósfera;atmosfera
producto;produto
entretanto;enquanto isso / intervalo
límite;limite
elección;eleição
ropa interior;roupa íntima
pulso;pulso
despedida;despedida
bofetada;tapa
grito;grito
timbre;campainha
aventura;aventura
pasaporte;passaporte
martillo;martelo
capucha;capuz
juicio;julgamento
homicidio;homicídio
patrulla;patrulha
flujo;fluxo
valla / cerca;cerca
mediodía;meio-dia
ocasión;ocasião
personalidad;personalidade
fantasía;fantasia
producto fresco;produto fresco
probabilidades;probabilidades
firma;assinatura
individuo;indivíduo
encanto;encanto
presidente;presidente
marco;moldura / quadro
alivio;alívio
nube;nuvem
cadáver;cadáver
organización;organização
anfitrión;anfitrião
transporte;transporte
oxígeno;oxigênio
ciudadano;cidadão
impacto;impacto
ofensa;ofensa
productor;produtor
kit;kit
anuncio;anúncio
escolta;escolta
invitación;convite
terrorista;terrorista
arcilla;argila
tragedia;tragédia
matemática;matemática
cobertizo;galpão
procedimiento;procedimento
monitor;monitor
giro;giro
payaso;palhaço
collar;colar
barro;lama
perfil;perfil
ángulo;ângulo
muebles;móveis
compromiso;compromisso
idiota;idiota
tiburón;tubarão
humanidad;humanidade
corte;corte
chasquido;estalo
ventas;vendas
establo;estábulo
abuela;avó
poste;poste
bailarín / bailarina;dançarino / dançarina
metraje;metragem
aumento;aumento
estiramiento;alongamento
romance;romance
helicóptero;helicóptero
lanzamento;lançamento
instancia;instância
limón;limão
dolor de cabeza;dor de cabeça
basura;lixo
sesión;sessão
alfiler;alfinete
cámara;câmara
comercial;comercial
hígado;fígado
pene;pênis
ingeniero;engenheiro
cena;ceia
licor;licor
taladro;broca
callejón;beco
salto;salto
destrucción;destruição
chatarra;sucata
cohete;foguete
anciano;ancião
ópera;ópera
autopista;rodovia
luchador;lutador
concha / cáscara;concha / casca
alfa;alfa
libertad;liberdade
cirujano;cirurgião
;
;
vago;vagabundo / vadio
viuda;viúva
reverendo;reverendo
insulto;insulto
comentario;comentário
jabón;sabão
pinchazo;picada / pontada
balanza;balança
pena;pesar / tristeza
rodilla;joelho
zorra;vadia / vagabunda
álbum;álbum
acusado;acusado / réu
diosa;deusa
curva;curva
maquillaje;maquiagem
lealtad;lealdade
polvo;pó
gen;gene
dieta;dieta
padre / madre;pai / mãe
mermelada;geleia
salario;salário
latín;latim
población;população
embajador;embaixador
taquilla;armário / escaninho
alabanza;louvor
trauma;trauma
orilla;margem
riqueza;riqueza
luna de miel;lua de mel
hoja / lámina;lâmina / folha (de metal)
whisky;uísque
núcleo;núcleo
ayuda;ajuda
tienda de campaña;barraca
rubia;loira
intención;intenção
abuso;abuso
poesía;poesia
jet;jato
resistencia;resistência
barba;barba
estrategia;estratégia
cabra;cabra
premio;prêmio
maíz;milho
profesional;profissional
red;rede
tatuaje;tatuagem
golpe;golpe
novela;romance (literário) / novela
caos;caos
colega;colega
científico;cientista
cuento;conto
almacén;armazém
elefante;elefante
rehén;refém
rama;ramo
objeción;objeção
regazo;colo
posesión;posse
grifo;torneira
superior;superior
barbilla;queixo
refresco;refrigerante
comisión;comissão
cine;cinema
músculo;músculo
poema;poema
apelación;apelação
bistec;bife
supervivencia;sobrevivência
beneficio;lucro
símbolo;símbolo
locura;loucura
desarrollo;desenvolvimento
vela;vela
diente;dente
reseña;resenha / crítica
baloncesto;basquete
gerencia;gestão
tubo;tubo
rifle;rifle
tronco;tronco
abeja;abelha
apretón;aperto
manera;maneira
entrada;entrada
cable;cabo
sartén;frigideira
nativo;nativo
camarero;garçom
ladrillo;tijolo
cerdo;carne de porco
pila;pilha
expresión;expressão
clan;clã
instalación;instalação
recepción;recepção
estatua;estátua
satélite;satélite
pulimento;polimento
libra;libra
comunicación;comunicação
nevera;geladeira
fundación;fundação
apariencia;aparência
propuesta;proposta
combate;combate
tobogán;escorregador
retraso;atraso
trabajo;trabalho / mão de obra
carga;carga / ônus
pago;pagamento
centro comercial;shopping center
papeleo;papelada
cordero;cordeiro
artículo;item / artigo
testimonio;testemunho
cadera;quadril
baile de graduación;baile de formatura
parche;remendo
tarea;tarefa
motel;motel
fraude;fraude
postre;sobremesa
lesión;lesão
combate;luta
saco;saco
suelo;solo
placa;distintivo / crachá
motor;motor
descripción;descrição
batería;bateria
queja;queixa
vaquero;cowboy
privacidad;privacidade
sabiduría;sabedoria
contrario;contrário
grúa;guindaste
fuga;vazamento
pastilla;comprimido
maleta;mala
vodka;vodka
químico;químico
católico;católico
fútbol;futebol
cepillo;escova
enfermedad;doença
voltereta;cambalhota
giro;volta / torção
capítulo;capítulo
medida;medida
radar;radar
editor;editor
estructura;estrutura
mariscal;marechal
oferta;oferta
palma;palma
pub;pub / bar
análisis;análise
trono;trono
granero;celeiro
ira;ira
flota;frota
presupuesto;orçamento
humor;humor
empleado;empregado
medicación;medicação
alcohol;bebida alcoólica
hermana;irmã
tortuga;tartaruga
nuez;noz
moneda;moeda
base;base
discusión;discussão
temperamento;temperamento
trama;trama
casino;cassino
póker;pôquer
granjero;fazendeiro
mostrador;balcão
cabrón;filho da puta (gíria)
reparación;reparo
galleta;biscoito
panadero;padeiro
masaje;massagem
entretenimiento;entretenimento
cubo;balde
látigo;chicote
perdón;perdão
araña;aranha
fase;fase
diario;diário
manta;cobertor
comedia;comédia
altura;altura
;
;
buceo;mergulho
tenis;tênis
sol;luz do sol
droga;droga / tóxico
permiso;permissão / licença
jazz;jazz
golondrina;andorinha
toalla;toalha
función;função
conejo;coelhinho (fofinho)
sobrina;sobrinha
fiscal;promotor(a) / procurador(a)
fondo;fundo
bomba;bomba
región;região
debilidad;fraqueza
descubrimiento;descoberta
aguja;agulha
ejecutivo;executivo
parada;parada
nido;ninho
gravedad;gravidade
vagón;vagão
estafa;golpe / fraude
explosión;explosão
hierba;erva
concepto;conceito
buque;navio / embarcação
zoológico;zoológico
hedor;fedor
cuero;couro
mexicano;mexicano
hoja;folha
bota;bota
reverso;reverso / contrário
nieto;neto
escudo;escudo
conducta;conduta
equipaje;bagagem
promoción;promoção
menú;menu
tocino;bacon
método;método
desfile;desfile
patata;batata
etiqueta;etiqueta
