Inconfidência Mineira;elite mineradora
Pena de morte;legislação militar
Carnaval nos anos 1970;crítica social
Ilê Aiyê;movimento negro
Democracia racial;crítica cultural
Uberização;precarização do trabalho
Telenovelas brasileiras;representação LGBTQIAPN+
LGBTQIAPN+;visibilidade social
Mário de Andrade;modernismo
Movimento antropofágico;identidade cultural brasileira
Serviço do Patrimônio Histórico e Artístico Nacional;preservação cultural
Estado Novo;política cultural
Luiz Gonzaga;baião
Humberto Teixeira;baião
Baião;êxodo nordestino
Industrialização brasileira;migração nordestina
Cultura popular nordestina;identidade nacional
Corporativismo;controle sindical
Estado Novo;autoritarismo
Constituição de 1946;redemocratização
Ditadura militar;restrição de direitos
Movimento negro;combate ao racismo
Patrimônio histórico nacional;diversidade cultural
Música nordestina;transformação social
;
Tratado de Tordesilhas;divisão colonial
França Antártica;Guanabara
França Equinocial;Maranhão
Escravidão indígena;guerras justas
Presença holandesa;pecuária nordestina
Capitanias do Norte;diversificação econômica
Arrendamento do Brasil;Fernando de Noronha
Feitorias;exploração do pau-brasil
Manifesto Antropófago;Oswald de Andrade
Antropofagia;deglutição cultural
Degola eleitoral;fraude política
Primeira República;coronelismo
Estados Unidos;principal parceiro comercial
Grã-Bretanha;perda de hegemonia
Cangaço;sertão nordestino
Coronéis;alianças com cangaceiros
Lei de Terras de 1850;concentração fundiária
Ato Adicional de 1834;descentralização
Partido Conservador;centralização política
Constituição de 1824;Poder Moderador
Independência do Brasil;resistência portuguesa
Norte e Cisplatina;conflitos de independência
Cabanagem;revolta popular
Cabanos;população pobre amazônica
Medo do Haiti;revoltas escravas
Belém do Pará;destruição na Cabanagem
Regência;revoltas provinciais
Bloco Operário e Camponês;Partido Comunista
Revolução de 1930;ascensão de Vargas
Tenentismo;crítica à República Velha
Washington Luís;Júlio Prestes
Política dos Governadores;crise oligárquica
Primeira Guerra Mundial;entrada do Brasil em 1917
Estado Novo;propaganda oficial
DIP;controle cultural
Samba;valorização nacionalista
Política de valorização do café;compra de estoques
Queima de café;sustentação de preços
Planejamento econômico;intervenção estatal
Lei de Segurança Nacional;anticomunismo
Constituição de 1934;restrições posteriores
Constituição de 1946;educação básica
Ensino primário gratuito;direito social
João Goulart;Revolta dos Sargentos
Multipartidarismo;redemocratização de 1945
Voto secreto;ampliação democrática
Urbanização;industrialização
Marcha para o Oeste;ocupação do interior
Constituição de 1967;pena de morte
Guerra revolucionária;repressão política
Pragmatismo responsável;política externa militar
Escola Superior de Guerra;doutrina de segurança nacional
Inimigo interno;legitimação da ditadura
Constituição de 1988;presidencialismo
Plebiscito de 1993;manutenção republicana
MERCOSUL;integração regional
Assembleia Constituinte;redemocratização
Política Externa Independente;desenvolvimento nacional
Cooperação Sul-Sul;diplomacia dos anos 2000
G-20;articulação internacional
Ditadura Militar;repressão política
AI-5;endurecimento autoritário
Vargas;trabalhismo
Coronelismo;poder oligárquico
Modernismo;identidade nacional
Industrialização;urbanização acelerada
Estado Novo;autoritarismo centralizador
;
;
Barão do Rio Branco;Questão do Acre
Rodrigues Alves;convite ao Itamaraty
Questão do Acre;disputa territorial
Acre;seringueiros brasileiros
Nordestinos;migração da seca
Tratado de 1867;limites Brasil-Bolívia
Hevea brasiliensis;ciclo da borracha
Purus e Juruá;seringais
Bolivian Syndicate;capital estrangeiro
Bolívia;concessão administrativa
Chartered company;neocolonialismo
Rio Branco;diplomacia continental
Tratado de Petrópolis;incorporação do Acre
Acre;anexação ao Brasil
Indenização à Bolívia;2 milhões de libras
Madeira-Mamoré;saída ao Atlântico
Ferrovia Madeira-Mamoré;compromisso brasileiro
Rio Paraguai;ajustes de fronteira
Diplomacia brasileira;solução arbitral
Arbitragem internacional;prestígio de Rio Branco
Acreanos;revoltas armadas
Seringueiros cearenses;expansão amazônica
Amazônia Ocidental;ciclo da borracha
Política externa republicana;consolidação territorial
Fronteiras brasileiras;atuação do Itamaraty
Rio Branco;consolidação das fronteiras
Neocolonialismo;ameaça estrangeira
Bolívia;perda do Acre
Brasil República;expansão territorial
;
Nísia Floresta;feminismo brasileiro
Mary Wollstonecraft;direitos das mulheres
Direitos das mulheres e injustiças dos homens;tradução feminista
Abolicionismo;ativismo de Nísia
Partido Republicano Feminino;Leolinda Daltro
Leolinda Daltro;emancipação feminina
Cargos públicos;igualdade de sexo
Bertha Lutz;sufragismo
Olga de Paiva Meira;OIT
Salário igual;igualdade trabalhista
Conferência Panamericana de Mulheres;Baltimore
Federação Brasileira pelo Progresso Feminino;voto feminino
Código Eleitoral de 1932;sufrágio feminino
Nathercia Silveira;Aliança Nacional de Mulheres
Constituinte de 1933;participação feminina
Carlota Pereira de Queiroz;primeira deputada
Revolução do Porto;constitucionalismo
Reino Unido Portugal-Brasil;crise do Antigo Regime
Constitucionalismo liberal;autonomia provincial
Independência do Brasil;ruptura colonial
Bahia e Pará;resistência portuguesa
Pernambuco;desconfiança do Rio
Abdicação de D. Pedro I;crise política
Período Regencial;instabilidade
Imprensa regencial;disputa política
Joaquim Nabuco;“desquite amigável”
Moderados;centralização política
Ato Adicional de 1834;assembleias provinciais
Regência;revoltas provinciais
Marcha para o Oeste;ocupação do Centro-Oeste
Estado Novo;nacionalismo territorial
São Januário;Dia do Trabalho
DIP;propaganda varguista
Populismo varguista;controle sindical
Urbanização;industrialização
Legislação trabalhista;Vargas
Hora do Brasil;propaganda radiofônica
Ministro do Trabalho;comunicação estatal
Guerra da Cisplatina;independência do Uruguai
Banda Oriental;Cisplatina
Buenos Aires;apoio aos revoltosos
Rio da Prata;interesse estratégico
D. Pedro I;fragilidade política
Uruguai;Estado-tampão
Família real portuguesa;fuga de Napoleão
Rio de Janeiro;centro do Império
Casa de Suplicação;justiça portuguesa
Jardim Botânico;modernização joanina
Real Academia Militar;presença da corte
Reino Unido de Portugal, Brasil e Algarves;1815
Congresso de Viena;restauração absolutista
D. João VI;permanência no Brasil
Partido Republicano;mito histórico
Monarquia portuguesa;permanência no Brasil
Corte joanina;abertura institucional
Estado Novo;propaganda nacionalista
Feminismo brasileiro;sufrágio
Regência;descentralização
Primeiro Reinado;crise imperial
Diplomacia imperial;rio da Prata
Constitucionalismo;Revolução do Porto
;
Segundo Reinado;monarquia parlamentar
Lei de Terras de 1850;propriedade fundiária
Decreto 1.318/1854;regulamentação fundiária
Sesmarias;herança colonial
Latifúndio;concentração agrária
Trabalho escravo;base econômica imperial
Colonização europeia;pequenas propriedades
Partido Liberal;luzias
Partido Conservador;saquaremas
Poder Moderador;D. Pedro II
Parlamentarismo às avessas;poder pessoal do imperador
Cidadania restrita;voto censitário
Centralização imperial;oposição liberal
Abolicionismo;fim gradual da escravidão
Lei Eusébio de Queirós;fim do tráfico negreiro
Pressão inglesa;combate ao tráfico
Escravidão;base social do Império
13 de Maio de 1888;Lei Áurea
Políticos conservadores;defesa escravista
Indianismo romântico;nacionalismo literário
José de Alencar;O Guarani
Gonçalves de Magalhães;A Confederação dos Tamoios
Romantismo brasileiro;identidade nacional
Constituição de 1988;redemocratização
Nova República;transição democrática
Inclusão social;políticas públicas
Entulho autoritário;herança da ditadura
Assembleia Constituinte;Constituição Cidadã
Presidencialismo;Constituição de 1988
Multipartidarismo;nova ordem política
Legislativo;fortalecimento institucional
Executivo;prerrogativas mantidas
Federalismo;descentralização
Municípios;autonomia política
Participação popular;democracia ampliada
Descentralização tributária;estados e municípios
Constituição Cidadã;direitos sociais
Sistema federativo;divisão de competências
Equilíbrio federativo;tensões institucionais
Transição democrática;fim do regime militar
Direitos sociais;Constituição de 1988
Ordem constitucional;democracia representativa
D. Pedro I;abdicação de 1831
Liberais radicais;federalismo
Regência;instabilidade política
Nacionalização do comércio;propostas liberais
Reforma agrária;propostas radicais
Escravidão;debate político imperial
;
Independência do Brasil;construção da nação
Estado nacional;identidade nacional
Produção simbólica;legitimação imperial
Missão Artística Francesa;1816
Marquês de Marialva;contratação de artistas
Academia Imperial de Belas Artes;ensino artístico
Belas Artes;legitimação do Império
Pedro I;imperador constitucional
Aclamação de 1822;soberania nacional
Festas cívicas;nacionalismo imperial
Tratado de Paz e Amizade;reconhecimento português
1825;reconhecimento da independência
Charles Stuart;mediação britânica
João VI;título de imperador honorário
Primeiro Reinado;instabilidade política
Assembleia Geral;reabertura em 1826
Revolução do Porto;constitucionalismo
Juntas Provisórias;governos provinciais
Liberalismo coimbrão;centralização monárquica
Constituição de 1824;organização do Estado
Poder municipal;limitação legislativa
Guerra da Cisplatina;debates parlamentares
Tratado com a Inglaterra;fim do tráfico
Tráfico negreiro;pressão britânica
Parlamento imperial;disputas políticas
Regências Trinas;revoltas urbanas
Exaltados;federalismo
Caramurus;restauracionismo
Soldadesca;insatisfação militar
Cabanada;resistência rural
Indígenas do Jacuípe;apoio monárquico
Ato Adicional de 1834;descentralização
Cabanagem;revolta amazônica
Pará;revolta popular
Indígenas e caboclos;base da Cabanagem
Autonomia provincial;pauta regencial
Revolução Farroupilha;sul do Brasil
Farroupilhas;republicanismo
Guerra dos Farrapos;conflito prolongado
Rio Branco;política externa ativa
Primeira República;diplomacia pragmática
Estados Unidos;aproximação diplomática
Amazônia;disputas fronteiriças
Tratado de Petrópolis;incorporação do Acre
Uti possidetis;princípio jurídico
Madeira-Mamoré;compensação à Bolívia
Alto Juruá;disputa com o Peru
Conferência de Haia;projeção internacional
Corte Internacional de Justiça;ambição diplomática
Argentina;rivalidade platina
Rio da Prata;equilíbrio geopolítico
Paciência estratégica;diplomacia regional
Monarquismo de Rio Branco;política platina
França e Inglaterra;ameaças amazônicas
Construção nacional;cultura imperial
Segundo Reinado;nacionalismo cultural
Diplomacia republicana;consolidação territorial
Revoltas regenciais;crise do Império
;
Campos Sales;política dos estados
Política dos Estados;acordo federativo
Governadores;apoio ao governo federal
Coronelismo;base oligárquica
Voto de cabresto;controle eleitoral
Coronéis;poder local
PRP;elite paulista
República Oligárquica;pacto entre elites
Legislativo federal;maioria governista
Crise financeira;ajuste fiscal
Justiça Eleitoral;inexistência na Primeira República
América portuguesa setecentista;crescimento demográfico
Tráfico atlântico;expansão escravista
Reinóis do Minho;imigração portuguesa
Mercado interno colonial;abastecimento minerador
Rio de Janeiro;ascensão econômica
Bahia;perda de centralidade
Minas Gerais;mercado interno
Rio das Mortes;produção agropastoril
Vila Rica;decadência aurífera
Mariana;crise do ouro
Negociantes de grosso trato;elite mercantil
Antigo Regime;sociedade estamental
Família extensa;hierarquia social
Escravizados;estrutura familiar
Revolução do Porto;movimento vintista
Cortes de Lisboa;constitucionalismo liberal
Constituição de Cádiz;modelo eleitoral
Juntas Provisórias;adesão ao vintismo
Pará 1821;início do movimento
Bahia 1821;adesão constitucional
Pereira do Carmo;Bases da Constituição
Separação dos Poderes;liberalismo
Programa paulista;federalismo
Antônio Carlos de Andrada;deputados paulistas
Pacto federativo;autonomia provincial
Revolução Pernambucana de 1817;republicanismo
Panfletos sediciosos;circulação de ideias
Agentes infiltrados;repressão política
Corte joanina;aumento de tributos
Pernambuco;descontentamento fiscal
Iluminação do Rio;símbolo da opressão
Segunda Restauração;memória anti-holandesa
Governo provisório pernambucano;ruptura política
Lei Orgânica de 1817;divisão de poderes
Liberdade de imprensa;Revolução Pernambucana
Catolicismo oficial;religião do Estado
Empregos públicos;restrição a católicos
República Pernambucana;autonomia regional
Federalismo;elites provinciais
Constitucionalismo luso-brasileiro;crise do Império
Liberalismo vintista;soberania nacional
Oligarquias estaduais;controle político
Sistema eleitoral oligárquico;fraude eleitoral
Sociedade colonial;hierarquia corporativa
Interiorização econômica;abastecimento das minas
Independência do Brasil;crise do Antigo Regime
Pernambuco 1817;separatismo
Política café-com-leite;hegemonia paulista-mineira
;
Política dos Estados;Campos Sales
Política dos Governadores;Apoio executivo federal-estadual
Coronelismo;Controle eleitoral municipal
Voto de Cabresto;Coronéis
Justiça Eleitoral;inexistente na Primeira República
PRP;Partido Republicano Paulista
Campos Sales;estabilidade oligárquica
Oligarquia cafeeira;hegemonia paulista
Mercado interno setecentista;abastecimento minerador
Rio de Janeiro setecentista;porto negreiro principal
Minas Gerais;declínio aurífero desigual
Rio das Mortes;agropecuária abastecedora
América portuguesa século XVIII;crescimento demográfico
Negociantes de grosso trato;elite mercantil
Família patriarcal;Antigo Regime
Revolução do Porto;constitucionalismo liberal
Cortes de Lisboa;representação nacional
Constituição de Cádiz;modelo eleitoral
Juntas Provisórias;adesão vintista
Pará 1821;adesão precoce
Bases da Constituição;liberalismo português
Programa Paulista;pacto federativo
Antônio Carlos Andrada;Cortes de Lisboa
Revolução Pernambucana 1817;republicanismo
Impressos subversivos;vigilância estatal
Taxa iluminação RJ;símbolo do descontentamento
Segunda restauração;memória anti-holandesa
Governo Provisório pernambucano;ruptura do pacto
Lei Orgânica 1817;separação dos poderes
Catolicismo oficial;Revolução Pernambucana
Liberdade de imprensa;Revolução 1817
Roosevelt e Vargas;aproximação diplomática
Conferência de Lima 1938;solidariedade continental
Osvaldo Aranha;diplomacia com EUA
Costa brasileira;defesa continental
Nazismo na América do Sul;preocupação norte-americana
Argentina;dissenso continental
Constituição de 1988;Constituição Cidadã
Assembleia Constituinte;participação popular
Diretas Já;redemocratização
Dante de Oliveira;emenda rejeitada
Nova República;transição democrática
D. Pedro II;Poder Moderador
Liberalismo e conservadorismo;alternância política
Conciliação;união partidária
Bacharéis;burocracia imperial
Clientelismo imperial;carreiras estatais
Presidência do Conselho;parlamentarismo às avessas
Teófilo Otoni;liberal mineiro
Revoltas Liberais 1842;derrota liberal
Conservadores;centralização estatal
Liberalismo imperial;oposição moderada
;
Solano López;culto à personalidade
Cabichuí;propaganda lopista
Guerra do Paraguai;Tríplice Aliança
José Maria Paranhos;missão diplomática no Prata
Bartolomé Mitre;aliança argentino-brasileira
Tratado de 1857;ação conjunta contra Paraguai
Curupaiti;derrota aliada
Opinião pública argentina;crise da aliança
Guggiari;legitimação pós-guerra
Perdão da dívida paraguaia;distensão bilateral
Lopizmo;revisionismo paraguaio
Juan O’Leary;valorização de López
Positivistas brasileiros;crítica ao Império
Júlio de Castilhos;positivismo radical
Jacobinos;apoio a Floriano
Floriano Peixoto;consolidação republicana
Revolta da Armada;oposição florianista
Revolução Federalista;guerra civil sulista
Degola;violência civil
Marinha norte-americana;apoio a Floriano
Cidade aberta;Rio de Janeiro
União Cívica Radical;simpatia federalista
Primeira Guerra Mundial;alinhamento aliado
Lauro Müller;germanófilos x aliadófilos
Sociedade das Nações;participação brasileira
Conselho da Liga;membro eleito
Café paulista;depósitos na Alemanha
Reparações alemãs;perdas brasileiras
Substituição de importações;estímulo industrial
José Bonifácio;Patriarca da Independência
Separação Brasil-Portugal;projeto bonifaciano
Poder Moderador;monarquia centralizada
Missão Corrêa da Câmara;aliança sul-americana
Reconhecimento internacional;soberania brasileira
Tratados desiguais;pragmatismo diplomático
Rio Branco;modernização do Itamaraty
Arquivo diplomático;arsenal histórico
Academia Brasileira de Letras;projeção civilizatória
Machado de Assis;elite letrada
Alfred Mahan;poder naval
Reorganização Naval;modernização da Marinha
Doutrina Drago;rejeição ao uso da força
Doutrina Monroe;defesa continental
Chiquitos;tensão fronteiriça
Cisplatina;disputa platina
Duarte da Ponte Ribeiro;tratados amazônicos
Uti possidetis;princípio de limites
Navegação amazônica;tratados bilaterais
Guerra da Quádrupla Aliança;tensão com Pacífico
Guerra do Pacífico;neutralidade brasileira
Chile;diplomacia regional
Bacia do Prata;interesse estratégico imperial
;
PAEG;contração fiscal
Arrocho salarial;combate à inflação
Internacionalização econômica;capital estrangeiro
Aliança para o Progresso;alinhamento EUA
Inflação estrutural;salários acima da produtividade
Ajuste fiscal;redução do déficit
Constituição de 1988;direitos trabalhistas
Jornada reduzida;Constituição Cidadã
Seguro-desemprego;garantia constitucional
Legislativo fortalecido;controle do Executivo
Eleição em dois turnos;presidencialismo
Voto aos analfabetos;ampliação cidadania
Habeas data;acesso a informações
Estado Novo;ética do trabalho
Democracia social;corporativismo
Antipartidarismo;Estado Novo
História oficial;legitimação ideológica
Cultura Política;propaganda estadonovista
Almir de Andrade;ideólogo do Estado Novo
Cassiano Ricardo;intelectual estadonovista
Pós-Estado Novo;pluripartidarismo
Lei Agamenon;sistema partidário
CEPAL;desenvolvimentismo latino-americano
Dependência econômica;modelo agroexportador
PEI;autonomia diplomática
Governo Jânio Quadros;Política Externa Independente
Governo João Goulart;continuidade da PEI
Crise de 1929;substituição de importações
Era Vargas;industrialização
Estado mediador;trabalhismo
Nacional-desenvolvimentismo;Plano de Metas
Plano de Metas;energia e transporte
JK;Brasília
Crescimento econômico;governo JK
Indústria de base;desenvolvimentismo
Protecionismo cambial;expansão industrial
;
Escravidão indígena;trabalho africano
Antônio Vieira;crítica à escravidão
Reduções jesuíticas;catequização indígena
Salvador Correia de Sá;reconquista de Angola
Ordenanças coloniais;defesa local
Duclerc;invasão francesa
Ouro em Minas Gerais;cosmopolitismo
Iluminismo;elite letrada
Tipografias coloniais;circulação de ideias
Tratado de San Ildefonso;redefinição territorial
Uti possidetis;ocupação efetiva
Conjuração Baiana;Revolução dos Alfaiates
Revolta de 1798;pleitos populares
D. João VI;abertura dos portos
Tratado de Comércio e Navegação;privilégios ingleses
Reino Unido;elevação do Brasil
Revolução Pernambucana;colonialismo interno
Corte no Rio;centralização política
Revolução do Porto;constitucionalismo
Cortes de Cádiz;liberalismo espanhol
Independência do Brasil;monarquia constitucional
Noite da Agonia;dissolução da Constituinte
Confederação do Equador;federalismo republicano
Reconhecimento da Independência;mediação britânica
Fim do tráfico negreiro;exigência inglesa
Palmas;arbitragem de Cleveland
Barão do Rio Branco;questão de fronteiras
Rui Barbosa;Águia da Haia
Primeira Guerra Mundial;neutralidade rompida
DNOG;esforço naval brasileiro
Liga das Nações;multilateralismo
Pan-americanismo;aproximação EUA
Federalismo regencial;influência norte-americana
Ato Adicional de 1834;descentralização
Regência Una;reforma constitucional
Revolta dos Cabanos;reação antiliberal
República do Piratini;Farroupilha
República Juliana;separatismo catarinense
Juan Manuel Rosas;apoio aos farroupilhas
Golpe da Maioridade;antecipação de Pedro II
Clube da Maioridade;apoio liberal
Rebeliões provinciais;crise regencial
;
Regresso Conservador;Conselho de Estado
Justiça eletiva;reforma conservadora
Partido Liberal;profissionais liberais
Partido Conservador;burocratas imperiais
Saquaremas;conservadores
Luzias;liberais
Lei dos Círculos;voto distrital
Conciliação;reforma eleitoral
Liberais republicanos;oposição saquarema
Foreign Office;pressão antitráfico
Ato Aberdeen;repressão naval britânica
Lei de 1831;proibição do tráfico
Soberania nacional;defesa do tráfico
Lei Eusébio de Queiroz;fim do tráfico atlântico
Tráfico negreiro;pirataria
Grande Depressão;crise cafeeira
Revolução de 1930;crise oligárquica
Aliança Liberal;reformas sociais
Voto secreto;programa aliancista
Getúlio Vargas;centralização política
Ministério do Trabalho;controle sindical
Tenentismo;apoio a Vargas
Estado Novo;CLT
CLT;legislação trabalhista
Trabalhadores rurais;exclusão previdenciária
Classe operária paulista;nacionalização
Industrialismo;independência econômica
Tecnologia agropecuária;agronegócio
Agronegócio brasileiro;exportações
Petrobras;pré-sal
Embraer;indústria aeronáutica
Embrapa;pesquisa agropecuária
Educação básica;precariedade estrutural
UDN;antivarguismo
PSD;centro político
Trabalhismo;herança getulista
Suicídio de Vargas;crise de 1954
JK;eleição contestada
Jânio Quadros;renúncia de 1961
Política Externa Independente;autonomia diplomática
San Tiago Dantas;PEI
João Goulart;continuidade da PEI
;
;
Mercantilismo colonial;acumulação primitiva europeia
Produção colonial;monocultura agroexportadora
Açúcar colonial;latifúndio escravista
Trabalho colonial;escravidão indígena e africana
Administração colonial;Conselho Ultramarino
Administração religiosa;Mesa de Consciência e Ordens
Precariedade administrativa;distância e burocracia escassa
Centralização colonial;controle de Lisboa
Coroa portuguesa;resistência à iniciativa privada
Chegada de D. João VI;transferência da Corte
Reformas joaninas;abertura econômica
Ensino superior colonial;Escola Médico-Cirúrgica
Modernização militar;Academia Real Militar
Industrialização joanina;revogação das proibições
Instituições joaninas;Banco do Brasil
Ciência botânica;Jardim Botânico
Identidade nacional;brasilidade
Inconfidência Mineira;emancipacionismo
Conjuração Baiana;contestação colonial
Era Vargas;centralização política
Vargas e militares;aliança estratégica
Política cafeeira;valorização do café
Estado Novo;ditadura de 1937
Estado Novo;censura e fim dos partidos
Lei Agamenon;reorganização partidária
Vargas 1950;apoio trabalhista
UDN;oposição a Vargas
Jânio Quadros;austeridade econômica
Governo Geisel;abertura lenta e gradual
AI-5;endurecimento autoritário
Lei Falcão;controle eleitoral
Pacote de Abril;manipulação política
Redemocratização;eleição de Tancredo
Territorialidade colonial;Estado do Brasil
Norte colonial;Estado do Maranhão
Estado do Grão-Pará;sede em Belém
Alexandre de Gusmão;Tratado de Madri
Tratado de Madri;uti possidetis
Colônia do Sacramento;cessão portuguesa
Integração colonial;rotas comerciais internas
Cabo Norte;disputa luso-francesa
Tratado de Utrecht;definição do Amapá
;
Transferência da Corte;crise luso-francesa
Padre Antônio Vieira;projeto ultramarino
Congresso de Viena;interesses portugueses
Tratado de 1815;tráfico ao norte do Equador
Vintismo;constitucionalismo português
Revolução do Porto;regeneração liberal
Grão-Pará 1821;adesão vintista
Bahia 1821;apoio às Cortes
Independência do Brasil;conflitos armados regionais
Bahia e Maranhão;guerras de independência
Período regencial;fragilidade da unidade
Constituição de 1824;centralização monárquica
Noite da Agonia;dissolução da Constituinte
Guerra da Cisplatina;desgaste de D. Pedro I
Tratados de amizade;críticas parlamentares
Regência;federalismo provincial
Código Criminal 1830;autonomia local
Código do Processo Criminal;descentralização judiciária
Cabanagem;revolta popular amazônica
Questão servil;escravidão imperial
Lei Eusébio de Queiroz;repressão ao tráfico
Lei do Ventre Livre;liberdade gradual
Visconde do Rio Branco;reforma escravista
Movimento abolicionista;direito natural
Geração de 1870;racismo científico
Imigração europeia;trabalho assalariado
Política dos Governadores;pacto oligárquico
Campos Sales;governabilidade federal
Crise dos anos 1920;ruptura oligárquica
Revolução de 1930;ascensão de Vargas
Era Vargas;industrialização nacional
CLT;trabalhismo estatal
Guerra Fria;anticomunismo
PCB;ilegalidade pós-1946
Golpe de 1964;ruptura institucional
Regime militar;ordem e progresso
Constituição de 1967;autoritarismo jurídico
AI-5;endurecimento político
Guerra da Cisplatina;intervenção britânica
Banda Oriental;disputa platina
Recrutamento forçado;desgaste imperial
Guerra do Paraguai;campanha de 1868
Humaitá;avanço aliado
Itororó e Avaí;vitórias brasileiras
Primeira Guerra Mundial;neutralidade inicial
Relações com Alemanha;tensões comerciais
Segunda Guerra Mundial;preparação da FEB
FEB;apoio norte-americano
;
Constituição de 1988;Redemocratização
Liberdade partidária;Legalização comunista
Governo Geisel;Distensão lenta
Distensão;Democracia conservadora
Luta armada;Resistência ao regime
Tancredo Neves – José Sarney;Transição civil
Governo Sarney;Liberdades individuais
Plano Cruzado;Combate à inflação
Dívida externa;Crise econômica
Abertura política;Fim do autoritarismo
;
;
Iluminismo;Ideias emancipacionistas
Conjuração Mineira;Influência francesa
Conjuração Baiana;Ideais libertários
Batalha do Jenipapo;Resistência portuguesa
2 de julho de 1823;Independência baiana
Reino Unido (1815);Elevação do Brasil
Congresso de Viena;Restauração europeia
Revolução do Porto;Crise do Reino Unido
Transferência da Corte;Continuidade monárquica
Segunda Guerra Mundial;Industrialização siderúrgica
Estado Novo;Contradição autoritária
Artur Bernardes;Estado de sítio
Júlio Prestes;Crise oligárquica
Política café-com-leite;Ruptura sucessória
Tenentismo;Contestação republicana
Coluna Prestes;Movimento militar
Revolução de 1932;Oposição paulista
Federalismo;Reivindicação constitucional
Manifesto dos Mineiros;Liberalismo oposicionista
Luís Carlos Prestes;PCB
Queremismo;Permanência de Vargas
Vitória Aliada;Pressão democratizante
Deposição de Vargas;Fim do Estado Novo
Ernesto Geisel;Abertura lenta
Levante de Jacareacanga;Crise militar
Levante de Aragarças;Rebelião aeronáutica
Juscelino Kubitschek;PSD mineiro
UDN;Oposição conservadora
Jânio Quadros;Apoio udenista
Teixeira Lott;Legalismo militar
Aliança PSD–PTB;Vitória eleitoral
João Goulart;Herdeiro trabalhista
Ministério do Trabalho;Salário mínimo
Movimento sindical;Pressão social
Governo JK;Ordem democrática
Guerra Fria;Instabilidade política
;
;
João Goulart;Crise presidencial
Emenda parlamentarista;Golpe branco
Parlamentarismo;Limitação presidencial
Revolução Cubana;Polarização ideológica
Guerra Fria;Radicalização política
Política Externa Independente;Autonomia diplomática
San Tiago Dantas;PEI
Reforma agrária;Conflito social
Jânio Quadros;Renúncia presidencial
Auro Moura Andrade;Congresso Nacional
Diretas Já;Mobilização popular
Emenda Dante de Oliveira;Eleições diretas
Constituição de 1988;Constituição Cidadã
Ulysses Guimarães;Liderança constituinte
Assembleia Constituinte;Participação social
Direitos individuais;Garantias constitucionais
Colégio Eleitoral;Transição indireta
Tancredo Neves;Redemocratização
José Sarney;Governo civil
Regime militar;Abertura democrática
