População do Brasil em 1822 (Independência);Entre 4,5 e 4,8 milhões, com 1/3 de escravos.
Quais foram os principais minérios explorados no Brasil durante o Império?;Ouro (Minas Gerais) e diamantes (Minas Gerais e Bahia).
Quais empresas britânicas operaram na mineração de ouro no Brasil?;Imperial Brazilian Mining Company, St. John del Rey Mining Company e Brazilian Mining Co.
Qual foi a produção média das empresas britânicas na década de 1840?;Aproximadamente 1,5 tonelada de ouro por ano, cerca de 10% da produção nos melhores anos do período colonial.
Como as exportações de ouro e diamantes variaram ao longo do Império?;As exportações de ouro e diamantes caíram de 5% para menos de 1% das exportações totais de 1850 a 1880.
Qual foi o crescimento do setor ferroviário no Brasil durante o Império?;Em 1870, havia 700 km de ferrovias e, em 1889, 9.583 km de ferrovias.
Quais foram os principais investimentos estrangeiros em serviços no Brasil durante o Império?;Iluminação a gás, bondes, abastecimento de água e esgoto.
Como era a estrutura do setor público no Brasil durante o Império?;O setor público era modesto, com menos de 20 mil funcionários.
Quantos funcionários públicos havia no Brasil em 1872?;10.710 funcionários públicos e 27.716 militares, conforme o Censo de 1872.
Qual era o predomínio da ocupação econômica no Brasil imperial?;O predomínio era da ocupação rural, com 2/3 da população economicamente ativa no setor agrícola.
Qual foi a quantidade de imigrantes europeus que chegaram ao Brasil entre 1851 e 1889?;"Entre 1851 e 1870, chegaram 219.229 imigrantes; entre 1871-1880, 219.128 imigrantes; e entre 1881-1885, 133 mil imigrantes."
O que foi a Lei de Terras de 1850?;A Lei de Terras de 1850 regulou a propriedade de terras após o fim das sesmarias, mas falhas no registro permitiram a usurpação de terras públicas.
Qual foi o impacto do fim do tráfico de escravos no Brasil?;O fim do tráfico de escravos resultou em um aumento nos preços dos escravos, o tráfico interprovincial e a deslocação de escravos do Nordeste para o Sudeste.
"O que era o sistema de ""parceria"" no café?";No sistema de parceria, imigrantes trabalhavam nas fazendas de café e pagavam suas dívidas aos fazendeiros, mas o sistema falhou devido a abusos e endividamento.
O que a Lei do Ventre Livre de 1871 determinava?;A Lei do Ventre Livre declarava livres os filhos de escravos nascidos após essa data.
Como a imigração europeia afetou a economia cafeeira pós-1870?;A imigração europeia acelerou a substituição do trabalho escravo pelo trabalho assalariado nas fazendas de café.
O que foi a hipótese de Domar?;A hipótese de Domar afirma que, entre terra livre, camponeses livres e proprietários inativos, apenas dois podem existir simultaneamente.
Quais regiões do Brasil tiveram grande presença de imigrantes europeus no Império?;As colônias agrícolas de imigrantes foram principalmente no Sul, como Nova Friburgo, Leopoldina, e Rio Grande do Sul.
Como a infraestrutura de transporte e serviços foi impactada pela produção de café?;A produção de café impulsionou a necessidade de infraestrutura como ferrovias, portos, cabos telegráficos, e navegação a vapor, com investimentos estrangeiros, especialmente britânicos.
Quais investimentos foram feitos nas ferrovias no Brasil durante o Império?;O governo central, governos provinciais e capitalistas brasileiros investiram nas ferrovias, destacando-se a Central do Brasil (governo imperial) e as ferrovias privadas paulistas (Sorocabana, Mogiana e Ituana).
Qual foi o valor investido pelo governo imperial na Central do Brasil?;£9,7 milhões no final do Império.
Qual foi o valor investido nas ferrovias privadas paulistas?;£2,2 milhões.
Como foi o crescimento do investimento britânico no Brasil durante o Império?;O investimento britânico aumentou de £1 milhão em 1840 para £40,6 milhões em 1890.
Quais setores receberam investimentos estrangeiros no Brasil durante o Império?;Bancos, companhias de navegação e cabos telegráficos submarinos (ex.: Brazilian Submarine Telegraph Co., Western and Brazilian Telegraph).
Quais empresas britânicas dominavam a navegação marítima no Brasil?;Royal Mail, Amazon Steam, Lamport & Holt.
Como o governo brasileiro subsidiava a navegação?;O governo subsidiava a navegação interior e de cabotagem, além de criar a política de garantias de taxas de retorno.
Qual era a taxa de retorno garantida pela política de garantias?;A taxa de retorno garantida era de 7% (5% do governo imperial e 2% das províncias).
Quais foram os impactos da política de garantias para o transporte?;A política reduziu custos e aumentou a eficiência do transporte, como no caso do algodão no Nordeste, onde o custo de transporte caiu de 100% para 25%-30% do valor do produto.
Quanto o governo imperial gastou cobrindo garantias até 1888?;O governo gastou £11,3 milhões cobrindo as garantias.
Como o Brasil se posicionou no comércio exterior durante o Império?;O Brasil perdeu participação nas exportações mundiais, mas o café se tornou o principal produto exportado, representando 60% do café mundial na década de 1880.
Qual foi a trajetória da produção de açúcar e algodão no Brasil durante o Império?;O açúcar perdeu importância, passando de 21% da produção mundial em 1850 para menos de 10% em 1880. O algodão teve trajetória semelhante, mas se beneficiou da Guerra Civil dos EUA (1860s).
Qual foi o impacto da Guerra Civil dos EUA no Brasil?;O Brasil se beneficiou da Guerra Civil dos EUA, especialmente no cultivo de algodão.
Qual foi a participação do Brasil na exportação de borracha na década de 1880?;A borracha representava 8% das exportações do Brasil na década de 1880.
Como os parceiros comerciais do Brasil mudaram ao longo do Império?;A Grã-Bretanha perdeu importância, e os EUA se tornaram o maior mercado do café brasileiro, com 70% das importações norte-americanas no final dos anos 1880.
Quais produtos o Brasil mais importava na década de 1870?;Artefatos de algodão (27,5%), bebidas (18%), peixes (10%), artefatos de lã (6,6%), trigo e farinha (5%), carvão (3,9%) e máquinas (1,7%).
Como as tarifas de importação variaram ao longo do Império?;As tarifas de importação cresceram de 17% nos anos 1830 para quase 50% nos anos 1860-1880.
O que ocorreu com os termos de intercâmbio entre 1830 e 1889?;Entre 1830 e 1850, os termos de intercâmbio melhoraram 50%, com estabilidade de 1850 a 1870, e em 1889, estavam 71% acima do nível de 1850.
Qual foi a exportação per capita do Brasil em 1890?;A exportação per capita do Brasil em 1890 foi de US$9,6.
Qual foi a exportação per capita da Argentina em 1890?;A exportação per capita da Argentina em 1890 foi de US$32,4.
Como o Brasil lidava com a emissão de moeda após a Independência?;O Banco do Brasil continuou emitindo cédulas após a Independência, e em 1827, o governo permitiu a substituição de moedas de cobre por cédulas devido à falsificação.
"O que foi a crise do ""xemxem"" em 1834-1835?";"A crise do ""xemxem"" levou os governos provinciais a contramarcar moedas de cobre para reduzir seu valor e evitar sua exportação."
O que ocorreu com a circulação metálica durante o Império?;A circulação metálica foi praticamente inexistente até o final da década de 1840 e depois caiu novamente a partir de 1860.
O que era a Lei de Gresham?;A Lei de Gresham causou a expulsão de ouro, prata e cobre da circulação monetária no Brasil.
O que aconteceu com os preços no Brasil entre 1830 e 1889?;Estima-se que os preços no Brasil dobraram entre 1830 e 1889 devido à inflação gerada pela expansão da circulação monetária.
omo a paridade do mil-réis mudou entre 1833 e 1846?;A paridade do mil-réis foi reduzida de 67,5 pence/mil-réis (1833) para 43,5 pence/mil-réis (1833) e 27 pence/mil-réis (1846).
Como o câmbio flutuou durante o Império?;O câmbio flutuou significativamente, com períodos de estabilidade nas décadas de 1850 e 1870, mas houve desvalorização contínua até os anos 1840 e desvalorização nova no final da década de 1870.
Qual foi a mínima atingida pelo câmbio durante a Guerra do Paraguai?;Durante a Guerra do Paraguai, o câmbio atingiu a mínima de 17 pence/mil-réis.
Qual foi a paridade do mil-réis ao aderir ao padrão-ouro em 1888-1889?;A paridade foi de 27 pence/mil-réis ao aderir ao padrão-ouro, mas foi abandonada com a proclamação da República.
O que aconteceu com o Banco do Brasil após a independência?;O Banco do Brasil foi liquidado em 1829 por má gestão e um novo Banco do Brasil foi fundado em 1853.
Quais foram os primeiros bancos privados no Brasil após o fechamento do Banco do Brasil em 1829?;Banco Commercial do Rio de Janeiro (1837), Banco Commercial da Bahia (1847), Banco Commercial do Maranhão (1846), Banco Commercial do Pará (1847) e Banco de Pernambuco (1851).
Quando a emissão bancária foi abolida no Brasil?;A emissão bancária foi abolida em 1866 e o Tesouro Nacional assumiu o monopólio da emissão.
Quais bancos estrangeiros ganharam relevância no Brasil durante o Império?;London and Brazilian Bank (1862) e Brazilian and Portuguese Bank (1863), renomeado para English Bank of Rio de Janeiro (1866).
Qual a importância das casas bancárias até a década de 1850 no Brasil?;As casas bancárias eram predominantes até a década de 1850, mas crises financeiras enfraqueceram sua posição.
Qual foi o impacto da falência da casa Souto & Cia (1864)?;A falência gerou um passivo de 110.500 contos, equivalente a 50% dos meios de pagamento.
Qual era a composição do meio circulante até 1865-1866 no Brasil?;Até 1865-1866, 80% do meio circulante era papel-moeda emitido por bancos.
Qual a participação dos depósitos bancários no meio circulante no final do Império?;No final do Império, os depósitos bancários correspondiam a 60% dos meios de pagamento.
Como a política monetária do Encilhamento (República) foi influenciada?;A política monetária do Encilhamento foi influenciada por legislação imperial que permitia emissão múltipla de moeda.
Qual era a principal fonte de receita do governo central durante o Império?;A receita do governo central dependia fortemente de impostos sobre importação e exportação.
Como eram feitos os leilões de tributos até 1831 no Brasil?;A arrecadação de tributos era feita por leilões até 1831, prática que foi desaparecendo ao longo do tempo.
Quais impostos internos eram mais comuns no Brasil Imperial?;Impostos internos incidiam sobre a transferência de imóveis e escravos, heranças e contratos.
Qual a participação do imposto de importação na receita do governo central após 1833?;O imposto de importação representava mais de 50% da receita do governo central após 1833.
Como a taxação das exportações variou ao longo do Império?;Os impostos de exportação eram de 5-7% na década de 1850, subindo para 9% durante a Guerra do Paraguai, e reduzidos para 7% nos anos 1870.
Quais eram os impostos de importação e exportação combinados na receita do governo em 1830?;Os impostos de importação e exportação somavam cerca de 60% da receita do governo em 1830.
Qual era o efeito das tarifas de importação sobre a produção de café?;O aumento das tarifas de importação elevava os custos de produção do café, impactando a oferta global e os preços.
Como as tarifas de importação afetaram a renda da população urbana?;As tarifas de importação tinham um efeito regressivo, prejudicando a renda da população urbana devido à dependência de importações.
Como a desvalorização cambial impactou os exportadores de commodities?;A desvalorização cambial beneficiava os exportadores de commodities, exceto café, pois suas receitas aumentavam com a desvalorização.
Qual era o impacto da desvalorização cambial sobre o café?;Para o café, a desvalorização aumentava a receita em mil-réis, mas poderia enfraquecer os preços globais devido à venda de estoques.
Qual era a participação dos impostos provinciais na receita do governo central?;As províncias arrecadavam cerca de 25% da receita do governo central entre 1840-1880.
Como as províncias nordestinas aumentaram a taxação de importação na década de 1870?;O Nordeste aumentou a taxação de importação devido à crise econômica nos anos 1870.
Quais províncias tinham taxas de exportação específicas?;Pará tinha 13% sobre borracha, produtores de café pagavam 4% (totalizando 13% com a taxa imperial), e Rio Grande do Sul tinha 4% sobre charque e couros (9% com a taxa central).
Qual era a participação dos gastos militares nas despesas do governo imperial?;Os gastos militares representavam 50% da receita nos anos 1820 e 1830, atingindo 65% durante a Guerra do Paraguai, mas caindo para cerca de 20% após 1870.
Como São Paulo contribuía para a receita central e os gastos do governo?;São Paulo gerava 7% da receita central, mas recebia apenas 2% dos gastos.
Como as transferências financeiras entre o Norte/Nordeste e o governo central eram significativas?;Transferências financeiras do Norte e Nordeste para o governo central eram significativas, refletindo uma grande dependência desses estados.
Qual foi o crescimento da dívida externa do Brasil entre 1824 e 1889?;A dívida externa cresceu de £5,1 milhões (1824) para £33,6 milhões (1889).
Qual era a composição da dívida externa em 1889?;98% da dívida externa em 1889 era em libras e controlada por bancos londrinos.
Como o Brasil manteve o pagamento da dívida externa durante o Império?;O Brasil manteve o pagamento da dívida externa ao contrário de outros países da América Latina.
Como a relação dívida/exportações mudou entre 1820 e 1889?;A relação dívida/exportações caiu de 1,7 (anos 1820) para 0,42 (1860), subindo para 1,18 no final do Império.
Como as taxas de juros sobre a dívida brasileira se comparavam com os consols britânicos?;As taxas de juros sobre a dívida brasileira eram mais altas do que as dos consols britânicos.
Qual foi a inflação média no Brasil entre 1830 e 1889?;A inflação no Brasil foi de 1,2% ao ano entre 1830 e 1889.
Como o PIB per capita do Brasil se comparava com outros países em 1820 e 1890?;Em 1820, o PIB per capita do Brasil era comparável ao mexicano (10-20% inferior) e pouco mais da metade do dos EUA. Em 1890, caiu para ¾ do nível mexicano, ⅓ do argentino e ⅕ do dos EUA.
Qual foi o crescimento médio do PIB per capita durante o Império?;O crescimento médio do PIB per capita foi de 0,3% a 0,4% ao ano durante o Império.
Como a renda per capita cresceu após 1850 no Brasil?;A renda per capita cresceu de 1,5-2% ao ano após 1850, principalmente devido à expansão cafeeira.
Quais foram os períodos de maior crescimento da economia cafeeira?;Os períodos de maior crescimento foram os anos 1850 e a segunda metade dos anos 1880.
Quais eventos marcaram a década de 1870 no Brasil?;A década de 1870 foi marcada pela Grande Seca no Nordeste.
Como o Brasil fez a transição do trabalho escravo para o trabalho livre?;A transição foi lenta após o fim do tráfico (1850), com aceleração da imigração nos anos 1880, com subsídios para atrair trabalhadores.
Como a produção e exportação de commodities no Nordeste mudou?;Houve retração na exportação de algodão, açúcar e fumo no Nordeste, enquanto a borracha cresceu na Amazônia.
Quais mudanças ocorreram na infraestrutura e urbanização no final do Império?;Houve expansão das ferrovias públicas e privadas, além de aumento na provisão de serviços públicos urbanos no final do período imperial.
Como a industrialização era no Brasil durante o Império?;A industrialização era incipiente, mas a partir de 1885 houve uma queda na penetração de importações de bens de consumo não duráveis.
Qual foi a mudança na importância dos EUA no comércio exterior do Brasil?;A importância dos EUA como parceiro comercial cresceu, enquanto a participação britânica nas importações brasileiras caiu.
Como a desvalorização do mil-réis no Império se comparava ao período republicano?;A desvalorização do mil-réis foi modesta (50%) no Império, em comparação com o período republicano.
Qual foi a avaliação do crédito do Brasil em 1888?;Em 1888, o Brasil converteu sua dívida para reduzir juros devido à boa avaliação de seu crédito.
Quais mudanças políticas ocorreram no final do Império?;"O crescimento da influência dos interesses paulistas sobre os nordestinos e o enfraquecimento do ""baianismo"" marcaram o fim do Império."
Como a crise das instituições imperiais levou à Proclamação da República?;O atraso na abolição da escravidão e a crise das instituições imperiais levaram à Proclamação da República.
Como a primeira década republicana foi marcada?;A primeira década republicana foi marcada por grandes desafios, transformações estruturais e conflitos políticos entre metalistas e papelistas.
Quais foram as transformações estruturais no Brasil após a Abolição da escravidão?;A disseminação do trabalho assalariado no campo e a imigração foram as principais transformações estruturais.
Qual era o impacto da crise cambial de 1891 no Brasil?;A crise cambial de 1891 gerou resistências ao papelismo e resultou em dificuldades econômicas.
Como o Brasil lidou com as crises econômicas entre 1890 e 1900?;O Brasil adotou um plano conservador de saneamento monetário e fiscal a partir de 1898.
Como a razão exportações/PIB mudou entre 1870 e 1900?;A razão exportações/PIB aumentou de 15,4% (1870) para 18,6% (1900).
Qual foi o crescimento dos investimentos estrangeiros no Brasil até 1913?;O estoque de capital estrangeiro no Brasil em 1913 foi de £514 milhões, representando 30% da América Latina e 5,4% do total mundial.
Qual era a participação brasileira no comércio mundial em 1913?;A participação brasileira no comércio mundial permaneceu abaixo de 1%
Qual foi a explicação tradicional para a crise cambial de 1891?;A crise de 1891 foi atribuída à expansão monetária do Encilhamento (Ruy Barbosa).
Qual explicação tradicional foi dada para a crise de 1898?;A crise de 1898 foi vista como resultado do excesso de emissões do período anterior.
Como os preços do café influenciaram o câmbio, segundo as explicações tradicionais?;Os preços do café influenciaram o câmbio, impactando a taxa de câmbio do Brasil.
O que questionam os estudos mais recentes sobre as crises cambiais?;Os estudos mais recentes questionam as explicações simplistas, argumentando que a taxa de câmbio é afetada por múltiplos fatores (monetários, fiscais e termos de troca).
Quais mudanças ocorreram na economia brasileira no final do século XIX?;Houve um aumento da importância do setor assalariado e uma mudança qualitativa na organização econômica, impactando o crescimento.
Como a expansão do trabalho assalariado afetou a economia brasileira?;A expansão do trabalho assalariado aumentou as necessidades de capital de giro na agricultura e a crescente demanda por moeda.
Como eram as operações agrícolas antes da introdução do trabalho assalariado?;As operações agrícolas eram financiadas por crédito e escrituração, com pouco uso de dinheiro físico e pagamentos feitos por ordens e saques.
Quais mudanças o trabalho assalariado trouxe para a economia?;O trabalho assalariado exigiu pagamentos em dinheiro aos trabalhadores e gerou demandas sazonais de crédito, especialmente na época da colheita.
Quais foram os problemas estruturais do sistema bancário no Brasil?;O sistema bancário tinha baixa penetração (0,043 agência por 10 mil habitantes em 1888), baixa propensão do público a depositar dinheiro, e vulnerabilidade a variações sazonais na demanda por crédito.
Como o governo reagiu às crises de liquidez a partir da década de 1880?;O governo criou a Lei de 1885 para autorizar a emissão de 25 mil contos para auxiliar os bancos, mas as crises continuaram em 1886 e 1887.
Qual foi a proposta da Lei de Reforma Bancária de 1888?;A Lei de Reforma Bancária de 1888 tentou equilibrar a expansão monetária com a adesão ao padrão-ouro, mas teve falhas devido a políticas contraditórias.
O que foi o compromisso final do Gabinete Ouro Preto de 1889?;A proposta de emissão conversível à paridade de 1846 foi uma tentativa de conciliar expansão monetária e padrão-ouro.
Qual foi a política de Ouro Preto em relação ao padrão-ouro?;A política de Ouro Preto foi centralizada no retorno ao padrão-ouro, visando estabilidade econômica.
Quais auxílios foram dados à lavoura durante o governo de Ouro Preto?;Foram concedidos créditos para compensar ex-proprietários de escravos, favorecendo regiões agrícolas dinâmicas.
O que ocorreu com o Banco Nacional do Brasil (BNB) em 1889?;O Banco Nacional do Brasil foi criado para retirar de circulação o papel-moeda do Tesouro, mas não completou as emissões a tempo, resultando em falha na emissão de moeda conversível.
Como Ruy Barbosa lidou com a emissão de papel-moeda em 1889?;Ruy Barbosa rejeitou a emissão forçada do papel-moeda em 15 de novembro de 1889 e limitou as emissões.
Quais foram as consequências das reformas monetárias de 1889?;As reformas monetárias de 1889 resultaram em uma escassez de moeda no país, sem grandes efeitos positivos.
O que estabeleceu a Lei Bancária de 1890?;A Lei Bancária de 1890 permitiu emissões bancárias sobre lastro de títulos da dívida pública e criou três regiões bancárias, emitindo 450 mil contos de papel-moeda.
Qual foi o impacto da expansão monetária em 1890?;A expansão monetária foi rápida e violenta, com a emissão de papel-moeda crescendo 40% em relação a janeiro de 1890.
O que aconteceu com os bancos em 1890?;Em 1890, ocorreu a fusão do Banco dos Estados Unidos do Brasil (BEUB) e Banco Nacional do Brasil (BNB) para formar o Banco da República dos Estados Unidos do Brasil (BREUB).
Qual foi o impacto da crise cambial de 1891?;A crise cambial de 1891 causou uma queda drástica na taxa de câmbio e agravou a situação política e financeira, com falências de grandes empresas.
Como as tentativas de estabilizar o câmbio falharam em 1891?;As tentativas de estabilizar a taxa de câmbio, como a venda de ouro, falharam devido a problemas internos e influências externas, como o colapso da casa Baring Brothers.
O que aconteceu com a política monetária de Ruy Barbosa?;A política monetária de Ruy Barbosa resultou em uma expansão descontrolada, contribuindo para o colapso financeiro de 1892.
Quem sucedeu Ruy Barbosa no Ministério da Fazenda e como lidaram com a crise?;Após Ruy Barbosa, Alencar Araripe e Barão de Lucena sucederam-no, mas falharam em controlar a crise financeira e a especulação.
O que tentou Serzedelo Correia para estabilizar a economia em 1892?;"Serzedelo Correia tentou estabilizar a economia criando o Banco da República do Brasil (BRB) e apoiando empresas viáveis com ""bônus"" ou ""auxílios à indústria""."
Como a tentativa de estabilização da economia em 1892 falhou?;A tentativa de estabilização não teve sucesso, com a especulação continuando a afetar negativamente o sistema bancário e a economia.
Como a crise de 1891 afetou o Encilhamento e a política financeira?;A crise de 1891 marcou o fim do Encilhamento, afetando gravemente bancos e finanças públicas.
Como o governo de Floriano Peixoto lidou com a crise de 1891?;O governo de Floriano Peixoto lidou com a crise de forma conturbada, com sucessivos levantes e revoltas, como a Revolta da Armada e os conflitos no Rio Grande do Sul.
Qual foi o impacto da falência da Companhia Geral das Estradas de Ferro do Brasil?;A falência da Companhia Geral das Estradas de Ferro do Brasil, em 1892, exemplificou a falência das grandes empresas do período.
Qual foi a principal preocupação com o déficit orçamentário pós-crise de 1891?;A principal preocupação foi com a evolução das contas de despesa e receita do governo em moeda estrangeira e a sensibilidade do resultado orçamentário a flutuações cambiais.
O que evidencia a relação entre desequilíbrio externo e fiscal após a crise de 1891?;A relação entre desequilíbrio externo e fiscal foi evidente nas dificuldades fiscais e cambiais enfrentadas pelo governo brasileiro após a crise de 1891.
Quem assumiu a presidência em 1894 e qual foi sua abordagem para o déficit?;"A presidência de Prudente de Morais foi marcada pela insistência junto aos Rothschild para obter recursos e financiar o déficit, além de pedir um ""arranjo financeiro"" em dezembro de 1894."
O que foi proposto pelos Rothschild para financiar o Brasil em 1894?;Os Rothschild sugeriram que não seria possível um empréstimo grande sem medidas fiscais rigorosas e propuseram aumento de impostos sobre importações para alocar recursos para o serviço da dívida externa.
Qual foi o valor do empréstimo obtido pelo Brasil em 1895?;O Brasil obteve um empréstimo de £7,5 milhões lançado em julho de 1895, após negociações intensas.
Como foi o uso do empréstimo de 1895?;O empréstimo de 1895 foi rapidamente consumido devido à situação cambial e fiscal difícil, e esforços para recomprar papéis não impediram a queda nas cotações.
Quais dificuldades o Brasil enfrentou entre 1896-1897?;Durante esse período, o Brasil enfrentou o enfraquecimento dos preços do café, dificuldades fiscais, novas emissões bancárias e dificuldades para equilibrar o orçamento.
O que foi proposto em relação à Estrada de Ferro Central do Brasil em 1897?;Foi proposta a ideia de um sindicato liderado pela firma Greenwood & Co. para o arrendamento da ferrovia, mas o governo resistiu à proposta devido à grave situação cambial.
Quais medidas foram tomadas para enfrentar a crise fiscal e cambial em 1898?;"Em 1898, foi proposta uma moratória, seguida de um acordo com os Rothschild para a emissão do ""funding loan"", um refinanciamento da dívida externa com suspensão das amortizações por 13 anos."
"Quais condições foram impostas para o ""funding loan"" de 1898?";"As condições do funding loan exigiam medidas fiscais e monetárias rigorosas, como o aumento de impostos, a separação do orçamento em ""orçamento-ouro"" e ""orçamento-papel"", e a redução de despesas denominadas em moeda estrangeira."
Qual foi a política econômica de Joaquim Murtinho?;Joaquim Murtinho implementou uma política focada na redução de papel-moeda circulante e contração monetária, resultando em falências bancárias em 1900.
Qual foi o impacto das exportações de borracha no final dos anos 1890?;As exportações de borracha contribuíram significativamente para a recuperação das finanças brasileiras no final dos anos 1890.
Como a política conservadora influenciou a política econômica até a década de 1900?;O conservadorismo dominou a política econômica até a década de 1900, deixando uma marca duradoura, com ênfase em políticas fiscais rigorosas e controle monetário.
Como o período de 1900-1930 marcou uma transição econômica e política no Brasil?;O período de 1900-1930 marcou o fim de uma era na história republicana, com crises econômicas sucessivas enfraquecendo o sistema político e levando a uma reordenação das políticas econômicas e da organização do Estado.
O que caracterizou a transição econômica no Brasil entre 1900-1930?;A transição foi marcada pela mudança de uma economia primário-exportadora voltada para o café para uma economia voltada para dentro, com severos controles sobre transações externas.
Quais mudanças ocorreram no sistema político brasileiro durante a transição de 1900-1930?;O sistema político viu o desafio à hegemonia paulista, permitindo alterações na composição social e regional dos grupos hegemônicos.
