Qual é a principal fonte formal do Direito Internacional Público, segundo o Estatuto da Corte Internacional de Justiça?;Os tratados internacionais.
Qual é o princípio geral que rege a relação entre a Constituição e o Direito Internacional?;A Constituição é o fundamento de validade das normas internas, e o Estado, ao celebrar tratados, deve respeitar suas disposições constitucionais (reserva de Constituição).
Um tratado pode violar a Constituição Federal brasileira?;Não, pois sua incorporação exige a aprovação do Congresso Nacional, que só pode aprová-lo se for compatível com a Constituição.
O que é o controle de convencionalidade?;É o dever do juiz nacional de verificar se a lei interna é compatível com os tratados de direitos humanos dos quais o Estado é parte.
No Brasil, qual órgão é competente para celebrar tratados internacionais?;O Presidente da República, com a posterior aprovação do Congresso Nacional.
Qual é a função do Congresso Nacional no processo de formação dos tratados?;Aprovar o texto do tratado por meio de Decreto Legislativo, exercendo o controle político e jurídico.
O que é a denúncia de um tratado?;É o ato unilateral pelo qual um Estado manifesta sua intenção de se retirar de um tratado, encerrando sua vigência em relação a ele.
A denúncia de um tratado dispensa a aprovação do Congresso Nacional no Brasil?;Sim, pois é ato discricionário do Presidente, salvo se o tratado envolver matéria que exija aprovação legislativa.
O que é o pacta sunt servanda?;É o princípio basilar do DIP segundo o qual os tratados devem ser cumpridos de boa-fé pelos Estados partes.
O que é o rebus sic stantibus?;É a cláusula que permite a revisão ou extinção de um tratado se houver uma mudança fundamental nas circunstâncias que motivaram sua celebração.
Quais são os sujeitos de direito internacional público?;Os Estados, as organizações internacionais, a Santa Sé, e, em certos casos, os indivíduos e as empresas.
Os Estados federados (como os estados-membros da federação) são sujeitos de DIP?;Não, regra geral, apenas a União (Estado federal) possui personalidade jurídica internacional.
Qual a diferença entre Estado federal e confederação de Estados?;"No federalismo, há um Estado central com soberania e entes federados com autonomia; na confederação, os Estados-membros mantêm sua soberania e a união é precária."
Os Estados federados podem celebrar tratados internacionais?;Em regra, não, pois essa competência é privativa da União. Exceções ocorrem em matérias de sua competência, com autorização da União.
Qual o princípio do DIP que impede um Estado de invocar seu Direito Interno para descumprir um tratado?;O princípio da boa-fé e da responsabilidade internacional, consagrado no art. 27 da Convenção de Viena sobre o Direito dos Tratados.
O que é a responsabilidade internacional do Estado?;É a obrigação de reparar os danos causados por atos ilícitos internacionais praticados por seus órgãos ou agentes.
Quais são os elementos do ato ilícito internacional?;A violação de uma obrigação internacional e a atribuição do ato ao Estado.
O que são as cláusulas constitucionais de recepção automática?;São dispositivos que determinam a aplicação imediata de certas normas internacionais, sem necessidade de incorporação legislativa.
O Brasil adota a recepção automática para tratados?;Não, adota o sistema de incorporação legislativa (decreto legislativo e decreto presidencial).
O que é a imunidade de jurisdição do Estado estrangeiro?;É o princípio pelo qual um Estado não pode ser processado nos tribunais de outro Estado, salvo nas hipóteses de atos de gestão (teoria restritiva).
O DIP prevê a possibilidade de intervenção humanitária?;"É um tema controverso. A Carta da ONU prevê intervenção apenas com autorização do Conselho de Segurança, mas há doutrina que defende a ""responsabilidade de proteger""."
Qual a diferença entre ato de império e ato de gestão para fins de imunidade de jurisdição?;"Atos de império são os praticados no exercício da soberania (imunes); atos de gestão são os comerciais ou privados (não imunes)."
O que é o princípio da igualdade soberana dos Estados?;Todos os Estados são juridicamente iguais, independentemente de seu poder econômico ou militar.
Como o DIP trata a questão do reconhecimento de Estados?;É um ato político unilateral que declara a existência de um novo Estado, com efeitos jurídicos, mas não é constitutivo da personalidade internacional.
O que é a sucessão de Estados em matéria de tratados?;É a substituição de um Estado por outro na responsabilidade pelas relações internacionais de um território.
A Convenção de Viena de 1978 trata da sucessão de Estados em matéria de tratados. Qual a regra geral?;A regra é a da continuidade dos tratados, com exceções para tratados políticos ou vinculados à personalidade do Estado extinto.
No Brasil, qual a posição dos tratados em matéria tributária em relação à lei complementar?;Prevalece o tratado, pois a lei complementar não pode revogar tratado regularmente incorporado, conforme entendimento do STF.
O que é o jus cogens?;São normas imperativas de Direito Internacional geral, aceitas e reconhecidas pela comunidade internacional como inderrogáveis (ex.: proibição de genocídio).
Um tratado que viole uma norma de jus cogens é válido?;Não, é nulo de pleno direito.
O que é o direito de legação?;É o direito do Estado de enviar e receber agentes diplomáticos, sendo ativo (envio) e passivo (recebimento).
Os entes federados (estados e municípios) podem ter representações internacionais?;Podem ter escritórios de representação no exterior, mas sem caráter diplomático, apenas para promover interesses econômicos, culturais e turísticos.
O que é a Convenção de Viena sobre Relações Diplomáticas (1961)?;É o tratado que codifica as normas sobre a imunidade diplomática, inviolabilidade da sede da missão e privilégios dos agentes diplomáticos.
Um tratado não incorporado ao Direito Interno pode ser invocado perante o Judiciário brasileiro?;Não, pois não é norma jurídica interna, embora possa ser usado como fonte de interpretação.
"O que é a teoria da ""margem de apreciação nacional""?";É a doutrina que defere aos Estados certa discricionariedade na aplicação de normas internacionais de direitos humanos, considerando suas particularidades locais.
O Brasil é um Estado federalista ou unitário?;Federalista, com autonomia dos entes federados (União, Estados, DF e Municípios).
Qual é a competência da União em matéria de relações exteriores?;É privativa, conforme o art. 21, I, da CF/88.
Os Estados-membros podem legislar sobre relações exteriores?;Não, apenas sobre matérias de seu interesse, mas sempre respeitando a competência da União.
O que é o princípio da reciprocidade no DIP?;É a prática pela qual um Estado concede um tratamento a outro com base na expectativa de tratamento igualitário em troca.
A Constituição brasileira prevê a prevalência dos direitos humanos nas relações internacionais?;Sim, é um dos princípios das relações internacionais do Brasil (art. 4º, II).
"O que é a ""reserva de tratado""?";É uma declaração unilateral feita por um Estado ao assinar um tratado, com o objetivo de excluir ou modificar o efeito jurídico de certas disposições.
A reserva é admitida em tratados de direitos humanos?;Sim, mas não pode ser incompatível com o objeto e propósito do tratado.
Qual é a função da Corte Internacional de Justiça (CIJ)?;Julgar controvérsias jurídicas entre Estados e emitir opiniões consultivas sobre questões jurídicas.
As decisões da CIJ são vinculantes para o Brasil?;Sim, se o Brasil for parte no litígio. As opiniões consultivas não são vinculantes.
O que é a doutrina Calvo?;É a doutrina que defende que os estrangeiros devem ser tratados como nacionais, sem direito a proteção diplomática, e que suas disputas devem ser resolvidas pelos tribunais locais.
O que é a doutrina Drago?;É a doutrina que proíbe o uso da força para cobrança de dívidas contratuais de Estados.
Um ente federado pode ser demandado internacionalmente?;Não, a responsabilidade internacional é sempre do Estado federal (União), que responde por seus entes.
O que é a cláusula federal nos tratados?;É uma cláusula que limita a aplicação do tratado ao âmbito da competência da União, excluindo os entes federados.
No Brasil, a cláusula federal é comum?;Não, o Brasil entende que, ao ratificar um tratado, ele se aplica a todo o território nacional, incluindo estados e municípios.
Como o DIP trata a questão da proteção dos direitos humanos?;Há sistemas globais (ONU) e regionais (Europeu, Interamericano, Africano) de proteção, com tratados e cortes específicas.
O Brasil faz parte do Sistema Interamericano de Direitos Humanos?;Sim, é membro da OEA e reconhece a competência da Corte Interamericana de Direitos Humanos.
O que é o princípio do non-refoulement?;É a proibição de devolver um refugiado a um território onde sua vida ou liberdade esteja ameaçada.
O tratado tem aplicação imediata após a ratificação pelo Presidente, antes da promulgação?;Não, no Brasil, a promulgação e publicação são condições para sua vigência no plano interno.
"O que são as ""normas de ius cogens"" em matéria de Direito Internacional dos Direitos Humanos?";São proibições absolutas, como a tortura e a escravidão, que não podem ser derrogadas nem em estado de emergência.
A Constituição brasileira é rígida ou flexível?;Rígida, pois exige quórum qualificado para sua alteração.
Um tratado que verse sobre matéria de competência exclusiva dos Estados-membros pode ser celebrado pela União?;Sim, pois a competência para celebrar tratados é privativa da União, independentemente da matéria.
O que é o princípio da boa-fé no DIP?;É a presunção de que os Estados agem de maneira honesta e leal em suas relações internacionais, sendo fundamental para a estabilidade do sistema.
"O que é a ""teoria dos poderes implícitos"" no direito internacional?";É a doutrina que permite que um Estado ou organização internacional exerça poderes não expressamente previstos, mas necessários para o cumprimento de seus fins.
Qual é a posição do STF sobre a possibilidade de a lei interna revogar o tratado?;O STF já decidiu que a lei posterior revoga o tratado no plano interno, mas o Estado continua obrigado internacionalmente (ex: RE 80.004).
"O que é o ""diplomata"" e o ""cônsul""?";"Diplomata representa o Estado em relações políticas; cônsul atua em funções administrativas (vistos, assistência a nacionais) e econômicas."
A imunidade diplomática é absoluta?;Não, pode ser renunciada pelo Estado enviante e não se aplica a atos privados ou comerciais do diplomata.
"O que é o ""princípio da territorialidade"" no Direito Interno?";A lei penal e tributária, em regra, aplicam-se apenas dentro do território nacional.
Como o DIP trata a questão do asilo diplomático?;É o asilo concedido em missões diplomáticas, regulado por costumes e convenções regionais, como a Convenção de Havana (1928).
O Brasil é um Estado laico?;Sim, a CF/88 prevê a separação entre Estado e Igreja, mas permite a celebração de acordos com a Santa Sé (Concordata).
"O que é a ""responsabilidade objetiva"" do Estado no DIP?";É a responsabilidade que independe de culpa, baseada no risco da atividade, como no caso de danos causados por atividades espaciais.
Qual a diferença entre interpretação literal e teleológica de um tratado?;"A literal busca o sentido comum das palavras; a teleológica busca o objeto e propósito do tratado (art. 31 da CVDT)."
Um Estado pode invocar seu Direito Interno para justificar o não cumprimento de uma sentença da CIJ?;Não, a sentença é vinculante e a invocação do Direito Interno é vedada (art. 27 da CVDT).
"O que é o ""princípio da autodeterminação dos povos""?";É o direito de um povo de escolher seu próprio destino político, econômico e social, sem ingerência externa.
Os Municípios brasileiros têm competência para firmar acordos internacionais?;Sim, em matéria de interesse local, como irmandade de cidades, desde que com autorização da União.
"O que é o ""costume internacional"" e quais são seus elementos?";É uma prática geral e constante aceita como direito (elemento material e elemento subjetivo - opinio juris).
"O que é o ""princípio da primazia da norma mais favorável"" em direitos humanos?";É o princípio de que, em caso de conflito entre normas, deve-se aplicar aquela que melhor protege o ser humano.
Qual é a função do Decreto Legislativo no processo de internalização?;Aprovar o texto do tratado, autorizando o Presidente a ratificá-lo e promulgá-lo.
O Brasil já denunciou algum tratado de direitos humanos relevante?;Sim, denunciou a Convenção Americana de Direitos Humanos (Pacto de San José) em 1990, mas reingressou depois.
"O que é a ""ordem pública internacional""?";É o conjunto de princípios e valores fundamentais da comunidade internacional, que limita a autonomia dos Estados (ex.: jus cogens).
"Qual a diferença entre ""ratificação"" e ""adesão"" a um tratado?";"Ratificação é o ato final de um Estado que assinou o tratado; adesão é o ato de um Estado que não assinou, mas decide participar."
A adesão a um tratado dispensa a aprovação legislativa no Brasil?;Não, a adesão também depende de aprovação pelo Congresso Nacional.
"O que é o ""princípio da solução pacífica de controvérsias""?";É o princípio da Carta da ONU que obriga os Estados a resolverem suas disputas por meios pacíficos (negociação, mediação, arbitragem, etc.).
"Qual é a diferença entre ""mediação"" e ""conciliação"" no DIP?";"A mediação envolve um terceiro que auxilia as partes a chegar a um acordo; a conciliação envolve um terceiro que propõe uma solução, mas sem força vinculante."
A arbitragem internacional é vinculante?;Sim, a sentença arbitral é definitiva e obrigatória para as partes.
"O que é a ""Corte Permanente de Arbitragem""?";É uma instituição criada em 1899 para facilitar a arbitragem entre Estados, com sede em Haia.
A União Europeia é uma federação ou uma confederação?;É uma organização internacional sui generis com elementos de ambos, mas não é um Estado federal.
"O que é o ""princípio da subsidiariedade"" no direito da União Europeia?";É o princípio pelo qual a União só atua quando os Estados-membros não podem alcançar adequadamente os objetivos.
Como o DIP regula a utilização do espaço exterior?;Por meio de tratados, como o Tratado do Espaço Exterior (1967), que proíbe a apropriação nacional e a colocação de armas nucleares.
O Brasil tem programa espacial?;Sim, a Agência Espacial Brasileira (AEB) coordena as atividades espaciais, e o Brasil é signatário do Tratado do Espaço.
"O que é o ""princípio da prevenção"" no Direito Internacional Ambiental?";É a obrigação de os Estados prevenirem danos ambientais significativos além de suas fronteiras.
O Brasil é signatário do Acordo de Paris sobre o clima?;Sim, e o ratificou em 2016, comprometendo-se a reduzir as emissões de gases de efeito estufa.
Qual o papel da Organização Mundial do Comércio (OMC) no DIP?;É o fórum para negociação de acordos comerciais e solução de controvérsias em matéria de comércio internacional.
"O que é a ""cláusula de nação mais favorecida"" (NMF) na OMC?";É a cláusula que garante que qualquer vantagem concedida a um país seja estendida a todos os membros da OMC.
"Qual é a diferença entre ""tratado bilateral"" e ""tratado multilateral""?";"Bilateral envolve dois Estados; multilateral envolve três ou mais Estados."
"O que é um ""tratado-contrato"" e um ""tratado-lei""?";"Tratado-contrato cria obrigações recíprocas entre poucos Estados; tratado-lei estabelece normas gerais de direito internacional."
A Constituição Federal prevê a possibilidade de o Brasil se submeter a tribunais internacionais?;Sim, exige aprovação por quórum qualificado (art. 5º, §3º, para direitos humanos) ou por maioria absoluta (art. 49, I, para outros casos).
;
Em qual artigo da Constituição Federal estão elencados os princípios que regem o Brasil nas relações internacionais?;Art. 4º da CF/88.
Quantos são os princípios fundamentais das relações internacionais do Brasil?;Dez princípios.
Qual é o primeiro princípio previsto no art. 4º da CF/88?;Independência nacional.
O que significa o princípio da independência nacional?;É a afirmação da soberania do Brasil, vedando qualquer subordinação ou ingerência externa em seus assuntos internos.
Qual é o segundo princípio do art. 4º?;Prevalência dos direitos humanos.
O que significa a prevalência dos direitos humanos nas relações internacionais do Brasil?;O Brasil pauta sua política externa pelo respeito e promoção dos direitos humanos, colocando a pessoa humana no centro das decisões.
Qual é o terceiro princípio do art. 4º?;Autodeterminação dos povos.
O que significa o princípio da autodeterminação dos povos?;É o direito de cada povo escolher livremente seu regime político, seu desenvolvimento econômico e social, sem interferência externa.
Qual é o quarto princípio do art. 4º?;Não-intervenção.
O que significa o princípio da não-intervenção?;O Brasil não deve intervir nos assuntos internos de outros Estados, nem tolerar intervenção em seus próprios assuntos.
Qual é o quinto princípio do art. 4º?;Igualdade entre os Estados.
O que significa a igualdade entre os Estados?;Todos os Estados são juridicamente iguais, independentemente de seu tamanho, poderio econômico ou militar.
Qual é o sexto princípio do art. 4º?;Defesa da paz.
O que significa o princípio da defesa da paz?;O Brasil deve atuar pela solução pacífica de controvérsias e pela manutenção da paz internacional, repudiando a guerra.
Qual é o sétimo princípio do art. 4º?;Solução pacífica dos conflitos.
"Qual a diferença entre ""defesa da paz"" e ""solução pacífica dos conflitos""?";"A defesa da paz é um objetivo geral; a solução pacífica é o meio específico para alcançá-lo, utilizando negociação, mediação, arbitragem, etc."
Qual é o oitavo princípio do art. 4º?;Repúdio ao terrorismo e ao racismo.
O que significa o repúdio ao terrorismo e ao racismo?;O Brasil condena veementemente essas práticas em todas as suas formas, tanto no plano interno quanto no internacional.
Qual é o nono princípio do art. 4º?;Cooperação entre os povos para o progresso da humanidade.
O que significa a cooperação entre os povos para o progresso da humanidade?;O Brasil deve atuar em parceria com outros Estados para promover o desenvolvimento econômico, social e tecnológico global.
Qual é o décimo princípio do art. 4º?;Concessão de asilo político.
O que significa o princípio da concessão de asilo político?;O Brasil reconhece o direito de conceder refúgio a estrangeiros perseguidos por motivos políticos, em sua tradição humanitária.
Todos os princípios do art. 4º são taxativos ou meramente exemplificativos?;"A doutrina majoritária considera que são exemplificativos, pois a CF/88 usa a expressão ""reger-se-á"" e não ""reger-se-á apenas""."
O princípio da independência nacional se confunde com o princípio da soberania?;São conceitos próximos, mas a soberania é mais ampla (poder supremo interno), enquanto a independência foca na ausência de subordinação externa.
O princípio da não-intervenção é absoluto?;Não. Há exceções admitidas pelo DIP, como intervenção humanitária autorizada pelo Conselho de Segurança da ONU, mas o Brasil é tradicionalmente rigoroso em seu cumprimento.
"Qual a relação entre a ""prevalência dos direitos humanos"" e o princípio da não-intervenção?";Há uma tensão clássica: a defesa dos direitos humanos pode justificar, em tese, alguma forma de preocupação internacional com violações internas, relativizando a não-intervenção.
"O Brasil adota a ""responsabilidade de proteger"" (R2P)?";"O Brasil defende o conceito de ""responsabilidade ao proteger"", uma variação que enfatiza a prevenção e o respeito à soberania, evitando intervenções militares."
O princípio da autodeterminação dos povos se aplica a movimentos separatistas internos?;Aplica-se apenas a povos sob dominação colonial ou ocupação estrangeira, não a grupos dentro de um Estado soberano (como regra geral).
Como o princípio da igualdade entre os Estados se manifesta na prática?;No voto igualitário na Assembleia Geral da ONU e no princípio de que todo Estado tem um voto, independentemente de seu poder.
O princípio da defesa da paz impede o Brasil de participar de operações de paz da ONU?;Não. O Brasil participa de missões de paz, que são voltadas para a manutenção e restauração da paz, não para a guerra.
"O que é a ""solução pacífica dos conflitos"" na prática diplomática brasileira?";O Brasil prioriza a negociação direta, a mediação, a conciliação e a arbitragem, evitando o uso da força ou ameaças.
O repúdio ao racismo no art. 4º tem implicações na política externa brasileira?;Sim, o Brasil condena regimes ou políticas discriminatórias e apoia tratados internacionais contra a discriminação racial.
"O que significa ""cooperação para o progresso da humanidade"" em termos concretos?";Inclui a cooperação técnica, científica, tecnológica, cultural e econômica, especialmente com países em desenvolvimento (cooperação Sul-Sul).
A concessão de asilo político é um direito do Estado ou do indivíduo?;É uma faculdade do Estado (ato discricionário), mas que deve ser exercida em consonância com o princípio humanitário.
Qual é a principal diferença entre asilo político e refúgio?;O asilo é concedido por motivos políticos (perseguição política) e o refúgio por motivos de perseguição por raça, religião, nacionalidade, etc. (conceito mais amplo).
O princípio da não-intervenção impede o Brasil de fazer críticas a violações de direitos humanos no exterior?;Impede intervenções coercitivas, mas não a crítica diplomática, que é legítima e frequente na política externa brasileira.
O Brasil pode fazer sanções econômicas a outros países com base em seus princípios?;Sim, desde que em conformidade com o DIP, como as sanções aprovadas pelo Conselho de Segurança da ONU, ou de forma unilateral, mas com base em seus princípios.
Os princípios do art. 4º são cláusulas pétreas?;Em parte, sim. A independência nacional, os direitos humanos e o princípio federativo são considerados cláusulas pétreas, mas a doutrina discute quais deles se enquadram.
Qual a hierarquia dos princípios do art. 4º entre si?;"Não há hierarquia constitucional entre eles; todos são igualmente fundamentais e devem ser harmonizados na prática."
O princípio da autodeterminação dos povos pode justificar a independência de um território?;Sim, no contexto de descolonização. Mas o Brasil é tradicionalmente contrário a movimentos separatistas internos.
O Brasil já invocou o princípio da não-intervenção para se opor a ações externas?;Sim, historicamente, o Brasil usou esse princípio para se opor a intervenções na América Latina e em outras regiões.
"O que é a ""diplomacia presidencial"" e como ela se relaciona com os princípios do art. 4º?";É a atuação direta do Presidente nas relações externas, que deve sempre pautar-se pelos princípios constitucionais, sob pena de desvio de finalidade.
O princípio da defesa da paz está relacionado ao desarmamento?;Indiretamente, sim. O Brasil defende o desarmamento nuclear e a não proliferação, como forma de promover a paz.
O repúdio ao terrorismo no art. 4º é um princípio absoluto ou comporta exceções?;É absoluto para o Brasil. O país condena o terrorismo em todas as suas formas, sem qualquer relativização.
Como o princípio da cooperação entre os povos se reflete na atuação do Brasil na OMC?;Na defesa de um sistema comercial mais justo, com tratamento especial e diferenciado para países em desenvolvimento.
O asilo político concedido pelo Brasil é de caráter territorial ou diplomático?;Ambos. O Brasil concede asilo territorial (no país) e asilo diplomático (em missões brasileiras no exterior), sendo este último típico da tradição latino-americana.
O princípio da igualdade entre os Estados é formal ou material?;É formal (igualdade jurídica), mas o Brasil defende também a igualdade material (redução de assimetrias) em fóruns como o G77.
"A ""defesa da paz"" impede o Brasil de ter um programa nuclear com fins militares?";Sim, o Brasil renunciou ao programa nuclear militar e aderiu ao TNP (Tratado de Não Proliferação Nuclear), em linha com esse princípio.
O princípio da solução pacífica dos conflitos exige que o Brasil evite qualquer tipo de sanção?;Não, sanções são admitidas, desde que não envolvam uso da força, como embargo econômico ou suspensão de relações diplomáticas.
"O que significa ""repúdio ao racismo"" na prática da política externa brasileira?";O Brasil apoia ativamente a Década Internacional de Afrodescendentes e condena publicamente países com políticas discriminatórias.
A concessão de asilo político é um ato vinculado ou discricionário do Presidente?;É um ato político discricionário do Presidente da República, mas que deve observar os tratados internacionais dos quais o Brasil é parte.
Os princípios do art. 4º são aplicáveis apenas à atuação externa do Executivo ou também ao Legislativo e Judiciário?;Aplicam-se a todos os Poderes, pois vinculam o Estado brasileiro como um todo em sua atuação internacional.
"Qual a diferença entre ""não-intervenção"" e ""ingerência"" nos assuntos internos?";"Intervenção é um ato mais grave, com uso de força ou coerção; ingerência é uma influência ou pressão política, que também é vedada."
O Brasil pode adotar medidas unilaterais de retorsão contra outro Estado?;Sim, desde que não violem os princípios do art. 4º, como a não-intervenção e a solução pacífica, e sejam proporcionais.
O princípio da autodeterminação dos povos se choca com o princípio da integridade territorial?;Sim, há uma tensão histórica, mas o DIP e a prática brasileira priorizam a integridade territorial dos Estados existentes.
"Como o princípio da ""cooperação para o progresso da humanidade"" se relaciona com a Agenda 2030?";O Brasil se comprometeu com os Objetivos de Desenvolvimento Sustentável (ODS) como forma de cooperar para o desenvolvimento global.
"O princípio da ""defesa da paz"" está expressamente ligado ao repúdio à guerra de agressão?";Sim, o Brasil condena a guerra de agressão e atua pela prevenção de conflitos armados.
O repúdio ao terrorismo inclui o combate ao financiamento do terrorismo?;Sim, o Brasil adota medidas internas e coopera internacionalmente para coibir o financiamento ao terrorismo.
Qual a origem histórica do princípio da não-intervenção na política externa brasileira?;Remonta ao século XIX, com a Doutrina Monroe (defensiva) e ao século XX, com a Doutrina Calvo e a Doutrina Drago.
O princípio da igualdade entre os Estados permite que um Estado tenha mais votos em organizações internacionais?;Não, a regra é um voto por Estado, mas há exceções como o Conselho de Segurança da ONU (voto de membros permanentes) e o FMI (voto ponderado).
O Brasil defende a reforma do Conselho de Segurança com base em qual princípio?;Com base na igualdade entre os Estados e na representatividade, defendendo um assento permanente para a América Latina.
"O princípio da ""concessão de asilo político"" é uma tradição jurídica ou política no Brasil?";Ambas. É uma tradição política consolidada e também uma norma jurídica prevista no art. 4º e em tratados.
O Brasil pode conceder asilo a um cidadão de um país com o qual mantém relações diplomáticas?;Sim, o asilo é concedido independentemente do estado das relações diplomáticas, desde que presentes os requisitos.
"O princípio da ""solução pacífica dos conflitos"" é uma opção ou uma obrigação para o Brasil?";É uma obrigação constitucional. O Brasil deve, em todas as circunstâncias, buscar soluções pacíficas.
Como o princípio da não-intervenção se aplica à atuação do Brasil no Mercosul?;O Mercosul tem decisões supranacionais, mas o Brasil sempre ressalva sua soberania e não-intervenção nos assuntos internos de seus parceiros.
"O princípio da ""defesa da paz"" está relacionado ao papel do Brasil na Minustah (Haiti)?";Sim, a participação na Minustah foi justificada pela defesa da paz e pela cooperação humanitária, dentro dos princípios do art. 4º.
"O que significa ""diplomacia ativa e altiva"", expressão usada em governos recentes?";É uma interpretação da política externa que enfatiza a independência nacional e a defesa dos interesses brasileiros sem subordinação.
"O princípio da ""autodeterminação dos povos"" impede o Brasil de apoiar sanções econômicas unilaterais?";Sim, o Brasil é contrário a sanções unilaterais que afetem a autodeterminação e o desenvolvimento de outros povos.
"A ""prevalência dos direitos humanos"" prevalece sobre os demais princípios em caso de conflito?";Não há hierarquia, mas em casos de grave violação, o princípio dos direitos humanos pode relativizar a não-intervenção.
O princípio do repúdio ao racismo já foi usado para justificar a ruptura de relações diplomáticas?;Historicamente, o Brasil rompeu relações com regimes de segregação racial, como a África do Sul durante o apartheid.
"O que significa ""cooperação Sul-Sul"" no contexto do princípio da cooperação entre os povos?";É a cooperação técnica, econômica e política entre países em desenvolvimento, buscando o progresso comum.
O asilo político pode ser concedido a militares ou agentes de inteligência estrangeiros?;Sim, desde que a perseguição seja por motivos políticos, mas o Brasil observa o DIP e sua tradição de não concessão a criminosos comuns.
O princípio da não-intervenção é uma limitação à atuação do Brasil na OEA?;Sim, o Brasil sempre atuou na OEA com respeito à soberania dos Estados membros, opondo-se a intervenções.
"A ""defesa da paz"" inclui o princípio do desarmamento nuclear?";Sim, o Brasil é signatário do TNP e defende a criação de zonas livres de armas nucleares.
"O princípio da ""solução pacífica dos conflitos"" se aplica a disputas comerciais?";Sim, o Brasil utiliza a OMC para resolver disputas comerciais, evitando medidas unilaterais de retaliação.
"Como o princípio da ""igualdade entre os Estados"" se relaciona com a atuação do Brasil nas Nações Unidas?";O Brasil defende que todos os Estados tenham igualdade de participação nos processos decisórios da ONU.
O repúdio ao terrorismo é um princípio absoluto ou relativo?;"Absoluto. O Brasil não faz distinção entre ""bons"" e ""maus"" terroristas."
"O princípio da ""cooperação entre os povos"" pode justificar a participação do Brasil em missões de paz?";Sim, a cooperação para o progresso da humanidade inclui a manutenção da paz e da segurança internacional.
A concessão de asilo político é um ato que pode ser delegado a um embaixador?;O embaixador pode decidir sobre asilo diplomático in loco, mas a decisão final sobre o asilo territorial é do Presidente.
O princípio da não-intervenção impede o Brasil de atuar como mediador em conflitos internos de outros países?;Não, a mediação é um ato consensual e não-interventivo, desde que aceita pelas partes.
"A ""prevalência dos direitos humanos"" é um princípio que se aplica apenas a cidadãos estrangeiros?";Aplica-se a todas as pessoas, independentemente de nacionalidade, sendo um princípio universal.
"O Brasil já utilizou o princípio da ""autodeterminação dos povos"" para reconhecer a independência de Kosovo?";Não, o Brasil não reconheceu a independência de Kosovo, alegando o respeito à integridade territorial da Sérvia.
"O que é a ""Doutrina do Bom Vizinho"" e sua relação com os princípios do art. 4º?";É uma política de não-intervenção e cooperação nas Américas, que se alinha com os princípios de não-intervenção e defesa da paz.
"O princípio da ""defesa da paz"" se choca com a participação do Brasil em alianças militares?";O Brasil não participa de alianças militares ofensivas, mas de acordos de defesa defensivos, como o Tlatelolco.
"O princípio da ""solução pacífica dos conflitos"" inclui a arbitragem internacional?";Sim, a arbitragem é um dos meios pacíficos previstos e o Brasil já a utilizou em disputas territoriais.
